Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	phospholipid scrambling (GO:0017121)	1/9	0.04929530838127386	0.7019347997045944	0.01716283686234539	0.2177938211982838	-3.022897259922648	9.098698167802423	TMEM256-PLSCR3
GO_Biological_Process_2018	positive regulation of protein homooligomerization (GO:0032464)	1/10	0.054621651505853526	0.7019347997045944	0.0188634825623326	0.2177938211982838	-3.0940254277272867	8.995337251141533	MIEF2
GO_Biological_Process_2018	left/right pattern formation (GO:0060972)	1/8	0.043939225610361066	0.7019347997045944	0.01545936146903467	0.2177938211982838	-2.8147166212146915	8.795842614356003	PKD1L1
GO_Biological_Process_2018	myoblast fusion (GO:0007520)	1/8	0.043939225610361066	0.7019347997045944	0.01545936146903467	0.2177938211982838	-2.6458476055715474	8.268135749358231	ADGRB3
GO_Biological_Process_2018	negative regulation of cellular protein catabolic process (GO:1903363)	1/11	0.059918418643707984	0.7019347997045944	0.020561303074900745	0.2177938211982838	-2.8823425025663423	8.113135043060764	RIC1
GO_Biological_Process_2018	carbohydrate phosphorylation (GO:0046835)	1/12	0.06518577254275237	0.7019347997045944	0.02225630289617499	0.2177938211982838	-2.7852486786477053	7.605160639752962	POMK
GO_Biological_Process_2018	regulation of cellular protein catabolic process (GO:1903362)	1/18	0.09618122119766088	0.7019347997045944	0.03236731835937839	0.22171613076174207	-3.1285397214540027	7.325541914546049	RIC1
GO_Biological_Process_2018	mitotic spindle elongation (GO:0000022)	1/12	0.06518577254275237	0.7019347997045944	0.02225630289617499	0.2177938211982838	-2.3929434498270394	6.533965701983608	MAP10
GO_Biological_Process_2018	calcineurin-mediated signaling (GO:0097720)	1/13	0.07042387507976247	0.7019347997045944	0.02394848651910764	0.2187295102078497	-2.3643955440833553	6.273268493617006	ADGRB2
GO_Biological_Process_2018	calcineurin-NFAT signaling cascade (GO:0033173)	1/12	0.06518577254275237	0.7019347997045944	0.02225630289617499	0.2177938211982838	-2.2929473066870583	6.26092482855448	ADGRB2
