Name	chi2Pvalue
782	5.93835734E-5
818	2.92376257E-4
865	3.36858742E-4
161	8.69205005E-4
260	1.38656128E-3
405	1.53925382E-3
760	1.97335405E-3
494	4.1970222E-3
407	4.35285944E-3
517	4.55823362E-3
298	7.32388704E-3
263	8.12458082E-3
314	8.89964179E-3
307	8.96334325E-3
467	9.40249489E-3
802	9.55224497E-3
770	1.01006839E-2
1015	1.05017921E-2
847	1.14934556E-2
416	1.40778163E-2
579	1.7500109E-2
684	1.87707257E-2
317	1.89230296E-2
306	2.053469E-2
117	2.08183283E-2
574	2.18896234E-2
864	2.45343968E-2
936	2.51382554E-2
60	2.54873988E-2
743	2.65810076E-2
249	2.75582293E-2
1023	2.79738699E-2
381	3.33995641E-2
571	3.39999185E-2
651	3.41343187E-2
235	3.52218402E-2
113	3.87971726E-2
573	3.8997456E-2
119	3.905891E-2
681	3.92776906E-2
969	3.97648459E-2
399	4.01936414E-2
749	4.59279122E-2
860	4.65377538E-2
822	4.76225785E-2
327	4.88022077E-2
958	4.90455226E-2
15	4.95120165E-2
373	4.97952299E-2
690	5.75710226E-2
980	5.76648345E-2
620	5.79908705E-2
20	5.83513761E-2
642	5.87323804E-2
556	5.90063704E-2
672	6.00524615E-2
34	6.01272093E-2
1020	6.03676796E-2
577	6.09439744E-2
658	6.24341459E-2
838	6.24951843E-2
429	6.28751335E-2
816	6.34759571E-2
876	6.37049011E-2
740	6.42329258E-2
419	6.45610083E-2
76	6.4657989E-2
137	6.76696574E-2
159	6.82400166E-2
302	6.9165673E-2
496	6.97805928E-2
370	7.0985234E-2
152	7.2120129E-2
849	7.21941185E-2
1001	7.72610613E-2
650	7.73380176E-2
454	7.777994E-2
513	7.7853217E-2
349	8.01481981E-2
70	8.02514366E-2
925	8.06555458E-2
614	8.10887412E-2
125	8.24709124E-2
237	8.28824586E-2
678	8.57305221E-2
931	8.72276228E-2
84	8.80972925E-2
906	8.90814283E-2
772	8.95344106E-2
683	9.07152495E-2
976	9.29031847E-2
104	9.32244446E-2
97	9.49376937E-2
202	9.60234892E-2
233	9.64757665E-2
1006	9.75287604E-2
438	9.75904041E-2
271	9.86224853E-2
844	9.89223879E-2
142	9.90150749E-2
829	1.00624886E-1
883	1.01731828E-1
470	1.03078622E-1
351	1.03141929E-1
355	1.07053964E-1
105	1.07122682E-1
92	1.07949063E-1
897	1.07966509E-1
492	1.09332278E-1
436	1.0960114E-1
461	1.1057437E-1
819	1.11122704E-1
115	1.11215563E-1
284	1.12094262E-1
625	1.12263777E-1
264	1.12381965E-1
689	1.12611648E-1
274	1.15612766E-1
959	1.16028658E-1
128	1.18416513E-1
735	1.19119008E-1
426	1.19705619E-1
510	1.20483642E-1
1008	1.20724303E-1
481	1.2113626E-1
998	1.21324941E-1
251	1.21697217E-1
553	1.23507265E-1
845	1.24688041E-1
648	1.25130262E-1
729	1.2685999E-1
44	1.27341852E-1
515	1.28022441E-1
334	1.28451867E-1
36	1.28631933E-1
850	1.29767662E-1
930	1.30346326E-1
124	1.31781117E-1
511	1.32520019E-1
810	1.33166222E-1
543	1.3380706E-1
738	1.37055086E-1
446	1.37353086E-1
262	1.37846929E-1
630	1.38094008E-1
584	1.39728184E-1
566	1.41173111E-1
901	1.41811894E-1
762	1.42475538E-1
204	1.43107046E-1
728	1.45045881E-1
145	1.47621668E-1
71	1.50542527E-1
503	1.51184727E-1
914	1.51298546E-1
12	1.54254134E-1
329	1.54442012E-1
941	1.55744514E-1
392	1.57987536E-1
592	1.59023266E-1
324	1.61357168E-1
2	1.65564293E-1
973	1.66261376E-1
188	1.67729563E-1
784	1.68591525E-1
309	1.68953682E-1
688	1.69237657E-1
768	1.7096791E-1
621	1.71400512E-1
138	1.71443303E-1
75	1.71954864E-1
696	1.72860202E-1
666	1.74664133E-1
663	1.74781616E-1
580	1.76351018E-1
654	1.767446E-1
140	1.76836848E-1
751	1.78028447E-1
861	1.80048673E-1
1018	1.80248787E-1
627	1.82669749E-1
468	1.86036563E-1
911	1.86750189E-1
122	1.88833854E-1
953	1.89230401E-1
880	1.89236346E-1
354	1.89632501E-1
41	1.90114792E-1
382	1.91888311E-1
612	1.91937723E-1
763	1.95416664E-1
423	1.95446052E-1
243	1.96008255E-1
821	2.0089542E-1
35	2.03093504E-1
463	2.04435905E-1
534	2.04478798E-1
881	2.05270651E-1
600	2.06387839E-1
961	2.07029818E-1
357	2.09656879E-1
687	2.1014959E-1
256	2.10543889E-1
242	2.12778421E-1
270	2.14387335E-1
108	2.1447456E-1
154	2.1485929E-1
1019	2.16749865E-1
293	2.18120165E-1
488	2.209625E-1
238	2.21155334E-1
477	2.21706639E-1
464	2.2296189E-1
995	2.24248519E-1
815	2.24878857E-1
176	2.2505119E-1
501	2.26006364E-1
629	2.26176542E-1
704	2.27648292E-1
255	2.27650243E-1
913	2.28279748E-1
656	2.28547608E-1
389	2.29968097E-1
135	2.30665398E-1
1003	2.3156012E-1
1017	2.33383387E-1
