Name	chi2Pvalue
782	7.75416086E-5
818	2.21104551E-4
161	5.26092577E-4
405	1.20828118E-3
865	2.1813669E-3
517	4.6812197E-3
263	6.71337432E-3
467	7.71896204E-3
298	9.85790757E-3
117	1.10675852E-2
419	1.13694208E-2
1015	1.23728176E-2
307	1.24660414E-2
802	1.2779888E-2
690	1.31628334E-2
579	1.3209379E-2
864	1.43238216E-2
980	1.63406448E-2
584	1.64308566E-2
678	1.79211603E-2
249	1.82279512E-2
357	1.84443637E-2
816	1.94637389E-2
142	1.96916044E-2
407	1.9777269E-2
1023	2.35933599E-2
416	2.67925454E-2
124	2.67945586E-2
812	2.68032288E-2
772	2.81445533E-2
625	2.83915914E-2
620	2.9246484E-2
302	2.92810412E-2
97	2.97836992E-2
515	3.04442688E-2
154	3.06629972E-2
432	3.35973336E-2
998	3.37570361E-2
728	3.41508472E-2
642	3.41649629E-2
760	3.46613991E-2
334	3.55569981E-2
260	3.57787831E-2
684	3.62815135E-2
911	3.63592175E-2
319	3.84585405E-2
252	3.98380955E-2
84	4.00178451E-2
815	4.41312222E-2
883	4.56636526E-2
113	4.60188828E-2
429	4.60408438E-2
20	4.73800822E-2
122	4.78244987E-2
235	4.88128137E-2
574	4.95348873E-2
925	5.15641489E-2
128	5.16498594E-2
327	5.24336297E-2
910	5.49852119E-2
556	5.89573467E-2
658	6.08617996E-2
314	6.24124218E-2
422	6.36164547E-2
659	6.46872304E-2
770	6.56380322E-2
108	6.57550778E-2
42	6.58177833E-2
381	6.60285809E-2
399	6.76170427E-2
603	6.97410101E-2
725	7.02605307E-2
135	7.34580762E-2
1020	7.44951488E-2
688	7.50004121E-2
557	7.54156802E-2
683	7.54810771E-2
959	7.6486252E-2
15	7.83723913E-2
449	8.00316234E-2
654	8.15250621E-2
651	8.17183619E-2
847	8.21466801E-2
267	8.25256162E-2
183	8.40008999E-2
850	8.4282887E-2
513	8.46888151E-2
969	8.47177786E-2
1017	8.48093757E-2
519	8.62364155E-2
78	8.69821785E-2
494	8.99089997E-2
43	9.02453565E-2
137	9.05458522E-2
184	9.08742526E-2
624	9.09495127E-2
2	9.57429348E-2
882	9.70887122E-2
751	9.72653558E-2
60	9.7827336E-2
500	9.85023302E-2
119	9.91261166E-2
1008	1.0003236E-1
650	1.00176084E-1
511	1.02662055E-1
614	1.03740878E-1
348	1.03987416E-1
351	1.05094775E-1
112	1.05285665E-1
923	1.07444957E-1
860	1.08894658E-1
523	1.10678981E-1
264	1.12136954E-1
701	1.13499096E-1
931	1.14073325E-1
372	1.15462965E-1
936	1.16255144E-1
92	1.17023766E-1
913	1.1846324E-1
474	1.20052774E-1
716	1.20138063E-1
956	1.21197176E-1
436	1.21934849E-1
681	1.23426917E-1
442	1.24105034E-1
1012	1.24254081E-1
571	1.27443711E-1
531	1.27594695E-1
311	1.28508438E-1
548	1.2921506E-1
672	1.29254569E-1
893	1.29522983E-1
914	1.30614674E-1
506	1.31753969E-1
44	1.32308585E-1
237	1.34160889E-1
324	1.34486663E-1
34	1.34890153E-1
738	1.36354812E-1
306	1.36572926E-1
906	1.3820951E-1
404	1.3917913E-1
510	1.3989872E-1
804	1.41053149E-1
355	1.41185392E-1
465	1.43110311E-1
929	1.43472887E-1
927	1.44188196E-1
798	1.44553208E-1
329	1.44569293E-1
284	1.45441444E-1
471	1.47139637E-1
689	1.47479202E-1
496	1.47766127E-1
178	1.48101264E-1
61	1.51054234E-1
160	1.5159019E-1
591	1.56114742E-1
835	1.5652298E-1
105	1.58763442E-1
1005	1.58769822E-1
844	1.59075014E-1
139	1.60474182E-1
58	1.64592241E-1
889	1.65343548E-1
59	1.66889953E-1
177	1.67821584E-1
834	1.68807072E-1
908	1.70367309E-1
616	1.71153477E-1
737	1.71380841E-1
392	1.72642206E-1
938	1.73907157E-1
451	1.75145303E-1
1018	1.7545929E-1
4	1.76112305E-1
202	1.76591556E-1
970	1.83861871E-1
445	1.85253131E-1
134	1.85273603E-1
251	1.85925516E-1
740	1.86801166E-1
477	1.88459524E-1
17	1.90932947E-1
470	1.91722919E-1
926	1.92772668E-1
233	1.94569511E-1
941	1.96786123E-1
682	1.99235175E-1
271	1.99820185E-1
309	2.00218882E-1
721	2.00940506E-1
747	2.01027104E-1
196	2.01238698E-1
743	2.02050326E-1
853	2.02293221E-1
125	2.04240763E-1
613	2.04552955E-1
333	2.04842427E-1
377	2.04862406E-1
455	2.0497936E-1
382	2.05882505E-1
115	2.06963142E-1
274	2.07177239E-1
5	2.07533744E-1
955	2.07874423E-1
861	2.08671221E-1
663	2.09908021E-1
939	2.09993098E-1
295	2.10934244E-1
646	2.125542E-1
104	2.12723245E-1
447	2.12958131E-1
52	2.13354478E-1
1009	2.14748667E-1
890	2.14915542E-1
660	2.17539343E-1
168	2.17567321E-1
838	2.18308212E-1
181	2.18330334E-1
64	2.20866932E-1
680	2.21167567E-1
995	2.2120479E-1
1004	2.21653132E-1
175	2.23475095E-1
350	2.25802155E-1
656	2.2594383E-1
24	2.26397917E-1
872	2.26752638E-1
780	2.26970723E-1
148	2.28341046E-1
576	2.28443592E-1
949	2.28650614E-1
38	2.30481664E-1
566	2.31185116E-1
189	2.31856395E-1
493	2.32198665E-1
820	2.32203106E-1
640	2.34681804E-1
873	2.35583783E-1
671	2.35873808E-1
215	2.36590468E-1
982	2.36938369E-1
138	2.37708749E-1
385	2.39486951E-1
82	2.40866962E-1
553	2.40918967E-1
75	2.41406159E-1
592	2.41587024E-1
66	2.44950175E-1
710	2.45601554E-1
600	2.46763063E-1
450	2.49316923E-1
402	2.49755655E-1
577	2.50263677E-1
344	2.50856381E-1
648	2.54743089E-1
831	2.55430379E-1
629	2.56043301E-1
880	2.56844328E-1
388	2.57465019E-1
370	2.58070985E-1
763	2.58639106E-1
35	2.59450507E-1
744	2.60140105E-1
730	2.62013111E-1
316	2.62514271E-1
810	2.64304986E-1
50	2.66576199E-1
649	2.67618507E-1
582	2.69560156E-1
147	2.70400735E-1
293	2.7159471E-1
851	2.72247948E-1
917	2.74462949E-1
662	2.74482182E-1
507	2.74594805E-1
827	2.75210113E-1
849	2.75578345E-1
565	2.75870137E-1
463	2.75981209E-1
822	2.76129228E-1
580	2.76133441E-1
552	2.77424586E-1
345	2.78244083E-1
525	2.78326496E-1
424	2.79609843E-1
534	2.80658284E-1
394	2.81554052E-1
661	2.81772365E-1
732	2.82130483E-1
537	2.82950578E-1
1001	2.84752532E-1
210	2.85150214E-1
543	2.86459816E-1
159	2.86930638E-1
225	2.88469184E-1
596	2.88728019E-1
204	2.88773299E-1
876	2.91373121E-1
121	2.91552658E-1
787	2.92654871E-1
741	2.94298456E-1
146	2.95461854E-1
16	2.95646662E-1
999	2.95772223E-1
647	2.95793292E-1
288	2.96068971E-1
468	2.9650207E-1
655	2.96825696E-1
718	2.97763778E-1
984	2.98625663E-1
71	2.98892024E-1
884	2.99502277E-1
256	3.0052546E-1
239	3.00815189E-1
784	3.01803667E-1
915	3.02902966E-1
397	3.04750558E-1
387	3.06283238E-1
961	3.07314358E-1
90	3.08044854E-1
657	3.08238455E-1
65	3.08544152E-1
373	3.10226623E-1
960	3.13913284E-1
39	3.14561804E-1
729	3.15519867E-1
236	3.16231798E-1
555	3.1779308E-1
