Name	chi2Pvalue
307	4.26791539E-4
285	8.5267827E-4
370	9.73282177E-4
905	1.44367002E-3
157	2.41285829E-3
592	3.53342648E-3
82	4.15431079E-3
246	5.55299995E-3
45	6.09929348E-3
760	6.71037201E-3
552	6.99695834E-3
927	7.71106463E-3
189	9.23986685E-3
260	9.6942621E-3
603	9.75889887E-3
656	9.92950528E-3
953	1.08319728E-2
113	1.24014183E-2
515	1.28032057E-2
493	1.29671423E-2
728	1.41644777E-2
565	1.61195147E-2
727	1.62969276E-2
203	1.75436176E-2
784	1.76886049E-2
597	1.82683677E-2
147	1.8806947E-2
435	1.97901474E-2
540	2.04222687E-2
770	2.30003019E-2
330	2.49158827E-2
30	2.6255968E-2
384	2.95183156E-2
580	2.96795365E-2
386	3.1029719E-2
680	3.29529984E-2
606	3.63519823E-2
127	3.6438611E-2
15	3.67987778E-2
735	3.80729058E-2
811	3.84943661E-2
131	4.11515728E-2
430	4.13034469E-2
309	4.35049597E-2
925	4.39303598E-2
311	4.3942091E-2
923	4.40041238E-2
693	4.68899482E-2
879	4.71955232E-2
473	5.1733555E-2
596	5.20097029E-2
847	5.2715649E-2
304	5.27644635E-2
367	5.2934304E-2
944	5.53067341E-2
412	5.58577916E-2
766	5.59980183E-2
482	5.64761717E-2
873	5.83112037E-2
936	6.0309677E-2
509	6.03312856E-2
644	6.04384206E-2
684	6.1196573E-2
259	6.29970265E-2
221	6.32480152E-2
888	6.33202926E-2
324	6.39456819E-2
349	6.46942024E-2
967	6.56984786E-2
116	6.60601355E-2
256	6.68979234E-2
160	6.73986097E-2
56	7.09175767E-2
105	7.19436762E-2
619	7.3364077E-2
156	7.33795721E-2
223	7.35335878E-2
804	7.61602946E-2
65	7.61798977E-2
753	7.69375025E-2
629	7.82114424E-2
651	7.82881506E-2
711	7.88537775E-2
821	8.02367255E-2
1008	8.02417142E-2
655	8.07377971E-2
763	8.15128892E-2
34	8.27776856E-2
966	8.47188586E-2
456	8.5962629E-2
645	8.7287693E-2
664	8.74512829E-2
263	9.02373119E-2
669	9.31847292E-2
679	9.41845446E-2
959	9.51635761E-2
121	9.65701996E-2
686	9.7486617E-2
768	9.83730271E-2
574	9.8413551E-2
608	9.84584362E-2
52	9.94835899E-2
431	1.00089615E-1
29	1.00778084E-1
441	1.018173E-1
875	1.02750108E-1
578	1.02935171E-1
119	1.03996587E-1
707	1.05354111E-1
990	1.05502312E-1
164	1.05874596E-1
736	1.0686253E-1
208	1.08372852E-1
795	1.08684196E-1
568	1.09633003E-1
464	1.10874721E-1
514	1.12112629E-1
158	1.15501895E-1
458	1.16900177E-1
463	1.17868805E-1
889	1.18560111E-1
216	1.19308141E-1
746	1.19849688E-1
