Name	chi2Pvalue
760	2.42217302E-5
113	3.98597015E-5
260	4.18614276E-4
953	1.35508789E-3
750	1.54742956E-3
823	1.60534209E-3
307	2.04108847E-3
45	2.18575462E-3
603	2.29738522E-3
147	3.20042394E-3
443	4.29758357E-3
592	8.21443694E-3
0	1.01058529E-2
859	1.11768319E-2
553	1.15297003E-2
606	1.19105718E-2
329	1.28468554E-2
327	1.36484436E-2
733	1.43204388E-2
370	1.46008448E-2
142	1.80050897E-2
822	2.00437675E-2
165	2.04822082E-2
515	2.08060818E-2
207	2.11773008E-2
422	2.13294002E-2
950	2.1623966E-2
104	2.17693699E-2
539	2.23046282E-2
446	2.23173475E-2
596	2.25284021E-2
292	2.53288867E-2
157	2.56180785E-2
959	2.84090987E-2
291	3.01849843E-2
897	3.0856873E-2
34	3.1631977E-2
203	3.16775627E-2
735	3.17246696E-2
386	3.28285276E-2
367	3.47190677E-2
164	3.56470438E-2
330	3.58895628E-2
284	3.83623922E-2
770	3.86564315E-2
597	3.92045423E-2
246	3.97343385E-2
672	4.11593046E-2
731	4.11929578E-2
847	4.24097029E-2
269	4.29740225E-2
540	4.39350679E-2
769	4.40794179E-2
404	4.54033819E-2
503	4.57040437E-2
221	4.76100665E-2
754	4.77163698E-2
646	4.84650514E-2
531	4.94027555E-2
921	5.14159333E-2
131	5.1582348E-2
813	5.231969E-2
524	5.26456063E-2
726	5.33332843E-2
220	5.33626239E-2
29	5.37049693E-2
873	5.61098263E-2
728	5.68004246E-2
60	5.72560066E-2
794	5.747096E-2
575	5.77587008E-2
784	5.78986215E-2
317	5.86708292E-2
40	5.97619671E-2
629	6.10305501E-2
471	6.13754397E-2
223	6.19212403E-2
756	6.28549249E-2
451	6.39137872E-2
239	6.41052762E-2
570	6.47803327E-2
311	6.52719678E-2
933	6.76150899E-2
390	6.76777063E-2
73	6.79171159E-2
53	7.01196662E-2
845	7.26399203E-2
895	7.29929668E-2
705	7.48300068E-2
963	7.54971609E-2
427	7.71037795E-2
304	7.79790166E-2
865	7.82044188E-2
892	7.82166E-2
885	7.85672683E-2
92	7.92460059E-2
831	8.00302208E-2
768	8.15728087E-2
791	8.19628502E-2
1006	8.40325929E-2
339	8.41648279E-2
526	8.42698471E-2
1012	8.4648866E-2
600	8.58352999E-2
1008	8.6001511E-2
556	8.63201443E-2
341	8.66220869E-2
253	8.82184729E-2
111	8.93828707E-2
633	9.0064946E-2
219	9.05128633E-2
299	9.28659098E-2
804	9.33266348E-2
931	9.35725027E-2
801	9.411355E-2
547	9.53531708E-2
639	9.54994429E-2
973	9.64984971E-2
829	9.72517167E-2
188	9.91606771E-2
970	9.94718042E-2
656	1.0574272E-1
969	1.06876092E-1
354	1.08846849E-1
392	1.09056927E-1
767	1.09670979E-1
268	1.10230378E-1
185	1.14087666E-1
923	1.14740308E-1
964	1.15769133E-1
879	1.16204527E-1
538	1.20465233E-1
612	1.21083184E-1
140	1.24361824E-1
736	1.2488647E-1
525	1.27159909E-1
634	1.28515263E-1
715	1.28570831E-1
19	1.30692135E-1
665	1.31245253E-1
774	1.3155048E-1
925	1.31741171E-1
785	1.31856455E-1
913	1.32526872E-1
1000	1.35248443E-1
558	1.35838657E-1
285	1.36533929E-1
468	1.38082804E-1
903	1.38962021E-1
433	1.39968766E-1
576	1.41419749E-1
938	1.42505831E-1
555	1.43949308E-1
704	1.45052432E-1
568	1.46005738E-1
264	1.4630644E-1
254	1.46684599E-1
752	1.48231301E-1
509	1.49532091E-1
63	1.50010426E-1
888	1.53258352E-1
846	1.53841378E-1
322	1.54540762E-1
792	1.54887997E-1
517	1.54960692E-1
210	1.55358969E-1
782	1.57609384E-1
160	1.58262222E-1
664	1.58725692E-1
158	1.60938557E-1
263	1.62370073E-1
353	1.67541235E-1
797	1.68756971E-1
586	1.69545421E-1
428	1.70602115E-1
141	1.73041135E-1
771	1.74576025E-1
310	1.75730127E-1
833	1.75846807E-1
928	1.75880222E-1
881	1.7653585E-1
753	1.79445061E-1
1004	1.79789365E-1
762	1.82533363E-1
320	1.84137144E-1
456	1.84443756E-1
374	1.85157417E-1
513	1.85558772E-1
827	1.87171592E-1
976	1.87607315E-1
177	1.8777817E-1
694	1.91784145E-1
805	1.91958846E-1
900	1.92379353E-1
129	1.92496858E-1
624	1.9254814E-1
55	1.92948967E-1
247	1.93160447E-1
806	1.96867781E-1
691	1.98180956E-1
909	1.98641365E-1
867	1.98842711E-1
94	2.0682879E-1
480	2.07943094E-1
28	2.08195698E-1
424	2.08896185E-1
530	2.10783415E-1
642	2.10995875E-1
864	2.11574303E-1
992	2.11716282E-1
