Name	chi2Pvalue
45	8.71583902E-4
760	1.09381422E-3
367	1.24814221E-3
642	1.53914025E-3
603	1.62339904E-3
142	2.0853716E-3
307	2.38722515E-3
823	2.44294421E-3
596	8.2225055E-3
726	8.49952018E-3
897	1.06071161E-2
627	1.15380336E-2
315	1.23870383E-2
597	1.28126144E-2
859	1.28181079E-2
113	1.29279048E-2
921	1.30849826E-2
812	1.71725649E-2
451	1.80974352E-2
73	2.06073253E-2
446	2.10137633E-2
600	2.37020325E-2
556	2.39846912E-2
16	2.41423732E-2
768	2.47926801E-2
422	2.65850533E-2
427	2.68553402E-2
207	2.77473736E-2
754	2.7984351E-2
999	2.81795902E-2
735	2.85541923E-2
845	2.87550339E-2
923	2.90540122E-2
994	2.93217545E-2
409	3.12024401E-2
127	3.4154067E-2
269	3.42826674E-2
851	3.89489998E-2
826	4.05991344E-2
390	4.22965075E-2
311	4.31877393E-2
592	4.32569614E-2
253	4.33346819E-2
186	4.50603218E-2
322	4.65960113E-2
147	4.82422211E-2
665	4.94692327E-2
959	5.09341622E-2
784	5.12052055E-2
386	5.18409711E-2
220	5.19688495E-2
291	5.3081767E-2
840	5.32267114E-2
731	5.33175245E-2
435	5.7157614E-2
611	5.89360467E-2
770	6.03567851E-2
736	6.03879793E-2
370	6.17125527E-2
1004	6.18870088E-2
540	6.25478672E-2
70	6.50905043E-2
867	6.54482885E-2
413	6.57896306E-2
368	6.61752362E-2
847	6.68169569E-2
987	6.68322043E-2
206	6.77882249E-2
51	6.95845289E-2
232	6.99332469E-2
747	7.0355551E-2
104	7.08266592E-2
82	7.25627733E-2
22	7.30391236E-2
551	7.36380318E-2
916	7.53782477E-2
575	7.65773286E-2
673	7.68280416E-2
193	7.80342681E-2
64	7.86767675E-2
122	7.94732107E-2
955	8.03325686E-2
934	8.15689934E-2
694	8.19509309E-2
317	8.3556409E-2
816	8.46480228E-2
157	8.50904034E-2
586	8.58081468E-2
729	8.60044032E-2
790	8.61622139E-2
254	8.62133048E-2
111	8.70005473E-2
203	8.71061635E-2
53	8.71968757E-2
11	8.75867846E-2
868	8.89898237E-2
17	8.93340966E-2
873	9.04121666E-2
554	9.25258158E-2
791	9.27836119E-2
606	9.30784927E-2
310	9.35553543E-2
72	9.48058552E-2
468	9.64003066E-2
995	9.88682338E-2
524	9.89840512E-2
192	1.00216595E-1
631	1.00403605E-1
77	1.00943989E-1
238	1.02252263E-1
