Name	chi2Pvalue
221	7.77888829E-5
953	3.06810262E-4
307	7.20877732E-4
760	8.67003746E-4
305	2.50512641E-3
113	2.57812493E-3
531	3.15105828E-3
553	3.6010281E-3
596	4.41992994E-3
904	4.59599952E-3
157	5.03023008E-3
247	6.80776249E-3
443	7.44144878E-3
967	1.1584644E-2
680	1.1907048E-2
592	1.25655121E-2
105	1.49032904E-2
603	1.6773473E-2
1001	1.8114273E-2
728	1.87098272E-2
0	2.02620752E-2
203	2.47687627E-2
45	2.47763102E-2
351	2.55654211E-2
1000	2.75924407E-2
128	2.80626308E-2
746	2.8215753E-2
360	2.82815519E-2
540	2.83191318E-2
656	2.86627115E-2
317	2.98854407E-2
715	3.10541137E-2
705	3.30599476E-2
79	3.31604518E-2
374	3.5417251E-2
933	3.60793172E-2
408	3.67808175E-2
263	3.96550266E-2
306	4.03183769E-2
753	4.20157404E-2
264	4.27809169E-2
341	4.28455444E-2
50	4.34109579E-2
164	4.46299938E-2
847	4.55384467E-2
254	4.56080285E-2
716	4.81426252E-2
139	4.82583149E-2
130	5.06289573E-2
664	5.08496313E-2
897	5.38906456E-2
785	5.45054873E-2
750	5.49109686E-2
1	5.72270262E-2
770	5.73029892E-2
745	5.93720497E-2
9	6.19744729E-2
804	6.26182094E-2
784	6.36758492E-2
687	6.45134015E-2
260	6.45358604E-2
368	6.46654027E-2
597	6.55143007E-2
1012	6.57115182E-2
768	6.66495235E-2
16	6.71416583E-2
572	6.81102171E-2
418	6.96797382E-2
311	7.00084256E-2
574	7.13460941E-2
243	7.1762545E-2
56	7.33467895E-2
840	7.36689473E-2
370	7.50922214E-2
52	7.56440551E-2
534	7.58772117E-2
53	7.64399356E-2
951	7.7630575E-2
62	7.82285507E-2
390	7.82881687E-2
723	7.85207808E-2
676	7.89062385E-2
199	7.91682251E-2
628	8.31702919E-2
367	8.44982259E-2
234	8.45202752E-2
214	8.5694997E-2
625	8.57119498E-2
126	8.63637491E-2
93	8.63866146E-2
23	8.85911526E-2
395	9.18117758E-2
522	9.20227786E-2
302	9.2278572E-2
222	9.40286142E-2
188	9.49275386E-2
731	9.51505461E-2
206	1.00348022E-1
823	1.01325428E-1
82	1.0211908E-1
606	1.02924241E-1
831	1.04314461E-1
259	1.05774922E-1
205	1.05831263E-1
782	1.07437369E-1
741	1.08077995E-1
110	1.08352304E-1
384	1.08574905E-1
992	1.10106021E-1
552	1.1076403E-1
944	1.111115E-1
98	1.11727117E-1
324	1.12660166E-1
245	1.14079272E-1
