Name	chi2Pvalue
760	1.31701235E-4
113	1.49717474E-4
603	2.49054665E-4
260	4.60760201E-4
823	1.15894842E-3
750	2.98027727E-3
147	4.18563153E-3
859	4.2117962E-3
370	4.57194461E-3
953	5.38113126E-3
327	6.08807124E-3
304	7.09946158E-3
45	7.84639131E-3
307	8.09023704E-3
386	8.85074318E-3
539	1.03685881E-2
873	1.12308478E-2
672	1.30623789E-2
246	1.32993624E-2
165	1.35509571E-2
656	1.37120556E-2
592	1.37329472E-2
515	1.49879626E-2
207	1.63943216E-2
897	2.10848796E-2
157	2.29495697E-2
558	2.34130051E-2
1008	2.54425248E-2
446	2.65863532E-2
735	3.16274879E-2
443	3.43669796E-2
646	3.46832085E-2
0	3.5390486E-2
142	3.70160899E-2
329	3.75830714E-2
770	3.89300973E-2
570	3.94818211E-2
367	4.08524491E-2
639	4.39379893E-2
330	4.45537461E-2
104	4.48789313E-2
317	4.63509646E-2
556	4.66340147E-2
784	4.72684616E-2
629	4.97643662E-2
531	4.98364387E-2
503	4.99359418E-2
111	5.00952089E-2
427	5.134319E-2
73	5.25273147E-2
221	5.31714353E-2
847	5.32359246E-2
733	5.3922144E-2
269	5.39795591E-2
774	5.41814275E-2
220	5.48553097E-2
959	5.53077169E-2
291	5.86472319E-2
831	5.96695222E-2
292	6.07698379E-2
969	6.09618714E-2
791	6.31716954E-2
36	6.52225468E-2
833	6.74746326E-2
963	6.79089899E-2
553	6.88758783E-2
964	7.02094776E-2
923	7.02109728E-2
931	7.08100938E-2
82	7.14872564E-2
526	7.27744412E-2
1012	7.42068164E-2
731	7.42972629E-2
705	7.49914389E-2
596	7.51972128E-2
970	7.70166068E-2
928	7.73489885E-2
797	7.82527347E-2
471	7.998602E-2
311	8.1467828E-2
320	8.17630953E-2
903	8.28560871E-2
606	8.29698044E-2
633	8.33977134E-2
813	8.355671E-2
309	8.46778346E-2
885	8.49241848E-2
29	8.5257024E-2
967	8.54498643E-2
574	8.62969436E-2
34	8.64620937E-2
254	8.67510419E-2
767	8.68196384E-2
514	8.80335617E-2
140	8.92683364E-2
525	8.94642551E-2
597	9.13151664E-2
238	9.42738549E-2
92	9.54098059E-2
879	9.5832477E-2
892	9.64836742E-2
208	9.7654057E-2
333	9.85026924E-2
433	9.89601024E-2
792	9.97826155E-2
865	1.00006001E-1
664	1.02340494E-1
575	1.02354945E-1
1007	1.02399771E-1
227	1.03070159E-1
223	1.04520312E-1
845	1.05078587E-1
993	1.05200035E-1
422	1.06225301E-1
470	1.07802015E-1
190	1.07918853E-1
264	1.07935665E-1
756	1.08336593E-1
339	1.08813915E-1
377	1.0977134E-1
683	1.10587106E-1
1000	1.11635609E-1
695	1.12389528E-1
665	1.12798674E-1
390	1.16338105E-1
576	1.17800531E-1
239	1.18660742E-1
741	1.20841871E-1
261	1.23071868E-1
950	1.23816243E-1
164	1.24132283E-1
284	1.24645627E-1
127	1.25127953E-1
253	1.25677332E-1
203	1.25932767E-1
785	1.27121594E-1
600	1.27903044E-1
271	1.35259876E-1
19	1.35493804E-1
524	1.35734254E-1
904	1.37584494E-1
854	1.42130743E-1
210	1.42585526E-1
354	1.48483162E-1
786	1.49541424E-1
635	1.50229987E-1
726	1.51151182E-1
409	1.51219111E-1
938	1.51906145E-1
131	1.53989125E-1
979	1.5446783E-1
435	1.56055842E-1
128	1.57511248E-1
773	1.58625128E-1
401	1.58813047E-1
769	1.60850492E-1
754	1.62175725E-1
501	1.62383408E-1
782	1.6258364E-1
913	1.6318362E-1
804	1.63200185E-1
805	1.63582448E-1
63	1.64231408E-1
310	1.65667689E-1
713	1.66596763E-1
736	1.69700282E-1
744	1.72915448E-1
822	1.73225623E-1
563	1.73387724E-1
16	1.73791932E-1
976	1.74400241E-1
540	1.76643227E-1
393	1.76681407E-1
895	1.76731635E-1
109	1.76941275E-1
771	1.77137882E-1
578	1.77147916E-1
161	1.79376993E-1
622	1.79784815E-1
768	1.80962764E-1
614	1.83073054E-1
900	1.83649906E-1
973	1.8426914E-1
324	1.84632642E-1
613	1.85586235E-1
465	1.86277556E-1
717	1.86280141E-1
350	1.8660692E-1
884	1.87259292E-1
456	1.89912346E-1
1015	1.91445339E-1
761	1.91762904E-1
521	1.91806337E-1
467	1.9296494E-1
880	1.9316595E-1
395	1.96513568E-1
860	2.03542264E-1
404	2.07423608E-1
914	2.09135951E-1
685	2.10409778E-1
459	2.12246991E-1
901	2.12459863E-1
844	2.14262793E-1
144	2.14390546E-1
715	2.16333407E-1
807	2.18215993E-1
1006	2.18250787E-1
400	2.1861224E-1
696	2.19424214E-1
188	2.19981248E-1
371	2.21057359E-1
509	2.22027065E-1
806	2.22164548E-1
116	2.22650228E-1
33	2.2414197E-1
374	2.2429515E-1
517	2.28300166E-1
392	2.28646912E-1
746	2.30657721E-1
380	2.31269347E-1
454	2.3162168E-1
160	2.3298539E-1
159	2.33787921E-1
512	2.35298213E-1
951	2.3586738E-1
60	2.38421508E-1
642	2.38959159E-1
644	2.41093793E-1
134	2.41570772E-1
40	2.43756173E-1
