Name	chi2Pvalue
431	1.12332582E-3
999	1.73185589E-3
584	2.95274366E-3
853	3.35578544E-3
396	3.69345821E-3
823	4.10120699E-3
111	5.76851734E-3
989	6.2650162E-3
144	6.65126895E-3
176	6.97768062E-3
245	8.09843265E-3
735	9.14056163E-3
309	1.0610639E-2
55	1.23515051E-2
104	1.30263974E-2
995	1.51856054E-2
150	1.61430506E-2
894	1.72343626E-2
296	1.74713534E-2
238	1.94231114E-2
474	1.9530101E-2
731	1.96314119E-2
79	1.97220437E-2
971	2.16956937E-2
340	2.21906251E-2
690	2.24550415E-2
540	2.24790854E-2
242	2.42796233E-2
791	2.53071454E-2
73	2.83379646E-2
17	3.04023933E-2
157	3.0853191E-2
465	3.12933431E-2
744	3.19531777E-2
30	3.33204308E-2
47	3.33540262E-2
878	3.58866673E-2
764	3.72504374E-2
816	3.91567705E-2
63	4.12828774E-2
575	4.19558069E-2
553	4.23541858E-2
882	4.44440321E-2
227	4.45569566E-2
68	4.55159672E-2
879	4.59873879E-2
67	4.85752259E-2
754	4.92006415E-2
905	5.0147158E-2
529	5.3328591E-2
641	5.49691449E-2
229	5.51492096E-2
858	5.53466764E-2
525	5.83846143E-2
960	5.91576592E-2
677	5.94794041E-2
577	5.95649968E-2
128	5.98982462E-2
722	6.09528619E-2
897	6.1611101E-2
601	6.19938902E-2
460	6.25174389E-2
41	6.45503313E-2
160	6.63807983E-2
167	6.7255624E-2
684	6.98523181E-2
412	6.99480568E-2
921	7.0916341E-2
102	7.10819147E-2
953	7.15711754E-2
664	7.17162038E-2
582	7.22350369E-2
939	7.28249992E-2
259	7.39540975E-2
578	7.5709314E-2
886	7.7627494E-2
643	7.82831311E-2
812	7.88063836E-2
266	7.88618054E-2
446	7.98441915E-2
189	8.09243111E-2
361	8.11477164E-2
849	8.64653101E-2
699	8.81702832E-2
514	8.9955554E-2
400	9.08737416E-2
162	9.11404739E-2
392	9.13283278E-2
234	9.16494307E-2
981	9.20995569E-2
613	9.29908425E-2
727	9.50611408E-2
782	9.78190631E-2
747	9.82459168E-2
243	9.897527E-2
616	9.90277996E-2
847	9.91910779E-2
845	9.94259401E-2
190	9.99998667E-2
591	1.01815328E-1
996	1.02289827E-1
1008	1.03174951E-1
134	1.03903806E-1
738	1.0468184E-1
945	1.05449E-1
900	1.08442994E-1
976	1.08871867E-1
672	1.09443163E-1
332	1.10630888E-1
734	1.10789137E-1
382	1.11746444E-1
890	1.12411322E-1
428	1.1275825E-1
784	1.12867296E-1
656	1.14266133E-1
57	1.1470818E-1
481	1.15274978E-1
269	1.15970156E-1
7	1.16206897E-1
0	1.18081896E-1
836	1.18152977E-1
292	1.18503644E-1
825	1.18655017E-1
12	1.2091643E-1
294	1.23196716E-1
78	1.23584798E-1
186	1.23810945E-1
769	1.24351301E-1
407	1.24754137E-1
848	1.29353545E-1
707	1.29665794E-1
909	1.30721533E-1
336	1.33448056E-1
226	1.33516563E-1
719	1.34138021E-1
689	1.34961051E-1
225	1.3496693E-1
978	1.36129042E-1
874	1.37430327E-1
967	1.38337469E-1
181	1.3922393E-1
917	1.40121647E-1
1015	1.40324215E-1
951	1.4102581E-1
137	1.41782011E-1
564	1.45287503E-1
402	1.45329102E-1
696	1.45955361E-1
787	1.47569847E-1
829	1.47681519E-1
776	1.49298136E-1
98	1.50660333E-1
732	1.51158064E-1
763	1.53194625E-1
204	1.53330968E-1
27	1.53386466E-1
318	1.5455004E-1
1009	1.5514273E-1
552	1.5564037E-1
413	1.5633432E-1
869	1.56433532E-1
261	1.57717001E-1
183	1.59262794E-1
383	1.59943816E-1
760	1.64235337E-1
628	1.6569839E-1
927	1.66154068E-1
1012	1.69399943E-1
685	1.70214454E-1
394	1.71035004E-1
303	1.71270144E-1
558	1.71270222E-1
1004	1.72917697E-1
952	1.73553027E-1
935	1.75245503E-1
207	1.76899608E-1
549	1.77728754E-1
580	1.77846244E-1
224	1.79599724E-1
963	1.79998037E-1
535	1.80519984E-1
15	1.81040681E-1
271	1.82061353E-1
794	1.82587918E-1
80	1.84886919E-1
538	1.86365403E-1
993	1.86598158E-1
484	1.87608446E-1
620	1.88086908E-1
230	1.89581954E-1
803	1.91025012E-1
534	1.92541856E-1
4	1.93982898E-1
508	1.9442546E-1
389	1.95625828E-1
638	1.96946109E-1
550	1.97009173E-1
435	2.00097599E-1
875	2.01941233E-1
593	2.04511694E-1
105	2.04951435E-1
488	2.06455487E-1
341	2.06701593E-1
10	2.0795224E-1
623	2.09943404E-1
522	2.11480049E-1
363	2.12315679E-1
922	2.12605435E-1
866	2.13162567E-1
326	2.13517209E-1
932	2.14838899E-1
547	2.15371473E-1
273	2.16452913E-1
639	2.16542316E-1
972	2.16971989E-1
826	2.17805607E-1
454	2.18068258E-1
705	2.21081033E-1
116	2.21764622E-1
92	2.23629884E-1
541	2.25509758E-1
195	2.25823174E-1
94	2.27403653E-1
571	2.2747535E-1
568	2.28051318E-1
146	2.28926874E-1
345	2.28974461E-1
958	2.30841061E-1
88	2.33200428E-1
750	2.334686E-1
415	2.35079853E-1
408	2.36170719E-1
925	2.3814901E-1
148	2.38185313E-1
232	2.41504182E-1
439	2.42753513E-1
197	2.4277091E-1
270	2.43320086E-1
1006	2.44748338E-1
351	2.44871448E-1
366	2.44873255E-1
629	2.46051842E-1
800	2.46757129E-1
781	2.47109197E-1
924	2.47547832E-1
980	2.50243452E-1
220	2.50976234E-1
646	2.51058092E-1
312	2.51207974E-1
615	2.52809421E-1
663	2.52901773E-1
863	2.53423031E-1
983	2.53469674E-1
636	2.54814102E-1
528	2.54921526E-1
860	2.57273965E-1
808	2.59252971E-1
973	2.62472249E-1
729	2.62613379E-1
813	2.62822634E-1
459	2.63345475E-1
792	2.64086765E-1
608	2.64652091E-1
1001	2.64667488E-1
300	2.658308E-1
421	2.66080272E-1
867	2.66862154E-1
856	2.66876794E-1
587	2.67189925E-1
954	2.67561402E-1
758	2.67721081E-1
258	2.69767967E-1
720	2.70740179E-1
625	2.72303667E-1
1013	2.72444738E-1
315	2.73315883E-1
573	2.73517081E-1
501	2.74337449E-1
567	2.74691723E-1
1000	2.75276824E-1
380	2.75739695E-1
54	2.77208483E-1
6	2.77246555E-1
310	2.79113969E-1
762	2.81210264E-1
914	2.82850923E-1
274	2.83771272E-1
161	2.8391041E-1
545	2.86457405E-1
838	2.86992836E-1
285	2.88419451E-1
28	2.89372494E-1
71	2.89518696E-1
267	2.91721238E-1
173	2.92436462E-1
