Name	chi2Pvalue
552	1.24065847E-4
245	1.57052938E-4
41	1.03942513E-3
540	3.03715446E-3
735	3.81039422E-3
676	5.01467177E-3
562	6.15194772E-3
525	6.34688543E-3
73	6.61986874E-3
94	6.7694792E-3
1000	7.06223668E-3
221	7.54634306E-3
474	7.77982547E-3
112	8.05674116E-3
698	8.32970292E-3
823	8.67269361E-3
878	1.55595001E-2
677	1.71291788E-2
995	1.83317612E-2
936	1.83475369E-2
205	1.99007978E-2
79	2.17782931E-2
852	2.20019643E-2
360	2.43768418E-2
396	2.55595121E-2
520	2.72251734E-2
314	2.97641716E-2
413	3.24210686E-2
526	3.54584021E-2
203	3.6318632E-2
510	3.90333808E-2
431	4.10065301E-2
119	4.19890503E-2
262	4.28847088E-2
496	4.38308414E-2
791	4.54342346E-2
732	4.59949887E-2
458	4.8148063E-2
917	4.82378599E-2
114	4.87555214E-2
777	4.98663829E-2
822	5.05352085E-2
433	5.13109046E-2
885	5.14505972E-2
13	5.23086144E-2
414	5.26170629E-2
767	5.32394624E-2
38	5.35810522E-2
980	5.37854653E-2
945	5.53115807E-2
614	5.55405679E-2
501	5.55418878E-2
750	5.58647609E-2
103	5.68171013E-2
238	5.78117327E-2
51	5.94938015E-2
354	6.02969747E-2
846	6.13551937E-2
764	6.30533227E-2
856	6.31207361E-2
722	6.36134433E-2
30	6.69496129E-2
922	6.70705904E-2
517	6.77985244E-2
808	6.8183504E-2
850	7.20469903E-2
976	7.20494306E-2
296	7.2284136E-2
853	7.42469188E-2
812	7.44561688E-2
326	7.60288595E-2
560	7.66709003E-2
659	7.69680861E-2
441	7.90029341E-2
759	7.92603918E-2
44	8.02205525E-2
128	8.11797541E-2
839	8.32515361E-2
567	8.34907075E-2
527	8.4329378E-2
174	8.45095789E-2
631	8.59538055E-2
728	8.79279241E-2
755	8.97169026E-2
658	8.99694413E-2
962	9.02808295E-2
584	9.08971572E-2
879	9.10348579E-2
186	9.13453095E-2
740	9.20925869E-2
516	9.36364318E-2
