Name	chi2Pvalue
176	8.69436937E-6
111	1.99466018E-5
575	3.17126328E-4
68	4.44220341E-4
847	2.41692673E-3
664	4.71999418E-3
94	7.53312411E-3
698	9.69775439E-3
777	1.30231595E-2
382	1.31621582E-2
517	1.34546187E-2
836	1.60666958E-2
610	1.64338308E-2
592	1.67657397E-2
802	1.70723056E-2
407	2.0201224E-2
270	2.04564152E-2
759	2.14094517E-2
890	2.16296706E-2
310	2.17557553E-2
907	2.22352947E-2
391	2.24545084E-2
685	2.4827703E-2
459	2.48483228E-2
840	2.83701256E-2
520	3.39376881E-2
951	3.44333558E-2
39	3.51736342E-2
625	3.53460231E-2
531	3.565374E-2
966	3.58393753E-2
441	3.67086402E-2
28	3.69297292E-2
782	3.70195158E-2
928	3.72662678E-2
864	3.79217796E-2
30	3.84749895E-2
20	3.96476803E-2
377	4.03153221E-2
806	4.07355534E-2
909	4.13812852E-2
467	4.21874078E-2
726	4.34877931E-2
505	4.35675397E-2
263	4.36998444E-2
91	4.51894747E-2
697	4.56661104E-2
614	4.5930359E-2
919	4.61707599E-2
239	4.61885609E-2
200	4.68501879E-2
242	4.86790983E-2
476	4.95505045E-2
340	4.9725629E-2
117	5.00195827E-2
506	5.16851838E-2
792	5.1849846E-2
100	5.28671013E-2
796	5.29117779E-2
482	5.38179924E-2
889	5.65643299E-2
188	5.67220935E-2
988	5.73099092E-2
778	5.83147434E-2
946	5.8804919E-2
853	6.10381085E-2
171	6.12207719E-2
519	6.33326541E-2
662	6.35249376E-2
167	6.41431506E-2
798	6.59840452E-2
470	6.64010825E-2
483	6.99145107E-2
372	7.1688918E-2
191	7.241464E-2
912	7.44009823E-2
308	7.53160884E-2
502	7.67388595E-2
98	7.84292489E-2
776	7.87549227E-2
166	8.00536809E-2
29	8.12522424E-2
456	8.22151209E-2
74	8.51782406E-2
305	8.97876856E-2
780	8.99363336E-2
679	9.22332149E-2
385	9.80787102E-2
904	9.84559745E-2
579	9.87749745E-2
915	9.89656787E-2
876	9.91818927E-2
169	1.00760818E-1
905	1.00930547E-1
930	1.01991974E-1
818	1.02654479E-1
572	1.03622958E-1
515	1.03649136E-1
603	1.06773438E-1
507	1.07757977E-1
795	1.08341275E-1
241	1.08377326E-1
865	1.09606223E-1
103	1.09791483E-1
744	1.11464034E-1
709	1.12417213E-1
971	1.14379305E-1
712	1.16501984E-1
659	1.16591073E-1
881	1.18059569E-1
660	1.18366565E-1
424	1.18876241E-1
884	1.20999523E-1
957	1.21221298E-1
235	1.2362016E-1
180	1.27834721E-1
223	1.2942518E-1
229	1.30644588E-1
254	1.30799033E-1
901	1.30885667E-1
703	1.32271561E-1
874	1.34854436E-1
540	1.34909902E-1
737	1.3710145E-1
503	1.39594753E-1
290	1.40476753E-1
114	1.41323736E-1
79	1.43871094E-1
949	1.43877912E-1
523	1.4533149E-1
1005	1.45422383E-1
161	1.46060799E-1
570	1.46362919E-1
811	1.47344841E-1
63	1.47852397E-1
1003	1.4849097E-1
76	1.48642248E-1
38	1.49190312E-1
97	1.50949663E-1
485	1.51992757E-1
509	1.52381696E-1
571	1.55719408E-1
537	1.5616714E-1
950	1.56457525E-1
326	1.57182322E-1
461	1.58088831E-1
728	1.61182756E-1
464	1.62294737E-1
681	1.62803433E-1
716	1.63751066E-1
863	1.64619831E-1
885	1.64960654E-1
448	1.67401176E-1
613	1.6913392E-1
59	1.69444569E-1
489	1.69757883E-1
327	1.72153136E-1
656	1.72482535E-1
386	1.7376485E-1
184	1.73794893E-1
994	1.75341312E-1
42	1.75653461E-1
429	1.77234441E-1
882	1.78248121E-1
206	1.78255028E-1
597	1.79338726E-1
547	1.80222631E-1
1016	1.80580067E-1
288	1.80805345E-1
177	1.80974957E-1
408	1.81131078E-1
622	1.84670329E-1
472	1.85868214E-1
410	1.86092027E-1
383	1.86848188E-1
741	1.8756488E-1
617	1.89404791E-1
714	1.89481975E-1
11	1.89729612E-1
295	1.89958481E-1
19	1.90261181E-1
673	1.90628918E-1
512	1.91784582E-1
704	1.92405339E-1
205	1.92412796E-1
527	1.92656136E-1
349	1.92852307E-1
911	1.93402055E-1
41	1.93815958E-1
420	1.96378027E-1
937	1.97713655E-1
373	1.97759084E-1
248	1.98132427E-1
23	1.98144371E-1
307	1.9819961E-1
316	1.98253168E-1
974	1.99209554E-1
539	1.99762091E-1
926	2.00000188E-1
917	2.02601539E-1
542	2.03288772E-1
416	2.03487833E-1
652	2.0365733E-1
651	2.04713109E-1
786	2.05598053E-1
