Name	chi2Pvalue
176	1.37097687E-7
111	1.01730589E-5
68	8.67590206E-5
802	1.57734102E-3
664	2.18991786E-3
117	3.18057463E-3
459	3.86731952E-3
38	4.59272498E-3
100	5.14590665E-3
836	6.37128118E-3
847	7.40403935E-3
792	8.26704897E-3
476	8.87506398E-3
391	1.0669418E-2
806	1.18279941E-2
382	1.20612672E-2
517	1.22749369E-2
308	1.25465613E-2
105	1.62163188E-2
575	1.74815134E-2
744	1.90419922E-2
986	1.91365608E-2
94	2.01303322E-2
177	2.08677259E-2
74	2.10721278E-2
754	2.32038065E-2
798	2.47878559E-2
519	2.64342191E-2
270	2.67830987E-2
592	2.68844832E-2
86	3.41476284E-2
429	3.58577484E-2
295	3.64642183E-2
418	3.74372682E-2
235	3.92358394E-2
909	4.05334014E-2
490	4.28724065E-2
200	4.34719495E-2
673	4.35719927E-2
949	4.49690712E-2
384	4.66058374E-2
230	4.82687026E-2
623	4.95590188E-2
777	5.13744607E-2
39	5.23341663E-2
385	5.29399235E-2
466	5.32183083E-2
203	5.32654975E-2
407	5.33382691E-2
350	5.36994069E-2
917	5.4129046E-2
697	5.53836524E-2
28	5.61756722E-2
716	5.62973338E-2
139	5.69852657E-2
966	5.81584541E-2
722	5.85130199E-2
845	5.92835306E-2
223	6.29891648E-2
91	6.30203431E-2
56	6.34921329E-2
882	6.37707067E-2
1004	6.41262541E-2
953	6.44379011E-2
928	6.52105037E-2
826	6.53630368E-2
287	6.60270123E-2
571	6.7534012E-2
782	6.76121679E-2
889	6.81363596E-2
795	6.89476489E-2
926	6.96773449E-2
148	7.18354065E-2
864	7.42256777E-2
169	7.48152712E-2
866	7.67795649E-2
461	7.82202464E-2
505	8.0260584E-2
778	8.0882222E-2
141	8.10538762E-2
951	8.17245098E-2
613	8.23038567E-2
533	8.41037485E-2
239	8.56249647E-2
963	8.87606829E-2
310	8.89610291E-2
159	8.94645941E-2
470	9.23491471E-2
656	9.26667251E-2
922	9.38535893E-2
854	9.40887838E-2
844	9.50624453E-2
113	9.73509543E-2
416	9.78261776E-2
327	1.00736288E-1
201	1.01213566E-1
537	1.01557898E-1
764	1.03507214E-1
868	1.04208437E-1
654	1.04353269E-1
952	1.04522045E-1
227	1.06614892E-1
98	1.09470622E-1
167	1.10148166E-1
76	1.10520238E-1
958	1.10813346E-1
180	1.11226143E-1
18	1.11550776E-1
241	1.11671829E-1
877	1.12509991E-1
122	1.1313522E-1
622	1.13988718E-1
625	1.14189528E-1
383	1.15085149E-1
408	1.15114521E-1
125	1.15642403E-1
226	1.16340593E-1
229	1.28161975E-1
326	1.28548666E-1
974	1.2886001E-1
572	1.31863704E-1
