Name	chi2Pvalue
260	1.1621616E-5
760	3.26766875E-5
105	8.68439245E-5
743	7.66524801E-4
238	1.04688609E-3
262	2.71967657E-3
501	3.38611478E-3
881	3.94493681E-3
953	4.51656916E-3
912	5.30849278E-3
753	5.39780257E-3
114	5.7470374E-3
938	8.66675124E-3
695	9.30954596E-3
849	9.70356048E-3
823	1.06846312E-2
818	1.1879479E-2
686	1.29508799E-2
889	1.31946815E-2
833	1.47621394E-2
176	1.53773792E-2
971	1.71483915E-2
719	2.02770765E-2
135	2.10559978E-2
516	2.14295024E-2
106	2.241335E-2
567	2.38463133E-2
815	2.48067688E-2
962	2.75464734E-2
873	2.95397315E-2
326	3.19790286E-2
396	3.24067116E-2
722	3.26837113E-2
813	3.43660894E-2
239	3.49226877E-2
140	3.79617346E-2
900	3.79998924E-2
525	3.83928831E-2
538	4.02873052E-2
793	4.03730491E-2
144	4.26059649E-2
778	4.29340378E-2
455	4.30663078E-2
526	4.34439049E-2
562	4.39547611E-2
386	4.39798555E-2
865	4.45269144E-2
276	4.48556689E-2
673	4.66060885E-2
643	4.74683727E-2
878	4.7703456E-2
584	4.77493472E-2
964	4.86589822E-2
111	5.06088992E-2
211	5.085791E-2
401	5.19066314E-2
957	5.20376568E-2
344	5.22967733E-2
433	5.28322099E-2
415	5.56108311E-2
183	5.65292327E-2
728	5.6887295E-2
154	5.69538076E-2
84	5.75949313E-2
600	5.86354631E-2
491	5.92230675E-2
212	6.01971617E-2
242	6.02345628E-2
914	6.06743628E-2
456	6.12622353E-2
104	6.13061168E-2
459	6.1444144E-2
461	6.16467356E-2
221	6.2339332E-2
638	6.62996136E-2
841	6.70004599E-2
787	6.71020364E-2
377	6.7118853E-2
954	6.74312007E-2
1023	6.91237073E-2
55	7.02643949E-2
669	7.02706476E-2
913	7.19385434E-2
618	7.41142208E-2
311	7.50047976E-2
48	7.64582035E-2
551	7.68143418E-2
173	7.80339032E-2
425	7.90014733E-2
614	8.16202397E-2
850	8.22751083E-2
558	8.3754685E-2
637	8.38162252E-2
664	8.50837018E-2
271	8.81674817E-2
277	8.84126399E-2
100	8.96619151E-2
1020	9.24959894E-2
160	9.26037577E-2
368	9.35616886E-2
182	9.39297149E-2
539	9.42081655E-2
4	9.84155757E-2
404	9.86014637E-2
767	1.0133781E-1
763	1.01698644E-1
314	1.02254452E-1
103	1.02772713E-1
506	1.03246818E-1
929	1.04220725E-1
812	1.05125071E-1
68	1.05137169E-1
702	1.07832882E-1
79	1.10532417E-1
555	1.10563096E-1
403	1.10628592E-1
67	1.11003073E-1
426	1.12126538E-1
472	1.1233708E-1
899	1.13044546E-1
463	1.15890196E-1
5	1.1607465E-1
705	1.18278052E-1
142	1.18531038E-1
429	1.19024629E-1
897	1.20469698E-1
1008	1.21285966E-1
264	1.22195782E-1
450	1.22930132E-1
10	1.23274668E-1
263	1.23390053E-1
876	1.26234562E-1
233	1.275638E-1
706	1.27845004E-1
649	1.28685479E-1
834	1.2935996E-1
407	1.29855962E-1
177	1.31406914E-1
807	1.32878281E-1
382	1.33069838E-1
734	1.33175321E-1
564	1.35442984E-1
518	1.37213223E-1
785	1.3859598E-1
452	1.38930241E-1
62	1.41951778E-1
792	1.42088094E-1
218	1.42255267E-1
554	1.42640483E-1
816	1.42856243E-1
28	1.43853422E-1
696	1.4460088E-1
332	1.44735322E-1
604	1.46525595E-1
847	1.46676245E-1
3	1.46696036E-1
609	1.47472305E-1
184	1.49192726E-1
998	1.49313106E-1
967	1.50344828E-1
97	1.51010102E-1
512	1.52888826E-1
802	1.53239252E-1
301	1.53508247E-1
380	1.53562668E-1
85	1.53702862E-1
101	1.54952399E-1
961	1.55019808E-1
569	1.55295955E-1
488	1.55953622E-1
826	1.57299288E-1
636	1.57442158E-1
653	1.5747826E-1
586	1.58896872E-1
791	1.58969264E-1
284	1.5945111E-1
392	1.60098806E-1
777	1.60975492E-1
949	1.6108512E-1
500	1.63167758E-1
987	1.63959855E-1
642	1.64370314E-1
340	1.709379E-1
829	1.72029946E-1
981	1.76853878E-1
919	1.7899082E-1
339	1.80468426E-1
531	1.81365763E-1
417	1.81916225E-1
582	1.84020271E-1
670	1.84652875E-1
635	1.85634666E-1
17	1.86976751E-1
892	1.88781177E-1
799	1.89438787E-1
976	1.89626966E-1
519	1.90383523E-1
437	1.93094229E-1
42	1.93447323E-1
560	1.94106837E-1
12	1.94824811E-1
890	1.9525044E-1
817	1.9608416E-1
54	1.96450969E-1
689	1.97389346E-1
577	1.98909091E-1
978	2.01266481E-1
327	2.02170591E-1
959	2.02369756E-1
309	2.04238682E-1
343	2.05146705E-1
925	2.06117138E-1
946	2.07220011E-1
129	2.0791459E-1
109	2.09089028E-1
894	2.09840332E-1
180	2.10682675E-1
837	2.11023157E-1
32	2.1181949E-1
571	2.12826802E-1
352	2.13158791E-1
261	2.13363149E-1
57	2.14474978E-1
495	2.16128933E-1
315	2.19635883E-1
1014	2.20398593E-1
794	2.21880085E-1
168	2.24004965E-1
479	2.24068111E-1
595	2.25575528E-1
992	2.25659737E-1
58	2.26771837E-1
845	2.27217992E-1
1018	2.27720563E-1
49	2.29831632E-1
33	2.30900325E-1
157	2.31466712E-1
235	2.31542314E-1
581	2.3225433E-1
654	2.32795325E-1
699	2.342173E-1
840	2.36308348E-1
81	2.36911234E-1
448	2.3749309E-1
200	2.38018052E-1
578	2.38239286E-1
993	2.38789566E-1
112	2.39249089E-1
416	2.39542507E-1
710	2.40329438E-1
610	2.41521656E-1
958	2.42646096E-1
888	2.43243274E-1
307	2.45608379E-1
245	2.45995683E-1
852	2.46668866E-1
73	2.48688773E-1
389	2.48930369E-1
179	2.49499897E-1
30	2.51441077E-1
628	2.5164326E-1
1012	2.51815996E-1
945	2.57620431E-1
633	2.58888632E-1
896	2.60762993E-1
413	2.63167226E-1
408	2.6364449E-1
139	2.64501973E-1
764	2.66066258E-1
716	2.66906539E-1
476	2.70169849E-1
393	2.71386036E-1
1019	2.72319156E-1
744	2.73633936E-1
370	2.75625835E-1
969	2.76744086E-1
46	2.79146397E-1
587	2.79248624E-1
224	2.80779436E-1
692	2.81746746E-1
113	2.81954404E-1
866	2.8206281E-1
844	2.8274085E-1
381	2.82889529E-1
405	2.83528554E-1
999	2.84188742E-1
640	2.84806041E-1
786	2.86469154E-1
671	2.87268295E-1
795	2.87533884E-1
398	2.87725523E-1
745	2.87961039E-1
616	2.9130448E-1
732	2.91863587E-1
769	2.92295206E-1
883	2.93042151E-1
376	2.93547988E-1
89	2.94183594E-1
63	2.94926717E-1
128	2.95139103E-1
916	2.95895724E-1
924	2.96176703E-1
31	2.96214429E-1
400	2.97098683E-1
738	2.9993093E-1
683	3.00469257E-1
754	3.00524029E-1
150	3.01744619E-1
782	3.03719055E-1
229	3.03798411E-1
477	3.0381323E-1
819	3.03978733E-1
465	3.04160367E-1
731	3.04527029E-1
927	3.05216167E-1
231	3.05380041E-1
928	3.06017223E-1
421	3.06464877E-1
742	3.07150757E-1
990	3.11395809E-1
672	3.1285893E-1
11	3.13007306E-1
846	3.13940355E-1
882	3.13972056E-1
257	3.15867761E-1
122	3.16630087E-1
254	3.16809169E-1
951	3.17560487E-1
908	3.17782566E-1
471	3.183875E-1
319	3.20457625E-1
726	3.22288457E-1
226	3.22781478E-1
1013	3.22991561E-1
839	3.23662078E-1
118	3.24144481E-1
321	3.24325353E-1
766	3.27752353E-1
156	3.2865222E-1
53	3.29600425E-1
286	3.30679156E-1
51	3.3233488E-1
453	3.32703351E-1
388	3.34375314E-1
318	3.34698657E-1
989	3.34954155E-1
597	3.35543585E-1
663	3.38404043E-1
547	3.39466951E-1
776	3.4183732E-1
306	3.41891135E-1
851	3.44384236E-1
294	3.44854491E-1
497	3.46565665E-1
1002	3.48081919E-1
605	3.4887677E-1
420	3.48922705E-1
684	3.50415111E-1
143	3.50969007E-1
831	3.53754565E-1
592	3.55682096E-1
780	3.56595146E-1
879	3.57562518E-1
930	3.59281153E-1
700	3.59484836E-1
740	3.59900298E-1
690	3.59954822E-1
583	3.60736545E-1
253	3.61627416E-1
891	3.61733407E-1
933	3.62276509E-1
934	3.62961015E-1
251	3.63785386E-1
735	3.66409551E-1
824	3.66834649E-1
402	3.72462543E-1
997	3.73552018E-1
99	3.76852599E-1
814	3.77367276E-1
457	3.79760536E-1
622	3.81201149E-1
625	3.83280739E-1
365	3.83977879E-1
559	3.84494317E-1
269	3.92073077E-1
473	3.92461778E-1
1004	3.92632716E-1
131	3.93917587E-1
658	3.94608221E-1
395	3.95663562E-1
903	3.9638403E-1
756	3.96497142E-1
296	3.97857362E-1
289	3.98864609E-1
458	3.99707102E-1
333	4.00065261E-1
893	4.00121066E-1
650	4.00918965E-1
641	4.01579721E-1
825	4.04739687E-1
187	4.05543885E-1
593	4.06161193E-1
725	4.06954183E-1
148	4.07358815E-1
259	4.08040825E-1
357	4.08094655E-1
1021	4.09736667E-1
542	4.10894757E-1
35	4.11093408E-1
205	4.13123314E-1
371	4.13321862E-1
804	4.13749638E-1
730	4.15177769E-1
1001	4.15750558E-1
94	4.16188148E-1
288	4.16250144E-1
698	4.17081126E-1
499	4.17934704E-1
178	4.20321946E-1
341	4.21013864E-1
24	4.23488073E-1
196	4.24732859E-1
165	4.25591702E-1
107	4.26661319E-1
758	4.28017925E-1
241	4.2821877E-1
190	4.28940424E-1
418	4.31417974E-1
414	4.32217755E-1
631	4.32280241E-1
194	4.33342745E-1
317	4.33992258E-1
543	4.35035934E-1
268	4.35609599E-1
470	4.36129697E-1
161	4.36212853E-1
507	4.38192817E-1
704	4.38669462E-1
647	4.41284121E-1
667	4.42232384E-1
26	4.44668103E-1
227	4.47095052E-1
830	4.48092444E-1
798	4.49407857E-1
487	4.49648043E-1
557	4.50161268E-1
346	4.53102767E-1
788	4.53933892E-1
513	4.5838205E-1
435	4.60694295E-1
120	4.61674783E-1
596	4.62606667E-1
273	4.63489781E-1
729	4.64141429E-1
712	4.64328883E-1
887	4.6454666E-1
923	4.64713491E-1
423	4.64933453E-1
572	4.65821674E-1
721	4.66267226E-1
546	4.6692329E-1
74	4.67859575E-1
936	4.70960876E-1
71	4.73359312E-1
838	4.73381757E-1
563	4.74165385E-1
145	4.74834682E-1
83	4.75156044E-1
809	4.78257093E-1
994	4.78335074E-1
821	4.78482169E-1
80	4.79208491E-1
520	4.80430411E-1
406	4.80888642E-1
1022	4.81077498E-1
90	4.81865558E-1
162	4.82536362E-1
983	4.8278668E-1
973	4.84989515E-1
588	4.86247764E-1
15	4.86537994E-1
579	4.87296991E-1
541	4.87985059E-1
255	4.89393321E-1
320	4.91146146E-1
984	4.9123811E-1
796	4.92268861E-1
203	4.92702517E-1
285	4.93223682E-1
138	4.95073727E-1
980	4.95206695E-1
347	4.95433062E-1
258	4.95474843E-1
330	4.95994908E-1
23	4.96067598E-1
1006	4.9638705E-1
436	4.96443523E-1
765	4.97001782E-1
533	4.97146686E-1
773	4.98507922E-1
443	4.98875807E-1
859	4.98896286E-1
652	5.04147153E-1
361	5.04351202E-1
548	5.04601797E-1
480	5.04955569E-1
250	5.06231889E-1
504	5.06627318E-1
612	5.07487282E-1
806	5.07860923E-1
297	5.07949428E-1
901	5.0990786E-1
956	5.11427338E-1
926	5.12397146E-1
790	5.14085556E-1
532	5.15271784E-1
412	5.15360562E-1
