Name	chi2Pvalue
760	3.18335937E-7
392	1.4578976E-4
260	8.03299186E-4
370	1.67654008E-3
223	3.07607186E-3
238	4.00542652E-3
938	4.4306569E-3
217	5.65530547E-3
784	7.5137723E-3
753	8.9573066E-3
456	1.06238129E-2
192	1.09182424E-2
994	1.12124476E-2
170	1.17396382E-2
327	1.38570646E-2
578	1.44658551E-2
928	1.51916254E-2
564	1.54540777E-2
429	1.71426318E-2
385	1.82923671E-2
114	1.90932643E-2
301	1.91654665E-2
785	1.98923909E-2
754	2.01288333E-2
471	2.04834522E-2
157	2.27125967E-2
503	2.27385608E-2
256	2.29268012E-2
768	2.40221157E-2
349	2.48900582E-2
84	2.55744324E-2
884	2.65006816E-2
831	2.653821E-2
881	2.97450668E-2
253	3.01768894E-2
676	3.0603118E-2
0	3.0700128E-2
813	3.23028965E-2
62	3.26501748E-2
634	3.30135666E-2
101	3.3443519E-2
581	3.55044114E-2
135	3.61648355E-2
250	3.70347652E-2
311	3.74192932E-2
658	3.83516495E-2
103	3.8406125E-2
324	3.99884649E-2
876	4.06310698E-2
117	4.15241497E-2
105	4.30349998E-2
403	4.33269454E-2
224	4.64268753E-2
499	4.7220372E-2
239	4.7324421E-2
421	4.79388286E-2
367	4.83795303E-2
740	4.91464994E-2
405	4.950984E-2
692	4.95160702E-2
642	5.01818475E-2
835	5.22507731E-2
672	5.31154289E-2
182	5.31236659E-2
107	5.38559921E-2
528	5.43829759E-2
161	5.47707346E-2
975	5.51872935E-2
491	5.62568107E-2
350	5.9533411E-2
806	6.14044965E-2
443	6.23725223E-2
641	6.39875419E-2
990	6.42620394E-2
735	6.48536726E-2
802	6.49744663E-2
959	6.66281115E-2
1012	6.66709387E-2
286	6.86791599E-2
879	6.96219069E-2
467	6.97893409E-2
553	6.9975451E-2
20	7.01273069E-2
706	7.21964184E-2
599	7.24656315E-2
778	7.2867813E-2
206	7.34560788E-2
637	7.37444812E-2
177	7.49761621E-2
759	7.5515391E-2
408	7.65932495E-2
788	7.95132569E-2
871	8.47330206E-2
264	8.49072572E-2
423	8.8407696E-2
46	8.8811523E-2
570	9.00823142E-2
507	9.13712591E-2
111	9.1773985E-2
951	9.18170271E-2
680	9.36149144E-2
265	9.54882228E-2
689	9.74768971E-2
728	9.86051853E-2
29	9.93221341E-2
436	9.9986171E-2
684	1.00425475E-1
895	1.01699189E-1
629	1.02158164E-1
976	1.02372679E-1
404	1.02414833E-1
47	1.03101141E-1
218	1.03639699E-1
176	1.05773688E-1
685	1.05784674E-1
236	1.06134328E-1
196	1.06500551E-1
339	1.07187604E-1
612	1.08565121E-1
726	1.11112848E-1
743	1.16409177E-1
614	1.16925253E-1
664	1.18617294E-1
953	1.18982435E-1
191	1.2154767E-1
682	1.21582732E-1
5	1.22745298E-1
789	1.23510504E-1
844	1.25196395E-1
777	1.26847787E-1
386	1.27822169E-1
397	1.28575182E-1
380	1.29327006E-1
823	1.29763021E-1
145	1.30267018E-1
861	1.30576726E-1
911	1.31623358E-1
632	1.3176273E-1
457	1.31807499E-1
939	1.33965327E-1
113	1.35446234E-1
723	1.37161526E-1
979	1.37923125E-1
715	1.39017791E-1
875	1.3927721E-1
197	1.39770498E-1
604	1.4245975E-1
982	1.42990413E-1
519	1.4404588E-1
294	1.4407602E-1
94	1.46607583E-1
724	1.47253708E-1
608	1.47326424E-1
586	1.48652332E-1
284	1.48931995E-1
555	1.52743372E-1
583	1.52930482E-1
276	1.53375808E-1
708	1.54007787E-1
683	1.54437879E-1
733	1.56184992E-1
673	1.56356607E-1
30	1.59103904E-1
233	1.59255767E-1
389	1.6081536E-1
540	1.61838206E-1
731	1.62627172E-1
647	1.63005748E-1
415	1.63217885E-1
729	1.63536577E-1
971	1.64021685E-1
413	1.64444872E-1
826	1.66653115E-1
588	1.67095811E-1
954	1.69328564E-1
381	1.70499891E-1
956	1.73218312E-1
538	1.74738942E-1
829	1.75067687E-1
913	1.76818356E-1
782	1.77795607E-1
310	1.79648496E-1
651	1.80821895E-1
231	1.83723163E-1
4	1.87176992E-1
