Name	chi2Pvalue
760	2.45453714E-7
105	2.34678657E-4
260	1.21933727E-3
392	1.36337546E-3
881	2.39156291E-3
994	3.00107779E-3
370	4.23683522E-3
938	4.51246836E-3
503	5.31289532E-3
784	6.74005582E-3
217	7.81047317E-3
658	9.07668228E-3
622	1.26737907E-2
768	1.28366982E-2
84	1.40564901E-2
753	1.41786348E-2
238	1.44708268E-2
743	1.47357086E-2
327	1.51171552E-2
157	1.52820595E-2
785	1.74610676E-2
223	2.08125438E-2
634	2.283008E-2
239	2.38684111E-2
578	2.48390361E-2
802	2.49702308E-2
103	2.56672303E-2
405	2.80926717E-2
385	2.87365805E-2
813	2.94523575E-2
192	2.97957267E-2
831	2.99832218E-2
256	3.0089411E-2
928	3.40946892E-2
467	3.44191114E-2
182	3.46083364E-2
170	3.47578286E-2
876	3.5071835E-2
471	3.60280631E-2
884	3.619504E-2
835	3.66602855E-2
689	3.73334324E-2
403	3.76300592E-2
114	3.78249767E-2
456	4.02189509E-2
262	4.08919555E-2
520	4.22981157E-2
491	4.28335792E-2
676	4.59825773E-2
429	4.66434145E-2
349	4.67369222E-2
311	4.83441999E-2
909	5.02482758E-2
692	5.16891362E-2
564	5.23077262E-2
889	5.34040658E-2
642	5.45488732E-2
637	5.53217907E-2
823	5.60629346E-2
719	5.70428783E-2
161	5.90375E-2
871	5.93503847E-2
553	6.06720584E-2
177	6.0745817E-2
227	6.19328575E-2
408	6.37342423E-2
706	6.65736767E-2
117	6.96821474E-2
140	7.00355832E-2
250	7.15785733E-2
218	7.23006574E-2
5	7.24242278E-2
264	7.26527552E-2
206	7.2860416E-2
849	7.37764108E-2
507	7.39937421E-2
301	7.5897758E-2
135	7.61643925E-2
990	7.65268359E-2
641	7.65512835E-2
969	7.75648492E-2
499	7.77464323E-2
253	7.92984101E-2
107	7.93128496E-2
754	7.93450346E-2
235	8.1670157E-2
586	8.41493803E-2
0	8.45358829E-2
782	8.5592254E-2
350	8.60495616E-2
20	8.62486693E-2
875	8.73461691E-2
864	8.77311557E-2
963	8.89295288E-2
284	8.92959846E-2
953	8.92966361E-2
286	8.99303541E-2
951	9.00511452E-2
913	9.00852934E-2
614	9.36110594E-2
