Name	chi2Pvalue
760	1.3627208E-5
260	3.47559052E-5
881	1.10540751E-4
938	9.5685055E-4
618	3.17468729E-3
612	4.17307424E-3
105	4.59313035E-3
501	4.59761404E-3
638	5.79110541E-3
823	5.83273416E-3
467	6.9510505E-3
353	7.75057173E-3
744	1.05911835E-2
928	1.24553919E-2
706	1.32336436E-2
114	1.52501657E-2
238	1.7018578E-2
87	2.083416E-2
629	2.10463548E-2
768	2.11555767E-2
663	2.1693764E-2
782	2.257724E-2
962	2.26333916E-2
392	2.2644337E-2
142	2.32697307E-2
802	2.4273192E-2
849	2.50227168E-2
747	2.52370772E-2
459	2.65220556E-2
996	2.68116852E-2
699	2.72009624E-2
939	2.82972074E-2
184	2.98595179E-2
403	3.06239096E-2
637	3.26964199E-2
1011	3.33754324E-2
274	3.45099574E-2
731	3.57882414E-2
912	3.83642094E-2
245	3.84985935E-2
84	4.01474055E-2
578	4.05296891E-2
614	4.05549301E-2
664	4.13019196E-2
160	4.2672804E-2
100	4.54991819E-2
218	4.5729768E-2
897	4.60639549E-2
407	4.67955033E-2
619	4.7383814E-2
385	4.84105758E-2
235	5.04209101E-2
929	5.17480258E-2
111	5.40805514E-2
642	5.67806776E-2
420	5.70805662E-2
753	5.84390835E-2
237	5.91190029E-2
517	5.94669337E-2
135	6.11543459E-2
889	6.23079295E-2
368	6.33431086E-2
103	6.40774761E-2
256	6.48961948E-2
32	6.61767071E-2
116	6.75136208E-2
145	6.79445181E-2
339	7.03219989E-2
173	7.11434666E-2
811	7.13135859E-2
870	7.22257145E-2
600	7.40634153E-2
674	7.42504515E-2
954	7.44628099E-2
378	7.62179482E-2
569	7.69718306E-2
966	7.74577549E-2
826	8.33739238E-2
575	8.67102111E-2
844	8.69724535E-2
136	8.88485525E-2
780	8.96852642E-2
953	9.16167085E-2
658	9.20341191E-2
327	9.24595175E-2
807	9.27732588E-2
921	9.31093431E-2
340	9.36543711E-2
765	9.46755067E-2
268	9.53190904E-2
3	9.53413118E-2
625	9.5766234E-2
651	9.63566346E-2
778	9.73970317E-2
969	9.74799988E-2
377	1.00929993E-1
743	1.0138107E-1
437	1.02864404E-1
538	1.03845331E-1
269	1.0545327E-1
110	1.06888581E-1
576	1.06977035E-1
604	1.08825067E-1
429	1.09517324E-1
696	1.11464794E-1
633	1.11471283E-1
610	1.13757746E-1
571	1.14102213E-1
851	1.14234979E-1
74	1.14301871E-1
93	1.14791737E-1
700	1.17119831E-1
176	1.1713735E-1
127	1.18907309E-1
883	1.2039331E-1
546	1.21631207E-1
365	1.23243681E-1
350	1.23574123E-1
609	1.23923889E-1
112	1.24008097E-1
220	1.24048861E-1
981	1.25968883E-1
719	1.28365185E-1
98	1.29018045E-1
876	1.29523376E-1
463	1.29810981E-1
690	1.30353126E-1
288	1.30882027E-1
861	1.32229219E-1
888	1.32332417E-1
5	1.33792573E-1
341	1.34077346E-1
337	1.36355613E-1
940	1.36636255E-1
899	1.3848693E-1
227	1.39793131E-1
222	1.40488978E-1
695	1.41167159E-1
890	1.42317819E-1
255	1.42818144E-1
864	1.44152065E-1
911	1.45666809E-1
457	1.45680779E-1
409	1.47412493E-1
101	1.47771942E-1
189	1.47830432E-1
301	1.48407926E-1
727	1.48470856E-1
825	1.49015898E-1
836	1.49528546E-1
757	1.49650905E-1
91	1.49886733E-1
813	1.50011849E-1
702	1.51021633E-1
959	1.52776618E-1
873	1.52876067E-1
480	1.54685951E-1
129	1.55535114E-1
106	1.56559215E-1
334	1.57400513E-1
686	1.58462628E-1
728	1.589979E-1
884	1.59703681E-1
275	1.59793987E-1
608	1.60538848E-1
366	1.62758186E-1
217	1.6328432E-1
591	1.64237563E-1
805	1.6437691E-1
493	1.65578403E-1
400	1.65810527E-1
355	1.69003211E-1
131	1.70003925E-1
120	1.70006438E-1
12	1.71712418E-1
83	1.72004237E-1
224	1.73549645E-1
324	1.74770992E-1
548	1.76461681E-1
775	1.77521716E-1
894	1.7863373E-1
519	1.8013844E-1
48	1.81109619E-1
848	1.81302449E-1
276	1.83669848E-1
117	1.84055912E-1
109	1.85491656E-1
139	1.85775921E-1
451	1.86217883E-1
313	1.87455041E-1
707	1.883687E-1
261	1.88471753E-1
309	1.89349318E-1
602	1.89890449E-1
314	1.89897305E-1
964	1.90220206E-1
539	1.91999686E-1
472	1.92732037E-1
161	1.92883696E-1
931	1.92999049E-1
773	1.93031114E-1
586	1.93924837E-1
891	1.96532719E-1
759	2.00040678E-1
431	2.01077968E-1
157	2.02226583E-1
15	2.02681738E-1
831	2.03821542E-1
148	2.03901441E-1
