Name	chi2Pvalue
823	7.38688088E-5
760	1.85601908E-4
603	9.55172507E-4
147	4.64567349E-3
909	7.54771787E-3
113	8.38910918E-3
467	8.50278659E-3
953	9.29995999E-3
435	1.08477909E-2
344	1.13245369E-2
592	1.2698225E-2
364	1.32470602E-2
122	1.32825891E-2
208	1.36410464E-2
831	1.39810899E-2
157	1.49661523E-2
104	1.50214592E-2
307	1.53944565E-2
260	1.66039994E-2
756	1.76665265E-2
531	1.84082015E-2
897	1.88682805E-2
862	2.03974038E-2
317	2.19407377E-2
116	2.20366351E-2
165	2.26888709E-2
327	2.28287381E-2
575	2.32641976E-2
451	2.39664311E-2
705	2.42921308E-2
893	2.59284131E-2
107	2.95955086E-2
335	3.01254045E-2
164	3.13498632E-2
859	3.21034921E-2
596	3.23132668E-2
672	3.25421192E-2
454	3.3525058E-2
904	3.44457229E-2
1015	3.5666838E-2
812	3.62592696E-2
370	3.6636542E-2
728	3.69785855E-2
190	3.80936046E-2
48	4.04636322E-2
254	4.25917739E-2
796	4.31938657E-2
502	4.34726368E-2
553	4.3972182E-2
785	4.49305314E-2
574	4.6279431E-2
67	4.63844713E-2
78	4.69034601E-2
94	4.85773232E-2
133	4.95947708E-2
731	5.03280452E-2
269	5.36631647E-2
847	5.70423389E-2
284	5.70989701E-2
669	5.72919142E-2
980	5.76233879E-2
903	5.94112086E-2
316	5.98753977E-2
870	6.0295649E-2
733	6.04061857E-2
770	6.04156348E-2
649	6.13129327E-2
216	6.17178445E-2
754	6.21805648E-2
774	6.22543475E-2
586	6.28948981E-2
763	6.31236944E-2
829	6.36920545E-2
1012	6.3767146E-2
761	6.42924405E-2
608	6.5108085E-2
264	6.53081355E-2
631	6.60684838E-2
10	6.61464781E-2
776	6.81412838E-2
964	6.82701451E-2
311	6.84953385E-2
436	6.86069477E-2
673	6.91818182E-2
914	6.95275118E-2
73	7.0491703E-2
410	7.09976203E-2
795	7.37461696E-2
354	7.4207393E-2
274	7.56182033E-2
222	7.79104964E-2
533	7.79285579E-2
255	7.90594482E-2
20	7.98961203E-2
0	8.01225916E-2
646	8.26879639E-2
886	8.32988426E-2
281	8.39464099E-2
896	8.41025447E-2
246	8.42473885E-2
249	8.51712277E-2
443	8.73724186E-2
239	8.94519565E-2
289	9.32978463E-2
57	9.39060121E-2
500	9.39089438E-2
422	9.54399255E-2
944	9.5862135E-2
830	9.60025844E-2
140	9.79144079E-2
680	9.90310586E-2
492	9.93412171E-2
642	9.95641286E-2
971	1.02164596E-1
251	1.02596583E-1
