Name	chi2Pvalue
105	4.4580294E-5
1018	1.15023631E-3
1015	2.58534227E-3
106	3.36069702E-3
727	3.55262806E-3
904	4.62978634E-3
390	4.92141845E-3
953	8.17420399E-3
933	8.18966567E-3
927	8.95595561E-3
89	9.33062843E-3
41	9.34249688E-3
566	1.04008246E-2
340	1.13094797E-2
383	1.21951345E-2
1019	1.28084187E-2
983	1.28232495E-2
698	1.28704916E-2
101	1.34480513E-2
890	1.35520575E-2
780	1.37634148E-2
135	1.48834495E-2
997	1.64963444E-2
1020	1.69255945E-2
901	1.80936593E-2
892	1.89707066E-2
581	1.93184499E-2
664	2.1247261E-2
509	2.21059754E-2
350	2.26918733E-2
935	2.45938846E-2
315	2.49025295E-2
430	2.58878855E-2
718	3.0421729E-2
249	3.46725628E-2
344	3.47445524E-2
226	3.48657588E-2
117	3.49019662E-2
457	3.57124592E-2
178	3.85286612E-2
520	3.88213054E-2
816	4.02482684E-2
884	4.26589932E-2
938	4.31665165E-2
1016	4.58347484E-2
941	4.81502388E-2
824	5.09362405E-2
586	5.09999692E-2
615	5.12453396E-2
523	5.12645884E-2
814	5.19052137E-2
525	5.21604558E-2
359	5.22628351E-2
342	5.39836471E-2
417	5.57713921E-2
614	5.83146653E-2
539	5.88131254E-2
555	5.95273016E-2
504	6.13394555E-2
576	6.14331612E-2
826	6.15211549E-2
686	6.20075572E-2
505	6.21922763E-2
982	6.40736134E-2
704	6.67106889E-2
418	6.72285111E-2
476	6.95126057E-2
264	6.98558423E-2
749	7.06741634E-2
396	7.09427794E-2
843	7.29733159E-2
907	7.46601113E-2
588	7.50889156E-2
425	7.5228676E-2
296	7.65007093E-2
123	7.68804883E-2
174	7.7120752E-2
887	7.8096265E-2
559	7.98034988E-2
23	8.13038197E-2
972	8.14571179E-2
962	8.16095765E-2
534	8.28119648E-2
151	8.40784024E-2
384	8.52308042E-2
182	8.55433467E-2
757	8.6553277E-2
486	8.69910124E-2
526	8.72649156E-2
353	8.75808581E-2
725	8.80969135E-2
79	8.82232103E-2
233	9.09231262E-2
410	9.22661362E-2
693	9.26169802E-2
518	9.26428518E-2
6	9.29385111E-2
224	9.29849286E-2
126	9.31554741E-2
208	9.56172161E-2
239	9.71768529E-2
856	9.79532816E-2
573	1.02149637E-1
400	1.04319216E-1
835	1.04438683E-1
257	1.04504732E-1
251	1.04678422E-1
654	1.06012295E-1
96	1.06376364E-1
676	1.06838003E-1
138	1.06905394E-1
810	1.07156636E-1
500	1.07215431E-1
140	1.07758103E-1
3	1.11777742E-1
627	1.11829974E-1
648	1.13982379E-1
10	1.1443539E-1
354	1.14780091E-1
489	1.16781306E-1
832	1.20630612E-1
45	1.20778718E-1
143	1.23986622E-1
167	1.25226102E-1
36	1.25987992E-1
709	1.28147464E-1
364	1.31811014E-1
331	1.32351486E-1
469	1.34135922E-1
213	1.34641123E-1
267	1.35341975E-1
813	1.36213073E-1
65	1.37198314E-1
1001	1.38983591E-1
185	1.3981775E-1
435	1.41594743E-1
193	1.43252177E-1
237	1.43336146E-1
905	1.44596072E-1
83	1.45078708E-1
589	1.45638739E-1
643	1.50191443E-1
736	1.50795171E-1
885	1.53809893E-1
701	1.54228687E-1
1022	1.55030909E-1
800	1.55364178E-1
563	1.56253398E-1
723	1.58033983E-1
219	1.59308576E-1
752	1.59464039E-1
360	1.61301192E-1
437	1.61842291E-1
819	1.62961168E-1
687	1.63672614E-1
685	1.64145001E-1
429	1.68153631E-1
726	1.68234588E-1
462	1.6908148E-1
551	1.69598515E-1
699	1.70885136E-1
782	1.73722432E-1
746	1.73888114E-1
393	1.74220189E-1
348	1.74908452E-1
607	1.75321849E-1
31	1.75426095E-1
492	1.75918521E-1
347	1.77698398E-1
554	1.78179633E-1
99	1.78955666E-1
168	1.79372966E-1
598	1.79496183E-1
179	1.80802648E-1
544	1.81053754E-1
845	1.81153621E-1
1014	1.81648973E-1
583	1.83005812E-1
286	1.83025999E-1
451	1.84880464E-1
959	1.84983092E-1
212	1.85404322E-1
436	1.8660864E-1
501	1.89900718E-1
485	1.90829502E-1
837	1.91218637E-1
732	1.91655451E-1
569	1.92669641E-1
747	1.95527248E-1
1023	1.97555053E-1
323	1.98347243E-1
659	1.99955306E-1
4	2.00292579E-1
242	2.01148445E-1
668	2.0167771E-1
467	2.02584781E-1
830	2.04506534E-1
811	2.07263277E-1
308	2.0767307E-1
428	2.08136496E-1
610	2.09232725E-1
304	2.10605198E-1
150	2.10808457E-1
646	2.12067263E-1
380	2.12411755E-1
53	2.15670537E-1
998	2.15731042E-1
714	2.15832385E-1
84	2.16177165E-1
929	2.17682999E-1
903	2.19236415E-1
470	2.20274349E-1
183	2.21360873E-1
88	2.21884774E-1
186	2.22262808E-1
159	2.22321798E-1
1002	2.24426844E-1
498	2.25708853E-1
2	2.26011022E-1
21	2.3046704E-1
487	2.32145583E-1
764	2.32542348E-1
284	2.32844999E-1
259	2.33075969E-1
840	2.34086482E-1
199	2.34586433E-1
176	2.34837029E-1
313	2.34855918E-1
98	2.35187262E-1
852	2.35552342E-1
769	2.3680736E-1
27	2.37374714E-1
806	2.38830064E-1
389	2.40030936E-1
530	2.40103147E-1
204	2.401612E-1
156	2.41105008E-1
507	2.43165012E-1
64	2.43325422E-1
5	2.43495526E-1
450	2.43515462E-1
137	2.43665901E-1
240	2.44929397E-1
245	2.47380002E-1
898	2.47390972E-1
867	2.48527281E-1
948	2.4954644E-1
788	2.52399205E-1
954	2.52880988E-1
209	2.52939991E-1
912	2.54689176E-1
22	2.55399905E-1
774	2.55808816E-1
116	2.56131466E-1
196	2.57311155E-1
860	2.57607025E-1
665	2.59720705E-1
601	2.59765065E-1
301	2.61475867E-1
872	2.62222056E-1
557	2.62692798E-1
650	2.63227332E-1
327	2.64381779E-1
619	2.66830946E-1
506	2.67027179E-1
419	2.69450047E-1
218	2.69499099E-1
155	2.7006623E-1
24	2.7008884E-1
111	2.7029825E-1
789	2.71213808E-1
278	2.71528598E-1
148	2.7332074E-1
192	2.73920437E-1
416	2.75631672E-1
9	2.7735332E-1
166	2.78721248E-1
797	2.78808467E-1
299	2.79373269E-1
297	2.82126299E-1
994	2.82541711E-1
766	2.82611634E-1
263	2.8270101E-1
20	2.84303135E-1
432	2.86096869E-1
124	2.86694609E-1
708	2.86983684E-1
717	2.87717623E-1
118	2.88992814E-1
755	2.8917959E-1
680	2.90251833E-1
841	2.94738426E-1
521	2.97090247E-1
446	2.97259652E-1
716	2.9774702E-1
934	2.98150605E-1
59	2.9848225E-1
667	2.98669373E-1
684	3.00190179E-1
796	3.0036223E-1
51	3.00718585E-1
630	3.03028858E-1
846	3.03097586E-1
623	3.03498131E-1
456	3.04083713E-1
180	3.04157925E-1
424	3.06527611E-1
332	3.08702058E-1
713	3.08844257E-1
362	3.10606102E-1
255	3.10874482E-1
604	3.11269495E-1
956	3.11849144E-1
194	3.13179318E-1
688	3.15898697E-1
560	3.16542916E-1
423	3.17385909E-1
945	3.17717069E-1
484	3.17838898E-1
431	3.18222905E-1
771	3.18996252E-1
829	3.19689528E-1
330	3.21306462E-1
753	3.21330752E-1
670	3.23234638E-1
427	3.24078433E-1
321	3.26582526E-1
173	3.27201648E-1
828	3.27952204E-1
298	3.29001493E-1
188	3.32613346E-1
1	3.34266608E-1
552	3.35113806E-1
662	3.35892805E-1
728	3.39938232E-1
130	3.40206411E-1
471	3.42556238E-1
853	3.45449535E-1
925	3.45691822E-1
574	3.46785705E-1
756	3.48306528E-1
942	3.48701993E-1
532	3.50367502E-1
287	3.5081941E-1
433	3.5107072E-1
808	3.52098963E-1
97	3.5324712E-1
913	3.56380193E-1
597	3.5676077E-1
68	3.57424999E-1
968	3.60004671E-1
441	3.61315866E-1
314	3.61541507E-1
258	3.61981498E-1
695	3.62948076E-1
803	3.62981285E-1
923	3.62996609E-1
184	3.63312083E-1
881	3.6340627E-1
200	3.67265181E-1
621	3.67799034E-1
952	3.67921908E-1
965	3.69791797E-1
681	3.69921448E-1
696	3.7058268E-1
631	3.71747476E-1
548	3.72796926E-1
0	3.73019108E-1
762	3.74367687E-1
403	3.76059626E-1
334	3.77205482E-1
495	3.77266716E-1
294	3.7827015E-1
827	3.7836817E-1
129	3.79551023E-1
13	3.80731335E-1
499	3.82815518E-1
537	3.83618264E-1
957	3.83945571E-1
459	3.84066035E-1
266	3.84112962E-1
488	3.84468432E-1
512	3.85034388E-1
295	3.85091603E-1
653	3.85443518E-1
15	3.85797551E-1
928	3.86481686E-1
216	3.87090595E-1
490	3.87289555E-1
466	3.89155145E-1
493	3.89907993E-1
678	3.90613432E-1
230	3.91654571E-1
333	3.92149651E-1
361	3.94299139E-1
232	3.95480259E-1
791	3.97548785E-1
707	3.97958783E-1
770	4.01687561E-1
834	4.03043958E-1
461	4.05627132E-1
49	4.07971072E-1
761	4.08297385E-1
72	4.08341249E-1
47	4.08485328E-1
12	4.08876546E-1
402	4.10021978E-1
322	4.11013445E-1
280	4.12730724E-1
38	4.13345535E-1
805	4.13518526E-1
742	4.136677E-1
988	4.16071227E-1
136	4.16483504E-1
679	4.16704307E-1
900	4.18743247E-1
786	4.18748194E-1
202	4.2430937E-1
932	4.24392204E-1
570	4.24503989E-1
758	4.2464029E-1
33	4.25058006E-1
694	4.26890573E-1
338	4.28224453E-1
131	4.29468253E-1
189	4.29472672E-1
1003	4.29980477E-1
371	4.30747287E-1
244	4.31447831E-1
575	4.31551556E-1
562	4.31844743E-1
162	4.32438796E-1
128	4.33298348E-1
147	4.33570913E-1
40	4.34456175E-1
776	4.38565026E-1
17	4.39593483E-1
807	4.40737698E-1
502	4.41636269E-1
