Name	chi2Pvalue
581	2.50999174E-5
135	3.98905386E-4
861	2.07251093E-3
682	2.36346908E-3
227	3.93507329E-3
938	5.64634946E-3
101	6.03513278E-3
782	7.16128909E-3
870	7.61430219E-3
767	7.62204606E-3
20	7.78566487E-3
105	7.92333161E-3
649	8.0220583E-3
263	8.1998775E-3
269	1.06098848E-2
700	1.31477218E-2
691	1.34628017E-2
323	1.49855972E-2
906	1.51823625E-2
237	1.65875306E-2
28	1.6626844E-2
665	1.75281122E-2
802	1.81512467E-2
384	2.02105165E-2
467	2.03009641E-2
547	2.08931071E-2
175	2.17558698E-2
569	2.33011677E-2
62	2.50765732E-2
811	2.69309635E-2
134	2.80471333E-2
214	2.94143414E-2
167	2.95129096E-2
441	2.95461014E-2
291	2.98532119E-2
604	3.16452574E-2
699	3.1729781E-2
247	3.35340284E-2
320	3.43475815E-2
473	3.93844024E-2
42	3.94018125E-2
21	4.08213526E-2
962	4.15280182E-2
138	4.30706713E-2
996	4.45245127E-2
583	4.6482658E-2
424	4.86279622E-2
478	5.00553638E-2
485	5.10389041E-2
614	5.13172453E-2
218	5.25386674E-2
379	5.36822338E-2
106	5.43292047E-2
532	5.56651598E-2
501	5.56703948E-2
48	5.58477326E-2
835	5.66338983E-2
808	5.79036347E-2
672	5.94646013E-2
292	5.94813715E-2
429	5.97606334E-2
1005	6.2865016E-2
267	6.48831276E-2
420	6.48875853E-2
391	6.52971106E-2
325	6.57521214E-2
963	6.73156686E-2
960	6.76877314E-2
121	6.83379012E-2
634	7.02278457E-2
712	7.08748236E-2
645	7.09069478E-2
522	7.45465712E-2
656	7.54527295E-2
58	7.56005619E-2
160	7.56447365E-2
566	7.61517597E-2
812	7.80983018E-2
651	7.97434807E-2
978	7.99937889E-2
964	8.13956976E-2
563	8.19142657E-2
432	8.21216522E-2
97	8.21610389E-2
684	8.32684675E-2
878	8.32894117E-2
365	8.33100429E-2
294	8.38115885E-2
790	8.41310536E-2
612	8.52185648E-2
288	8.67532178E-2
727	8.83530154E-2
361	8.91154635E-2
573	8.98583755E-2
18	9.15033522E-2
30	9.24592975E-2
705	9.38763758E-2
327	9.41614822E-2
301	9.42893862E-2
243	9.67868067E-2
1008	9.82001217E-2
409	9.9238736E-2
818	9.97118126E-2
324	1.00032763E-1
728	1.00431189E-1
94	1.01810765E-1
744	1.03037545E-1
128	1.05066854E-1
71	1.06525356E-1
763	1.08732869E-1
366	1.0895205E-1
736	1.10765782E-1
374	1.11202918E-1
77	1.12783604E-1
713	1.13572399E-1
129	1.13687764E-1
816	1.13962787E-1
439	1.18046996E-1
939	1.21452024E-1
873	1.25172655E-1
212	1.26381156E-1
1020	1.26653233E-1
497	1.27171547E-1
585	1.27750122E-1
251	1.27808559E-1
611	1.28211145E-1
692	1.28998138E-1
971	1.2902112E-1
592	1.29970243E-1
769	1.3181687E-1
930	1.32608377E-1
110	1.3518022E-1
631	1.35311816E-1
185	1.37181037E-1
603	1.3759355E-1
462	1.38836917E-1
766	1.38964084E-1
1013	1.39615E-1
504	1.42347888E-1
893	1.42864883E-1
179	1.43507344E-1
735	1.44643573E-1
130	1.45282766E-1
386	1.45852297E-1
506	1.46861781E-1
184	1.47651047E-1
780	1.49337909E-1
133	1.50188436E-1
746	1.50975938E-1
273	1.52175888E-1
542	1.52892084E-1
523	1.55240143E-1
898	1.58446311E-1
609	1.59112362E-1
38	1.61207743E-1
617	1.64038796E-1
482	1.6412909E-1
24	1.65213766E-1
919	1.66543224E-1
952	1.67002412E-1
407	1.67224024E-1
814	1.6754348E-1
256	1.69428524E-1
693	1.70315769E-1
341	1.7060612E-1
1006	1.72254239E-1
211	1.74112253E-1
639	1.75007646E-1
799	1.75523565E-1
186	1.75900637E-1
703	1.76499942E-1
625	1.76781646E-1
5	1.78020645E-1
347	1.78394597E-1
122	1.7903102E-1
554	1.80643319E-1
204	1.80900198E-1
880	1.82008484E-1
922	1.82397239E-1
137	1.82400712E-1
222	1.84186474E-1
47	1.84625809E-1
183	1.84768823E-1
800	1.84805728E-1
689	1.86351596E-1
419	1.87878376E-1
19	1.88332759E-1
60	1.88502939E-1
264	1.89071972E-1
917	1.89761334E-1
149	1.90585093E-1
586	1.92659036E-1
486	1.93060872E-1
753	1.93385352E-1
334	1.95318481E-1
824	1.96632539E-1
688	1.98061442E-1
436	1.98085092E-1
310	2.01363498E-1
311	2.02616081E-1
309	2.03001284E-1
155	2.05116787E-1
335	2.07332099E-1
78	2.07453924E-1
92	2.07570199E-1
435	2.0928299E-1
252	2.09489068E-1
376	2.09814672E-1
415	2.10313484E-1
740	2.11118014E-1
981	2.12955356E-1
1	2.13906372E-1
250	2.15229348E-1
912	2.17854925E-1
274	2.18115067E-1
228	2.18643619E-1
124	2.18726739E-1
847	2.20800918E-1
921	2.21488631E-1
701	2.23519155E-1
732	2.24716123E-1
351	2.25958699E-1
957	2.26799107E-1
64	2.2765598E-1
576	2.28271041E-1
477	2.31083003E-1
472	2.3240262E-1
304	2.33280034E-1
494	2.34452666E-1
644	2.34953464E-1
354	2.35504998E-1
268	2.36171515E-1
950	2.39627649E-1
627	2.39995753E-1
447	2.42233248E-1
943	2.45057958E-1
694	2.45556629E-1
643	2.46014247E-1
664	2.46495757E-1
146	2.46811749E-1
392	2.50655234E-1
271	2.51655307E-1
621	2.52438175E-1
1019	2.55441709E-1
114	2.55645265E-1
86	2.55680724E-1
770	2.5618612E-1
458	2.5729186E-1
411	2.5819716E-1
235	2.58781287E-1
508	2.58952762E-1
775	2.60186377E-1
881	2.60332938E-1
553	2.6066232E-1
96	2.62767131E-1
761	2.62897362E-1
298	2.62911673E-1
451	2.64274856E-1
174	2.64558798E-1
52	2.6517363E-1
887	2.66480771E-1
841	2.67084885E-1
862	2.68687896E-1
154	2.72434125E-1
375	2.73028052E-1
450	2.73512024E-1
982	2.73576882E-1
706	2.73759829E-1
935	2.74217198E-1
931	2.76108225E-1
493	2.76400165E-1
93	2.76871792E-1
828	2.76873809E-1
601	2.77137473E-1
112	2.77697843E-1
390	2.77883686E-1
759	2.7871571E-1
517	2.78883614E-1
100	2.80279289E-1
232	2.80649284E-1
869	2.80740119E-1
829	2.81010145E-1
1007	2.82185259E-1
806	2.83802968E-1
846	2.84478728E-1
722	2.85158237E-1
281	2.85432819E-1
575	2.86224997E-1
353	2.86734002E-1
372	2.86738295E-1
520	2.86944978E-1
992	2.87967429E-1
810	2.880181E-1
67	2.88297361E-1
918	2.90647845E-1
652	2.91384539E-1
7	2.9187362E-1
189	2.92257435E-1
1018	2.92360717E-1
444	2.924095E-1
773	2.92677376E-1
787	2.93959455E-1
719	2.95832366E-1
798	2.95922634E-1
344	2.96563411E-1
809	2.97336916E-1
321	2.98633862E-1
74	2.99978604E-1
169	3.00911275E-1
533	3.00916082E-1
474	3.01484247E-1
397	3.03334907E-1
708	3.03813763E-1
116	3.04849631E-1
216	3.04868798E-1
526	3.05071495E-1
795	3.06066212E-1
788	3.08249786E-1
733	3.08266426E-1
314	3.09109414E-1
779	3.10548103E-1
348	3.10597598E-1
357	3.12249832E-1
395	3.12353285E-1
648	3.15784647E-1
955	3.19420875E-1
360	3.19797735E-1
668	3.21762206E-1
223	3.22055177E-1
368	3.22555454E-1
25	3.23053936E-1
208	3.23514121E-1
666	3.23666491E-1
234	3.23853785E-1
754	3.24206074E-1
900	3.25967879E-1
529	3.27745319E-1
468	3.28340298E-1
430	3.31751539E-1
762	3.31755798E-1
851	3.32040961E-1
697	3.33089104E-1
909	3.34404447E-1
108	3.3479122E-1
307	3.37113733E-1
518	3.3724354E-1
125	3.42272741E-1
997	3.42757919E-1
834	3.44699462E-1
723	3.46417541E-1
793	3.47157855E-1
655	3.47827072E-1
317	3.48737099E-1
84	3.48986876E-1
371	3.48988184E-1
933	3.49056428E-1
400	3.49815066E-1
177	3.50608306E-1
87	3.51946082E-1
168	3.52124874E-1
1011	3.53655638E-1
316	3.54004945E-1
442	3.54288841E-1
916	3.54858001E-1
949	3.55371434E-1
433	3.55914511E-1
731	3.57662265E-1
191	3.58585563E-1
495	3.59248083E-1
136	3.60044161E-1
55	3.6165119E-1
434	3.62866306E-1
549	3.63248984E-1
662	3.67182289E-1
928	3.67484285E-1
336	3.6760513E-1
677	3.69131112E-1
463	3.70208312E-1
446	3.71019972E-1
618	3.71351431E-1
32	3.72148975E-1
620	3.7446282E-1
973	3.75785224E-1
362	3.7579925E-1
194	3.77448502E-1
637	3.79103448E-1
792	3.80274492E-1
226	3.80583956E-1
815	3.80733497E-1
877	3.80840757E-1
844	3.81522736E-1
305	3.82330275E-1
399	3.82913831E-1
56	3.83853783E-1
188	3.84272241E-1
524	3.85058754E-1
850	3.86135673E-1
636	3.86452505E-1
331	3.89388513E-1
849	3.8947911E-1
711	3.90066542E-1
734	3.90229849E-1
966	3.91021969E-1
470	3.91217318E-1
452	3.92518845E-1
197	3.93092279E-1
195	3.93400516E-1
948	3.93493298E-1
4	3.94987939E-1
777	3.95007017E-1
954	3.96266842E-1
597	3.96725761E-1
969	3.9837175E-1
260	4.00407222E-1
505	4.0148295E-1
616	4.01543814E-1
326	4.02406267E-1
1001	4.02457361E-1
680	4.04660409E-1
572	4.05998657E-1
737	4.07482397E-1
34	4.0816833E-1
628	4.10686669E-1
801	4.11148073E-1
600	4.11868694E-1
119	4.12590524E-1
867	4.12866409E-1
438	4.14068742E-1
774	4.15367153E-1
610	4.17115128E-1
6	4.17941145E-1
830	4.19297933E-1
831	4.19420683E-1
702	4.19561328E-1
79	4.21420856E-1
182	4.24082946E-1
417	4.26302511E-1
431	4.28049554E-1
408	4.30384533E-1
0	4.31244893E-1
46	4.31368243E-1
864	4.33819162E-1
499	4.35939909E-1
675	4.37327998E-1
484	4.37776215E-1
687	4.41031525E-1
383	4.41785335E-1
894	4.46118835E-1
690	4.46335991E-1
49	4.46430646E-1
43	4.47191058E-1
527	4.47297201E-1
650	4.47887769E-1
170	4.48036306E-1
236	4.48837626E-1
206	4.4930552E-1
178	4.50003805E-1
117	4.51777635E-1
492	4.52238996E-1
561	4.53366324E-1
552	4.55618478E-1
709	4.56279108E-1
624	4.58926781E-1
333	4.5975424E-1
789	4.59872363E-1
993	4.60989964E-1
633	4.61317819E-1
710	4.61803828E-1
231	4.64240856E-1
209	4.64703997E-1
772	4.65256603E-1
879	4.65965306E-1
546	4.65984091E-1
979	4.67071602E-1
131	4.67843479E-1
975	4.68180699E-1
350	4.69607629E-1
559	4.70710878E-1
161	4.70820013E-1
707	4.70985887E-1
535	4.72638447E-1
469	4.74171295E-1
68	4.75375076E-1
820	4.75603994E-1
635	4.76435085E-1
827	4.77063482E-1
215	4.7873398E-1
848	4.79106397E-1
17	4.80960317E-1
1000	4.81101805E-1
738	4.82665713E-1
695	4.8313639E-1
219	4.8398925E-1
491	4.84036104E-1
126	4.84747891E-1
466	4.84995198E-1
988	4.84997482E-1
22	4.86413595E-1
778	4.89376539E-1
577	4.89579553E-1
663	4.91271969E-1
589	4.9146587E-1
202	4.91550602E-1
721	4.92110621E-1
147	4.92138121E-1
571	4.94424877E-1
821	4.94462731E-1
825	4.95035951E-1
1022	4.96497309E-1
378	4.97676793E-1
41	4.97918616E-1
999	4.98130587E-1
9	4.99900485E-1
856	5.00208086E-1
726	5.0041387E-1
902	5.02194743E-1
905	5.03481179E-1
654	5.03896793E-1
983	5.04822832E-1
396	5.04881878E-1
842	5.05015465E-1
286	5.07025548E-1
54	5.07601468E-1
516	5.07763437E-1
293	5.084328E-1
622	5.09453407E-1
1023	5.11075649E-1
299	5.11457167E-1
783	5.14648886E-1
200	5.15598275E-1
75	5.16710056E-1
859	5.18108442E-1
145	5.18309483E-1
104	5.18372975E-1
596	5.19145727E-1
760	5.19850533E-1
545	5.20381564E-1
132	5.20923395E-1
977	5.22616498E-1
890	5.23832499E-1
716	5.24151071E-1
172	5.24757202E-1
937	5.26500733E-1
868	5.26634914E-1
39	5.27109757E-1
198	5.27866632E-1
837	5.28795202E-1
455	5.28811579E-1
619	5.29408761E-1
822	5.31091617E-1
272	5.32087522E-1
502	5.32209967E-1
1003	5.32479793E-1
443	5.35223019E-1
717	5.38434206E-1
1015	5.38509407E-1
599	5.3891075E-1
756	5.39435534E-1
445	5.4074721E-1
980	5.42057454E-1
730	5.439965E-1
199	5.44513096E-1
205	5.45307632E-1
123	5.45921373E-1
166	5.47042259E-1
946	5.48462178E-1
659	5.49464192E-1
373	5.5021886E-1
503	5.51025034E-1
987	5.51077846E-1
521	5.52279884E-1
241	5.52585196E-1
192	5.52765316E-1
270	5.53808052E-1
562	5.54134387E-1
229	5.54350363E-1
945	5.55435578E-1
1021	5.55559774E-1
142	5.55954939E-1
370	5.56331569E-1
295	5.56926249E-1
686	5.57595866E-1
487	5.57926157E-1
37	5.58557412E-1
479	5.59835417E-1
285	5.60433618E-1
15	5.60655781E-1
936	5.61029858E-1
385	5.62642504E-1
113	5.62734054E-1
896	5.68071077E-1
866	5.68268779E-1
765	5.68912798E-1
608	5.68993318E-1
833	5.71006992E-1
670	5.74187149E-1
564	5.74312176E-1
377	5.76550725E-1
35	5.76634569E-1
313	5.77255895E-1
345	5.775554E-1
355	5.77701931E-1
593	5.78046317E-1
297	5.78944821E-1
696	5.79084947E-1
784	5.79914841E-1
261	5.80158413E-1
565	5.80352092E-1
674	5.80478245E-1
165	5.81768002E-1
328	5.82719009E-1
836	5.83880346E-1
832	5.85226671E-1
440	5.8538891E-1
817	5.86325762E-1
210	5.88824076E-1
346	5.89468712E-1
511	5.89492695E-1
961	5.90691398E-1
595	5.9227779E-1
61	5.92438208E-1
109	5.92967942E-1
507	5.93739085E-1
875	5.94640984E-1
363	5.95178608E-1
31	5.96174728E-1
278	5.96901233E-1
536	5.96979999E-1
751	5.97423015E-1
296	5.97563407E-1
519	5.97633257E-1
217	5.97887559E-1
683	5.9953367E-1
14	6.00253257E-1
302	6.01072765E-1
11	6.0284676E-1
892	6.03211898E-1
10	6.03814806E-1
99	6.04181226E-1
667	6.04420828E-1
587	6.04610068E-1
332	6.05421647E-1
901	6.07283231E-1
107	6.07835194E-1
574	6.07998317E-1
275	6.1257605E-1
23	6.13172109E-1
95	6.137218E-1
747	6.14657544E-1
404	6.16568495E-1
367	6.16927093E-1
629	6.17094523E-1
653	6.17522384E-1
459	6.20219251E-1
1004	6.22840499E-1
483	6.24300308E-1
45	6.24698954E-1
356	6.25018752E-1
225	6.25427999E-1
306	6.26213013E-1
258	6.26625539E-1
427	6.27332341E-1
995	6.27541239E-1
318	6.28629242E-1
465	6.30669864E-1
40	6.30694328E-1
951	6.30768208E-1
698	6.35164324E-1
913	6.36162602E-1
426	6.3674782E-1
277	6.37666132E-1
990	6.39473136E-1
588	6.39917506E-1
578	6.40888311E-1
387	6.41200027E-1
743	6.43232597E-1
193	6.43600586E-1
57	6.44055924E-1
615	6.44079065E-1
791	6.44711465E-1
359	6.44842544E-1
823	6.46354619E-1
242	6.47033977E-1
421	6.47374567E-1
158	6.48387325E-1
156	6.48647828E-1
248	6.48796135E-1
244	6.49369148E-1
813	6.49607714E-1
941	6.51706385E-1
884	6.5360072E-1
534	6.54040761E-1
461	6.54405877E-1
669	6.54493697E-1
405	6.55553768E-1
428	6.55782402E-1
514	6.56045645E-1
289	6.56654143E-1
1016	6.570892E-1
929	6.57218653E-1
406	6.58001118E-1
860	6.58260331E-1
83	6.60197575E-1
994	6.60643592E-1
530	6.61903015E-1
259	6.6204757E-1
171	6.62105636E-1
139	6.63693333E-1
907	6.63936808E-1
871	6.64065349E-1
118	6.64944246E-1
70	6.65599261E-1
580	6.66355059E-1
594	6.66584667E-1
352	6.69642078E-1
681	6.70310682E-1
976	6.70983259E-1
858	6.73673124E-1
414	6.75194434E-1
249	6.75655204E-1
804	6.78988684E-1
605	6.7905922E-1
986	6.79917409E-1
531	6.83471621E-1
319	6.83807403E-1
91	6.84753817E-1
282	6.85540866E-1
394	6.86205435E-1
255	6.86526196E-1
72	6.86612917E-1
284	6.87650803E-1
221	6.88675885E-1
1017	6.88742333E-1
750	6.89095952E-1
958	6.89130108E-1
704	6.90204376E-1
998	6.90548654E-1
422	6.91525574E-1
872	6.92553314E-1
551	6.94241136E-1
720	6.97643099E-1
984	6.97846697E-1
490	6.9831853E-1
76	6.99020407E-1
891	6.99255848E-1
854	7.01254795E-1
570	7.02574843E-1
69	7.03706775E-1
803	7.03976823E-1
805	7.04934473E-1
537	7.05230096E-1
944	7.06520254E-1
290	7.0715366E-1
201	7.07336388E-1
44	7.11132954E-1
338	7.1231481E-1
454	7.12340856E-1
453	7.12821243E-1
103	7.13553344E-1
924	7.1364661E-1
579	7.13655966E-1
883	7.17985806E-1
865	7.18307605E-1
27	7.21491224E-1
262	7.21942427E-1
337	7.22149349E-1
401	7.23892214E-1
257	7.24816087E-1
739	7.25947803E-1
224	7.29754124E-1
555	7.29870678E-1
748	7.30046083E-1
437	7.31047732E-1
641	7.31130931E-1
496	7.33217897E-1
233	7.33475054E-1
953	7.34530081E-1
606	7.34803979E-1
157	7.35222662E-1
213	7.35709133E-1
725	7.36448978E-1
718	7.37150705E-1
640	7.37200613E-1
