Name	chi2Pvalue
105	3.3869323E-4
267	7.58463766E-4
938	1.37561253E-3
101	2.15008238E-3
333	2.60126654E-3
917	5.54322883E-3
566	5.96706874E-3
604	7.14912026E-3
228	8.50607878E-3
79	1.21458151E-2
722	1.21751605E-2
315	1.25667043E-2
427	1.3180678E-2
522	1.39367382E-2
135	1.40287983E-2
487	1.42487373E-2
163	1.43658773E-2
818	1.58055258E-2
666	1.58259565E-2
383	1.62608297E-2
323	1.65095596E-2
688	1.88808329E-2
732	1.97207531E-2
519	1.97761326E-2
150	2.08650947E-2
404	2.15771854E-2
231	2.30288139E-2
431	2.31131139E-2
401	2.52154777E-2
471	2.55210893E-2
389	2.5562641E-2
160	2.60330509E-2
625	2.61302489E-2
436	2.62507409E-2
122	2.63499964E-2
23	2.64696848E-2
280	2.68766117E-2
64	2.88820023E-2
129	3.05891629E-2
52	3.07894742E-2
334	3.12702315E-2
784	3.15678851E-2
365	3.27943511E-2
69	3.32497769E-2
415	3.49400815E-2
321	3.55079426E-2
692	3.66281863E-2
603	3.69174641E-2
964	3.9868626E-2
745	4.43160285E-2
1006	4.65977551E-2
297	4.76208353E-2
66	4.81161259E-2
848	5.01121288E-2
408	5.38154061E-2
65	5.39040898E-2
349	5.54557596E-2
870	5.82636496E-2
710	5.82766582E-2
931	5.8660119E-2
799	5.88329274E-2
21	5.9398811E-2
294	5.94017255E-2
684	5.99122461E-2
414	6.20416146E-2
1	6.37433186E-2
709	6.43728469E-2
691	6.50855615E-2
814	6.51098254E-2
7	6.51214128E-2
1009	6.79877723E-2
810	6.82392255E-2
795	7.00825563E-2
247	7.16250711E-2
758	7.45179869E-2
285	7.71854961E-2
727	7.82473839E-2
668	7.96558233E-2
535	8.06102209E-2
183	8.07492923E-2
882	8.17056595E-2
516	8.17366231E-2
127	8.1967279E-2
238	8.38265584E-2
985	8.42314513E-2
266	8.75780022E-2
173	8.80290212E-2
138	9.1034205E-2
398	9.36149893E-2
886	9.46569885E-2
542	9.60458325E-2
501	9.6101698E-2
707	9.68975861E-2
599	9.69151553E-2
216	9.76267831E-2
633	9.77438148E-2
489	1.02899571E-1
296	1.02970132E-1
381	1.03856559E-1
265	1.03957876E-1
499	1.04370177E-1
136	1.0485689E-1
672	1.06525795E-1
403	1.07113816E-1
287	1.09551348E-1
912	1.11164035E-1
1008	1.13237496E-1
645	1.13396037E-1
87	1.13409073E-1
547	1.15360669E-1
88	1.16861069E-1
481	1.17652704E-1
921	1.18639087E-1
22	1.19170174E-1
28	1.19946287E-1
400	1.20281499E-1
825	1.20331861E-1
110	1.21146779E-1
584	1.23601018E-1
817	1.25497746E-1
235	1.26099028E-1
82	1.2620544E-1
97	1.27765718E-1
788	1.28284863E-1
38	1.2980822E-1
464	1.29811112E-1
210	1.303173E-1
802	1.30349122E-1
670	1.30812571E-1
116	1.31665458E-1
815	1.32890744E-1
342	1.33496885E-1
361	1.33562719E-1
420	1.3456065E-1
655	1.34790171E-1
929	1.3569935E-1
730	1.35843605E-1
432	1.38480897E-1
823	1.4004676E-1
226	1.40623238E-1
693	1.41579141E-1
760	1.41775341E-1
337	1.42515362E-1
200	1.43616694E-1
601	1.46909109E-1
618	1.47275311E-1
209	1.47379331E-1
678	1.47437373E-1
325	1.48487961E-1
560	1.48650847E-1
370	1.48764151E-1
647	1.48845981E-1
241	1.49339523E-1
9	1.49414742E-1
946	1.50111619E-1
575	1.51669724E-1
201	1.5346621E-1
145	1.5426423E-1
950	1.54371147E-1
81	1.55400371E-1
982	1.5596785E-1
354	1.56842468E-1
72	1.57237391E-1
455	1.58086945E-1
422	1.58095794E-1
588	1.59122312E-1
751	1.59428711E-1
894	1.60212183E-1
783	1.60285441E-1
919	1.60731834E-1
930	1.62362214E-1
897	1.63567356E-1
298	1.63734159E-1
537	1.63891751E-1
779	1.64013244E-1
232	1.64884829E-1
63	1.66528937E-1
428	1.66715273E-1
682	1.67590901E-1
61	1.6785673E-1
531	1.69725655E-1
229	1.70085817E-1
425	1.71216131E-1
373	1.72312649E-1
364	1.73149471E-1
126	1.73183272E-1
819	1.74300943E-1
953	1.74509529E-1
385	1.75377662E-1
616	1.75433995E-1
1016	1.76182297E-1
434	1.76482333E-1
901	1.76970957E-1
143	1.78043856E-1
214	1.79552292E-1
683	1.79639756E-1
322	1.80713718E-1
376	1.81850376E-1
837	1.83355046E-1
915	1.83856566E-1
576	1.8564238E-1
482	1.86300295E-1
664	1.88721746E-1
1013	1.88765388E-1
624	1.89241708E-1
239	1.89453874E-1
702	1.90032883E-1
716	1.90416322E-1
272	1.92308026E-1
579	1.92370538E-1
970	1.93697912E-1
924	1.93861217E-1
656	1.94257396E-1
277	1.94598786E-1
33	1.9791879E-1
475	1.99392947E-1
507	1.9971771E-1
658	2.01194406E-1
627	2.0147797E-1
650	2.02293954E-1
473	2.02646755E-1
245	2.03763613E-1
106	2.03997886E-1
824	2.04222592E-1
353	2.04850967E-1
552	2.0774704E-1
108	2.08279527E-1
3	2.10907695E-1
739	2.1259669E-1
699	2.13076366E-1
263	2.13371535E-1
351	2.13795793E-1
278	2.14224616E-1
95	2.14542616E-1
527	2.16054778E-1
189	2.16328749E-1
770	2.16396699E-1
244	2.18262376E-1
762	2.18335962E-1
808	2.18861061E-1
144	2.20069212E-1
282	2.21494515E-1
363	2.22183987E-1
782	2.22932954E-1
742	2.23875627E-1
240	2.24227359E-1
791	2.26271015E-1
179	2.27570512E-1
888	2.27826044E-1
866	2.29689422E-1
836	2.2995371E-1
960	2.30254547E-1
879	2.31016022E-1
175	2.31706449E-1
140	2.32184365E-1
504	2.32763627E-1
700	2.34432033E-1
466	2.35159732E-1
822	2.36322501E-1
860	2.36341904E-1
484	2.39354714E-1
319	2.41774594E-1
904	2.42177449E-1
605	2.42874267E-1
124	2.45508917E-1
308	2.45590653E-1
677	2.45630452E-1
155	2.46445126E-1
223	2.46822793E-1
503	2.51442847E-1
606	2.52955643E-1
85	2.5310625E-1
913	2.53243235E-1
465	2.53310118E-1
324	2.53346005E-1
128	2.54056709E-1
199	2.55429256E-1
800	2.58567863E-1
534	2.5897769E-1
1021	2.61088608E-1
476	2.6177197E-1
611	2.61810065E-1
852	2.61875055E-1
976	2.63304865E-1
