Name	chi2Pvalue
771	1.01063398E-4
760	2.64320348E-4
252	1.45299367E-3
244	3.13702984E-3
15	4.18406945E-3
753	4.89756353E-3
578	6.64866702E-3
142	6.85588682E-3
696	8.4720078E-3
163	8.85676754E-3
260	9.01665689E-3
373	9.30039673E-3
746	9.79196589E-3
501	1.18612625E-2
264	1.21030474E-2
527	1.24519005E-2
625	1.31931233E-2
744	1.40990963E-2
231	1.47774217E-2
323	1.75023698E-2
919	1.88386249E-2
324	1.95621605E-2
190	1.95702247E-2
717	2.02814233E-2
519	2.30018632E-2
622	2.405686E-2
834	2.4285277E-2
370	2.43234704E-2
845	2.89946504E-2
873	2.91413755E-2
62	2.9616549E-2
849	3.05239788E-2
160	3.12682881E-2
682	3.1838821E-2
728	3.34786574E-2
1011	3.37672778E-2
279	3.38458451E-2
950	3.39796566E-2
589	3.40941612E-2
887	3.59987472E-2
586	3.62087154E-2
642	3.71010042E-2
959	3.78159828E-2
311	3.99399651E-2
613	4.47241983E-2
178	4.65075642E-2
556	4.76640233E-2
928	4.78250963E-2
262	4.86480955E-2
417	5.22364273E-2
1	5.3049563E-2
327	5.3096519E-2
914	5.39963992E-2
711	5.48553739E-2
167	5.54192963E-2
626	5.72316189E-2
444	5.90350721E-2
832	5.99310407E-2
6	6.08253193E-2
651	6.26714449E-2
343	6.29897876E-2
389	6.39577166E-2
539	6.50337026E-2
176	6.87008553E-2
588	7.2694501E-2
553	7.28006004E-2
473	7.28291265E-2
168	7.36680772E-2
248	7.4310109E-2
810	7.43441383E-2
998	7.44384608E-2
27	7.46670499E-2
538	7.61068679E-2
973	7.70247187E-2
743	7.72977481E-2
139	7.76404114E-2
1012	7.78634971E-2
202	7.81892748E-2
433	7.82653297E-2
1001	8.18854729E-2
913	8.20577216E-2
332	8.26092235E-2
858	8.29277124E-2
494	8.30034942E-2
102	8.3778238E-2
1023	8.41181472E-2
227	8.46126132E-2
66	8.49079113E-2
534	8.50350368E-2
265	8.5596568E-2
550	8.73322355E-2
359	9.3261145E-2
953	9.42060984E-2
562	9.6612901E-2
609	9.75392926E-2
847	9.76180844E-2
653	9.84156588E-2
897	9.88798638E-2
917	9.91876686E-2
257	9.9454521E-2
715	1.02594948E-1
938	1.04226301E-1
943	1.04230606E-1
727	1.04757346E-1
68	1.0577512E-1
448	1.06064524E-1
36	1.06205766E-1
641	1.07124155E-1
397	1.07594418E-1
29	1.09196827E-1
879	1.11343219E-1
487	1.12299027E-1
896	1.12426356E-1
18	1.14147451E-1
121	1.14796252E-1
510	1.16756547E-1
288	1.1803214E-1
212	1.19239602E-1
271	1.19367136E-1
421	1.22953828E-1
54	1.22983749E-1
602	1.2444215E-1
120	1.25361793E-1
999	1.26446831E-1
689	1.27013447E-1
111	1.28703152E-1
303	1.28896191E-1
778	1.28927372E-1
57	1.30146966E-1
287	1.33579354E-1
813	1.34790933E-1
455	1.3696308E-1
78	1.37111131E-1
927	1.38278624E-1
821	1.38721982E-1
166	1.38830801E-1
788	1.39893561E-1
333	1.4029673E-1
789	1.40371261E-1
108	1.40615878E-1
853	1.41819496E-1
726	1.41939143E-1
705	1.42409452E-1
699	1.42612169E-1
576	1.43487029E-1
631	1.44051551E-1
573	1.45357531E-1
38	1.4620943E-1
924	1.46915668E-1
182	1.47548614E-1
63	1.47873616E-1
852	1.49191174E-1
868	1.51981056E-1
1017	1.52928605E-1
790	1.5341957E-1
372	1.55420395E-1
131	1.55540129E-1
109	1.56023473E-1
872	1.57645955E-1
824	1.57836858E-1
411	1.58681581E-1
632	1.59578874E-1
224	1.59734989E-1
268	1.60054579E-1
601	1.60058587E-1
174	1.61740968E-1
856	1.62017451E-1
612	1.62645052E-1
184	1.63405341E-1
592	1.643882E-1
688	1.64928155E-1
440	1.6568409E-1
4	1.66566975E-1
97	1.69420574E-1
133	1.69423443E-1
880	1.69566976E-1
220	1.70797707E-1
732	1.7097517E-1
830	1.71204286E-1
84	1.73420272E-1
209	1.74148295E-1
378	1.77465355E-1
700	1.78548672E-1
925	1.78613877E-1
416	1.79010381E-1
409	1.79128693E-1
24	1.8001452E-1
123	1.81765225E-1
381	1.81873031E-1
850	1.82505503E-1
656	1.84547155E-1
1000	1.88267395E-1
330	1.91660515E-1
205	1.91909057E-1
516	1.92292253E-1
55	1.92863245E-1
758	1.95549524E-1
987	1.9748522E-1
692	1.97963754E-1
988	1.98368966E-1
768	1.99831046E-1
48	2.01184458E-1
990	2.02343173E-1
837	2.02656E-1
1008	2.04800204E-1
228	2.06286076E-1
802	2.12685304E-1
406	2.13274857E-1
722	2.13380547E-1
210	2.14178632E-1
690	2.1542262E-1
833	2.16372698E-1
529	2.17154177E-1
855	2.17591849E-1
424	2.19845333E-1
315	2.2018002E-1
198	2.21398866E-1
941	2.21852375E-1
693	2.22022756E-1
906	2.2290823E-1
314	2.23656631E-1
418	2.26216717E-1
899	2.26956298E-1
269	2.2795587E-1
353	2.3022331E-1
780	2.31390278E-1
