Name	chi2Pvalue
919	1.79697679E-3
418	1.86347958E-3
771	3.02302824E-3
630	4.57398447E-3
338	5.42433109E-3
623	6.09226578E-3
829	8.74225279E-3
245	9.4728297E-3
10	1.2509346E-2
337	1.25284807E-2
438	1.31952454E-2
226	1.46428334E-2
589	1.46629299E-2
464	1.57971078E-2
259	1.64466865E-2
559	1.74613814E-2
511	1.84836788E-2
154	1.97002374E-2
690	1.99050255E-2
323	2.00844776E-2
35	2.07157433E-2
417	2.12623792E-2
266	2.33881428E-2
164	2.46619775E-2
173	2.49039086E-2
161	2.6926249E-2
859	2.69831095E-2
385	2.81289831E-2
601	2.88150112E-2
868	2.94909905E-2
626	2.99219128E-2
487	3.07703694E-2
405	3.09952169E-2
795	3.19546539E-2
295	3.34290309E-2
952	3.36409934E-2
969	3.64221448E-2
273	3.7254126E-2
747	3.85508244E-2
582	4.12043734E-2
253	4.18357775E-2
585	4.44996876E-2
762	4.63981784E-2
977	4.71779769E-2
335	4.72488346E-2
379	5.03007491E-2
848	5.09391711E-2
512	5.09668317E-2
573	5.100969E-2
810	5.30076839E-2
495	5.35043967E-2
628	5.41940361E-2
849	5.4416205E-2
903	5.52498615E-2
754	5.66775115E-2
441	5.70055733E-2
515	5.72311231E-2
846	5.79877344E-2
158	5.84349046E-2
407	5.86039885E-2
96	6.01148819E-2
545	6.20849473E-2
659	6.39632579E-2
695	6.47240391E-2
927	6.68334841E-2
786	6.88782571E-2
817	6.89835305E-2
114	6.90332777E-2
935	6.93235955E-2
486	7.0139932E-2
474	7.06974226E-2
445	7.08063379E-2
933	7.25469244E-2
541	7.49937669E-2
272	7.67775161E-2
736	7.81374848E-2
518	8.03693746E-2
607	8.07504278E-2
773	8.11485869E-2
383	8.31079821E-2
759	8.42751969E-2
769	8.58201902E-2
706	8.6698839E-2
622	8.67507366E-2
145	8.73051045E-2
733	8.82993214E-2
414	8.8498718E-2
530	8.94834424E-2
581	9.04799139E-2
174	9.13821054E-2
866	9.35841477E-2
127	9.39389114E-2
798	9.40499385E-2
807	9.46123489E-2
180	9.59566118E-2
390	9.60552066E-2
853	9.77351894E-2
578	9.9194809E-2
775	9.96146791E-2
1011	9.96240008E-2
481	9.99504385E-2
133	1.00875528E-1
8	1.01085072E-1
716	1.02096985E-1
478	1.02307972E-1
824	1.03829739E-1
107	1.04340639E-1
344	1.04610615E-1
1006	1.08923745E-1
693	1.09833571E-1
929	1.10789418E-1
85	1.10865719E-1
386	1.11388518E-1
425	1.11873762E-1
138	1.12090322E-1
522	1.12137169E-1
331	1.12679225E-1
836	1.13237245E-1
17	1.15536725E-1
529	1.15634196E-1
974	1.16657385E-1
277	1.18833943E-1
274	1.19274837E-1
263	1.1934243E-1
685	1.20632475E-1
776	1.2232435E-1
117	1.24494783E-1
258	1.24600047E-1
229	1.25275246E-1
126	1.26779281E-1
238	1.27596903E-1
268	1.27962651E-1
808	1.28691403E-1
655	1.29793043E-1
746	1.3141374E-1
19	1.3255286E-1
712	1.33193278E-1
828	1.33954453E-1
181	1.34061226E-1
999	1.3433606E-1
382	1.36020791E-1
605	1.36211834E-1
372	1.39704737E-1
724	1.44763167E-1
878	1.45421579E-1
838	1.46271258E-1
1015	1.46438627E-1
59	1.4822658E-1
69	1.49442802E-1
697	1.50129072E-1
84	1.51516554E-1
799	1.51612053E-1
429	1.52094801E-1
861	1.53050695E-1
186	1.54386209E-1
227	1.54661429E-1
851	1.54911503E-1
288	1.55537151E-1
991	1.57224549E-1
29	1.57307649E-1
220	1.57518759E-1
821	1.5771097E-1
315	1.5789013E-1
7	1.58899184E-1
852	1.58928323E-1
683	1.6023734E-1
542	1.60544764E-1
681	1.61012267E-1
898	1.63315773E-1
359	1.63381502E-1
447	1.6367553E-1
224	1.66033298E-1
558	1.66720969E-1
767	1.67845241E-1
159	1.70340681E-1
211	1.70342242E-1
611	1.73167192E-1
642	1.76008588E-1
574	1.7606612E-1
971	1.76115271E-1
371	1.78859646E-1
787	1.79141636E-1
673	1.79285145E-1
135	1.7948244E-1
292	1.79923646E-1
550	1.80089306E-1
514	1.8039155E-1
416	1.81280245E-1
319	1.82513246E-1
312	1.8350706E-1
310	1.83605243E-1
1	1.8868354E-1
391	1.90686177E-1
686	1.90928873E-1
641	1.9276032E-1
11	1.93059057E-1
451	1.94053357E-1
88	1.97680863E-1
237	1.98311713E-1
925	1.98699433E-1
675	1.9929514E-1
937	2.02425738E-1
552	2.02597043E-1
316	2.0347053E-1
894	2.03751149E-1
347	2.06330503E-1
955	2.07830634E-1
709	2.07841513E-1
723	2.08753316E-1
745	2.08840557E-1
727	2.09646301E-1
328	2.11276513E-1
564	2.11584345E-1
602	2.12106916E-1
629	2.12575356E-1
463	2.13337641E-1
766	2.15693139E-1
899	2.17131553E-1
16	2.19362071E-1
617	2.21177803E-1
758	2.2199947E-1
692	2.22078978E-1
778	2.22790219E-1
904	2.23641245E-1
120	2.25550351E-1
527	2.26104795E-1
348	2.27637888E-1
140	2.2842508E-1
1012	2.28851106E-1
265	2.29772761E-1
730	2.30170867E-1
789	2.30440553E-1
926	2.32120457E-1
587	2.33057355E-1
287	2.34148365E-1
318	2.35061905E-1
378	2.35801545E-1
111	2.36070701E-1
279	2.37570359E-1
555	2.38454281E-1
423	2.38546058E-1
988	2.39659219E-1
234	2.40887546E-1
565	2.41133577E-1
962	2.43076698E-1
26	2.45533844E-1
444	2.45726897E-1
832	2.46304188E-1
201	2.47903694E-1
393	2.47947949E-1
76	2.48543945E-1
206	2.49715585E-1
278	2.52753667E-1
538	2.5353778E-1
275	2.53787245E-1
956	2.53802602E-1
112	2.5402295E-1
260	2.56239311E-1
