Name	chi2Pvalue
438	1.09185136E-3
849	1.59782423E-3
284	5.88934013E-3
247	7.17088489E-3
211	7.22935465E-3
529	7.38964013E-3
501	8.07492257E-3
160	8.71567566E-3
224	9.90281136E-3
652	1.28342764E-2
381	1.34889311E-2
159	1.37194071E-2
262	1.46283978E-2
380	1.52972511E-2
433	1.62509409E-2
327	1.88938833E-2
403	1.97442004E-2
855	2.21213258E-2
499	2.28910908E-2
109	2.40606687E-2
649	2.5310266E-2
29	2.58980929E-2
236	2.64490737E-2
517	2.65083577E-2
995	2.65708339E-2
139	2.71685398E-2
953	2.96507866E-2
429	3.06913141E-2
604	3.10244775E-2
714	3.1236964E-2
804	3.18796906E-2
800	3.54753836E-2
624	3.61492179E-2
461	3.6346127E-2
187	3.64630278E-2
285	3.67408111E-2
600	3.7578538E-2
927	3.89230274E-2
573	3.93242603E-2
635	4.06399527E-2
889	4.09741202E-2
62	4.12565935E-2
741	4.27113183E-2
46	4.43606745E-2
67	4.45566144E-2
389	4.5754904E-2
86	4.58622607E-2
227	4.60724098E-2
347	4.67104283E-2
48	4.69405029E-2
599	4.77304313E-2
923	4.79647585E-2
744	4.84209173E-2
431	4.86159397E-2
706	4.98274398E-2
861	5.07057644E-2
564	5.10020525E-2
699	5.23635974E-2
183	5.26184967E-2
250	5.26962556E-2
588	5.31254069E-2
562	5.40523117E-2
36	5.42048141E-2
748	5.47226591E-2
72	5.51112788E-2
244	5.51250139E-2
377	5.5647614E-2
324	5.66030384E-2
449	5.88457113E-2
655	6.00703165E-2
629	6.09829838E-2
979	6.16661099E-2
122	6.26742155E-2
883	6.5633073E-2
418	6.73852736E-2
557	6.76811199E-2
911	6.80108931E-2
881	6.88804575E-2
125	6.89611999E-2
509	7.01280749E-2
102	7.03903329E-2
209	7.0860247E-2
315	7.10596788E-2
658	7.10672419E-2
396	7.29319975E-2
60	7.40856109E-2
409	7.72869895E-2
238	7.74450971E-2
436	7.910997E-2
735	7.96077845E-2
904	7.97809168E-2
597	8.01356034E-2
146	8.07838856E-2
1012	8.29169529E-2
875	8.36641112E-2
939	8.52504914E-2
169	8.66835666E-2
869	8.69251066E-2
775	8.70042036E-2
738	8.70115172E-2
685	8.71087765E-2
902	9.08968602E-2
567	9.09561217E-2
687	9.10588382E-2
668	9.29788486E-2
219	9.3069212E-2
458	9.46836657E-2
150	9.5191071E-2
653	9.77822399E-2
497	9.84833891E-2
734	9.95829505E-2
848	9.97710515E-2
464	1.02136943E-1
640	1.02478726E-1
823	1.03397551E-1
570	1.04720179E-1
401	1.0513751E-1
53	1.05922352E-1
100	1.06086035E-1
108	1.06773135E-1
59	1.12950776E-1
323	1.14782901E-1
718	1.16103076E-1
37	1.18346249E-1
505	1.19176554E-1
105	1.19351729E-1
829	1.20514449E-1
665	1.22564016E-1
594	1.25367567E-1
454	1.26907283E-1
233	1.33064638E-1
532	1.34548261E-1
188	1.36503855E-1
322	1.36809208E-1
137	1.36824475E-1
774	1.37687255E-1
12	1.39104235E-1
886	1.40473521E-1
709	1.41291193E-1
226	1.41532713E-1
41	1.42109895E-1
406	1.42631951E-1
130	1.44176353E-1
976	1.44600051E-1
241	1.4585812E-1
24	1.459527E-1
811	1.46990137E-1
390	1.47243434E-1
167	1.47479733E-1
622	1.49335293E-1
366	1.49771545E-1
578	1.4982966E-1
114	1.50188343E-1
5	1.50223823E-1
4	1.51390452E-1
724	1.51899353E-1
548	1.51967984E-1
856	1.52055926E-1
420	1.52358888E-1
686	1.53888354E-1
298	1.53988323E-1
729	1.5533033E-1
887	1.5703588E-1
720	1.57543833E-1
474	1.582686E-1
853	1.59396013E-1
427	1.59528156E-1
251	1.60958996E-1
691	1.61178147E-1
