Name	chi2Pvalue
160	2.62035822E-4
380	6.52890734E-4
938	1.44127892E-3
622	1.61232419E-3
699	2.58873009E-3
175	3.43885831E-3
847	5.05069137E-3
220	5.9878242E-3
108	6.77099239E-3
904	1.03510783E-2
873	1.17774488E-2
431	1.29621528E-2
131	1.3028325E-2
314	1.46611397E-2
718	1.55741297E-2
760	1.94280416E-2
683	2.3061309E-2
1008	2.4360814E-2
712	2.65859588E-2
470	2.71411565E-2
105	2.84974488E-2
966	2.88637532E-2
709	2.98682449E-2
1018	3.03489821E-2
27	3.16474391E-2
125	3.20719127E-2
875	3.21752735E-2
903	3.36650114E-2
7	3.53890729E-2
592	3.92893004E-2
227	4.23919315E-2
804	4.25001707E-2
739	4.35452275E-2
139	4.5059199E-2
994	4.63522079E-2
101	4.79753151E-2
641	4.91673875E-2
982	5.02425999E-2
1023	5.02998624E-2
170	5.18078744E-2
256	5.33749861E-2
879	5.34036163E-2
356	5.45071688E-2
963	5.4788964E-2
614	5.50405357E-2
810	5.53990157E-2
368	5.56503978E-2
930	5.61344639E-2
362	5.78307925E-2
475	5.81034562E-2
247	5.90756263E-2
852	6.04651498E-2
190	6.05349729E-2
740	6.10877751E-2
716	6.1166756E-2
416	6.25731385E-2
727	6.30202365E-2
427	6.39685505E-2
226	6.42869245E-2
628	6.44362078E-2
968	6.46311269E-2
670	6.58381702E-2
556	6.72307586E-2
304	6.7667212E-2
177	6.78746257E-2
294	6.92560428E-2
749	6.92590194E-2
1014	6.96311617E-2
557	7.04354432E-2
296	7.08873367E-2
549	7.09477563E-2
986	7.3260744E-2
570	7.50547756E-2
403	7.57187546E-2
324	7.60229812E-2
419	7.65878244E-2
843	7.77653753E-2
1015	7.86974797E-2
576	7.88223769E-2
1022	7.91601816E-2
659	7.918873E-2
554	7.99585949E-2
970	8.17325841E-2
462	8.24868028E-2
327	8.32116609E-2
704	8.37989522E-2
418	8.38228844E-2
687	8.44316217E-2
503	8.87527571E-2
189	8.87916558E-2
845	9.09941149E-2
97	9.36590629E-2
353	9.39249979E-2
257	9.39402108E-2
527	9.43976093E-2
513	9.45602927E-2
849	9.50878968E-2
29	9.72416259E-2
901	9.83196025E-2
827	9.92446819E-2
657	9.99595872E-2
652	1.01448444E-1
389	1.01617354E-1
255	1.03893531E-1
292	1.05149746E-1
373	1.06260838E-1
433	1.07185115E-1
780	1.0809948E-1
64	1.11446982E-1
24	1.11738209E-1
566	1.12806455E-1
667	1.13237537E-1
386	1.14712468E-1
869	1.14873714E-1
829	1.15707922E-1
499	1.15867853E-1
941	1.17018782E-1
823	1.18080431E-1
30	1.18740153E-1
89	1.21285849E-1
464	1.21631886E-1
265	1.21642927E-1
577	1.23297455E-1
821	1.24096224E-1
344	1.24210927E-1
51	1.24527023E-1
413	1.25954809E-1
735	1.26153306E-1
268	1.26314372E-1
797	1.26770949E-1
523	1.27712921E-1
71	1.28578752E-1
701	1.30368669E-1
136	1.35025851E-1
893	1.36934726E-1
627	1.37886516E-1
52	1.40367382E-1
706	1.41701892E-1
1013	1.41790344E-1
939	1.41808004E-1
390	1.41870373E-1
459	1.43053539E-1
976	1.445921E-1
856	1.45129822E-1
173	1.46759619E-1
46	1.47016388E-1
446	1.49094115E-1
144	1.4938883E-1
607	1.49479561E-1
871	1.51944286E-1
788	1.54966783E-1
355	1.56188378E-1
14	1.56245761E-1
923	1.57094508E-1
1019	1.58283736E-1
927	1.58667392E-1
141	1.58939557E-1
352	1.59362741E-1
391	1.61042891E-1
915	1.61338932E-1
642	1.61782182E-1
663	1.61994678E-1
578	1.63895331E-1
482	1.65267785E-1
251	1.6576996E-1
23	1.66113334E-1
186	1.66372601E-1
512	1.66620832E-1
435	1.66955568E-1
679	1.6839452E-1
896	1.69050087E-1
463	1.71224888E-1
881	1.71514458E-1
164	1.72408567E-1
87	1.72804626E-1
3	1.74023453E-1
11	1.74170083E-1
351	1.76496171E-1
880	1.76549577E-1
831	1.76816199E-1
69	1.77718124E-1
860	1.79500717E-1
960	1.80167518E-1
230	1.80487916E-1
565	1.80718953E-1
910	1.81396864E-1
892	1.82710387E-1
774	1.84353841E-1
884	1.85674079E-1
453	1.86051163E-1
511	1.86443229E-1
337	1.87033367E-1
1006	1.89191666E-1
616	1.90066227E-1
472	1.90210272E-1
420	1.91396466E-1
281	1.91706618E-1
363	1.9392892E-1
520	1.94260433E-1
224	1.95059834E-1
49	1.95821368E-1
662	1.97291604E-1
135	1.98512567E-1
837	1.99583036E-1
887	2.01424052E-1
1020	2.02154467E-1
