Name	chi2Pvalue
613	7.13457762E-4
75	9.41855748E-4
971	1.87673782E-3
746	2.65718115E-3
223	4.04980247E-3
459	4.95184701E-3
592	5.4382754E-3
659	5.77269067E-3
901	6.43170916E-3
743	6.59013354E-3
654	9.04207266E-3
199	9.2760579E-3
312	9.29158308E-3
94	9.38239949E-3
847	1.07056719E-2
232	1.19193556E-2
203	1.63354142E-2
108	1.77781968E-2
70	2.04734963E-2
290	2.12779013E-2
1011	2.16034962E-2
188	2.33392264E-2
864	2.35885297E-2
903	2.51860591E-2
508	2.74704636E-2
51	2.86426941E-2
319	2.88057675E-2
953	2.90336981E-2
695	2.93444611E-2
403	3.15463521E-2
1006	3.24954189E-2
501	3.28578304E-2
262	3.30098163E-2
791	3.32289938E-2
389	3.44297348E-2
600	3.55795832E-2
515	3.67335095E-2
186	3.76411003E-2
463	3.87897652E-2
118	3.89353471E-2
866	3.91912907E-2
855	3.92237861E-2
11	3.96492004E-2
856	4.01982369E-2
757	4.10751746E-2
1014	4.19397117E-2
928	4.20843349E-2
974	4.254325E-2
441	4.2679272E-2
995	4.31378711E-2
553	4.32202508E-2
78	4.32961164E-2
239	4.41543451E-2
640	4.69495618E-2
963	4.70627744E-2
550	4.73670804E-2
430	4.92980886E-2
774	5.03013098E-2
228	5.0883573E-2
558	5.44754682E-2
343	5.46110489E-2
202	5.48193181E-2
356	5.58972356E-2
628	5.6329727E-2
377	5.82291565E-2
797	5.9311285E-2
998	6.11865795E-2
245	6.13280596E-2
260	6.16920791E-2
21	6.29517961E-2
681	6.31942749E-2
976	6.61387496E-2
62	6.80356241E-2
313	7.03253426E-2
747	7.54290621E-2
322	7.56689016E-2
737	7.67444929E-2
911	7.71751161E-2
680	7.78601409E-2
164	7.81380628E-2
758	7.85617523E-2
854	7.95935888E-2
116	8.00567043E-2
386	8.0149013E-2
936	8.11595308E-2
165	8.26069601E-2
142	8.3156009E-2
1003	8.5594932E-2
46	8.62893072E-2
34	8.62963084E-2
52	8.83168344E-2
483	8.87885657E-2
834	9.14404465E-2
756	9.28903885E-2
538	9.37089121E-2
10	9.39531165E-2
433	9.41132453E-2
384	9.48008309E-2
308	9.79740532E-2
278	1.00955651E-1
759	1.02615332E-1
409	1.03850544E-1
9	1.04052472E-1
735	1.05539941E-1
429	1.06980025E-1
411	1.07734912E-1
178	1.09087963E-1
637	1.10543748E-1
865	1.10961101E-1
3	1.11384257E-1
607	1.11831832E-1
154	1.14217066E-1
914	1.14272694E-1
780	1.15529667E-1
822	1.15698206E-1
404	1.16699069E-1
958	1.16860111E-1
293	1.19254025E-1
337	1.20252338E-1
43	1.20432198E-1
98	1.20617505E-1
663	1.20952534E-1
299	1.21810139E-1
225	1.21961774E-1
67	1.23461461E-1
886	1.234872E-1
265	1.23792724E-1
773	1.25551558E-1
122	1.27708865E-1
863	1.28967215E-1
993	1.29282357E-1
691	1.29533169E-1
980	1.29569287E-1
547	1.29908747E-1
545	1.30426017E-1
211	1.30553567E-1
121	1.31197881E-1
518	1.31892054E-1
13	1.32850174E-1
89	1.33268613E-1
382	1.3326913E-1
190	1.33342015E-1
649	1.34380653E-1
292	1.34603785E-1
452	1.38288428E-1
282	1.4236999E-1
270	1.43287905E-1
328	1.43413208E-1
800	1.43816916E-1
946	1.44859528E-1
726	1.47386457E-1
93	1.4757146E-1
45	1.47626054E-1
599	1.476292E-1
158	1.48143486E-1
762	1.50191489E-1
64	1.51792994E-1
371	1.52119507E-1
643	1.52711841E-1
955	1.53581768E-1
311	1.56359429E-1
30	1.60877297E-1
944	1.61749838E-1
493	1.65688526E-1
474	1.66033183E-1
850	1.66159242E-1
91	1.66255101E-1
874	1.66258275E-1
700	1.66375579E-1
614	1.6670573E-1
215	1.70287157E-1
776	1.70794642E-1
399	1.71202994E-1
111	1.71748747E-1
907	1.72956768E-1
115	1.73769207E-1
537	1.74351922E-1
872	1.77049082E-1
764	1.7740346E-1
589	1.77698118E-1
350	1.80391421E-1
821	1.81575479E-1
335	1.81649124E-1
484	1.82269805E-1
755	1.82771298E-1
76	1.83058467E-1
730	1.83705605E-1
279	1.84874984E-1
768	1.87640277E-1
836	1.87780626E-1
233	1.88940373E-1
706	1.89142511E-1
47	1.91425647E-1
991	1.92928892E-1
381	1.92947354E-1
370	1.93779961E-1
268	1.94850199E-1
477	1.95174787E-1
425	1.99411618E-1
114	2.00866317E-1
479	2.0199544E-1
627	2.02119647E-1
860	2.02137157E-1
27	2.05260828E-1
31	2.05474013E-1
