Name	chi2Pvalue
789	1.03637139E-3
565	1.73593392E-3
476	2.0321703E-3
1018	3.39488837E-3
179	5.18564613E-3
678	5.29726577E-3
844	5.48422302E-3
853	7.77146726E-3
482	8.67391129E-3
513	8.7615602E-3
998	1.12494818E-2
366	1.19486893E-2
797	1.27918008E-2
949	1.2917723E-2
874	1.38682477E-2
228	1.48232011E-2
849	1.84582633E-2
903	2.30771177E-2
72	2.32213174E-2
351	2.52769007E-2
534	2.54164174E-2
9	2.6384394E-2
830	3.13414291E-2
985	3.26471091E-2
194	3.33802532E-2
439	3.58808384E-2
20	3.8520805E-2
777	3.93512246E-2
118	3.95120139E-2
562	3.97938035E-2
160	4.3110923E-2
864	4.39521791E-2
951	4.3969356E-2
875	4.46593619E-2
782	4.48470637E-2
761	4.67929456E-2
1023	5.2856404E-2
709	5.39361159E-2
250	5.55904196E-2
923	6.02964991E-2
1019	6.08305591E-2
324	6.0952079E-2
950	6.12358381E-2
574	6.20485689E-2
101	6.26271807E-2
453	6.34083631E-2
248	6.5033295E-2
835	6.54937281E-2
575	6.70252215E-2
621	7.084534E-2
436	7.20802969E-2
961	7.32279267E-2
940	7.34097712E-2
602	7.43249203E-2
932	7.59933141E-2
607	7.7473233E-2
384	7.97514284E-2
640	7.99541834E-2
148	8.01731706E-2
59	8.03245568E-2
218	8.14419604E-2
857	8.28783839E-2
180	8.29146562E-2
183	8.32168503E-2
876	8.33721525E-2
75	8.40345665E-2
560	8.43799809E-2
255	8.50496984E-2
912	8.60074639E-2
695	8.61205808E-2
714	8.70714908E-2
389	8.725556E-2
944	8.8537037E-2
1012	8.86086561E-2
947	8.94690598E-2
60	8.96513144E-2
277	9.08962668E-2
952	9.1269313E-2
547	9.18286055E-2
804	9.27895987E-2
919	9.57545336E-2
89	9.60020453E-2
189	9.68325896E-2
974	9.92223597E-2
962	1.00322125E-1
110	1.01116229E-1
353	1.01442004E-1
796	1.01582495E-1
175	1.04563436E-1
1020	1.05438522E-1
885	1.06460652E-1
829	1.0789513E-1
44	1.10989758E-1
834	1.11244006E-1
232	1.12382034E-1
322	1.15872167E-1
927	1.17855757E-1
381	1.18200323E-1
986	1.183958E-1
977	1.19661924E-1
1021	1.19760499E-1
388	1.20882E-1
339	1.21398901E-1
586	1.22026104E-1
880	1.22253678E-1
24	1.23529369E-1
570	1.23783296E-1
897	1.23791779E-1
68	1.24152998E-1
374	1.24163512E-1
530	1.24318223E-1
672	1.24471594E-1
619	1.25597344E-1
227	1.26380816E-1
43	1.2868823E-1
881	1.29706106E-1
95	1.32516406E-1
781	1.3267533E-1
683	1.33883303E-1
377	1.33991213E-1
899	1.3575974E-1
745	1.3708882E-1
681	1.37100139E-1
490	1.37133404E-1
205	1.38037883E-1
356	1.38750323E-1
510	1.38839547E-1
627	1.3995241E-1
316	1.40768148E-1
836	1.41322103E-1
773	1.41929337E-1
242	1.42540623E-1
752	1.42564354E-1
459	1.45368957E-1
299	1.46662337E-1
361	1.48242246E-1
343	1.48504688E-1
485	1.48523586E-1
997	1.48979789E-1
614	1.49516883E-1
504	1.49909936E-1
708	1.51465869E-1
243	1.52510295E-1
249	1.54647487E-1
674	1.55645178E-1
176	1.56057928E-1
803	1.56278182E-1
425	1.56647057E-1
141	1.56693246E-1
639	1.56717155E-1
922	1.59248458E-1
471	1.62625363E-1
282	1.62650306E-1
887	1.63223192E-1
553	1.63922416E-1
420	1.65103857E-1
309	1.66380111E-1
908	1.68229232E-1
715	1.69573123E-1
0	1.70290872E-1
52	1.70500425E-1
542	1.71753559E-1
74	1.71885424E-1
795	1.72668432E-1
464	1.73006592E-1
407	1.73177574E-1
491	1.7523371E-1
556	1.77027238E-1
