Name	chi2Pvalue
781	1.10116978E-4
847	1.45680928E-3
844	1.63455273E-3
170	1.67718314E-3
104	2.00456211E-3
471	3.33226904E-3
216	4.81599875E-3
453	5.03608814E-3
377	5.60673742E-3
277	9.37506489E-3
38	9.60464705E-3
469	1.00291078E-2
709	1.03984791E-2
412	1.10113557E-2
271	1.21201732E-2
0	1.33932766E-2
1004	1.82977128E-2
773	2.01064795E-2
840	2.07083269E-2
748	2.07390695E-2
864	2.11429268E-2
322	2.21919704E-2
760	2.34993759E-2
790	2.37553161E-2
457	2.47603179E-2
884	2.52460242E-2
100	2.58225168E-2
782	2.66946208E-2
153	2.70304198E-2
547	2.72355832E-2
858	2.79447718E-2
553	2.84681811E-2
777	2.9774568E-2
162	3.04940465E-2
661	3.20094859E-2
616	3.20790899E-2
906	3.45838574E-2
29	3.67390705E-2
439	3.73341868E-2
674	3.98034942E-2
126	4.08152452E-2
55	4.23829106E-2
83	4.29543096E-2
624	4.41771414E-2
10	4.4583838E-2
857	4.67065115E-2
112	4.7491223E-2
452	4.90724368E-2
722	5.15538794E-2
967	5.17765796E-2
976	5.21893387E-2
188	5.36269404E-2
909	5.73377872E-2
32	5.76776192E-2
205	5.77517407E-2
715	5.86603724E-2
966	5.95498197E-2
604	5.96853674E-2
849	6.07552023E-2
719	6.08881029E-2
279	6.10637218E-2
928	6.2519013E-2
228	6.42213342E-2
619	6.45775364E-2
809	6.4833489E-2
133	6.48389281E-2
389	6.49299081E-2
539	6.66466477E-2
804	6.68560018E-2
780	6.83505458E-2
854	6.85057362E-2
26	6.92665192E-2
510	6.98229712E-2
592	7.27473987E-2
897	7.39333139E-2
214	7.47816075E-2
531	7.53498417E-2
260	7.68422516E-2
124	7.71252494E-2
393	7.75209707E-2
176	7.79939389E-2
946	7.97179997E-2
728	8.13297318E-2
302	8.42264092E-2
530	8.53232212E-2
607	8.59855815E-2
144	8.62309091E-2
60	8.670431E-2
92	8.68946364E-2
190	8.83609969E-2
693	9.22016886E-2
538	9.24442763E-2
403	9.29683624E-2
111	9.31079516E-2
629	9.41368331E-2
344	9.4343075E-2
134	9.62288494E-2
983	9.75792668E-2
630	9.78327684E-2
948	1.00046081E-1
648	1.01526474E-1
883	1.01553822E-1
87	1.01762892E-1
880	1.02572919E-1
331	1.04517442E-1
346	1.04832353E-1
199	1.05903287E-1
151	1.09029917E-1
194	1.09523327E-1
845	1.09968801E-1
934	1.13619875E-1
48	1.13683837E-1
801	1.15339818E-1
192	1.18478348E-1
731	1.19466312E-1
384	1.20571641E-1
924	1.20714985E-1
451	1.2152564E-1
224	1.22318155E-1
68	1.22611117E-1
355	1.22783425E-1
428	1.22888905E-1
90	1.26915153E-1
193	1.27580174E-1
14	1.27846612E-1
835	1.28242258E-1
585	1.28294372E-1
652	1.29309935E-1
842	1.29636141E-1
215	1.31824881E-1
927	1.32562253E-1
863	1.32804337E-1
239	1.33099422E-1
561	1.33544413E-1
913	1.36793237E-1
1001	1.37459951E-1
316	1.37603092E-1
430	1.40619749E-1
93	1.41908246E-1
747	1.42339854E-1
88	1.42597429E-1
970	1.43671287E-1
340	1.4450991E-1
831	1.46205278E-1
13	1.47795564E-1
458	1.48047127E-1
95	1.48051416E-1
587	1.48638124E-1
810	1.51393801E-1
740	1.51438416E-1
420	1.51926509E-1
654	1.53634255E-1
524	1.54331461E-1
1005	1.55499096E-1
799	1.56686177E-1
736	1.5829184E-1
182	1.59503298E-1
962	1.61128065E-1
234	1.61331129E-1
556	1.61644639E-1
578	1.64054231E-1
157	1.64746649E-1
559	1.65059926E-1
900	1.65248272E-1
651	1.68383681E-1
978	1.71120299E-1
184	1.71558677E-1
297	1.72007382E-1
603	1.73238492E-1
296	1.73284266E-1
744	1.73977109E-1
482	1.74131982E-1
815	1.75485675E-1
378	1.75734843E-1
364	1.75906306E-1
841	1.76756611E-1
250	1.78016367E-1
570	1.82784681E-1
814	1.84811252E-1
342	1.84994245E-1
373	1.854244E-1
805	1.86002912E-1
106	1.87792996E-1
35	1.88933117E-1
730	1.90161496E-1
475	1.90969033E-1
871	1.92796978E-1
117	1.95164635E-1
406	1.96396318E-1
299	1.96789891E-1
330	1.97515505E-1
338	1.97536684E-1
850	1.98416613E-1
532	1.98780322E-1
462	2.00163152E-1
577	2.00945998E-1
852	2.01281132E-1
312	2.02099449E-1
834	2.0238834E-1
749	2.03181801E-1
354	2.03843229E-1
1	2.04826584E-1
310	2.05135583E-1
1003	2.06000521E-1
52	2.08592723E-1
309	2.11299178E-1
80	2.11986744E-1
775	2.11990218E-1
812	2.12168966E-1
766	2.1245746E-1
212	2.12885894E-1
388	2.14166618E-1
1018	2.15255138E-1
655	2.15354158E-1
1008	2.16059194E-1
806	2.18542375E-1
148	2.19627804E-1
768	2.22844478E-1
998	2.23137507E-1
821	2.23247968E-1
186	2.24310998E-1
575	2.25215859E-1
201	2.25664562E-1
258	2.25716161E-1
474	2.26281467E-1
155	2.27064019E-1
958	2.28050316E-1
716	2.29797232E-1
711	2.32167953E-1
221	2.32351772E-1
565	2.32718369E-1
59	2.34207383E-1
641	2.34925933E-1
94	2.34925963E-1
677	2.34969385E-1
808	2.37193512E-1
180	2.37513321E-1
160	2.38182861E-1
678	2.38862645E-1
1019	2.39902847E-1
836	2.40402631E-1
509	2.40505293E-1
866	2.40616155E-1
1017	2.42348313E-1
529	2.42475101E-1
325	2.43076418E-1
945	2.4505392E-1
623	2.46568647E-1
703	2.46697576E-1
434	2.47658928E-1
125	2.50087486E-1
280	2.50440705E-1
256	2.52125995E-1
442	2.53089653E-1
686	2.53252831E-1
625	2.54051815E-1
922	2.55054448E-1
356	2.55222633E-1
445	2.55246031E-1
1006	2.55249537E-1
335	2.56100954E-1
361	2.58129108E-1
833	2.58703552E-1
204	2.59450504E-1
827	2.60171035E-1
400	2.61016671E-1
933	2.61042021E-1
789	2.61371176E-1
91	2.62925327E-1
314	2.63352649E-1
449	2.63694067E-1
667	2.64226899E-1
177	2.64738655E-1
602	2.66134568E-1
241	2.68817814E-1
12	2.69967258E-1
739	2.71054292E-1
984	2.71073022E-1
455	2.72328766E-1
611	2.72898994E-1
142	2.7362738E-1
823	2.73758969E-1
209	2.74788858E-1
639	2.75643189E-1
839	2.78321648E-1
24	2.78589564E-1
497	2.80299534E-1
264	2.8043322E-1
114	2.84130205E-1
470	2.84698647E-1
135	2.85011254E-1
707	2.85886404E-1
508	2.87360547E-1
710	2.88332888E-1
149	2.89992349E-1
930	2.91080312E-1
178	2.9135554E-1
968	2.92538959E-1
697	2.93729457E-1
336	2.93930716E-1
534	2.9493349E-1
429	2.95216479E-1
671	2.95291395E-1
991	2.97124951E-1
579	2.98602437E-1
660	2.98624649E-1
506	2.98733944E-1
371	2.99809572E-1
872	3.00843842E-1
886	3.0137385E-1
784	3.01390961E-1
206	3.0217679E-1
513	3.02479273E-1
295	3.02512719E-1
102	3.03033742E-1
138	3.03389194E-1
71	3.03603141E-1
829	3.0595728E-1
820	3.07506551E-1
120	3.07756261E-1
756	3.08165565E-1
938	3.08626101E-1
64	3.09596384E-1
405	3.09972154E-1
573	3.11663419E-1
284	3.12535555E-1
67	3.12750964E-1
33	3.12766063E-1
219	3.13797409E-1
413	3.16888063E-1
542	3.18417031E-1
1010	3.18417685E-1
1000	3.20403854E-1
950	3.21436757E-1
774	3.22631116E-1
605	3.23642294E-1
838	3.2411507E-1
139	3.25966056E-1
444	3.27304517E-1
771	3.28585039E-1
593	3.28665581E-1
476	3.30266459E-1
3	3.30447513E-1
576	3.31981936E-1
904	3.32059493E-1
119	3.33855537E-1
146	3.36215943E-1
936	3.36269993E-1
916	3.36552305E-1
735	3.36845254E-1
359	3.36871541E-1
885	3.36871802E-1
1013	3.37060362E-1
926	3.37311447E-1
492	3.37534698E-1
324	3.3850889E-1
349	3.38632809E-1
154	3.39160968E-1
427	3.4061083E-1
317	3.44396359E-1
381	3.46308901E-1
690	3.46349628E-1
230	3.46962505E-1
115	3.47085399E-1
659	3.5006389E-1
261	3.50304718E-1
522	3.50543602E-1
370	3.5230671E-1
598	3.5290646E-1
11	3.53948369E-1
101	3.54527553E-1
417	3.55180108E-1
876	3.55538207E-1
376	3.60259005E-1
1012	3.60371651E-1
649	3.61771985E-1
54	3.62803918E-1
253	3.63716382E-1
327	3.64152627E-1
796	3.64305661E-1
433	3.65219273E-1
290	3.66240953E-1
351	3.66590489E-1
1020	3.68293397E-1
557	3.70852972E-1
350	3.72138856E-1
622	3.7441301E-1
944	3.76491038E-1
380	3.78584788E-1
982	3.8061133E-1
372	3.82176681E-1
979	3.83471717E-1
997	3.85527004E-1
246	3.86966066E-1
862	3.86990324E-1
288	3.87051975E-1
566	3.87319521E-1
974	3.87453409E-1
682	3.88755271E-1
905	3.89832281E-1
755	3.90897678E-1
218	3.90955608E-1
902	3.91451633E-1
421	3.91699529E-1
700	3.91721569E-1
183	3.97070388E-1
932	4.00570135E-1
800	4.01661713E-1
793	4.01791901E-1
718	4.03065449E-1
702	4.03768185E-1
787	4.04248609E-1
981	4.04441705E-1
875	4.05370991E-1
555	4.05475149E-1
550	4.05930279E-1
941	4.06291314E-1
937	4.0663872E-1
166	4.0694763E-1
438	4.08519795E-1
708	4.0924166E-1
571	4.11052405E-1
986	4.11903645E-1
959	4.137423E-1
952	4.16477038E-1
128	4.19178014E-1
613	4.19867438E-1
664	4.21349614E-1
734	4.21739646E-1
828	4.23268791E-1
225	4.23986299E-1
569	4.24664602E-1
175	4.25988429E-1
360	4.27906547E-1
487	4.2795314E-1
70	4.28277277E-1
824	4.28558049E-1
311	4.30655042E-1
164	4.30806808E-1
189	4.31410547E-1
202	4.33228876E-1
684	4.3434523E-1
680	4.35901133E-1
665	4.35959982E-1
366	4.37306464E-1
527	4.37798337E-1
601	4.392134E-1
594	4.39513466E-1
901	4.3968154E-1
795	4.40681712E-1
912	4.40824409E-1
305	4.41296802E-1
914	4.41999787E-1
418	4.42282866E-1
211	4.43128758E-1
410	4.43437761E-1
890	4.4657965E-1
437	4.48971365E-1
636	4.50222541E-1
491	4.51390259E-1
541	4.54367945E-1
877	4.54767831E-1
185	4.55382659E-1
78	4.55471998E-1
30	4.57575415E-1
763	4.5782465E-1
788	4.58867473E-1
683	4.59818283E-1
657	4.62015502E-1
663	4.62804326E-1
276	4.6371219E-1
473	4.64701701E-1
741	4.6503244E-1
460	4.65359633E-1
546	4.65638682E-1
947	4.71540716E-1
617	4.71993136E-1
464	4.72192629E-1
477	4.72266323E-1
911	4.72689677E-1
282	4.72975518E-1
892	4.73635552E-1
348	4.75133816E-1
46	4.75667833E-1
391	4.75823213E-1
165	4.7631227E-1
231	4.77648358E-1
956	4.77828222E-1
367	4.78823701E-1
851	4.81817669E-1
96	4.81839479E-1
