Name	chi2Pvalue
847	2.19687743E-3
476	2.95351927E-3
72	3.25932834E-3
949	4.29589516E-3
389	5.05950959E-3
427	5.42674984E-3
343	5.53239091E-3
118	6.75499691E-3
205	8.08405685E-3
844	8.35842483E-3
965	1.06801952E-2
377	1.24254414E-2
913	1.41221657E-2
565	1.42545778E-2
651	1.4285538E-2
639	1.46907987E-2
803	1.5780312E-2
709	1.81472653E-2
874	1.86297683E-2
570	1.98337827E-2
981	2.25010247E-2
437	2.44927043E-2
829	2.52688679E-2
1021	2.55119336E-2
113	2.59452741E-2
930	2.60355562E-2
20	2.67970774E-2
400	2.75775758E-2
789	2.76866182E-2
678	2.8710112E-2
496	2.88098505E-2
743	2.88131489E-2
89	3.13121192E-2
830	3.15911341E-2
157	3.19956744E-2
626	3.34921621E-2
899	3.44938647E-2
730	3.52213447E-2
490	3.5668525E-2
161	3.59785415E-2
924	3.64960379E-2
228	3.70023927E-2
951	3.75009528E-2
992	3.84248973E-2
834	3.91227306E-2
239	3.93811244E-2
778	4.31342411E-2
964	4.3796655E-2
0	4.38090667E-2
592	4.40265786E-2
994	4.62636398E-2
179	4.75927333E-2
952	4.78076661E-2
534	4.85649103E-2
634	5.0292193E-2
284	5.08947992E-2
635	5.14691921E-2
471	5.16602863E-2
227	5.23649381E-2
903	5.3262377E-2
864	5.51760401E-2
242	5.52794994E-2
927	5.52931171E-2
571	5.53431543E-2
12	5.5389734E-2
29	5.61037044E-2
853	6.1448897E-2
23	6.16296341E-2
321	6.36106087E-2
464	6.40874764E-2
322	6.58755791E-2
684	6.74406536E-2
330	6.86513681E-2
797	6.96970664E-2
922	7.02825782E-2
175	7.1950044E-2
923	7.30140895E-2
206	7.3163385E-2
881	7.33760021E-2
363	7.38571051E-2
43	7.41374172E-2
423	7.60306609E-2
5	7.60663324E-2
197	7.68302471E-2
482	7.90012541E-2
254	7.93450286E-2
962	7.9761509E-2
740	8.03605759E-2
390	8.0376505E-2
657	8.35185069E-2
248	8.54529342E-2
260	8.65008059E-2
554	8.65540226E-2
40	8.80810971E-2
810	9.20256478E-2
319	9.27454064E-2
726	9.2976934E-2
170	9.34894454E-2
756	9.49103084E-2
131	9.56335438E-2
950	9.60502448E-2
134	9.69687002E-2
577	9.75030386E-2
722	9.78528816E-2
36	9.8891158E-2
81	9.98180301E-2
32	1.00061647E-1
17	1.00399231E-1
555	1.00516626E-1
194	1.0109939E-1
250	1.020684E-1
979	1.02164678E-1
749	1.04662644E-1
272	1.07097802E-1
210	1.07703049E-1
428	1.09044833E-1
489	1.12802681E-1
987	1.12836313E-1
90	1.15378371E-1
683	1.17942522E-1
667	1.18162262E-1
324	1.18320003E-1
625	1.18452078E-1
202	1.1953585E-1
621	1.2021301E-1
509	1.202304E-1
127	1.20423029E-1
985	1.21099613E-1
305	1.21500047E-1
846	1.22917916E-1
275	1.23488952E-1
1004	1.24447198E-1
845	1.24804397E-1
353	1.26364831E-1
602	1.27439896E-1
459	1.30032032E-1
123	1.30377974E-1
733	1.31433676E-1
695	1.32091355E-1
302	1.35159714E-1
366	1.35710887E-1
588	1.37871327E-1
516	1.407665E-1
338	1.40970768E-1
99	1.42004085E-1
978	1.43686054E-1
906	1.44999385E-1
669	1.45336442E-1
9	1.46565737E-1
44	1.50446672E-1
75	1.50789357E-1
887	1.52457849E-1
714	1.5388563E-1
24	1.53989731E-1
446	1.54421287E-1
856	1.56386521E-1
310	1.58810348E-1
232	1.58864942E-1
88	1.59140703E-1
713	1.59242426E-1
340	1.60085388E-1
270	1.6362658E-1
91	1.63749443E-1
279	1.64470816E-1
126	1.66036842E-1
959	1.66478175E-1
71	1.67470148E-1
474	1.68327228E-1
901	1.6850316E-1
792	1.69138547E-1
608	1.69316279E-1
1001	1.70054671E-1
971	1.70103579E-1
972	1.70158164E-1
957	1.71455242E-1
872	1.72587173E-1
530	1.73258538E-1
335	1.73541332E-1
793	1.74816694E-1
791	1.77854602E-1
539	1.77891903E-1
104	1.78026379E-1
185	1.78113148E-1
49	1.80395034E-1
870	1.80972146E-1
597	1.82062758E-1
517	1.82170228E-1
339	1.82933535E-1
795	1.83333041E-1
754	1.83837612E-1
989	1.86840613E-1
341	1.88668259E-1
560	1.93443436E-1
405	1.94073138E-1
154	1.96125158E-1
100	1.98012538E-1
385	2.00032074E-1
865	2.00390254E-1
855	2.02282159E-1
41	2.0344723E-1
313	2.05675577E-1
439	2.06007727E-1
941	2.13141815E-1
46	2.14832251E-1
236	2.14866119E-1
961	2.15496394E-1
406	2.16743904E-1
788	2.17142578E-1
271	2.17239036E-1
45	2.18646377E-1
685	2.19692483E-1
1018	2.2072944E-1
136	2.21703232E-1
63	2.22787813E-1
837	2.22860557E-1
878	2.23299312E-1
606	2.25000061E-1
843	2.25102153E-1
484	2.25372438E-1
308	2.258121E-1
384	2.29033946E-1
463	2.29410732E-1
7	2.30375898E-1
640	2.303927E-1
364	2.33559305E-1
717	2.36463064E-1
70	2.36929964E-1
747	2.3747557E-1
510	2.38298523E-1
240	2.38643776E-1
511	2.38763569E-1
538	2.39557638E-1
1020	2.42024193E-1
800	2.42680683E-1
263	2.43023651E-1
654	2.43480453E-1
485	2.44351654E-1
750	2.46885844E-1
31	2.48225447E-1
782	2.48699397E-1
314	2.49537092E-1
436	2.49632001E-1
751	2.50501976E-1
351	2.50566538E-1
1010	2.51248555E-1
214	2.51439412E-1
417	2.53065826E-1
970	2.5440166E-1
806	2.56242664E-1
880	2.57005631E-1
418	2.6017911E-1
441	2.60614024E-1
708	2.61497249E-1
633	2.63395228E-1
52	2.6572288E-1
94	2.67041572E-1
122	2.67754755E-1
162	2.67908276E-1
257	2.69481927E-1
630	2.69755048E-1
607	2.70911045E-1
914	2.72038135E-1
532	2.72830738E-1
1017	2.73784305E-1
217	2.73964973E-1
59	2.74614799E-1
120	2.77851714E-1
809	2.7820334E-1
876	2.796832E-1
905	2.80354708E-1
288	2.80538117E-1
998	2.82107074E-1
637	2.84194529E-1
601	2.84850601E-1
280	2.8538962E-1
500	2.87270027E-1
780	2.87343379E-1
652	2.88000437E-1
129	2.88853494E-1
624	2.89604416E-1
96	2.91546497E-1
877	2.92201093E-1
486	2.92752031E-1
917	2.92935165E-1
919	2.93035107E-1
156	2.93086422E-1
133	2.93983784E-1
821	2.93990566E-1
1019	2.94059048E-1
915	2.94835272E-1
777	2.95217536E-1
22	2.96006969E-1
504	2.96969336E-1
148	2.98395942E-1
858	2.99063463E-1
76	2.999999E-1
908	3.00418122E-1
973	3.00686703E-1
739	3.00761345E-1
259	3.01360403E-1
6	3.02084139E-1
649	3.03219573E-1
74	3.03867926E-1
294	3.05566181E-1
380	3.07504518E-1
83	3.07731731E-1
648	3.08534345E-1
354	3.08818452E-1
909	3.09683982E-1
566	3.10280211E-1
617	3.10646954E-1
336	3.11064657E-1
315	3.110756E-1
411	3.13410684E-1
169	3.14030177E-1
997	3.14935186E-1
110	3.17483622E-1
502	3.17605709E-1
975	3.1781587E-1
859	3.1952891E-1
66	3.20051185E-1
897	3.21699122E-1
507	3.2271413E-1
433	3.22911545E-1
87	3.23981309E-1
355	3.24358266E-1
527	3.25663357E-1
255	3.25870801E-1
189	3.27725599E-1
727	3.28276076E-1
693	3.31405248E-1
761	3.34653691E-1
191	3.35705735E-1
514	3.38441547E-1
900	3.40181244E-1
512	3.4085085E-1
940	3.41979013E-1
614	3.42293456E-1
303	3.44185848E-1
124	3.45548268E-1
580	3.46469484E-1
56	3.4649979E-1
609	3.4704642E-1
835	3.47260509E-1
119	3.47579176E-1
585	3.47602741E-1
267	3.4774501E-1
974	3.48041851E-1
165	3.49300072E-1
814	3.49581051E-1
35	3.51695052E-1
616	3.52068725E-1
97	3.52515395E-1
831	3.52569058E-1
393	3.54206836E-1
645	3.54252096E-1
281	3.55781158E-1
824	3.56239508E-1
455	3.57809046E-1
172	3.58027331E-1
1012	3.59824263E-1
224	3.6076112E-1
770	3.62158278E-1
291	3.6263326E-1
658	3.63066335E-1
895	3.64043231E-1
644	3.65720599E-1
819	3.66283237E-1
562	3.66369677E-1
934	3.67210152E-1
383	3.68796673E-1
422	3.69724014E-1
456	3.69942621E-1
836	3.76239854E-1
849	3.76495104E-1
871	3.76831357E-1
632	3.79036984E-1
431	3.81341553E-1
851	3.81626433E-1
207	3.81676845E-1
675	3.81838869E-1
1023	3.82419091E-1
1022	3.82840626E-1
307	3.8288363E-1
174	3.83294419E-1
26	3.84217791E-1
938	3.8481806E-1
95	3.85434354E-1
525	3.86881949E-1
178	3.877749E-1
415	3.89252588E-1
541	3.892713E-1
48	3.89844157E-1
317	3.91692395E-1
896	3.92904314E-1
77	3.93340015E-1
948	3.93479397E-1
404	3.94050429E-1
180	3.94885334E-1
268	3.98273957E-1
445	3.98938684E-1
698	3.9906719E-1
102	4.02401277E-1
672	4.02572529E-1
316	4.0319295E-1
55	4.04200139E-1
720	4.04553931E-1
306	4.07733676E-1
618	4.09393326E-1
183	4.09846967E-1
690	4.10076787E-1
114	4.11672285E-1
181	4.11919066E-1
813	4.13929516E-1
424	4.14017125E-1
37	4.15132729E-1
218	4.15364009E-1
1014	4.15648091E-1
65	4.15660766E-1
671	4.1724175E-1
860	4.17763593E-1
582	4.17990893E-1
548	4.19197823E-1
465	4.20152568E-1
356	4.20337715E-1
304	4.20909056E-1
537	4.21332572E-1
611	4.22096637E-1
572	4.22299802E-1
884	4.22522081E-1
586	4.24072927E-1
488	4.25838487E-1
787	4.29368192E-1
234	4.29579218E-1
413	4.29695995E-1
918	4.30879901E-1
101	4.30977183E-1
216	4.32433909E-1
699	4.32594983E-1
408	4.33941837E-1
584	4.34423718E-1
235	4.36792338E-1
245	4.36946783E-1
33	4.38018895E-1
163	4.38035099E-1
931	4.38108668E-1
697	4.39332655E-1
326	4.41576982E-1
481	4.43456947E-1
748	4.45386094E-1
794	4.47079346E-1
766	4.51330458E-1
166	4.51770717E-1
567	4.52229869E-1
1006	4.52767939E-1
956	4.53322548E-1
753	4.54974255E-1
173	4.55331002E-1
57	4.56397831E-1
600	4.57427895E-1
982	4.57731805E-1
776	4.58955413E-1
416	4.5960781E-1
576	4.61192859E-1
936	4.62619879E-1
1003	4.64376417E-1
262	4.65031873E-1
192	4.65366557E-1
237	4.66135378E-1
386	4.66718037E-1
744	4.66921266E-1
596	4.67380664E-1
593	4.67790074E-1
798	4.67991594E-1
661	4.69287716E-1
80	4.69705424E-1
910	4.70912417E-1
759	4.71011438E-1
325	4.72243337E-1
64	4.72573953E-1
233	4.75914989E-1
407	4.76466634E-1
73	4.77660543E-1
108	4.78380328E-1
944	4.78929862E-1
610	4.79433407E-1
289	4.81249313E-1
467	4.82316442E-1
535	4.86444179E-1
188	4.87974732E-1
4	4.89846008E-1
204	4.90550078E-1
282	4.91148893E-1
92	4.94576451E-1
687	4.95456893E-1
647	4.97643978E-1
681	4.97784478E-1
374	4.98242004E-1
676	5.00027402E-1
147	5.00457831E-1
636	5.00561074E-1
13	5.00972021E-1
826	5.01369023E-1
642	5.02159926E-1
388	5.02300948E-1
543	5.02826111E-1
301	5.04128464E-1
462	5.04374354E-1
933	5.05951295E-1
60	5.06389849E-1
373	5.07189066E-1
375	5.07250114E-1
863	5.09789297E-1
603	5.10564305E-1
149	5.10876763E-1
904	5.11362572E-1
945	5.11417658E-1
513	5.11722385E-1
808	5.12646503E-1
505	5.13260983E-1
409	5.14244842E-1
196	5.14626043E-1
666	5.15587357E-1
425	5.16859149E-1
34	5.17443387E-1
716	5.19667152E-1
58	5.20051441E-1
112	5.20217428E-1
783	5.21084198E-1
732	5.21245046E-1
868	5.21659604E-1
252	5.23216041E-1
370	5.23809606E-1
381	5.24623018E-1
822	5.24699868E-1
891	5.25446955E-1
866	5.26058734E-1
889	5.26077229E-1
344	5.28263478E-1
937	5.30346182E-1
155	5.30477902E-1
333	5.31122695E-1
15	5.35195016E-1
581	5.37267056E-1
332	5.37405863E-1
285	5.37670207E-1
273	5.38439167E-1
105	5.38676011E-1
466	5.39798852E-1
498	5.40587137E-1
912	5.40977436E-1
694	5.41211839E-1
688	5.41510138E-1
226	5.42682827E-1
223	5.44542419E-1
627	5.45197884E-1
468	5.46264481E-1
426	5.47441104E-1
430	5.47551329E-1
396	5.49696612E-1
929	5.50156856E-1
745	5.52317469E-1
187	5.52610973E-1
144	5.54111661E-1
703	5.54321195E-1
265	5.54904479E-1
563	5.54960606E-1
53	5.55185631E-1
790	5.56599077E-1
594	5.57531066E-1
458	5.58238764E-1
1002	5.58874232E-1
199	5.59083829E-1
575	5.59741419E-1
1013	5.59874376E-1
107	5.60184235E-1
111	5.60823701E-1
