Name	chi2Pvalue
823	5.22593808E-5
745	3.21018452E-4
393	4.8730896E-4
353	9.34964445E-4
608	2.0365078E-3
537	2.26788005E-3
973	2.59198329E-3
146	4.06123756E-3
622	8.56822063E-3
581	1.15997246E-2
215	1.27616346E-2
310	1.3224701E-2
596	1.38228812E-2
705	1.48054812E-2
73	1.48297018E-2
778	1.50789506E-2
704	1.5178461E-2
814	1.69160867E-2
221	1.76721348E-2
683	2.28637662E-2
493	2.34672568E-2
560	2.39412761E-2
880	2.53347701E-2
613	2.65841723E-2
525	2.7160562E-2
139	2.77828043E-2
160	2.79514738E-2
536	2.79942231E-2
250	2.80593769E-2
296	2.95910208E-2
848	3.05298881E-2
205	3.10237759E-2
551	3.15658121E-2
747	3.79536971E-2
839	3.98391624E-2
983	4.23032122E-2
996	4.23860623E-2
979	4.29116045E-2
651	4.31479874E-2
999	4.39345185E-2
991	4.43348941E-2
174	4.43687591E-2
480	4.51245489E-2
625	4.57278563E-2
844	4.62155547E-2
161	4.67750272E-2
363	4.68676135E-2
34	5.00234248E-2
105	5.02265242E-2
691	5.05662668E-2
1011	5.1823239E-2
802	5.2549845E-2
190	5.38171844E-2
452	5.38383781E-2
903	5.48883527E-2
618	5.57564164E-2
535	5.59015892E-2
1	5.8352804E-2
637	6.08209249E-2
206	6.08619344E-2
673	6.12140621E-2
591	6.24603748E-2
479	6.32224526E-2
410	6.36085134E-2
407	6.45628201E-2
239	6.45804139E-2
791	6.46808212E-2
894	6.7114358E-2
885	6.88415344E-2
38	6.95559288E-2
193	6.98209186E-2
220	7.06220056E-2
455	7.38055967E-2
873	7.5004464E-2
792	8.00831454E-2
444	8.11986894E-2
995	8.14030528E-2
659	8.26806964E-2
740	8.27648694E-2
145	8.43711852E-2
696	8.48611098E-2
366	8.69428256E-2
963	8.70754207E-2
388	8.7513213E-2
235	8.83995974E-2
58	8.88319038E-2
674	9.01213945E-2
267	9.04938174E-2
71	9.21641851E-2
340	9.2674251E-2
982	9.26765703E-2
467	9.31064813E-2
311	9.57381487E-2
56	9.58321914E-2
223	9.58990523E-2
109	9.73381635E-2
264	9.742152E-2
830	9.76997436E-2
4	9.78484286E-2
744	9.8155277E-2
676	1.00912006E-1
324	1.01058741E-1
379	1.01556244E-1
142	1.03723301E-1
685	1.04442093E-1
1020	1.05368994E-1
120	1.06910189E-1
678	1.07519048E-1
238	1.08082479E-1
481	1.08385133E-1
512	1.08411984E-1
529	1.09041289E-1
198	1.11196885E-1
332	1.11219787E-1
515	1.11494873E-1
725	1.11678363E-1
842	1.13716821E-1
611	1.14310642E-1
546	1.15155961E-1
41	1.16584695E-1
680	1.16608127E-1
191	1.17443934E-1
17	1.20552688E-1
196	1.20855732E-1
189	1.21954066E-1
413	1.2262842E-1
575	1.23555569E-1
256	1.23595364E-1
482	1.25104749E-1
131	1.25767649E-1
853	1.26109046E-1
380	1.26527004E-1
601	1.29283624E-1
284	1.3038224E-1
24	1.30498804E-1
769	1.32207801E-1
391	1.32429334E-1
259	1.32776815E-1
881	1.3315632E-1
684	1.33426026E-1
893	1.3398588E-1
965	1.34025062E-1
681	1.34960176E-1
122	1.36525289E-1
939	1.36592728E-1
63	1.38214765E-1
616	1.38607222E-1
314	1.38617132E-1
917	1.39643723E-1
782	1.40122128E-1
702	1.40190955E-1
826	1.45061234E-1
1008	1.45199404E-1
859	1.46807847E-1
776	1.48770977E-1
181	1.50181131E-1
20	1.51416471E-1
914	1.54317671E-1
522	1.54387736E-1
743	1.5668555E-1
449	1.57007169E-1
942	1.58496917E-1
664	1.60639075E-1
385	1.60904244E-1
729	1.61994015E-1
459	1.62851684E-1
654	1.63085487E-1
431	1.63998894E-1
163	1.66817917E-1
92	1.67043303E-1
170	1.67093999E-1
755	1.67610711E-1
371	1.68017654E-1
287	1.68636502E-1
451	1.68803606E-1
959	1.70715791E-1
530	1.7166065E-1
285	1.71902838E-1
550	1.73806899E-1
981	1.74556949E-1
430	1.75974358E-1
1002	1.76202127E-1
846	1.765101E-1
43	1.76931664E-1
803	1.77610361E-1
30	1.78418705E-1
458	1.79319578E-1
694	1.79915898E-1
44	1.80591714E-1
599	1.80882641E-1
960	1.82606408E-1
985	1.84895131E-1
180	1.85700018E-1
464	1.86653858E-1
352	1.86716004E-1
350	1.86731891E-1
172	1.87049587E-1
31	1.87308158E-1
615	1.88283796E-1
524	1.90447447E-1
273	1.92859945E-1
508	1.94742417E-1
494	1.96266835E-1
884	1.96992469E-1
227	1.98727188E-1
36	1.99726429E-1
907	2.01647979E-1
930	2.01851084E-1
249	2.02271473E-1
443	2.02342393E-1
665	2.02420786E-1
460	2.03038921E-1
327	2.0328079E-1
50	2.03389996E-1
602	2.03575012E-1
698	2.04525061E-1
780	2.05013836E-1
320	2.05668888E-1
770	2.07414843E-1
614	2.077939E-1
883	2.07844954E-1
834	2.10320043E-1
562	2.11933435E-1
517	2.1306572E-1
301	2.14767253E-1
478	2.15329657E-1
488	2.16224374E-1
912	2.17341427E-1
278	2.18054795E-1
865	2.2002339E-1
958	2.21731814E-1
104	2.21767207E-1
561	2.218393E-1
862	2.22773979E-1
25	2.23119933E-1
1001	2.23502889E-1
672	2.25772142E-1
760	2.26185521E-1
906	2.26887019E-1
119	2.27584885E-1
847	2.27899928E-1
896	2.29466691E-1
87	2.32167297E-1
86	2.32621974E-1
263	2.33462324E-1
634	2.35388744E-1
642	2.354765E-1
261	2.36835775E-1
620	2.37888381E-1
429	2.39654835E-1
836	2.39902118E-1
895	2.4019563E-1
697	2.40675614E-1
279	2.40757147E-1
829	2.40872832E-1
827	2.4353696E-1
497	2.43879263E-1
108	2.44924323E-1
997	2.44969412E-1
701	2.46480734E-1
60	2.46606454E-1
343	2.46698681E-1
106	2.47361789E-1
433	2.48759977E-1
569	2.49643731E-1
727	2.49860656E-1
420	2.55016258E-1
136	2.55016446E-1
83	2.55217306E-1
347	2.56429146E-1
911	2.56517105E-1
944	2.56615504E-1
783	2.59716543E-1
908	2.60597013E-1
121	2.61018271E-1
833	2.61434535E-1
147	2.63269819E-1
619	2.6375356E-1
1000	2.65020647E-1
339	2.66387215E-1
779	2.66437975E-1
638	2.66994406E-1
394	2.67391367E-1
563	2.69208347E-1
712	2.69577405E-1
125	2.70195737E-1
364	2.7032707E-1
532	2.71329905E-1
534	2.72394799E-1
714	2.72587655E-1
270	2.76615684E-1
623	2.77549687E-1
127	2.80427917E-1
852	2.82897556E-1
224	2.82992472E-1
98	2.83064076E-1
905	2.8331938E-1
553	2.84027852E-1
841	2.84136141E-1
84	2.84182364E-1
216	2.8584355E-1
53	2.8707134E-1
710	2.87525595E-1
595	2.8880892E-1
384	2.89295596E-1
428	2.89966973E-1
689	2.90504098E-1
607	2.91237813E-1
932	2.9436587E-1
583	2.94860131E-1
1018	2.9814922E-1
360	2.98741259E-1
39	2.99789004E-1
305	3.0020506E-1
417	3.01219605E-1
396	3.03626211E-1
838	3.05356795E-1
566	3.05579523E-1
876	3.05679283E-1
892	3.05827436E-1
735	3.06844653E-1
950	3.09254163E-1
785	3.09896194E-1
309	3.10836352E-1
617	3.13426444E-1
490	3.13594509E-1
65	3.13991753E-1
128	3.14790767E-1
949	3.16894239E-1
640	3.24317442E-1
668	3.24653283E-1
88	3.27103783E-1
641	3.27467291E-1
468	3.28051303E-1
699	3.28899811E-1
8	3.30854541E-1
910	3.32811257E-1
955	3.33039844E-1
711	3.34289875E-1
643	3.34571793E-1
103	3.35243222E-1
609	3.36284369E-1
948	3.36769877E-1
400	3.36890997E-1
7	3.37059852E-1
409	3.38115464E-1
809	3.39185825E-1
66	3.441401E-1
742	3.46723745E-1
954	3.47896435E-1
329	3.50599315E-1
117	3.51641676E-1
457	3.52192251E-1
629	3.57708825E-1
477	3.5797585E-1
835	3.59792686E-1
867	3.59822763E-1
506	3.61214648E-1
989	3.61975705E-1
858	3.62348789E-1
69	3.62599744E-1
808	3.64284587E-1
425	3.64299693E-1
998	3.66238964E-1
3	3.66571053E-1
572	3.67354206E-1
472	3.6738069E-1
538	3.67686222E-1
962	3.68221523E-1
503	3.69473465E-1
212	3.70838272E-1
719	3.71956021E-1
496	3.72071433E-1
271	3.72435913E-1
240	3.74798622E-1
666	3.75163199E-1
14	3.76813237E-1
241	3.78439415E-1
813	3.80397668E-1
547	3.80904591E-1
445	3.81209756E-1
594	3.8242238E-1
258	3.83848307E-1
422	3.85046131E-1
440	3.86953557E-1
863	3.87508362E-1
344	3.88734662E-1
123	3.88867652E-1
501	3.90324026E-1
307	3.91499351E-1
759	3.91576955E-1
243	3.92257714E-1
399	3.92395323E-1
709	3.93853468E-1
840	3.94332258E-1
499	3.95365818E-1
266	3.95616961E-1
718	3.9630328E-1
492	3.96435418E-1
584	3.97077758E-1
612	3.9843557E-1
980	3.98649315E-1
16	3.9913224E-1
300	4.00929393E-1
526	4.01206326E-1
112	4.02742403E-1
392	4.06477566E-1
633	4.09284941E-1
631	4.11636644E-1
245	4.12750194E-1
658	4.12865605E-1
726	4.13160306E-1
866	4.13350482E-1
