Name	chi2Pvalue
912	1.4084507E-2
962	1.67387683E-2
632	2.11267606E-2
1002	4.22535211E-2
955	5.28804986E-2
560	5.63380282E-2
391	6.33802817E-2
537	7.04225352E-2
983	7.74647887E-2
250	8.45070423E-2
971	9.15492958E-2
995	1.03945983E-1
613	1.05633803E-1
539	1.26760563E-1
223	1.33802817E-1
353	1.37396676E-1
973	1.47887324E-1
324	1.54929577E-1
969	1.61971831E-1
963	1.67878758E-1
238	1.69014085E-1
536	1.76056338E-1
992	1.83098592E-1
681	1.90140845E-1
310	1.97183099E-1
659	2.04225352E-1
651	2.25352113E-1
247	2.32394366E-1
979	2.3943662E-1
1001	2.53521127E-1
160	2.6056338E-1
296	2.67605634E-1
999	2.7051213E-1
803	2.74647887E-1
227	2.81690141E-1
953	2.93847099E-1
575	3.16901408E-1
243	3.23943662E-1
551	3.3553654E-1
120	3.52112676E-1
881	3.66197183E-1
206	3.73239437E-1
685	3.8028169E-1
420	3.94366197E-1
909	4.01408451E-1
87	4.08450704E-1
347	4.22535211E-1
996	4.28633928E-1
823	4.29577465E-1
401	4.36619718E-1
413	4.43661972E-1
117	4.50704225E-1
515	4.57746479E-1
622	4.64788732E-1
608	4.67925358E-1
684	4.71830986E-1
674	4.7887324E-1
699	4.92957747E-1
172	5E-1
836	5.00272969E-1
745	5.04610861E-1
264	5.21126761E-1
974	5.35211268E-1
174	5.42253521E-1
944	5.4529744E-1
689	5.49295775E-1
311	5.56338028E-1
145	5.70422535E-1
370	5.77464789E-1
903	5.84507042E-1
503	5.91549296E-1
208	5.98591549E-1
444	6.05633803E-1
36	6.12676056E-1
673	6.1971831E-1
940	6.33802817E-1
266	6.4084507E-1
525	6.47887324E-1
960	6.61971831E-1
964	6.69014085E-1
431	6.76056338E-1
170	6.83098592E-1
228	6.90140845E-1
270	6.97183099E-1
156	7.04225352E-1
256	7.18309859E-1
395	7.25352113E-1
1011	7.28187871E-1
795	7.3943662E-1
965	7.60679853E-1
409	7.62063764E-1
93	7.74647887E-1
949	7.95774648E-1
268	8.02816901E-1
131	8.16406361E-1
956	8.16901408E-1
249	8.23943662E-1
932	8.30985915E-1
47	8.38028169E-1
987	8.45070423E-1
942	8.52112676E-1
696	8.73239437E-1
218	8.8028169E-1
993	8.80760705E-1
114	8.87323944E-1
595	9.08450704E-1
952	9.15492958E-1
923	9.22535211E-1
958	9.29577465E-1
373	9.36619718E-1
966	9.43661972E-1
959	9.57746479E-1
425	9.64788732E-1
566	9.71830986E-1
189	9.78873239E-1
948	9.85915493E-1
1004	9.89330854E-1
628	9.92957731E-1
