Name	chi2Pvalue
745	2.53647919E-4
683	8.93477314E-4
551	1.53017033E-3
973	1.66348353E-3
73	1.79018983E-3
250	3.09048204E-3
625	6.21207911E-3
467	9.51426379E-3
608	1.03998556E-2
823	1.09206488E-2
368	1.5980379E-2
235	1.75484758E-2
581	1.77087109E-2
228	1.82662714E-2
859	1.84601598E-2
410	1.897428E-2
983	1.94896936E-2
778	2.03855358E-2
792	2.05872469E-2
966	2.14523787E-2
393	2.22793129E-2
537	2.25009913E-2
592	2.39560768E-2
780	2.53607543E-2
999	2.62125274E-2
161	2.79997E-2
595	3.05715107E-2
954	3.13330366E-2
223	3.22020897E-2
396	3.41412582E-2
759	3.45590812E-2
174	3.47653272E-2
40	3.53108402E-2
698	3.57956784E-2
744	3.72416584E-2
704	3.82982006E-2
310	3.84181211E-2
892	3.93338071E-2
343	3.98598203E-2
124	4.01791696E-2
651	4.11231055E-2
508	4.13081098E-2
959	4.19995951E-2
20	4.23192752E-2
380	4.29486901E-2
560	4.48908036E-2
43	4.50481119E-2
512	4.73815877E-2
493	4.7840587E-2
960	5.01835149E-2
923	5.13182092E-2
616	5.43381798E-2
893	5.43686226E-2
926	5.55797649E-2
329	5.69818855E-2
678	5.74299869E-2
479	5.7611317E-2
747	5.82835256E-2
782	5.98074137E-2
496	5.9888671E-2
903	6.07448028E-2
136	6.11197334E-2
910	6.11601739E-2
991	6.25057762E-2
938	6.38587683E-2
741	6.40175327E-2
243	6.43306521E-2
596	6.44244152E-2
300	6.47560897E-2
341	6.50207545E-2
680	6.57160622E-2
873	6.70793023E-2
802	6.79737796E-2
766	6.92563327E-2
880	7.03759993E-2
384	7.03771636E-2
511	7.12971475E-2
839	7.16104955E-2
75	7.1676192E-2
261	7.24436723E-2
681	7.24539163E-2
83	7.31124423E-2
673	7.32129255E-2
519	7.38274089E-2
846	7.46713093E-2
562	7.6176103E-2
181	7.85452534E-2
425	7.94580048E-2
979	7.99464985E-2
105	8.20068178E-2
613	8.30208258E-2
320	8.42432409E-2
407	8.43181559E-2
634	8.56055701E-2
785	8.6734394E-2
575	8.83632722E-2
725	8.87280651E-2
98	8.90155603E-2
769	8.98563677E-2
4	9.03809024E-2
647	9.11221796E-2
296	9.14134712E-2
948	9.15161509E-2
317	9.19075588E-2
489	9.43209306E-2
