Name	chi2Pvalue
309	3.78952289E-4
94	1.59294205E-3
457	1.71951216E-3
164	1.86713299E-3
1011	3.09841847E-3
905	3.13671954E-3
891	3.85866505E-3
376	5.45077926E-3
946	5.85533408E-3
626	7.26005518E-3
191	7.47612861E-3
203	8.07232147E-3
111	9.18907337E-3
676	9.52526395E-3
390	9.55744728E-3
671	9.57361546E-3
68	9.74561854E-3
839	1.21210547E-2
848	1.24657368E-2
856	1.29837541E-2
140	1.36779684E-2
311	1.46991264E-2
638	1.55891042E-2
569	1.56743472E-2
176	1.80701438E-2
689	1.95219679E-2
562	2.20617722E-2
276	2.28835532E-2
537	2.55666399E-2
734	2.59129564E-2
727	2.77449523E-2
586	2.82374149E-2
808	3.39286578E-2
840	3.51943521E-2
513	3.57391374E-2
733	3.87144329E-2
661	4.06690818E-2
705	4.08794266E-2
792	4.21622837E-2
789	4.23153497E-2
612	4.24335374E-2
571	4.29274585E-2
245	4.34511207E-2
327	4.49304583E-2
800	4.66636705E-2
393	4.7185943E-2
1018	4.98229968E-2
756	5.16274855E-2
658	5.25846232E-2
783	5.30313084E-2
804	5.33499755E-2
320	5.40478793E-2
719	5.50681224E-2
698	5.58344105E-2
170	5.72639513E-2
133	5.80240191E-2
83	5.86315515E-2
450	5.96007793E-2
350	6.07388253E-2
487	6.18809728E-2
30	6.29268266E-2
806	6.30446882E-2
476	6.34734702E-2
318	6.37675707E-2
368	6.41094382E-2
264	6.64098578E-2
474	6.73636458E-2
155	6.77118635E-2
178	6.78126011E-2
813	6.84447674E-2
161	7.03105131E-2
1002	7.16245818E-2
541	7.37548646E-2
352	7.39054366E-2
893	7.62890877E-2
606	7.98389896E-2
732	8.0417339E-2
150	8.16774271E-2
969	8.38483585E-2
862	8.4120286E-2
522	8.52803085E-2
758	8.53517869E-2
912	8.57471947E-2
828	8.63343084E-2
189	8.69245003E-2
61	8.82110084E-2
588	8.86538868E-2
479	8.92388483E-2
86	9.15147813E-2
213	9.53181145E-2
411	9.56968586E-2
999	9.6283012E-2
879	9.70366217E-2
995	9.76483888E-2
298	9.98612976E-2
551	1.00413372E-1
296	1.01178479E-1
809	1.02820871E-1
93	1.03333844E-1
651	1.03357663E-1
532	1.03955015E-1
491	1.05119744E-1
772	1.05936881E-1
499	1.0595041E-1
1019	1.07486724E-1
708	1.09211154E-1
918	1.09339193E-1
49	1.09609424E-1
770	1.09774452E-1
707	1.10352775E-1
962	1.11329535E-1
883	1.12027519E-1
778	1.12864046E-1
501	1.12950963E-1
430	1.14745787E-1
615	1.15514633E-1
190	1.16079879E-1
611	1.19357101E-1
876	1.20002921E-1
627	1.21803987E-1
790	1.23741257E-1
299	1.26769753E-1
193	1.27592392E-1
868	1.27751406E-1
762	1.28609428E-1
1020	1.29166091E-1
520	1.30327076E-1
709	1.31373952E-1
84	1.31937545E-1
96	1.32387279E-1
630	1.33244028E-1
141	1.3390517E-1
524	1.34987795E-1
138	1.36194112E-1
235	1.37515326E-1
73	1.39184491E-1
986	1.39380453E-1
913	1.40421015E-1
314	1.40675836E-1
702	1.42467026E-1
664	1.43562508E-1
585	1.44604748E-1
29	1.44972194E-1
745	1.45999946E-1
331	1.49165691E-1
622	1.51638824E-1
243	1.52092697E-1
202	1.52834325E-1
996	1.53257913E-1
414	1.54136282E-1
10	1.56103783E-1
339	1.60384505E-1
426	1.65054938E-1
979	1.65071504E-1
469	1.65362956E-1
981	1.65385236E-1
583	1.67852122E-1
146	1.71132789E-1
456	1.72266071E-1
535	1.72690388E-1
878	1.73258927E-1
239	1.75645945E-1
107	1.79210358E-1
915	1.80664981E-1
908	1.8385851E-1
416	1.85236302E-1
656	1.85617247E-1
364	1.85797562E-1
836	1.86167806E-1
196	1.87407867E-1
441	1.88341311E-1
919	1.88889362E-1
159	1.92464063E-1
851	1.92518094E-1
