Name	chi2Pvalue
141	2.87860499E-4
350	2.68750856E-3
701	5.37567645E-3
227	6.07914815E-3
553	7.16386966E-3
190	9.38630132E-3
89	1.01835349E-2
348	1.19275333E-2
897	1.35397648E-2
146	1.40194734E-2
733	1.40469341E-2
750	1.43526294E-2
375	1.43582622E-2
723	1.45055825E-2
130	1.50850339E-2
12	1.70521001E-2
915	1.71802506E-2
921	1.87392859E-2
829	1.88064376E-2
914	2.047817E-2
330	2.17669529E-2
128	2.18990202E-2
542	2.35829353E-2
990	2.60178536E-2
192	2.64267836E-2
738	2.67349701E-2
703	2.73416723E-2
772	2.87602851E-2
503	2.87830988E-2
296	2.88027499E-2
561	3.218885E-2
511	3.56362413E-2
600	3.78264372E-2
901	3.9175195E-2
133	3.91906363E-2
398	4.0671378E-2
641	4.40778291E-2
874	4.44151623E-2
676	4.57202874E-2
652	4.62879449E-2
75	4.67258364E-2
776	4.77709493E-2
516	4.79125376E-2
971	4.81107167E-2
131	4.9091594E-2
648	5.29555308E-2
870	5.42671662E-2
774	5.46974716E-2
694	5.5000951E-2
451	5.50301536E-2
152	5.50757501E-2
898	5.90977521E-2
955	5.92397607E-2
257	6.05043263E-2
591	6.18479119E-2
851	6.23660277E-2
792	6.28567136E-2
857	6.34810247E-2
95	6.35975813E-2
417	6.39991362E-2
435	6.48188347E-2
584	6.52028179E-2
170	6.67865948E-2
319	6.84468529E-2
964	6.85963374E-2
254	7.58893159E-2
936	7.76697334E-2
465	7.89715503E-2
669	7.91813503E-2
256	8.14727355E-2
355	8.15891588E-2
209	8.18548463E-2
277	8.18552543E-2
969	8.27664521E-2
488	8.33000082E-2
288	8.3996278E-2
102	8.55629846E-2
729	8.56309466E-2
13	8.58814995E-2
331	8.6078034E-2
8	8.63081306E-2
10	8.64544923E-2
522	8.95208907E-2
1010	9.02763118E-2
845	9.35888167E-2
624	9.36144811E-2
980	9.48006003E-2
223	9.56932383E-2
770	9.64661614E-2
43	9.88095139E-2
401	9.89242546E-2
918	9.96207655E-2
580	1.00732346E-1
508	1.02389988E-1
603	1.02814469E-1
746	1.03472595E-1
295	1.04822177E-1
286	1.05334682E-1
740	1.0628395E-1
83	1.07410808E-1
611	1.08731823E-1
112	1.09080193E-1
528	1.09764134E-1
902	1.09834867E-1
728	1.10457981E-1
713	1.12344571E-1
144	1.13388577E-1
281	1.13558049E-1
320	1.14256478E-1
306	1.14460231E-1
212	1.18479705E-1
311	1.18874691E-1
999	1.19546319E-1
107	1.2007829E-1
47	1.21044011E-1
755	1.24900218E-1
161	1.25265154E-1
904	1.25594659E-1
759	1.26388986E-1
908	1.26511005E-1
1012	1.27356758E-1
229	1.28129913E-1
708	1.28936419E-1
814	1.2936254E-1
262	1.30908959E-1
645	1.33288115E-1
148	1.34072765E-1
354	1.35703868E-1
393	1.38759656E-1
662	1.39204002E-1
700	1.39414985E-1
717	1.3954337E-1
260	1.43179793E-1
753	1.44486655E-1
253	1.44866614E-1
489	1.45800707E-1
884	1.46620396E-1
865	1.4685846E-1
998	1.47121008E-1
633	1.48285282E-1
57	1.50279522E-1
942	1.5043099E-1
562	1.51429182E-1
484	1.52679644E-1
126	1.53833309E-1
245	1.54780538E-1
692	1.55060359E-1
777	1.55669014E-1
338	1.56849835E-1
1019	1.57731606E-1
917	1.58013607E-1
612	1.58030262E-1
377	1.58351826E-1
804	1.58595008E-1
775	1.59669865E-1
418	1.61071244E-1
832	1.61284335E-1
274	1.6234899E-1
699	1.64264642E-1
860	1.67840916E-1
416	1.68470755E-1
450	1.70549068E-1
726	1.72095798E-1
132	1.72332853E-1
467	1.74669483E-1
859	1.76059297E-1
394	1.76642909E-1
419	1.76896394E-1
558	1.77563365E-1
191	1.78406715E-1
794	1.79154491E-1
625	1.803046E-1
85	1.81049116E-1
390	1.8334438E-1
1001	1.83638163E-1
509	1.84287381E-1
200	1.85878026E-1
868	1.86214492E-1
100	1.86282922E-1
6	1.86712735E-1
65	1.86875663E-1
312	1.87512133E-1
315	1.88575294E-1
292	1.89145195E-1
194	1.89401722E-1
247	1.90328587E-1
965	1.90368967E-1
285	1.90567415E-1
882	1.94519338E-1
878	1.94979248E-1
208	1.95361778E-1
304	1.96363676E-1
802	1.97270723E-1
366	1.97781196E-1
1004	1.98450996E-1
378	1.98516716E-1
134	1.98641738E-1
438	2.00149992E-1
472	2.00777832E-1
273	2.00935799E-1
763	2.01138822E-1
512	2.01871617E-1
119	2.03305665E-1
578	2.05649218E-1
984	2.05787134E-1
582	2.05804332E-1
660	2.07653632E-1
861	2.09374276E-1
397	2.10317503E-1
623	2.12454733E-1
143	2.14044816E-1
205	2.14138388E-1
760	2.15574394E-1
958	2.16275683E-1
3	2.16817681E-1
431	2.17852014E-1
924	2.2017561E-1
838	2.21531498E-1
627	2.2233587E-1
261	2.23476953E-1
210	2.23524667E-1
11	2.24499383E-1
420	2.24808949E-1
441	2.2549297E-1
1	2.26215745E-1
593	2.26255986E-1
961	2.27117965E-1
220	2.29691297E-1
180	2.29971099E-1
757	2.31794825E-1
853	2.32288801E-1
668	2.35821835E-1
459	2.39435988E-1
19	2.40202001E-1
113	2.40489555E-1
238	2.40587284E-1
140	2.40844145E-1
507	2.40967363E-1
341	2.41294703E-1
834	2.41301953E-1
937	2.4333147E-1
816	2.4377613E-1
718	2.45378026E-1
854	2.46183449E-1
309	2.48127842E-1
919	2.48931618E-1
154	2.50349997E-1
565	2.50650622E-1
615	2.50809633E-1
830	2.52127377E-1
939	2.52397439E-1
982	2.53158688E-1
363	2.55889764E-1
422	2.56463206E-1
449	2.58729042E-1
820	2.59241061E-1
934	2.6006786E-1
810	2.6065516E-1
778	2.60685807E-1
222	2.60778415E-1
4	2.61303405E-1
118	2.61733406E-1
94	2.61993088E-1
533	2.630669E-1
658	2.63214664E-1
677	2.64970707E-1
574	2.6513593E-1
36	2.65502136E-1
637	2.67055718E-1
659	2.67063565E-1
215	2.6742366E-1
588	2.67988384E-1
992	2.68914134E-1
579	2.70728503E-1
798	2.72689621E-1
570	2.74648356E-1
136	2.75465291E-1
21	2.75842966E-1
501	2.77107489E-1
184	2.78530865E-1
559	2.80427201E-1
928	2.82934545E-1
991	2.83295616E-1
195	2.8340466E-1
735	2.84914367E-1
680	2.85305962E-1
883	2.85459795E-1
913	2.86562642E-1
1018	2.87598748E-1
426	2.94129518E-1
440	2.96276489E-1
410	2.96576787E-1
403	2.96688444E-1
278	2.97784336E-1
1020	2.97971279E-1
332	2.98247445E-1
301	2.98854393E-1
953	2.99644495E-1
7	3.00555942E-1
613	3.02456327E-1
84	3.02485476E-1
99	3.03099478E-1
405	3.03746941E-1
494	3.05448933E-1
844	3.0872923E-1
607	3.09795164E-1
360	3.09995658E-1
233	3.11035671E-1
609	3.11550533E-1
782	3.13152443E-1
922	3.13205497E-1
187	3.13312738E-1
443	3.13818034E-1
823	3.14184587E-1
923	3.14238322E-1
636	3.14290148E-1
896	3.14341877E-1
638	3.14413384E-1
925	3.15764597E-1
564	3.17206368E-1
1003	3.18134046E-1
347	3.19204341E-1
809	3.19265019E-1
293	3.20519302E-1
452	3.21235834E-1
182	3.22146339E-1
147	3.23024828E-1
586	3.23314507E-1
329	3.2383609E-1
573	3.23844045E-1
61	3.24895716E-1
710	3.27330805E-1
302	3.27895982E-1
539	3.27986187E-1
202	3.28016029E-1
455	3.28227463E-1
317	3.28764094E-1
833	3.2972666E-1
705	3.29740298E-1
906	3.30203839E-1
576	3.30514497E-1
385	3.30558892E-1
408	3.31176533E-1
673	3.32785014E-1
596	3.33462417E-1
297	3.34369231E-1
657	3.36465877E-1
272	3.36684924E-1
614	3.37063203E-1
71	3.37386825E-1
228	3.37682348E-1
745	3.37961846E-1
169	3.38728313E-1
698	3.38997144E-1
174	3.3978691E-1
165	3.39936341E-1
303	3.4013757E-1
1022	3.4035694E-1
268	3.413421E-1
651	3.41362978E-1
691	3.42122092E-1
742	3.43730967E-1
716	3.4466443E-1
970	3.45070193E-1
912	3.4587563E-1
867	3.46177339E-1
325	3.46802867E-1
271	3.47336423E-1
248	3.47876639E-1
374	3.4906285E-1
888	3.49497304E-1
598	3.51414374E-1
685	3.51420275E-1
224	3.51747388E-1
193	3.51938017E-1
176	3.52218513E-1
313	3.52778656E-1
342	3.5329403E-1
706	3.53523496E-1
149	3.56186841E-1
491	3.57011954E-1
361	3.59729662E-1
841	3.59838049E-1
490	3.60040834E-1
743	3.60422956E-1
414	3.61237849E-1
966	3.61607403E-1
406	3.61809163E-1
631	3.62236631E-1
5	3.62926757E-1
840	3.63174436E-1
279	3.63408182E-1
24	3.63724799E-1
110	3.64170702E-1
730	3.645089E-1
433	3.64712114E-1
592	3.6492779E-1
813	3.65499651E-1
864	3.70968713E-1
2	3.72309733E-1
468	3.75882806E-1
162	3.7813821E-1
189	3.79080337E-1
424	3.79204153E-1
105	3.81497463E-1
678	3.82928489E-1
172	3.83521384E-1
186	3.87585938E-1
819	3.89220114E-1
962	3.89485016E-1
116	3.90592157E-1
534	3.91052459E-1
941	3.92848638E-1
52	3.94996592E-1
895	3.95671397E-1
384	3.95756038E-1
907	3.96051953E-1
219	3.9618147E-1
536	3.96417232E-1
545	3.99000004E-1
20	3.99140407E-1
68	3.9916824E-1
160	3.99618361E-1
242	3.99911594E-1
171	4.00411872E-1
370	4.00562269E-1
674	4.01311728E-1
822	4.02008464E-1
243	4.0221557E-1
101	4.02927548E-1
604	4.04465204E-1
628	4.04725914E-1
517	4.05467115E-1
121	4.05508709E-1
290	4.05947367E-1
551	4.06835804E-1
81	4.07569045E-1
595	4.07753033E-1
380	4.08765759E-1
764	4.08804927E-1
62	4.09371067E-1
977	4.112344E-1
458	4.12038461E-1
203	4.15761414E-1
198	4.16867131E-1
92	4.17357565E-1
234	4.19163841E-1
368	4.21605789E-1
800	4.22850479E-1
37	4.234313E-1
619	4.23464359E-1
340	4.23848498E-1
221	4.25474041E-1
78	4.25477752E-1
87	4.26296455E-1
697	4.26589938E-1
622	4.27000275E-1
196	4.2757821E-1
22	4.27776895E-1
446	4.29076864E-1
357	4.299896E-1
997	4.31395513E-1
681	4.32228812E-1
56	4.33818175E-1
771	4.34736271E-1
237	4.36017128E-1
766	4.36908676E-1
556	4.37477921E-1
683	4.37706651E-1
77	4.39016832E-1
125	4.39526568E-1
485	4.41740044E-1
799	4.4183775E-1
768	4.4371966E-1
554	4.43867583E-1
447	4.44726284E-1
381	4.45056983E-1
60	4.45136057E-1
310	4.45374427E-1
967	4.47075983E-1
963	4.47150054E-1
751	4.48466637E-1
79	4.48543889E-1
40	4.48630416E-1
664	4.49433117E-1
649	4.50725854E-1
305	4.52197975E-1
314	4.53792342E-1
626	4.54684353E-1
975	4.55049628E-1
744	4.55685694E-1
987	4.5576911E-1
1000	4.57327081E-1
97	4.57365615E-1
496	4.59559681E-1
425	4.62917567E-1
546	4.63275099E-1
9	4.6329916E-1
547	4.63625332E-1
893	4.6413839E-1
214	4.67118284E-1
442	4.67832306E-1
280	4.68821671E-1
695	4.69965356E-1
164	4.70032993E-1
104	4.70727134E-1
806	4.71192569E-1
218	4.74352236E-1
781	4.75543938E-1
996	4.76064686E-1
518	4.77484766E-1
946	4.79015279E-1
734	4.79913978E-1
687	4.8133013E-1
129	4.824795E-1
145	4.83130884E-1
1021	4.84025094E-1
620	4.84840224E-1
931	4.87379087E-1
181	4.89825682E-1
881	4.92643597E-1
943	4.94100356E-1
550	4.95444116E-1
498	4.95886105E-1
952	4.95964069E-1
892	4.96031208E-1
954	4.96290733E-1
769	4.96468682E-1
343	4.98111322E-1
206	4.99778847E-1
587	5.00527697E-1
974	5.01595958E-1
72	5.02993208E-1
45	5.0377562E-1
704	5.04000172E-1
481	5.04935314E-1
693	5.05156244E-1
298	5.05435216E-1
754	5.05504171E-1
629	5.0651872E-1
715	5.07358972E-1
779	5.07651543E-1
241	5.09621095E-1
524	5.12211251E-1
50	5.12261166E-1
944	5.16287559E-1
597	5.18234835E-1
483	5.18379967E-1
482	5.18619462E-1
395	5.18999022E-1
654	5.2264666E-1
843	5.23004643E-1
724	5.24865825E-1
994	5.27650362E-1
720	5.288251E-1
811	5.28933472E-1
525	5.28934032E-1
334	5.29888115E-1
291	5.31810292E-1
805	5.33789474E-1
423	5.34898257E-1
264	5.34991519E-1
656	5.35027128E-1
531	5.35110961E-1
712	5.37096822E-1
33	5.38506067E-1
601	5.38995451E-1
789	5.41459129E-1
523	5.41716986E-1
344	5.43322095E-1
336	5.43832492E-1
647	5.44135009E-1
44	5.44951891E-1
225	5.4500249E-1
986	5.45565026E-1
25	5.47517205E-1
