Name	chi2Pvalue
13	2.55305012E-3
234	4.50203309E-3
488	5.52582167E-3
144	5.61632751E-3
619	6.18610894E-3
882	7.49523173E-3
688	8.79334412E-3
628	9.54402671E-3
878	1.05770594E-2
568	1.06381949E-2
701	1.12544819E-2
922	1.1492247E-2
239	1.16895667E-2
834	1.20071668E-2
554	1.5644969E-2
360	1.60828626E-2
908	1.68255262E-2
553	1.75360385E-2
995	1.93579395E-2
498	1.99867563E-2
70	2.22963754E-2
627	2.43262438E-2
584	2.57831713E-2
887	2.59679736E-2
533	2.89063966E-2
545	3.17269689E-2
455	3.27513897E-2
384	3.28618218E-2
207	3.37166755E-2
298	3.46180225E-2
875	3.47048265E-2
354	3.65328518E-2
544	3.88610253E-2
501	4.09488266E-2
212	4.13983237E-2
566	4.19892188E-2
680	4.26568819E-2
263	4.49587801E-2
782	4.53242001E-2
302	4.56053518E-2
539	4.5923065E-2
356	4.69491959E-2
272	4.73324345E-2
259	4.9729129E-2
326	5.01023598E-2
334	5.13592298E-2
592	5.26300001E-2
828	5.36936432E-2
465	5.37853966E-2
88	5.46104445E-2
370	5.53273694E-2
317	5.53883141E-2
787	5.56145587E-2
436	5.63531053E-2
24	5.74282884E-2
20	5.77516096E-2
897	5.78705441E-2
297	5.7954675E-2
84	6.11315454E-2
918	6.2305231E-2
410	6.54868505E-2
999	6.66329926E-2
793	6.69364701E-2
419	7.00387462E-2
167	7.06665613E-2
21	7.23369788E-2
12	7.29527878E-2
738	7.34193713E-2
418	7.61373057E-2
985	7.62974841E-2
1016	7.6686445E-2
609	7.80098202E-2
158	7.87950595E-2
514	7.91850005E-2
492	8.02122975E-2
779	8.18150247E-2
756	8.25631711E-2
622	8.41462755E-2
393	8.49048551E-2
970	8.57955738E-2
653	8.66071919E-2
219	8.67404001E-2
839	8.74732428E-2
541	8.76839702E-2
1010	9.05344481E-2
218	9.1942961E-2
611	9.39767253E-2
377	9.40427432E-2
294	9.40601446E-2
201	9.46109577E-2
764	9.63608964E-2
245	9.94082227E-2
637	9.9492809E-2
