Name	chi2Pvalue
823	2.48930123E-5
500	2.5859341E-3
111	2.75303244E-3
552	3.46677042E-3
813	3.6164021E-3
69	6.3468912E-3
676	6.51594606E-3
915	7.11072152E-3
170	7.40964527E-3
190	7.64441334E-3
296	9.74928125E-3
628	1.16578307E-2
944	1.18668198E-2
244	1.3546092E-2
299	1.45673816E-2
43	1.49632879E-2
545	1.66074225E-2
556	1.77135352E-2
176	1.83812949E-2
19	2.15261128E-2
742	2.2173253E-2
343	2.38744997E-2
892	2.51125791E-2
165	2.63122608E-2
203	2.69421984E-2
50	2.77260358E-2
94	2.77806559E-2
139	2.8500307E-2
962	3.05794531E-2
1018	3.2435807E-2
760	3.28550596E-2
746	3.39386797E-2
41	3.48041055E-2
677	3.50346011E-2
68	3.53511582E-2
309	3.60526781E-2
745	3.65189304E-2
574	3.72209393E-2
783	3.7630664E-2
260	3.98640694E-2
652	4.05503598E-2
525	4.05811308E-2
146	4.12610739E-2
107	4.1605751E-2
51	4.25123175E-2
73	4.29682954E-2
385	4.44161832E-2
584	4.54707444E-2
474	4.63142703E-2
705	4.6404168E-2
912	4.65406557E-2
540	4.74152877E-2
169	4.7790224E-2
152	4.79880068E-2
558	5.04279426E-2
274	5.05598075E-2
390	5.07432567E-2
803	5.13660313E-2
413	5.4651314E-2
658	5.61745552E-2
780	5.9906444E-2
460	6.17502208E-2
984	6.29205838E-2
132	6.47197408E-2
930	6.56014674E-2
549	6.6159168E-2
308	6.86813364E-2
472	6.97513812E-2
220	6.98342869E-2
508	7.14083883E-2
189	7.51702019E-2
896	7.61996331E-2
75	7.89208721E-2
470	7.9718583E-2
534	8.37360373E-2
431	8.41804434E-2
196	8.85190745E-2
698	8.87886748E-2
519	8.90363881E-2
735	8.9044841E-2
895	9.20990302E-2
389	9.26205329E-2
371	9.27917901E-2
10	9.65614416E-2
946	9.68786518E-2
13	9.78428161E-2
900	1.00227685E-1
110	1.01586259E-1
270	1.02724244E-1
161	1.02988068E-1
140	1.03622446E-1
976	1.04136153E-1
494	1.0611443E-1
86	1.06819525E-1
737	1.08317274E-1
4	1.09465132E-1
182	1.09592922E-1
380	1.09700086E-1
95	1.10899965E-1
939	1.11087941E-1
776	1.11482117E-1
8	1.11527496E-1
327	1.1197169E-1
989	1.12229963E-1
758	1.12756899E-1
996	1.15561841E-1
666	1.1582954E-1
774	1.16740553E-1
461	1.18111429E-1
914	1.20273663E-1
757	1.20656071E-1
522	1.22212334E-1
562	1.22428701E-1
144	1.22651892E-1
77	1.24518767E-1
424	1.25161796E-1
208	1.25845377E-1
938	1.25954559E-1
1015	1.26728719E-1
347	1.27827822E-1
428	1.27983305E-1
404	1.30666054E-1
253	1.32522258E-1
791	1.32786722E-1
266	1.34777326E-1
843	1.35863835E-1
391	1.36202857E-1
764	1.38752847E-1
882	1.39978524E-1
557	1.40115255E-1
427	1.40517158E-1
995	1.41026343E-1
200	1.41693447E-1
245	1.4300513E-1
485	1.43286783E-1
370	1.44444353E-1
261	1.44903318E-1
651	1.45777261E-1
450	1.46003174E-1
744	1.46083804E-1
87	1.4761166E-1
756	1.48288655E-1
751	1.48776672E-1
171	1.48822932E-1
252	1.49622604E-1
479	1.49673568E-1
934	1.49677157E-1
1013	1.50603147E-1
438	1.50881101E-1
233	1.51191442E-1
