Name	chi2Pvalue
882	6.23867673E-4
741	2.34052241E-3
745	3.6409336E-3
415	3.73337923E-3
519	5.02053222E-3
675	6.69129629E-3
317	6.85051533E-3
546	7.63484447E-3
304	8.79017724E-3
250	9.57835117E-3
94	1.01662043E-2
386	1.0330183E-2
501	1.06856737E-2
770	1.07144762E-2
683	1.15575844E-2
666	1.26217113E-2
837	1.43660914E-2
127	1.59573144E-2
74	1.64181201E-2
637	1.99269117E-2
382	2.17236601E-2
840	2.24430089E-2
676	2.2850775E-2
928	2.28973836E-2
572	2.38483411E-2
983	2.40729218E-2
510	2.46181017E-2
489	2.520638E-2
778	2.54364308E-2
972	2.7158978E-2
296	2.82104778E-2
507	2.91790323E-2
535	3.02883373E-2
964	3.037148E-2
189	3.17864186E-2
450	3.25051703E-2
141	3.3310769E-2
738	3.39515763E-2
30	3.55083816E-2
934	3.62051118E-2
34	3.63171158E-2
829	3.70203759E-2
325	3.73134579E-2
69	3.99313479E-2
73	4.110463E-2
775	4.24169198E-2
103	4.26059984E-2
387	4.32115862E-2
949	4.38938323E-2
403	4.40342427E-2
16	4.43825511E-2
744	4.48827064E-2
595	4.52308934E-2
54	4.65355447E-2
47	4.67976373E-2
716	4.72224976E-2
231	4.73996696E-2
99	4.79419828E-2
530	4.87392202E-2
309	4.89961455E-2
973	4.92367707E-2
151	4.9349746E-2
83	5.00980127E-2
64	5.19992149E-2
740	5.4072352E-2
271	5.53727948E-2
777	5.63112283E-2
640	5.72436921E-2
815	5.82948564E-2
266	5.86234036E-2
802	5.93043021E-2
51	5.96913042E-2
409	5.98135296E-2
931	5.99136915E-2
31	5.99607903E-2
555	6.00471426E-2
739	6.35089316E-2
238	6.43338209E-2
592	6.43817255E-2
423	6.52054039E-2
788	6.61795888E-2
848	6.6837124E-2
909	6.94924015E-2
990	7.17092681E-2
366	7.23363797E-2
451	7.39933364E-2
13	7.4002414E-2
894	7.67547433E-2
142	7.87897727E-2
612	7.90165061E-2
900	7.95559932E-2
110	7.99984275E-2
132	8.13979612E-2
885	8.17184549E-2
58	8.27625036E-2
634	8.29915924E-2
627	8.36266696E-2
453	8.4299555E-2
553	8.49651052E-2
971	8.76440553E-2
963	8.9386952E-2
767	9.03200076E-2
522	9.12989036E-2
766	9.27644816E-2
19	9.38304888E-2
896	9.3950384E-2
161	9.57958958E-2
91	9.84067406E-2
780	1.00509414E-1
338	1.00524889E-1
228	1.03383019E-1
421	1.06749211E-1
550	1.06830348E-1
878	1.06909444E-1
364	1.074231E-1
579	1.09300267E-1
96	1.10901666E-1
336	1.10907534E-1
63	1.11195777E-1
762	1.11230875E-1
912	1.11501062E-1
659	1.11836452E-1
497	1.13417457E-1
606	1.14254933E-1
294	1.15059275E-1
153	1.17311104E-1
679	1.18118919E-1
759	1.21399737E-1
512	1.24187542E-1
434	1.25522081E-1
203	1.27387557E-1
690	1.2795554E-1
240	1.28101238E-1
1018	1.30549569E-1
861	1.31524872E-1
902	1.32587326E-1
981	1.32610065E-1
924	1.32809602E-1
159	1.34960022E-1
32	1.36344456E-1
805	1.36589812E-1
468	1.36674703E-1
856	1.38852868E-1
509	1.39209862E-1
356	1.39261644E-1
922	1.39832536E-1
752	1.41473208E-1
139	1.43538908E-1
913	1.45145159E-1
170	1.45347473E-1
1008	1.45634072E-1
8	1.47677636E-1
445	1.47692289E-1
60	1.48382372E-1
539	1.50361577E-1
124	1.53931374E-1
484	1.54096041E-1
252	1.5443144E-1
86	1.55249688E-1
598	1.55662191E-1
755	1.56172363E-1
733	1.57951249E-1
383	1.58708661E-1
953	1.5983629E-1
6	1.6117135E-1
80	1.61308074E-1
567	1.61539E-1
163	1.61663652E-1
707	1.6201356E-1
821	1.63058447E-1
663	1.64908708E-1
397	1.65731245E-1
107	1.67565215E-1
502	1.68839943E-1
961	1.70178949E-1
480	1.70417562E-1
985	1.71664875E-1
711	1.73051127E-1
50	1.7323008E-1
229	1.73942833E-1
164	1.75662806E-1
256	1.75705869E-1
642	1.75957501E-1
36	1.76041844E-1
668	1.76144934E-1
636	1.7821432E-1
442	1.79267255E-1
938	1.79715286E-1
793	1.82649967E-1
101	1.87636493E-1
1012	1.90090057E-1
790	1.90857997E-1
202	1.93179817E-1
306	1.9473109E-1
447	1.96460339E-1
378	1.96586812E-1
732	1.97546425E-1
223	1.97840331E-1
152	2.00193898E-1
21	2.00355907E-1
684	2.01226954E-1
391	2.01296475E-1
710	2.02133051E-1
806	2.02715953E-1
432	2.02929864E-1
182	2.04346537E-1
849	2.06110114E-1
649	2.07120798E-1
873	2.07339717E-1
696	2.08815362E-1
479	2.11845105E-1
730	2.1206631E-1
993	2.12933516E-1
919	2.13899918E-1
864	2.14239575E-1
426	2.14618758E-1
334	2.16868064E-1
834	2.17725719E-1
803	2.18308514E-1
278	2.18346155E-1
333	2.18621845E-1
100	2.19086202E-1
109	2.19740833E-1
725	2.20191728E-1
631	2.21130409E-1
251	2.21780703E-1
709	2.25108595E-1
293	2.26666774E-1
377	2.27270353E-1
87	2.29659226E-1
551	2.30286282E-1
482	2.33036348E-1
135	2.35108527E-1
674	2.35779749E-1
190	2.37141326E-1
155	2.37535245E-1
119	2.3866809E-1
569	2.39133072E-1
521	2.39377037E-1
104	2.39729804E-1
623	2.39972184E-1
476	2.4040156E-1
809	2.42085959E-1
921	2.42862663E-1
1017	2.43040647E-1
45	2.44452262E-1
786	2.448751E-1
944	2.46169718E-1
243	2.47481733E-1
259	2.4751861E-1
1003	2.49801578E-1
800	2.49827119E-1
275	2.51239583E-1
853	2.52785768E-1
689	2.52909215E-1
712	2.53363338E-1
1015	2.53684409E-1
626	2.55996691E-1
930	2.56156024E-1
76	2.60373374E-1
776	2.60445881E-1
214	2.61102519E-1
833	2.61143643E-1
808	2.62341752E-1
998	2.62459927E-1
353	2.65714632E-1
781	2.65731526E-1
513	2.66141144E-1
561	2.67389034E-1
682	2.6757784E-1
955	2.7020358E-1
514	2.7104987E-1
568	2.71313137E-1
876	2.71764713E-1
586	2.7257542E-1
855	2.74603368E-1
638	2.76265396E-1
858	2.76489207E-1
263	2.76584698E-1
462	2.82863369E-1
486	2.83542064E-1
465	2.8466138E-1
220	2.84956358E-1
347	2.87244743E-1
622	2.87974054E-1
12	2.88426367E-1
991	2.88968306E-1
40	2.91961149E-1
868	2.9374107E-1
140	2.93853829E-1
204	2.94311635E-1
911	2.94760381E-1
311	2.94809397E-1
796	2.98927614E-1
898	3.00535959E-1
827	3.00646861E-1
1019	3.00991824E-1
277	3.04167865E-1
191	3.04831878E-1
843	3.05369427E-1
903	3.05901367E-1
145	3.06118893E-1
619	3.0622069E-1
422	3.07778023E-1
466	3.08073162E-1
270	3.08693908E-1
265	3.09691944E-1
301	3.11035185E-1
763	3.11120274E-1
547	3.11205555E-1
654	3.13961828E-1
314	3.1456014E-1
1002	3.15418632E-1
14	3.15543781E-1
428	3.1569989E-1
137	3.15791035E-1
260	3.17104539E-1
113	3.19378659E-1
435	3.20203776E-1
672	3.21097087E-1
287	3.21885192E-1
289	3.2332417E-1
965	3.23394566E-1
498	3.23993839E-1
937	3.25625152E-1
857	3.2579421E-1
305	3.26365769E-1
883	3.27012241E-1
61	3.27929341E-1
316	3.29317538E-1
565	3.2957153E-1
38	3.30616225E-1
329	3.3078591E-1
208	3.31386963E-1
1011	3.34054142E-1
761	3.34096394E-1
910	3.34371866E-1
225	3.34634536E-1
807	3.34894322E-1
621	3.35218513E-1
779	3.38353717E-1
261	3.38430552E-1
417	3.38867451E-1
320	3.39074322E-1
544	3.40095862E-1
1016	3.40445123E-1
986	3.40461803E-1
361	3.40646618E-1
523	3.40970625E-1
765	3.43743504E-1
686	3.46522235E-1
192	3.47513719E-1
791	3.47655687E-1
407	3.48059839E-1
352	3.48728248E-1
433	3.49303924E-1
581	3.49383434E-1
899	3.49651648E-1
337	3.50833575E-1
852	3.51805466E-1
24	3.53400048E-1
956	3.57810344E-1
358	3.58424781E-1
892	3.6032086E-1
603	3.62257414E-1
743	3.62927488E-1
430	3.62961193E-1
470	3.65385698E-1
721	3.68449124E-1
381	3.6927373E-1
854	3.69477981E-1
997	3.71297273E-1
48	3.76352645E-1
952	3.79812765E-1
995	3.80028135E-1
706	3.8056396E-1
583	3.8179245E-1
769	3.85339799E-1
600	3.85799475E-1
795	3.86235313E-1
173	3.86988673E-1
491	3.88802545E-1
452	3.89139565E-1
757	3.93506614E-1
418	3.94708746E-1
867	3.95385452E-1
218	3.96525482E-1
254	3.96540134E-1
905	3.97629369E-1
632	4.00250704E-1
171	4.01332208E-1
602	4.02492031E-1
0	4.03248024E-1
785	4.03793643E-1
193	4.05179056E-1
236	4.054554E-1
562	4.06272196E-1
820	4.0716095E-1
859	4.07247687E-1
209	4.08794595E-1
362	4.089947E-1
824	4.09178411E-1
989	4.09319349E-1
992	4.10246325E-1
609	4.11154588E-1
93	4.11721425E-1
1020	4.1172661E-1
396	4.12181189E-1
211	4.12431211E-1
412	4.13245008E-1
134	4.13712637E-1
312	4.14947401E-1
580	4.16980193E-1
406	4.17005756E-1
872	4.17312338E-1
644	4.17493796E-1
798	4.18789846E-1
499	4.19472732E-1
832	4.19827374E-1
715	4.21075988E-1
950	4.21514489E-1
747	4.21916209E-1
78	4.22920978E-1
692	4.22996037E-1
596	4.23591047E-1
373	4.24008803E-1
438	4.26189398E-1
929	4.26826621E-1
542	4.27264625E-1
917	4.27280858E-1
420	4.28282467E-1
699	4.30072672E-1
