Name	chi2Pvalue
43	2.23156342E-3
676	4.99906777E-3
104	5.25806005E-3
555	5.26837443E-3
169	6.55990116E-3
111	6.6036548E-3
552	7.99713727E-3
812	1.01684582E-2
946	1.0521779E-2
869	1.08821476E-2
781	1.24225532E-2
525	1.34545904E-2
746	1.46789817E-2
556	1.48320568E-2
282	1.53189949E-2
479	1.64487146E-2
777	1.69513445E-2
146	1.73736912E-2
196	1.77082847E-2
845	1.78708654E-2
823	2.05903746E-2
543	2.19741317E-2
296	2.73318278E-2
59	2.84699637E-2
522	2.98417551E-2
181	3.11332503E-2
192	3.19657244E-2
518	3.27666439E-2
649	3.31808901E-2
658	3.37562681E-2
813	3.43912193E-2
810	3.49316439E-2
442	3.52845698E-2
848	3.75085309E-2
892	3.7788566E-2
538	4.11009789E-2
207	4.24913893E-2
245	4.28626094E-2
635	4.31279754E-2
203	4.50436258E-2
692	4.53480111E-2
309	4.71989618E-2
262	4.72092613E-2
155	4.75075588E-2
820	4.78856126E-2
123	4.82441393E-2
64	4.85466116E-2
797	4.98371622E-2
678	5.1227081E-2
55	5.31491857E-2
75	5.32404122E-2
651	5.5144049E-2
609	5.53648561E-2
534	5.62963162E-2
13	5.63258739E-2
558	5.67678227E-2
65	5.75646409E-2
917	5.79653862E-2
964	5.82988366E-2
666	5.87883877E-2
734	5.95093369E-2
896	6.11529536E-2
698	6.15923649E-2
744	6.207428E-2
308	6.23112858E-2
96	6.32957376E-2
872	6.33104609E-2
570	6.44798964E-2
350	6.60061225E-2
989	6.73748013E-2
136	7.14480242E-2
7	7.21356871E-2
934	7.22815618E-2
1001	7.31268675E-2
189	7.39168854E-2
499	7.65054009E-2
880	7.67660332E-2
86	7.68767837E-2
91	7.88063613E-2
42	7.91947625E-2
622	8.15441558E-2
979	8.20999297E-2
327	8.35616081E-2
270	8.39487582E-2
176	8.44253145E-2
324	8.59725892E-2
691	8.63173699E-2
171	8.81871225E-2
716	8.95004841E-2
140	9.03122113E-2
667	9.03611586E-2
279	9.42114117E-2
840	9.51528956E-2
275	9.52180004E-2
721	9.64195616E-2
15	9.97728002E-2
764	1.00148951E-1
244	1.01201365E-1
995	1.03392292E-1
990	1.04046296E-1
816	1.06855288E-1
438	1.08898402E-1
643	1.09418273E-1
468	1.10268332E-1
1012	1.10334804E-1
803	1.11090417E-1
73	1.11611422E-1
150	1.1215747E-1
755	1.13054017E-1
773	1.15594275E-1
443	1.19893793E-1
966	1.2010666E-1
323	1.20300048E-1
214	1.2031504E-1
277	1.20376255E-1
996	1.24328101E-1
688	1.25010026E-1
167	1.25532648E-1
624	1.255332E-1
317	1.26159302E-1
389	1.26357463E-1
641	1.26482636E-1
132	1.27268E-1
626	1.27784696E-1
884	1.28549843E-1
868	1.28645669E-1
364	1.29451854E-1
963	1.3014117E-1
663	1.30882145E-1
507	1.32769269E-1
480	1.32852704E-1
489	1.33564787E-1
511	1.33576695E-1
185	1.33622453E-1
541	1.33755368E-1
48	1.33936766E-1
474	1.37490954E-1
501	1.37693212E-1
217	1.37884051E-1
332	1.39690974E-1
680	1.40595384E-1
560	1.40760469E-1
148	1.43731685E-1
924	1.44222819E-1
486	1.46896011E-1
562	1.47175588E-1
112	1.47204801E-1
497	1.49959534E-1
644	1.50269822E-1
654	1.51450164E-1
725	1.52524776E-1
453	1.5292613E-1
51	1.53197985E-1
736	1.54853359E-1
540	1.55541882E-1
870	1.56217535E-1
576	1.57686544E-1
79	1.58564092E-1
617	1.59141524E-1
807	1.59280926E-1
940	1.59847373E-1
557	1.60018131E-1
34	1.60385864E-1
68	1.61218603E-1
723	1.62291523E-1
287	1.63676833E-1
302	1.64420481E-1
972	1.66029891E-1
1004	1.66247739E-1
61	1.66322461E-1
38	1.67216467E-1
618	1.67321827E-1
727	1.6845472E-1
735	1.68704111E-1
190	1.71354895E-1
492	1.71758165E-1
236	1.72343111E-1
24	1.72566354E-1
179	1.7266436E-1
976	1.73226034E-1
441	1.73479646E-1
655	1.75115243E-1
92	1.75470753E-1
584	1.77385681E-1
396	1.78589716E-1
916	1.78884682E-1
831	1.79987514E-1
87	1.79994747E-1
957	1.80023055E-1
274	1.81563169E-1
199	1.81878211E-1
76	1.82057342E-1
611	1.83451784E-1
5	1.86254603E-1
94	1.86820372E-1
800	1.87434005E-1
37	1.87798929E-1
962	1.88971374E-1
526	1.89408909E-1
516	1.89846866E-1
763	1.90692122E-1
347	1.91332458E-1
164	1.93617129E-1
927	1.93759245E-1
162	1.94418786E-1
107	1.99955414E-1
928	2.00416654E-1
427	2.00948631E-1
1016	2.0185492E-1
408	2.03068884E-1
72	2.03107559E-1
50	2.03154354E-1
249	2.03489283E-1
633	2.04253739E-1
318	2.05446823E-1
430	2.07049726E-1
860	2.08521689E-1
783	2.09268117E-1
221	2.09900089E-1
967	2.1158237E-1
547	2.11587876E-1
395	2.11628299E-1
549	2.12001524E-1
339	2.12328011E-1
852	2.13364374E-1
640	2.14027621E-1
542	2.14125935E-1
320	2.16965363E-1
373	2.18068815E-1
186	2.18936309E-1
241	2.19073484E-1
696	2.19510188E-1
31	2.1984934E-1
177	2.23689702E-1
588	2.25981993E-1
612	2.26420968E-1
342	2.29728287E-1
188	2.29810411E-1
954	2.31611198E-1
67	2.35131552E-1
776	2.356799E-1
974	2.36109676E-1
201	2.36246649E-1
793	2.36452525E-1
99	2.36557298E-1
141	2.37030635E-1
41	2.38036377E-1
258	2.38044317E-1
103	2.38525638E-1
625	2.40042405E-1
216	2.41441425E-1
984	2.43142579E-1
381	2.46210995E-1
1000	2.46218169E-1
429	2.46938565E-1
84	2.47324114E-1
152	2.49535001E-1
58	2.51033031E-1
753	2.51357142E-1
564	2.51706446E-1
536	2.52364822E-1
161	2.52869065E-1
451	2.5346402E-1
703	2.53721786E-1
281	2.54019621E-1
801	2.54800067E-1
638	2.57259253E-1
742	2.57451004E-1
945	2.59111906E-1
149	2.59497481E-1
992	2.62195365E-1
205	2.63928584E-1
304	2.66793711E-1
986	2.66996792E-1
877	2.67041682E-1
503	2.68467758E-1
521	2.72767055E-1
431	2.73551536E-1
632	2.73607394E-1
229	2.73903679E-1
745	2.74411287E-1
1017	2.75923633E-1
223	2.77355813E-1
761	2.77554634E-1
371	2.78071659E-1
847	2.80685149E-1
285	2.81051604E-1
834	2.81113465E-1
269	2.8163747E-1
1002	2.81957132E-1
345	2.82271449E-1
592	2.82595069E-1
933	2.84110425E-1
795	2.88926075E-1
765	2.89349654E-1
440	2.90758677E-1
791	2.91705141E-1
819	2.91771668E-1
60	2.91861837E-1
69	2.92816596E-1
948	2.93582994E-1
400	2.94051291E-1
515	2.94132844E-1
344	2.94408706E-1
243	2.96429819E-1
901	2.97284218E-1
885	2.9978496E-1
300	3.03010937E-1
106	3.04355429E-1
307	3.05603822E-1
445	3.06628116E-1
11	3.07214787E-1
355	3.07430727E-1
78	3.08270808E-1
487	3.09140428E-1
844	3.09223829E-1
237	3.1030407E-1
999	3.10468255E-1
493	3.12430191E-1
410	3.12879878E-1
187	3.1335708E-1
413	3.13711269E-1
47	3.14386052E-1
420	3.153887E-1
9	3.15770074E-1
404	3.15883855E-1
292	3.1757363E-1
778	3.17696975E-1
491	3.178889E-1
839	3.18818938E-1
596	3.19813765E-1
575	3.19896592E-1
261	3.20549757E-1
580	3.20903117E-1
881	3.21604118E-1
131	3.23325974E-1
57	3.23816981E-1
879	3.24002374E-1
388	3.2439764E-1
789	3.2490171E-1
454	3.25661757E-1
90	3.26932086E-1
737	3.27553663E-1
657	3.27927904E-1
568	3.28665884E-1
271	3.28667947E-1
551	3.28749874E-1
805	3.31032661E-1
378	3.31210015E-1
838	3.3169846E-1
637	3.31926085E-1
390	3.32308725E-1
