Name	chi2Pvalue
958	2.31483576E-3
973	2.52760473E-3
566	3.05080782E-3
38	3.46378018E-3
674	3.98505833E-3
313	5.04762144E-3
23	5.25564634E-3
684	6.06214596E-3
963	6.82628393E-3
971	7.87831978E-3
31	9.65343503E-3
390	1.11972018E-2
93	1.18072221E-2
28	1.33239331E-2
88	1.39634998E-2
815	1.44187731E-2
66	1.60114587E-2
239	1.68431982E-2
752	1.76169083E-2
250	1.80408969E-2
556	1.81207485E-2
702	1.84560266E-2
353	1.9335007E-2
397	1.99949084E-2
706	2.05800661E-2
105	2.21623054E-2
417	2.35020984E-2
786	2.44633111E-2
868	2.44904544E-2
296	2.59800763E-2
121	2.77134954E-2
826	2.95341335E-2
669	3.03188242E-2
409	3.14477802E-2
923	3.23363624E-2
823	3.32956024E-2
265	3.35799282E-2
660	3.41722239E-2
189	3.44237529E-2
564	3.52019154E-2
496	3.68818756E-2
907	3.87534715E-2
10	3.92726676E-2
243	3.92976812E-2
548	3.94180634E-2
528	4.01002303E-2
192	4.03454019E-2
881	4.05247501E-2
262	4.05599384E-2
679	4.2653217E-2
101	4.37052582E-2
843	4.38864215E-2
407	4.48062964E-2
359	4.55129313E-2
947	4.62912262E-2
699	4.6404214E-2
570	4.6577956E-2
340	4.67449311E-2
809	4.72908361E-2
537	4.84928367E-2
683	5.08876332E-2
326	5.16901877E-2
196	5.19959327E-2
592	5.30221304E-2
421	5.30860404E-2
292	5.32141597E-2
847	5.72800592E-2
719	5.74521232E-2
906	5.94792277E-2
938	5.96524858E-2
172	5.96961631E-2
767	5.99408263E-2
231	6.10959375E-2
1004	6.11329719E-2
696	6.1314141E-2
560	6.15169435E-2
491	6.27109033E-2
385	6.37820454E-2
665	6.47188774E-2
247	6.58866406E-2
667	6.97441515E-2
372	7.01449137E-2
462	7.05059914E-2
622	7.20600965E-2
979	7.3124024E-2
751	7.60310834E-2
652	7.60468409E-2
356	7.62534562E-2
982	7.63679403E-2
866	7.64580535E-2
420	7.68941242E-2
952	7.82510395E-2
536	8.00934932E-2
894	8.01491216E-2
716	8.09885898E-2
682	8.45368225E-2
898	8.59429885E-2
1011	8.60181804E-2
274	8.69172485E-2
951	8.98024243E-2
524	9.04784291E-2
771	9.18111457E-2
481	9.35281673E-2
656	9.35443672E-2
689	9.43879535E-2
681	9.44988608E-2
230	9.5011437E-2
538	9.79588801E-2
112	9.89567038E-2
668	9.95088283E-2
967	1.00478801E-1
17	1.01476736E-1
212	1.01674282E-1
715	1.02061174E-1
344	1.030711E-1
161	1.04054601E-1
608	1.04737147E-1
613	1.04870574E-1
48	1.05498227E-1
728	1.07219105E-1
859	1.07614633E-1
913	1.08811183E-1
126	1.08863614E-1
808	1.09086988E-1
646	1.09650173E-1
191	1.09948068E-1
259	1.10741049E-1
331	1.11032412E-1
629	1.13117063E-1
493	1.145739E-1
131	1.15006762E-1
180	1.15732549E-1
577	1.1743846E-1
454	1.17595079E-1
747	1.1785979E-1
154	1.1850737E-1
457	1.1854431E-1
223	1.18634464E-1
495	1.19044768E-1
797	1.19637803E-1
912	1.20390391E-1
598	1.20582287E-1
959	1.21450223E-1
91	1.22507077E-1
757	1.25346064E-1
373	1.27303109E-1
534	1.27334342E-1
587	1.2833237E-1
139	1.28653733E-1
145	1.28870339E-1
606	1.29813887E-1
33	1.30081102E-1
8	1.30211471E-1
620	1.30463018E-1
198	1.30851441E-1
785	1.3152766E-1
901	1.32430242E-1
42	1.39188434E-1
455	1.39930978E-1
181	1.4050791E-1
432	1.40928374E-1
781	1.41642816E-1
142	1.42265413E-1
451	1.44035745E-1
271	1.44527304E-1
135	1.44737221E-1
562	1.48766331E-1
137	1.49399279E-1
431	1.50174716E-1
636	1.50943896E-1
123	1.52302165E-1
57	1.54069231E-1
336	1.54948605E-1
848	1.57492229E-1
294	1.57685775E-1
709	1.59405347E-1
725	1.59661928E-1
515	1.60089304E-1
727	1.65103032E-1
584	1.67215748E-1
70	1.67790838E-1
896	1.67862702E-1
227	1.70021122E-1
104	1.71593117E-1
193	1.72270216E-1
867	1.73440172E-1
3	1.74198153E-1
21	1.74741142E-1
414	1.7545212E-1
579	1.76059574E-1
875	1.7635999E-1
436	1.76853516E-1
970	1.77606913E-1
597	1.78862462E-1
309	1.79119954E-1
381	1.79327008E-1
315	1.79328716E-1
581	1.79878572E-1
1001	1.81251924E-1
263	1.82112702E-1
805	1.82148054E-1
244	1.82629512E-1
323	1.84513562E-1
221	1.85583044E-1
200	1.86016759E-1
401	1.86443117E-1
962	1.87759288E-1
961	1.87950135E-1
755	1.88315293E-1
