Name	chi2Pvalue
651	8.03914855E-4
117	1.26227367E-3
405	1.26494438E-3
260	1.28563361E-3
103	1.32139208E-3
161	1.53867243E-3
782	1.63463693E-3
105	2.21786173E-3
574	2.5156284E-3
416	2.53132793E-3
818	3.26534848E-3
306	3.41631383E-3
263	3.74148123E-3
467	4.25198193E-3
235	4.52708703E-3
958	4.63220439E-3
760	5.41594583E-3
419	5.80157677E-3
25	6.58600248E-3
176	8.94791003E-3
349	1.05311217E-2
307	1.09830299E-2
239	1.40647123E-2
407	1.50752053E-2
314	1.51380141E-2
728	1.56969192E-2
919	1.63437716E-2
740	1.80785661E-2
401	1.91560646E-2
751	1.93925953E-2
17	2.26036164E-2
450	2.44576591E-2
642	2.47270707E-2
802	2.56019434E-2
601	2.69573268E-2
947	2.80415221E-2
392	2.81209667E-2
579	2.96443341E-2
864	2.99013661E-2
106	3.00059876E-2
848	3.11074859E-2
247	3.20741565E-2
517	3.22070119E-2
298	3.31873608E-2
658	3.41554715E-2
608	3.47515646E-2
302	4.00206427E-2
45	4.17370274E-2
664	4.34737043E-2
640	4.38363113E-2
847	4.47698885E-2
169	4.61158966E-2
625	4.66090591E-2
159	4.71961963E-2
571	4.98951213E-2
196	5.03985625E-2
429	5.13870939E-2
157	5.28514025E-2
910	5.43461577E-2
804	5.53023379E-2
346	5.8567839E-2
494	5.8813794E-2
377	6.15788933E-2
743	6.18809035E-2
606	6.27433704E-2
92	6.27616814E-2
266	6.35800103E-2
876	6.49400038E-2
367	6.52595531E-2
311	6.60842387E-2
395	6.61100165E-2
983	6.62152724E-2
648	6.6483096E-2
705	6.65388324E-2
145	6.69572515E-2
911	7.01364343E-2
604	7.10504796E-2
890	7.26001932E-2
399	7.27362323E-2
613	7.39208191E-2
835	7.60484132E-2
556	7.72260675E-2
189	7.95460155E-2
84	8.00971105E-2
471	8.02754741E-2
327	8.05480658E-2
667	8.11287142E-2
926	8.26078134E-2
761	8.3048005E-2
709	8.43375149E-2
896	8.53304592E-2
111	8.54034426E-2
42	8.71468112E-2
596	8.88730878E-2
397	8.9572308E-2
716	9.08861258E-2
643	9.10475657E-2
801	9.22387708E-2
661	9.23517176E-2
917	9.37743031E-2
772	9.41861324E-2
252	9.52082508E-2
683	9.53140046E-2
889	9.71300334E-2
936	9.73511971E-2
925	9.84235503E-2
666	1.00034322E-1
184	1.02131301E-1
142	1.03282677E-1
223	1.03690251E-1
274	1.03723641E-1
691	1.0464285E-1
704	1.05763657E-1
272	1.07255509E-1
501	1.0790457E-1
696	1.08905806E-1
566	1.08965587E-1
953	1.10570926E-1
806	1.10945773E-1
83	1.11940953E-1
362	1.12099974E-1
875	1.13542795E-1
838	1.13703432E-1
68	1.14075746E-1
865	1.14163293E-1
60	1.16465081E-1
370	1.17361166E-1
866	1.20613591E-1
454	1.20937733E-1
20	1.21180853E-1
214	1.21209579E-1
373	1.24207302E-1
415	1.24555477E-1
0	1.2754028E-1
581	1.30145275E-1
110	1.33814278E-1
291	1.34825049E-1
675	1.35095067E-1
597	1.36311533E-1
738	1.37273133E-1
672	1.37421399E-1
428	1.39971865E-1
177	1.40831303E-1
742	1.42688925E-1
355	1.49590425E-1
858	1.49942567E-1
849	1.52153044E-1
807	1.53658803E-1
612	1.53840178E-1
733	1.54724223E-1
944	1.55281654E-1
795	1.57202583E-1
711	1.58143934E-1
79	1.59563377E-1
250	1.59567106E-1
724	1.60310806E-1
1005	1.61058192E-1
503	1.61171945E-1
495	1.61510351E-1
510	1.62240677E-1
860	1.62311487E-1
122	1.62798987E-1
713	1.64203805E-1
689	1.65804351E-1
55	1.66213045E-1
959	1.67370513E-1
823	1.67781303E-1
620	1.68065854E-1
722	1.69675603E-1
649	1.69915427E-1
72	1.6995692E-1
803	1.71484094E-1
318	1.74344726E-1
786	1.76445454E-1
112	1.76517919E-1
76	1.76816366E-1
406	1.77245234E-1
119	1.793085E-1
526	1.80246461E-1
523	1.81589769E-1
633	1.82597513E-1
486	1.85932878E-1
378	1.86115158E-1
681	1.86238699E-1
286	1.86372459E-1
603	1.87396696E-1
945	1.87682089E-1
52	1.89122051E-1
506	1.89331992E-1
883	1.89574189E-1
798	1.90703384E-1
435	1.9211293E-1
480	1.92896565E-1
231	1.93003792E-1
301	1.96279805E-1
656	1.96373213E-1
529	1.98569938E-1
641	1.98904494E-1
834	1.99059786E-1
499	2.00439639E-1
513	2.01253114E-1
151	2.0131383E-1
160	2.04133452E-1
789	2.05097322E-1
351	2.05291853E-1
403	2.05779222E-1
225	2.06857472E-1
598	2.07944339E-1
107	2.08160222E-1
354	2.08642148E-1
762	2.08667339E-1
479	2.08709288E-1
591	2.09430995E-1
125	2.09490348E-1
475	2.10789489E-1
470	2.1146348E-1
637	2.11652794E-1
61	2.13195352E-1
340	2.14436957E-1
197	2.14908191E-1
697	2.18059097E-1
65	2.18952346E-1
418	2.20423251E-1
258	2.21612109E-1
1003	2.22304452E-1
749	2.23257262E-1
957	2.24953729E-1
1016	2.25067886E-1
32	2.25716156E-1
183	2.29018873E-1
109	2.31086561E-1
931	2.31847955E-1
528	2.3190217E-1
504	2.32254045E-1
389	2.32729635E-1
575	2.33271335E-1
288	2.33681406E-1
994	2.34064554E-1
271	2.35706366E-1
537	2.3610994E-1
669	2.36563488E-1
674	2.37731813E-1
238	2.3829845E-1
671	2.38330226E-1
563	2.39884738E-1
618	2.41658424E-1
732	2.42107348E-1
228	2.4421951E-1
960	2.47188306E-1
991	2.47490181E-1
706	2.49189482E-1
833	2.5080364E-1
576	2.51054336E-1
592	2.51384321E-1
73	2.51713658E-1
831	2.52026922E-1
439	2.52860765E-1
588	2.52976363E-1
964	2.53144932E-1
186	2.54437894E-1
432	2.54796432E-1
35	2.54918866E-1
788	2.55088029E-1
113	2.55234105E-1
168	2.56593656E-1
825	2.5700361E-1
729	2.57656272E-1
961	2.58542773E-1
763	2.58655782E-1
535	2.59309787E-1
792	2.61253261E-1
509	2.61846105E-1
237	2.63313474E-1
245	2.65173839E-1
870	2.65714519E-1
1013	2.6601709E-1
549	2.66664885E-1
778	2.67369582E-1
717	2.6748496E-1
905	2.69116371E-1
744	2.69772582E-1
431	2.69884249E-1
750	2.70593359E-1
1004	2.71358367E-1
10	2.7267392E-1
599	2.74259596E-1
676	2.75692355E-1
764	2.76445948E-1
466	2.77661959E-1
677	2.7913056E-1
956	2.79377547E-1
565	2.80665002E-1
2	2.81152977E-1
273	2.82474321E-1
312	2.83097163E-1
862	2.8526108E-1
747	2.85752663E-1
478	2.86326484E-1
969	2.86938482E-1
264	2.87529125E-1
955	2.87819223E-1
1012	2.89292155E-1
249	2.90203411E-1
1010	2.91410482E-1
315	2.91574853E-1
104	2.94434345E-1
1015	2.94496822E-1
221	2.94993293E-1
1018	2.98076486E-1
282	3.00633728E-1
909	3.02033611E-1
253	3.02422809E-1
793	3.02682763E-1
646	3.04971895E-1
511	3.06328052E-1
381	3.07399582E-1
38	3.07484666E-1
746	3.07589462E-1
93	3.10456733E-1
868	3.11341045E-1
700	3.13446115E-1
840	3.17547153E-1
809	3.21683946E-1
554	3.23543203E-1
624	3.24085343E-1
135	3.26148562E-1
903	3.27009033E-1
659	3.27184E-1
582	3.27225182E-1
62	3.28124053E-1
736	3.28870761E-1
40	3.29252051E-1
550	3.29798825E-1
152	3.30748572E-1
424	3.32072159E-1
63	3.33363927E-1
324	3.34974506E-1
269	3.34994757E-1
80	3.35980108E-1
285	3.3644498E-1
276	3.37880617E-1
422	3.38512029E-1
88	3.40105101E-1
101	3.43175323E-1
775	3.432903E-1
938	3.44011872E-1
398	3.44205252E-1
19	3.44900487E-1
946	3.46406064E-1
290	3.46573028E-1
695	3.47088519E-1
650	3.49689397E-1
564	3.51447074E-1
297	3.52802205E-1
261	3.53500319E-1
530	3.54861625E-1
332	3.55680592E-1
973	3.55721923E-1
115	3.55917712E-1
427	3.5742303E-1
202	3.57523424E-1
497	3.57833869E-1
776	3.58183042E-1
26	3.58478734E-1
998	3.58925607E-1
887	3.60491198E-1
338	3.60644137E-1
534	3.60832845E-1
284	3.61590473E-1
379	3.63677582E-1
1000	3.63842123E-1
880	3.64892036E-1
9	3.65232327E-1
132	3.66287887E-1
699	3.68033854E-1
882	3.68186605E-1
979	3.68373854E-1
21	3.69760246E-1
719	3.70577542E-1
819	3.7092502E-1
385	3.71036672E-1
948	3.71983751E-1
639	3.72463766E-1
531	3.74233681E-1
553	3.75907818E-1
829	3.7658662E-1
54	3.77069334E-1
299	3.77962788E-1
477	3.78910334E-1
131	3.79984341E-1
632	3.80823672E-1
628	3.81385753E-1
878	3.83082638E-1
268	3.83754886E-1
765	3.84337922E-1
295	3.84474524E-1
100	3.85444284E-1
949	3.86517434E-1
520	3.87526834E-1
426	3.90054348E-1
904	3.90260425E-1
481	3.9090093E-1
869	3.91471884E-1
616	3.92434357E-1
147	3.9315816E-1
171	3.93380088E-1
844	3.94024582E-1
5	3.9490314E-1
871	3.95726184E-1
233	3.96365061E-1
190	3.97593744E-1
170	3.97955987E-1
193	3.98624253E-1
141	4.01487969E-1
317	4.03137865E-1
128	4.03154969E-1
855	4.05370836E-1
443	4.07341774E-1
387	4.07574674E-1
771	4.08539847E-1
678	4.10341806E-1
33	4.10780268E-1
140	4.11046866E-1
123	4.11668884E-1
476	4.1295826E-1
99	4.13305501E-1
404	4.15878127E-1
224	4.15898685E-1
154	4.16166486E-1
754	4.17105658E-1
502	4.17941033E-1
687	4.18244287E-1
567	4.21810603E-1
827	4.23693836E-1
148	4.25074043E-1
815	4.28611335E-1
725	4.28722521E-1
280	4.29182683E-1
394	4.30250017E-1
684	4.31121547E-1
414	4.31457185E-1
313	4.31643575E-1
417	4.3289211E-1
41	4.33072012E-1
82	4.3343508E-1
622	4.35072667E-1
718	4.36313186E-1
173	4.36573569E-1
908	4.41889711E-1
433	4.43175571E-1
97	4.43832244E-1
586	4.44385094E-1
569	4.44943E-1
638	4.45726529E-1
939	4.47427402E-1
464	4.4871223E-1
784	4.51000302E-1
229	4.51692483E-1
660	4.55142108E-1
841	4.55227788E-1
617	4.58947848E-1
824	4.59047838E-1
232	4.59501343E-1
102	4.59793912E-1
514	4.60244027E-1
850	4.60391223E-1
144	4.61183647E-1
518	4.63652464E-1
192	4.64152471E-1
673	4.64613742E-1
218	4.64776665E-1
1006	4.66233208E-1
976	4.6663756E-1
468	4.6686117E-1
836	4.67054732E-1
924	4.67430131E-1
463	4.67691616E-1
200	4.70293007E-1
489	4.72981814E-1
209	4.7473277E-1
137	4.75402862E-1
29	4.79472115E-1
941	4.80940346E-1
645	4.81645916E-1
636	4.81791044E-1
796	4.82437674E-1
255	4.82919794E-1
712	4.83791907E-1
546	4.83891071E-1
345	4.84049915E-1
449	4.8424236E-1
34	4.85255189E-1
726	4.86093831E-1
322	4.86378229E-1
812	4.86474202E-1
519	4.86790406E-1
990	4.8791193E-1
150	4.88002167E-1
985	4.88355707E-1
768	4.88433263E-1
516	4.88887653E-1
164	4.92178716E-1
251	4.93377641E-1
800	4.93732801E-1
867	4.94934919E-1
997	4.96778454E-1
630	4.97115687E-1
951	4.97211666E-1
57	4.97493266E-1
822	4.98833424E-1
515	4.99887437E-1
46	5.00832004E-1
158	5.01539628E-1
708	5.04892494E-1
952	5.07236113E-1
797	5.09630609E-1
441	5.11463698E-1
614	5.13275298E-1
1011	5.13536675E-1
316	5.14943433E-1
578	5.15377325E-1
320	5.15810636E-1
188	5.17898954E-1
781	5.18824844E-1
438	5.19822734E-1
703	5.20581902E-1
363	5.21380127E-1
114	5.21666937E-1
339	5.23249399E-1
456	5.23618859E-1
723	5.23890267E-1
28	5.25278006E-1
741	5.2572551E-1
627	5.26180556E-1
577	5.26841429E-1
319	5.28833215E-1
932	5.3041218E-1
854	5.30855451E-1
492	5.31120145E-1
512	5.33581839E-1
341	5.33908941E-1
663	5.35389749E-1
129	5.36154076E-1
217	5.36446748E-1
8	5.37644939E-1
913	5.39065358E-1
816	5.41697032E-1
595	5.43910726E-1
967	5.45206629E-1
303	5.45249769E-1
4	5.46094931E-1
347	5.46478991E-1
457	5.48497466E-1
892	5.50209323E-1
208	5.51036254E-1
24	5.51425469E-1
165	5.51829496E-1
694	5.51987862E-1
817	5.53229929E-1
873	5.53505516E-1
493	5.53528435E-1
410	5.57228813E-1
304	5.5864123E-1
1	5.5891317E-1
555	5.59876759E-1
335	5.60610852E-1
839	5.6398412E-1
388	5.65668507E-1
682	5.65960596E-1
382	5.6848249E-1
897	5.69792233E-1
757	5.74231311E-1
1019	5.74548439E-1
541	5.76120346E-1
490	5.76604452E-1
402	5.77378446E-1
321	5.77958389E-1
1009	5.79648098E-1
393	5.79837165E-1
893	5.82715241E-1
707	5.83846506E-1
178	5.85721499E-1
735	5.85731258E-1
3	5.87707264E-1
715	5.88288065E-1
163	5.88715573E-1
12	5.8944537E-1
1021	5.89502899E-1
136	5.90088192E-1
977	5.90297004E-1
594	5.90879161E-1
408	5.91283355E-1
352	5.9515187E-1
360	5.97465477E-1
814	5.98204286E-1
928	5.98430787E-1
898	5.98802587E-1
458	5.99600902E-1
246	6.00161148E-1
986	6.0022556E-1
180	6.03995746E-1
543	6.04301256E-1
138	6.05303752E-1
950	6.05762601E-1
820	6.06430933E-1
30	6.07048873E-1
610	6.08029345E-1
714	6.08917592E-1
365	6.08936694E-1
808	6.11786293E-1
978	6.12155161E-1
440	6.12282511E-1
143	6.14221241E-1
396	6.14285094E-1
459	6.14387293E-1
770	6.14483331E-1
69	6.14837378E-1
201	6.15550213E-1
933	6.15720602E-1
845	6.16084403E-1
359	6.17356895E-1
999	6.20735048E-1
861	6.20918412E-1
1020	6.21967005E-1
372	6.24131314E-1
265	6.2463372E-1
39	6.25387556E-1
89	6.2566366E-1
698	6.26148425E-1
690	6.26566809E-1
993	6.27442486E-1
968	6.28049742E-1
368	6.29224073E-1
469	6.30076954E-1
988	6.31984951E-1
785	6.32428479E-1
448	6.3301566E-1
181	6.33687596E-1
811	6.33736933E-1
279	6.34539009E-1
179	6.35193733E-1
67	6.36336723E-1
483	6.37652552E-1
783	6.38143205E-1
970	6.39350341E-1
934	6.39626358E-1
609	6.40404005E-1
914	6.4285783E-1
278	6.4431075E-1
539	6.45132721E-1
843	6.45317443E-1
832	6.45383826E-1
877	6.45738756E-1
745	6.46446709E-1
357	6.49148069E-1
85	6.50412924E-1
230	6.51380353E-1
980	6.52176539E-1
559	6.53114388E-1
1002	6.53613726E-1
619	6.53788691E-1
602	6.54060687E-1
257	6.55319778E-1
881	6.55381628E-1
662	6.56284695E-1
540	6.56393761E-1
149	6.59324297E-1
484	6.59409994E-1
769	6.59836164E-1
857	6.59881771E-1
901	6.600286E-1
342	6.61186166E-1
779	6.6132876E-1
923	6.61954365E-1
453	6.62349149E-1
780	6.63192527E-1
213	6.64466422E-1
364	6.6469504E-1
472	6.64802126E-1
275	6.67762766E-1
356	6.67921681E-1
254	6.71390658E-1
813	6.7156221E-1
325	6.71565193E-1
773	6.71817791E-1
