Name	chi2Pvalue
61	3.16507125E-3
748	3.54587187E-3
978	3.72476945E-3
281	4.20045086E-3
225	7.31220655E-3
849	8.08248675E-3
438	8.63928851E-3
138	9.73542586E-3
851	9.83269429E-3
16	1.15113075E-2
879	1.17666859E-2
490	1.48615892E-2
428	1.61231676E-2
1023	1.83809031E-2
519	1.92484184E-2
360	1.96351876E-2
157	1.98857343E-2
1022	2.03986697E-2
1001	2.07328871E-2
338	2.15851691E-2
531	2.44194025E-2
199	2.50639205E-2
986	2.53349202E-2
629	2.58133452E-2
446	2.61612815E-2
830	2.77904929E-2
124	2.82623985E-2
643	2.91898596E-2
175	3.07078422E-2
60	3.28951089E-2
881	3.30206716E-2
999	3.30608878E-2
599	3.30933883E-2
904	3.38004639E-2
781	3.38464101E-2
82	3.75429935E-2
204	4.00656503E-2
628	4.02226699E-2
200	4.06603759E-2
591	4.09075268E-2
1019	4.15499502E-2
565	4.3606495E-2
104	4.37064144E-2
910	4.37857707E-2
168	4.39671203E-2
256	4.40411582E-2
448	4.42089684E-2
667	4.56011388E-2
917	4.73023472E-2
939	4.77539104E-2
58	4.78823747E-2
303	4.90443091E-2
92	5.07280542E-2
498	5.14254312E-2
1013	5.21788514E-2
900	5.22517518E-2
75	5.23805687E-2
396	5.42738107E-2
897	5.61038211E-2
335	5.68502874E-2
941	5.70297828E-2
794	5.86956592E-2
538	5.88095966E-2
646	5.92441291E-2
33	5.97651363E-2
317	6.01551138E-2
35	6.06503897E-2
1020	6.08296694E-2
96	6.24745346E-2
782	6.60754623E-2
99	6.61559609E-2
301	6.86272196E-2
619	6.86414998E-2
924	6.91555195E-2
954	6.98235512E-2
908	7.04898341E-2
577	7.10269981E-2
362	7.26571356E-2
454	7.28100801E-2
865	7.39311049E-2
188	7.6108336E-2
186	7.64368872E-2
135	7.83911064E-2
770	7.87112018E-2
970	8.03028529E-2
974	8.23843788E-2
491	8.26563452E-2
12	8.42009485E-2
84	8.51914552E-2
765	8.54664329E-2
684	8.71866786E-2
420	8.74838962E-2
601	8.77223907E-2
137	8.79422145E-2
650	8.85176475E-2
552	9.19474783E-2
29	9.42253335E-2
841	9.48367914E-2
624	9.600249E-2
895	9.73405984E-2
773	9.81325949E-2
160	9.8296015E-2
86	1.00887721E-1
909	1.03331054E-1
526	1.04530224E-1
252	1.0459744E-1
742	1.0513238E-1
1008	1.05687397E-1
785	1.05855704E-1
990	1.06581382E-1
1017	1.06692362E-1
427	1.07984667E-1
512	1.08322827E-1
125	1.13638749E-1
262	1.1415672E-1
525	1.14561618E-1
470	1.14639564E-1
573	1.15384252E-1
826	1.15936623E-1
685	1.1619874E-1
934	1.16383354E-1
305	1.1704628E-1
261	1.18688881E-1
45	1.19040034E-1
320	1.20777346E-1
279	1.2209681E-1
541	1.2222358E-1
5	1.22699637E-1
887	1.23367389E-1
174	1.24024326E-1
511	1.24907285E-1
440	1.26358849E-1
584	1.27616946E-1
783	1.27668667E-1
948	1.27790726E-1
845	1.29035216E-1
417	1.30230603E-1
7	1.30233522E-1
633	1.30351876E-1
315	1.30522889E-1
163	1.32710032E-1
248	1.34618182E-1
51	1.34849494E-1
613	1.35383273E-1
334	1.36254871E-1
277	1.37169985E-1
69	1.37266234E-1
113	1.37851087E-1
820	1.4133567E-1
134	1.41405481E-1
672	1.41438166E-1
562	1.42687818E-1
724	1.44415548E-1
580	1.46888181E-1
506	1.47444601E-1
165	1.48353704E-1
876	1.48966893E-1
889	1.49249981E-1
192	1.49766372E-1
412	1.51154286E-1
861	1.51247514E-1
817	1.53514995E-1
424	1.5392262E-1
275	1.54950066E-1
779	1.55722292E-1
618	1.57678962E-1
384	1.57882088E-1
253	1.58211398E-1
705	1.59629214E-1
183	1.60820594E-1
503	1.6227512E-1
400	1.62577832E-1
478	1.63288443E-1
675	1.63859409E-1
622	1.66446361E-1
213	1.66856444E-1
751	1.67395846E-1
793	1.67882511E-1
936	1.70119612E-1
892	1.70664223E-1
142	1.71736117E-1
286	1.72354338E-1
365	1.72404339E-1
202	1.73037071E-1
141	1.75072448E-1
937	1.75143655E-1
476	1.77619507E-1
572	1.77869744E-1
870	1.79528277E-1
738	1.82450607E-1
950	1.82558431E-1
544	1.87326915E-1
332	1.88100677E-1
85	1.88921627E-1
120	1.8910583E-1
461	1.89369974E-1
220	1.89388246E-1
15	1.90727144E-1
795	1.92843072E-1
370	1.94241911E-1
980	1.96038476E-1
967	1.9610551E-1
177	1.96246622E-1
842	1.96411012E-1
823	1.98902133E-1
529	2.00773301E-1
1015	2.01182366E-1
353	2.01229484E-1
