Name	chi2Pvalue
257	1.65608379E-4
578	4.05978489E-4
79	1.64123229E-3
650	1.83638385E-3
164	3.83529598E-3
501	3.90520237E-3
615	4.7809246E-3
476	6.86529359E-3
860	7.33343063E-3
504	7.73729089E-3
43	8.88880957E-3
711	9.5938881E-3
971	1.00125166E-2
915	1.06309276E-2
17	1.22042269E-2
609	1.37656793E-2
475	1.41533245E-2
730	1.44044541E-2
837	1.4605557E-2
436	1.5290118E-2
886	1.76077895E-2
889	1.76956904E-2
803	1.80173661E-2
380	1.84429065E-2
23	1.88438983E-2
65	2.1464246E-2
646	2.55147011E-2
861	2.76135309E-2
639	3.15614656E-2
352	3.2051622E-2
408	3.24473897E-2
150	3.39481589E-2
599	3.49149969E-2
317	3.52447334E-2
705	3.62377887E-2
948	3.71154915E-2
524	3.73460402E-2
502	3.75641854E-2
799	4.24138237E-2
727	4.68251396E-2
104	4.71613305E-2
37	4.72857721E-2
575	4.94788393E-2
443	5.09575869E-2
449	5.10570637E-2
2	5.27301364E-2
904	5.30620109E-2
947	5.32775225E-2
980	5.43154939E-2
834	5.58367636E-2
713	5.59965062E-2
925	5.6006826E-2
496	5.60768048E-2
964	5.62203507E-2
952	5.78848208E-2
560	5.85051723E-2
1017	5.9771819E-2
221	6.05185007E-2
728	6.05682587E-2
18	6.24363437E-2
44	6.29654388E-2
431	6.32922556E-2
63	6.68554983E-2
588	6.92130301E-2
882	7.19501878E-2
909	7.37972E-2
614	7.69681198E-2
327	7.76478857E-2
330	7.79408809E-2
627	8.11563617E-2
51	8.11863164E-2
623	8.25371423E-2
612	8.30400249E-2
229	8.38627288E-2
969	8.42772806E-2
833	8.45346178E-2
864	8.60944179E-2
870	8.88299036E-2
981	8.90036262E-2
238	8.99462707E-2
1003	9.13301407E-2
35	9.22369907E-2
793	9.23072671E-2
768	9.26275719E-2
145	9.40005641E-2
762	9.46642993E-2
219	9.57458286E-2
785	9.60010405E-2
592	9.62227463E-2
632	9.70093124E-2
1014	9.7711085E-2
278	9.81882067E-2
75	9.9031421E-2
418	1.0157161E-1
949	1.01815829E-1
606	1.01870484E-1
683	1.02439977E-1
250	1.03017165E-1
26	1.03483527E-1
589	1.04248434E-1
309	1.0558713E-1
932	1.05768515E-1
459	1.07521284E-1
419	1.09623243E-1
236	1.10036033E-1
469	1.11456983E-1
129	1.1226775E-1
1016	1.13059214E-1
180	1.13715078E-1
593	1.14454738E-1
100	1.15258195E-1
812	1.15277134E-1
719	1.17066718E-1
774	1.17571824E-1
227	1.18764813E-1
54	1.2031552E-1
538	1.20581273E-1
660	1.20766031E-1
149	1.25224876E-1
60	1.26022356E-1
653	1.26649866E-1
756	1.27567323E-1
206	1.28309384E-1
676	1.29011016E-1
478	1.30819994E-1
379	1.32019465E-1
697	1.32442635E-1
205	1.33103791E-1
159	1.33946477E-1
902	1.34548559E-1
277	1.34887668E-1
677	1.36744665E-1
14	1.38310499E-1
318	1.38563517E-1
55	1.3959742E-1
124	1.3980617E-1
707	1.39837543E-1
608	1.40803014E-1
196	1.41042413E-1
974	1.42880271E-1
869	1.44066803E-1
871	1.44304084E-1
234	1.45291805E-1
276	1.457513E-1
863	1.47629287E-1
464	1.50071259E-1
628	1.50723788E-1
69	1.51411194E-1
269	1.53803621E-1
922	1.54268826E-1
520	1.54564567E-1
865	1.54717237E-1
926	1.56652919E-1
289	1.56959269E-1
344	1.57492888E-1
783	1.58345698E-1
1013	1.58535072E-1
468	1.61078312E-1
523	1.6226116E-1
85	1.63001009E-1
197	1.63456283E-1
701	1.63865303E-1
367	1.63868774E-1
702	1.63949547E-1
996	1.65310562E-1
666	1.68955057E-1
921	1.712544E-1
339	1.71389905E-1
988	1.71976501E-1
765	1.75600227E-1
25	1.76553293E-1
990	1.78641513E-1
78	1.78698132E-1
12	1.81256819E-1
160	1.81412374E-1
976	1.81804944E-1
106	1.82530106E-1
254	1.82705827E-1
734	1.83382443E-1
856	1.8461632E-1
456	1.86813581E-1
244	1.87078632E-1
109	1.87608049E-1
667	1.8785182E-1
741	1.88023767E-1
658	1.88240541E-1
744	1.89066069E-1
447	1.89448709E-1
880	1.89528256E-1
689	1.89691743E-1
482	1.90265041E-1
298	1.90835451E-1
248	1.90863264E-1
732	1.9270138E-1
134	1.9329065E-1
255	1.94189109E-1
1012	1.9818715E-1
827	1.98239921E-1
265	1.99936874E-1
807	2.00431779E-1
195	2.01091606E-1
749	2.02146482E-1
721	2.02338015E-1
843	2.02392789E-1
852	2.03333647E-1
522	2.06238487E-1
190	2.08201856E-1
802	2.09195629E-1
611	2.09776642E-1
243	2.10493062E-1
451	2.10666621E-1
648	2.12683218E-1
433	2.13364285E-1
30	2.15639089E-1
192	2.1675795E-1
273	2.18687343E-1
405	2.18689318E-1
307	2.18726528E-1
781	2.20223667E-1
685	2.20503677E-1
492	2.21081623E-1
966	2.24447079E-1
410	2.25518279E-1
616	2.25735068E-1
993	2.27337306E-1
303	2.27725873E-1
712	2.29233656E-1
649	2.29895683E-1
24	2.29949521E-1
366	2.30285598E-1
537	2.30513776E-1
167	2.30556077E-1
128	2.30890931E-1
29	2.31419367E-1
353	2.34919623E-1
445	2.36814334E-1
652	2.38599618E-1
393	2.41428924E-1
873	2.41705778E-1
163	2.42521818E-1
1004	2.43006606E-1
600	2.451464E-1
935	2.45273587E-1
631	2.45915234E-1
223	2.48381396E-1
99	2.48713421E-1
345	2.48982488E-1
867	2.51337415E-1
186	2.52671109E-1
92	2.52788537E-1
811	2.53371034E-1
556	2.53758981E-1
162	2.53958565E-1
292	2.55121929E-1
773	2.56324692E-1
7	2.5740382E-1
91	2.5772748E-1
113	2.58565545E-1
467	2.58816884E-1
253	2.5943546E-1
929	2.62853549E-1
232	2.63062821E-1
437	2.63114144E-1
821	2.63920928E-1
824	2.69755222E-1
498	2.71026742E-1
110	2.72245272E-1
720	2.72390938E-1
294	2.72647757E-1
89	2.73536774E-1
