Name	chi2Pvalue
257	1.64016462E-4
650	2.12077274E-4
860	4.17312533E-3
837	6.19654193E-3
43	7.20306205E-3
79	7.26540245E-3
578	8.72864144E-3
615	9.25093727E-3
711	1.04732632E-2
833	1.18037782E-2
276	1.2100521E-2
352	1.25419567E-2
164	1.62363757E-2
380	1.7558396E-2
17	1.87918309E-2
730	1.93383541E-2
734	2.04513476E-2
609	2.24519073E-2
451	2.39772758E-2
40	2.42889061E-2
865	2.64194408E-2
436	2.73246158E-2
501	2.73833056E-2
889	2.76200616E-2
330	2.95336834E-2
37	2.97018633E-2
599	3.03707965E-2
728	3.28447664E-2
35	3.41355398E-2
765	3.47843895E-2
593	3.52436964E-2
25	3.57859105E-2
51	3.61896382E-2
23	3.9487286E-2
504	3.98395393E-2
988	4.11300778E-2
925	4.27914662E-2
309	4.42479575E-2
7	4.44874275E-2
949	4.49121635E-2
639	4.56232378E-2
77	4.63169006E-2
738	4.65290727E-2
445	4.74406933E-2
664	5.1205541E-2
880	5.15526266E-2
612	5.2046775E-2
975	5.2739911E-2
5	5.56439236E-2
774	5.87057801E-2
632	5.92876016E-2
683	6.08248584E-2
957	6.23398597E-2
871	6.25836234E-2
186	6.59668309E-2
803	6.83943851E-2
553	6.98511435E-2
956	6.99751411E-2
971	7.18091172E-2
834	7.18640097E-2
785	7.22087592E-2
1003	7.24410284E-2
628	7.26397714E-2
566	7.48685384E-2
367	7.56693623E-2
375	7.68373851E-2
41	7.89732394E-2
96	7.94963412E-2
161	8.06488961E-2
964	8.1165078E-2
128	8.20553144E-2
89	8.29957635E-2
864	8.36384992E-2
537	8.43950569E-2
414	8.50751353E-2
797	8.56969133E-2
899	8.64832913E-2
840	8.67132387E-2
468	8.71332482E-2
762	8.81650771E-2
238	8.8228025E-2
492	9.26729741E-2
145	9.31248947E-2
780	9.37967371E-2
524	9.43141824E-2
994	9.79917753E-2
947	9.89744382E-2
217	9.89973513E-2
424	1.01828462E-1
773	1.019351E-1
853	1.02326792E-1
502	1.04812941E-1
749	1.06074511E-1
381	1.06835647E-1
747	1.07757662E-1
932	1.07923972E-1
44	1.08741902E-1
600	1.08937371E-1
658	1.09232061E-1
265	1.10399733E-1
980	1.12343553E-1
799	1.1253323E-1
790	1.14044293E-1
827	1.15035743E-1
608	1.16369545E-1
68	1.16411138E-1
761	1.17408484E-1
224	1.17551803E-1
221	1.18926617E-1
272	1.19268681E-1
443	1.19814623E-1
685	1.20591413E-1
236	1.20958974E-1
886	1.22951046E-1
408	1.23221899E-1
793	1.24260329E-1
460	1.25338509E-1
305	1.2852273E-1
327	1.29205055E-1
205	1.31071329E-1
298	1.31877867E-1
366	1.3245851E-1
405	1.32887794E-1
388	1.33066272E-1
948	1.34069758E-1
289	1.36162756E-1
192	1.36845929E-1
829	1.37373637E-1
16	1.38762094E-1
148	1.402738E-1
255	1.40914996E-1
21	1.41867933E-1
65	1.41882751E-1
459	1.42312624E-1
534	1.44551965E-1
437	1.45055711E-1
872	1.45125645E-1
229	1.45562632E-1
614	1.46759546E-1
791	1.47999389E-1
904	1.49193227E-1
983	1.51410551E-1
481	1.52864998E-1
476	1.5321879E-1
105	1.53989935E-1
167	1.5426212E-1
18	1.54499717E-1
702	1.55895495E-1
418	1.56298353E-1
918	1.56472498E-1
529	1.56659638E-1
433	1.58199433E-1
287	1.60752175E-1
431	1.61538226E-1
727	1.62910488E-1
254	1.6317109E-1
303	1.63503882E-1
372	1.6476361E-1
1019	1.65864266E-1
26	1.66716482E-1
842	1.67572693E-1
677	1.68154901E-1
697	1.72981495E-1
627	1.73338913E-1
1014	1.73351743E-1
91	1.76577454E-1
712	1.79195574E-1
556	1.79801626E-1
753	1.80288668E-1
129	1.80374846E-1
873	1.80592805E-1
458	1.90953157E-1
1017	1.91508603E-1
689	1.91844915E-1
567	1.93575318E-1
190	1.93848859E-1
464	1.94044465E-1
941	1.94183017E-1
623	1.95192801E-1
66	1.96118154E-1
259	1.96962375E-1
