Name	chi2Pvalue
408	8.05562255E-4
431	1.08417557E-3
2	1.24069737E-3
932	1.51351461E-3
711	2.00852647E-3
37	3.05797616E-3
650	3.29637339E-3
79	3.71727727E-3
1008	4.74465259E-3
850	5.21699799E-3
522	6.48398316E-3
103	6.81425722E-3
401	1.01782189E-2
182	1.07157007E-2
620	1.13613003E-2
468	1.14735457E-2
578	1.33047178E-2
173	1.34414534E-2
964	1.50959426E-2
378	1.57555994E-2
802	1.62215278E-2
243	1.86909401E-2
626	1.93637621E-2
580	2.03800821E-2
866	2.03924164E-2
297	2.16117511E-2
727	2.16646219E-2
420	2.17766855E-2
501	2.29310933E-2
205	2.33604438E-2
156	2.4045116E-2
870	2.56565865E-2
407	2.64429929E-2
368	2.66237498E-2
561	2.73369478E-2
364	2.79139695E-2
268	2.85018818E-2
837	2.86962806E-2
43	2.88789445E-2
730	2.91981331E-2
767	2.92711669E-2
1000	2.96112512E-2
321	3.04296332E-2
131	3.0834797E-2
312	3.18187248E-2
160	3.29324846E-2
132	3.29593771E-2
405	3.36200332E-2
819	3.47387304E-2
340	3.48497941E-2
762	3.61222784E-2
125	3.74395103E-2
113	3.78088159E-2
622	3.88554997E-2
598	3.95512343E-2
508	3.98304902E-2
774	4.00960494E-2
863	4.09865792E-2
227	4.29607058E-2
844	4.31349325E-2
23	4.33335486E-2
919	4.41499508E-2
864	4.42273436E-2
315	4.46389555E-2
393	4.52243387E-2
668	4.58001263E-2
270	4.70588137E-2
905	4.70865535E-2
718	4.96079339E-2
214	4.96357272E-2
212	5.02542297E-2
811	5.2411068E-2
922	5.30967666E-2
353	5.33436015E-2
102	5.7663052E-2
860	5.93808052E-2
457	6.03146183E-2
93	6.22717436E-2
272	6.37746917E-2
195	6.56529327E-2
476	6.6376718E-2
38	6.73796041E-2
644	6.84647303E-2
599	7.04902224E-2
382	7.10243864E-2
629	7.31978515E-2
728	7.42979621E-2
492	7.50012252E-2
699	7.53411705E-2
472	7.58644537E-2
930	7.61154267E-2
143	7.71138729E-2
219	7.78284847E-2
267	7.95407387E-2
951	8.15025E-2
788	8.20897327E-2
375	8.31600535E-2
275	8.31758369E-2
12	8.51144819E-2
881	8.55561665E-2
517	8.61067656E-2
197	8.71597218E-2
639	8.79756735E-2
535	8.82033086E-2
499	8.91608366E-2
814	9.03104007E-2
73	9.05325932E-2
551	9.09933167E-2
969	9.11577361E-2
339	9.33824754E-2
192	9.38528934E-2
957	9.3907434E-2
770	9.47347737E-2
773	9.57064906E-2
422	9.67882577E-2
76	9.76819736E-2
596	9.95945148E-2
854	9.99642284E-2
660	1.00701698E-1
623	1.03420287E-1
464	1.04799775E-1
997	1.05137751E-1
633	1.06310168E-1
585	1.07013931E-1
234	1.09002262E-1
1011	1.12895305E-1
914	1.14208848E-1
185	1.14503679E-1
782	1.16937807E-1
147	1.18813558E-1
963	1.1887596E-1
104	1.19087137E-1
13	1.19301905E-1
876	1.22527631E-1
397	1.22715304E-1
391	1.23360706E-1
317	1.23961165E-1
410	1.24792604E-1
218	1.24937184E-1
77	1.27389334E-1
7	1.27396028E-1
915	1.31664584E-1
238	1.31758862E-1
958	1.35068852E-1
462	1.38365154E-1
640	1.39644717E-1
731	1.39741212E-1
713	1.41087967E-1
742	1.42458076E-1
435	1.42551301E-1
832	1.44416223E-1
247	1.45198252E-1
240	1.45250246E-1
542	1.45667943E-1
286	1.46506745E-1
736	1.47594122E-1
867	1.48437437E-1
200	1.5154382E-1
24	1.52244245E-1
126	1.53090656E-1
11	1.53593092E-1
429	1.54297095E-1
538	1.57074107E-1
316	1.57541219E-1
878	1.60100267E-1
989	1.6079802E-1
777	1.62289373E-1
467	1.62511512E-1
520	1.62735958E-1
162	1.63357477E-1
