Name	chi2Pvalue
650	3.6286693E-5
257	3.06484655E-4
160	5.95920835E-4
711	1.69189189E-3
431	2.08486289E-3
578	2.09675041E-3
476	2.23538275E-3
837	2.94455752E-3
243	7.84566362E-3
599	8.31155191E-3
642	8.45162175E-3
501	9.15987278E-3
653	1.09191476E-2
802	1.10298487E-2
628	1.10566118E-2
43	1.16044336E-2
727	1.3461254E-2
774	1.38688373E-2
833	1.38959646E-2
860	1.55785082E-2
1008	1.75109662E-2
623	1.80363392E-2
470	1.803945E-2
253	1.83408811E-2
522	1.87005427E-2
99	2.25846933E-2
164	2.27016992E-2
468	2.27886705E-2
646	2.40421544E-2
459	2.51672358E-2
147	2.60607974E-2
397	2.63461817E-2
79	2.63638923E-2
104	2.9253112E-2
103	3.23204962E-2
869	3.46138736E-2
408	3.48938613E-2
2	3.52896029E-2
504	3.54265836E-2
44	3.77366371E-2
644	3.85892116E-2
540	3.88622924E-2
763	3.9607557E-2
697	4.2216688E-2
951	4.22267636E-2
673	4.37505587E-2
767	4.46179008E-2
980	4.47628369E-2
975	4.47742389E-2
918	4.52610544E-2
449	4.67221911E-2
238	4.67761968E-2
658	4.92470675E-2
131	5.10243778E-2
889	5.32449631E-2
206	5.35201687E-2
983	5.39028533E-2
195	5.47807462E-2
410	5.47884877E-2
575	5.57833559E-2
677	5.68759267E-2
535	5.8777241E-2
898	5.92017908E-2
705	5.96179076E-2
17	6.10319183E-2
436	6.33503175E-2
589	6.35091088E-2
517	6.39352383E-2
269	6.3967482E-2
159	6.61825726E-2
38	6.62086452E-2
1017	6.67292567E-2
879	6.77345917E-2
378	6.81628168E-2
327	6.9230833E-2
689	7.01391195E-2
218	7.19636459E-2
1011	7.38876222E-2
616	7.71386535E-2
197	7.76225073E-2
23	7.83763749E-2
632	7.8596201E-2
965	7.8854411E-2
223	7.92002517E-2
730	8.1543938E-2
996	8.16157579E-2
734	8.35399596E-2
276	8.43338827E-2
118	8.46091632E-2
573	8.59092635E-2
332	8.75293046E-2
420	8.88067346E-2
963	8.95680828E-2
78	8.98041276E-2
386	9.00379166E-2
492	9.09921952E-2
903	9.25631656E-2
864	9.27708356E-2
173	9.62219144E-2
134	9.67997158E-2
469	9.80089818E-2
834	9.81231685E-2
982	9.9185239E-2
227	9.96440769E-2
797	1.03561982E-1
205	1.0643476E-1
612	1.08209592E-1
768	1.0823285E-1
851	1.08445082E-1
660	1.11336485E-1
81	1.12654673E-1
726	1.12755222E-1
991	1.13738341E-1
609	1.14327623E-1
807	1.1615587E-1
37	1.16735259E-1
24	1.16957524E-1
886	1.17383052E-1
259	1.18188105E-1
69	1.1862641E-1
911	1.21672105E-1
957	1.23450195E-1
404	1.26860247E-1
765	1.28056981E-1
795	1.30736986E-1
915	1.31262281E-1
964	1.31577969E-1
51	1.32315582E-1
277	1.32823285E-1
873	1.32824452E-1
388	1.33024659E-1
971	1.33875678E-1
820	1.37275987E-1
721	1.37530631E-1
624	1.4037327E-1
246	1.41416273E-1
287	1.44202704E-1
156	1.44561894E-1
65	1.45056068E-1
464	1.45914016E-1
407	1.50170686E-1
422	1.50325295E-1
750	1.50516139E-1
52	1.51082198E-1
290	1.5138025E-1
676	1.51977578E-1
316	1.52222383E-1
762	1.52731278E-1
919	1.52793082E-1
928	1.52841115E-1
987	1.55081695E-1
626	1.56085754E-1
424	1.57562285E-1
394	1.58207366E-1
472	1.60235131E-1
20	1.6114588E-1
649	1.62648176E-1
339	1.6305924E-1
270	1.63222136E-1
1002	1.632258E-1
234	1.65698165E-1
899	1.6616369E-1
821	1.66712176E-1
752	1.68591009E-1
323	1.68604879E-1
75	1.68641109E-1
703	1.69615533E-1
932	1.71101678E-1
984	1.72429272E-1
333	1.73617709E-1
883	1.74910293E-1
552	1.75446215E-1
302	1.79866452E-1
921	1.8170021E-1
925	1.82394032E-1
989	1.83524798E-1
212	1.83940726E-1
123	1.84431936E-1
405	1.8510919E-1
467	1.85167127E-1
892	1.8523266E-1
744	1.86074039E-1
614	1.87730749E-1
462	1.88592248E-1
330	1.89528625E-1
639	1.90440745E-1
976	1.91158439E-1
509	1.92428331E-1
586	1.93866812E-1
791	1.93954475E-1
183	1.95414215E-1
699	1.95452963E-1
969	1.96526459E-1
63	1.99215459E-1
770	2.00505549E-1
556	2.00880483E-1
214	2.03136496E-1
585	2.0455385E-1
249	2.05009021E-1
909	2.08267152E-1
219	2.08292402E-1
1016	2.08316449E-1
256	2.08507479E-1
634	2.08853264E-1
115	2.0922746E-1
331	2.0958891E-1
252	2.11450951E-1
457	2.11724979E-1
167	2.13713269E-1
451	2.14352219E-1
640	2.15910854E-1
198	2.18187452E-1
291	2.18340134E-1
947	2.1903993E-1
607	2.19789565E-1
748	2.22129968E-1
240	2.22766264E-1
622	2.2476504E-1
707	2.25710542E-1
298	2.25754054E-1
55	2.26070922E-1
713	2.27770256E-1
163	2.30006276E-1
26	2.31183368E-1
728	2.32853162E-1
698	2.33018859E-1
930	2.34155726E-1
615	2.34353873E-1
749	2.35032215E-1
740	2.35336738E-1
102	2.37009782E-1
326	2.37510349E-1
603	2.38771879E-1
225	2.40143289E-1
150	2.4130725E-1
512	2.42121797E-1
145	2.42758195E-1
213	2.43982256E-1
217	2.44365084E-1
478	2.44824885E-1
753	2.45496921E-1
872	2.46737805E-1
47	2.47079375E-1
532	2.49738806E-1
500	2.50534646E-1
702	2.50557965E-1
182	2.51470572E-1
766	2.51731432E-1
565	2.52101847E-1
742	2.52391263E-1
782	2.52973778E-1
381	2.55508536E-1
931	2.5739322E-1
221	2.61266181E-1
1001	2.63160157E-1
671	2.65106575E-1
861	2.65911183E-1
28	2.66025683E-1
84	2.67882572E-1
188	2.68546781E-1
