Name	chi2Pvalue
650	1.25619767E-5
257	3.47202445E-4
837	1.54574785E-3
860	2.54350086E-3
160	2.63886077E-3
476	2.7013617E-3
833	3.44524026E-3
578	4.65608993E-3
980	4.76098484E-3
711	8.01633792E-3
774	1.06577808E-2
653	1.07439475E-2
63	1.11830679E-2
65	1.39395823E-2
470	1.62460625E-2
983	1.69678693E-2
599	1.71600759E-2
43	1.7800589E-2
51	2.03499637E-2
218	2.09200739E-2
628	2.09858034E-2
431	2.19795453E-2
575	2.53037691E-2
797	2.59711332E-2
104	2.82138165E-2
677	2.85644491E-2
763	2.92438536E-2
644	2.95276952E-2
449	3.08059136E-2
673	3.17425178E-2
436	3.21864501E-2
459	3.23144282E-2
522	3.35279143E-2
388	3.56456406E-2
468	3.68340731E-2
1017	3.70065701E-2
183	3.99428619E-2
900	4.02550015E-2
253	4.07221767E-2
243	4.07422167E-2
775	4.10719153E-2
386	4.19774608E-2
576	4.33167696E-2
164	4.39038779E-2
327	4.49954168E-2
802	4.56023464E-2
726	4.59445504E-2
1002	4.6687186E-2
52	5.04319404E-2
35	5.12217277E-2
79	5.29284757E-2
642	5.32509686E-2
332	5.3562029E-2
2	5.56807317E-2
326	5.68348931E-2
272	5.69839437E-2
75	5.80954808E-2
928	5.81798325E-2
501	5.89569153E-2
381	5.99284769E-2
266	6.03967102E-2
69	6.07563765E-2
131	6.2602348E-2
762	6.33967845E-2
397	6.40679214E-2
1011	6.58301856E-2
851	6.66132007E-2
523	6.81852508E-2
883	6.9557213E-2
540	6.95893787E-2
573	7.17448134E-2
609	7.20206966E-2
99	7.28953113E-2
507	7.33377482E-2
1001	7.37468664E-2
173	7.40859833E-2
770	7.41635337E-2
889	7.43325731E-2
259	7.55826015E-2
903	7.90915564E-2
30	8.00640559E-2
705	8.03424563E-2
623	8.0550466E-2
103	8.14298909E-2
752	8.40273517E-2
238	8.72303142E-2
666	8.88416921E-2
976	8.99081266E-2
147	8.99667669E-2
740	9.03860722E-2
197	9.12413236E-2
858	9.1379892E-2
451	9.15706421E-2
134	9.1965642E-2
916	9.29044836E-2
246	9.30510129E-2
965	9.49588961E-2
612	9.60013175E-2
504	9.60394896E-2
285	9.60533641E-2
150	9.69164931E-2
223	9.74111546E-2
220	9.98180792E-2
288	1.00530237E-1
456	1.0294496E-1
195	1.03368944E-1
646	1.04050627E-1
145	1.04749984E-1
869	1.08536144E-1
795	1.09144767E-1
55	1.09758073E-1
216	1.10408828E-1
23	1.11859097E-1
834	1.12513378E-1
227	1.12536199E-1
44	1.12817223E-1
767	1.15305814E-1
865	1.16218181E-1
399	1.17379815E-1
276	1.18568968E-1
727	1.19687833E-1
902	1.19941125E-1
250	1.2041722E-1
290	1.22141033E-1
768	1.22177223E-1
960	1.25643908E-1
864	1.25763898E-1
667	1.26684226E-1
355	1.27985654E-1
553	1.28116825E-1
457	1.28779813E-1
486	1.29809027E-1
269	1.33194099E-1
562	1.33339387E-1
404	1.35195087E-1
179	1.36542851E-1
658	1.37185523E-1
389	1.38677601E-1
807	1.39336264E-1
689	1.40242745E-1
118	1.41041926E-1
913	1.41438884E-1
749	1.41554696E-1
686	1.41783486E-1
635	1.44319641E-1
410	1.4434577E-1
707	1.45231499E-1
1008	1.45288176E-1
71	1.46142577E-1
81	1.47209196E-1
879	1.47574801E-1
26	1.48352041E-1
918	1.48812952E-1
189	1.49694067E-1
471	1.52527321E-1
17	1.52762953E-1
231	1.54044034E-1
206	1.5406951E-1
586	1.54242409E-1
148	1.54365903E-1
331	1.5513098E-1
820	1.55709056E-1
105	1.55800755E-1
550	1.55964146E-1
780	1.59137063E-1
242	1.59523036E-1
302	1.60117417E-1
18	1.60253257E-1
171	1.60590436E-1
956	1.61769357E-1
492	1.61827937E-1
721	1.62319013E-1
339	1.63052775E-1
378	1.63826363E-1
512	1.65601813E-1
734	1.6605215E-1
552	1.66983769E-1
414	1.67842028E-1
412	1.68457418E-1
907	1.71305569E-1
78	1.71743126E-1
556	1.7234834E-1
839	1.73044829E-1
221	1.73880982E-1
402	1.74364661E-1
279	1.75623249E-1
262	1.77018383E-1
261	1.77234117E-1
765	1.80422673E-1
947	1.80594383E-1
215	1.80804679E-1
912	1.81808919E-1
298	1.83684853E-1
975	1.84157439E-1
637	1.84214167E-1
852	1.84752637E-1
963	1.85000846E-1
213	1.85196938E-1
981	1.85570603E-1
28	1.86170827E-1
425	1.87035543E-1
1014	1.87054837E-1
957	1.87357186E-1
20	1.88079182E-1
996	1.92208164E-1
660	1.93341867E-1
982	1.9435943E-1
569	1.96410904E-1
24	1.98098721E-1
111	1.98553489E-1
593	1.98971366E-1
953	2.0023429E-1
861	2.0117493E-1
204	2.01723954E-1
5	2.03853974E-1
917	2.04054642E-1
715	2.04229267E-1
813	2.0464111E-1
536	2.06178042E-1
371	2.07416732E-1
703	2.08071882E-1
500	2.0811504E-1
167	2.09234715E-1
333	2.10394006E-1
110	2.11350196E-1
319	2.13742898E-1
219	2.14929748E-1
906	2.15669661E-1
979	2.19003978E-1
107	2.19084678E-1
316	2.19289357E-1
452	2.19969092E-1
821	2.20550524E-1
640	2.2156786E-1
793	2.22094858E-1
766	2.22289593E-1
161	2.22310915E-1
535	2.24679726E-1
469	2.262715E-1
433	2.27047028E-1
396	2.28218275E-1
898	2.30638166E-1
306	2.31096285E-1
966	2.31347235E-1
611	2.31471346E-1
932	2.31721804E-1
135	2.3311097E-1
423	2.37120531E-1
791	2.37386889E-1
700	2.38131011E-1
361	2.39969292E-1
422	2.40513225E-1
911	2.41242045E-1
827	2.41697362E-1
475	2.41956746E-1
969	2.44825053E-1
294	2.45344212E-1
614	2.45557907E-1
198	2.45819188E-1
799	2.46953773E-1
872	2.47979893E-1
133	2.50140842E-1
954	2.50320814E-1
393	2.50612877E-1
159	2.51158288E-1
434	2.51596168E-1
676	2.51620362E-1
256	2.51662349E-1
616	2.52079688E-1
915	2.52082272E-1
941	2.52368715E-1
33	2.52985565E-1
808	2.54386589E-1
208	2.55129967E-1
47	2.55320619E-1
615	2.55410681E-1
702	2.55535962E-1
