Name	chi2Pvalue
540	3.25185767E-3
552	3.54829943E-3
562	4.68924248E-3
30	5.2661286E-3
698	5.47807268E-3
41	6.16515957E-3
735	6.88185449E-3
245	6.94568118E-3
878	7.4062937E-3
361	7.85493513E-3
584	9.02849173E-3
43	1.66536575E-2
479	1.66995328E-2
897	1.68121661E-2
525	1.74536946E-2
144	1.79460695E-2
238	2.32332244E-2
65	2.50444344E-2
747	2.54842032E-2
810	2.58006575E-2
945	2.79186514E-2
413	2.81435099E-2
640	2.85836586E-2
909	2.95439112E-2
495	2.96158791E-2
731	3.02916822E-2
45	3.05636537E-2
13	3.08924683E-2
764	3.1863642E-2
689	3.25566476E-2
983	3.27585523E-2
802	3.32648197E-2
101	3.34708299E-2
474	3.38097069E-2
104	3.46644481E-2
914	3.57970224E-2
465	3.60037586E-2
846	3.80159285E-2
383	3.87343097E-2
533	3.956135E-2
416	3.97580259E-2
645	3.981403E-2
558	3.9816245E-2
946	4.37846035E-2
873	4.42633544E-2
770	4.47403809E-2
407	4.58434586E-2
390	4.67058761E-2
396	4.71256472E-2
740	4.72866546E-2
725	4.76937489E-2
445	4.84688278E-2
409	4.86480557E-2
728	4.89333733E-2
51	4.92286006E-2
551	4.99147613E-2
538	5.15428968E-2
676	5.16537798E-2
882	5.19711285E-2
162	5.23919721E-2
812	5.44197598E-2
745	5.45629384E-2
651	5.64320729E-2
374	5.65813897E-2
234	5.68412812E-2
476	5.71115126E-2
843	5.75870697E-2
328	5.84203151E-2
460	5.88738365E-2
504	5.91364609E-2
296	5.99519396E-2
750	6.08443387E-2
326	6.11010228E-2
310	6.28013374E-2
915	6.4665038E-2
522	6.56948807E-2
119	6.83991033E-2
186	6.86168737E-2
759	6.99068296E-2
566	7.03713699E-2
391	7.29667357E-2
673	7.31607461E-2
200	7.41081287E-2
340	7.47861667E-2
694	7.60828708E-2
839	7.76559243E-2
197	7.79517554E-2
587	7.83473076E-2
496	7.8969811E-2
71	7.97463046E-2
248	7.98736083E-2
616	8.01522462E-2
53	8.06235962E-2
380	8.06738E-2
559	8.22749123E-2
289	8.33807834E-2
400	8.38185814E-2
75	8.44753255E-2
840	8.52164594E-2
668	8.60544321E-2
823	8.62137419E-2
27	8.63809142E-2
526	8.67411924E-2
501	8.69209012E-2
191	8.84469747E-2
318	9.14637453E-2
927	9.39538727E-2
402	9.65198126E-2
647	9.71223312E-2
529	9.77267889E-2
646	9.77979938E-2
727	1.00549711E-1
638	1.01339726E-1
1008	1.035668E-1
204	1.04825757E-1
984	1.05673853E-1
888	1.06796992E-1
563	1.0729142E-1
502	1.0782874E-1
979	1.0798933E-1
597	1.10175345E-1
962	1.10545558E-1
939	1.10812967E-1
467	1.10817182E-1
917	1.13688814E-1
661	1.13716714E-1
292	1.17001715E-1
259	1.17373821E-1
592	1.17557105E-1
1007	1.17933727E-1
856	1.18263078E-1
953	1.18287834E-1
798	1.20541015E-1
773	1.2078639E-1
557	1.21865896E-1
778	1.23128731E-1
790	1.23476755E-1
451	1.24127338E-1
166	1.24869253E-1
923	1.25290373E-1
989	1.26190731E-1
360	1.26285403E-1
260	1.26895652E-1
350	1.27625333E-1
519	1.28674628E-1
916	1.30777552E-1
788	1.31809052E-1
1021	1.32906752E-1
386	1.3317788E-1
925	1.34492061E-1
623	1.35186126E-1
217	1.35552712E-1
883	1.35712021E-1
573	1.35913363E-1
832	1.36604047E-1
86	1.37515802E-1
44	1.3865474E-1
513	1.38741204E-1
503	1.39045569E-1
976	1.39257164E-1
423	1.40183028E-1
83	1.4340125E-1
547	1.46436317E-1
73	1.47001133E-1
15	1.48054488E-1
424	1.48091011E-1
159	1.48155851E-1
969	1.48414629E-1
357	1.49509572E-1
113	1.49557849E-1
532	1.49711154E-1
999	1.49903566E-1
227	1.50539477E-1
744	1.50841635E-1
874	1.51382216E-1
177	1.5214003E-1
924	1.52272584E-1
135	1.52439169E-1
935	1.52930634E-1
971	1.54075336E-1
84	1.56376904E-1
401	1.56587461E-1
642	1.56834674E-1
966	1.58088344E-1
417	1.58170306E-1
240	1.59247167E-1
901	1.60316752E-1
981	1.60771423E-1
677	1.60920882E-1
714	1.61140093E-1
463	1.61561058E-1
666	1.61628078E-1
949	1.61860169E-1
855	1.62284151E-1
671	1.62780471E-1
434	1.65930509E-1
782	1.6847974E-1
24	1.71409679E-1
376	1.72459021E-1
364	1.72507535E-1
325	1.74226798E-1
975	1.76229761E-1
470	1.77724283E-1
212	1.78459695E-1
459	1.78494789E-1
10	1.78703205E-1
60	1.79610844E-1
295	1.80394883E-1
29	1.81937526E-1
718	1.84091669E-1
706	1.84847627E-1
528	1.85143067E-1
208	1.86960208E-1
560	1.88823222E-1
705	1.89217907E-1
891	1.90663743E-1
995	1.91198736E-1
242	1.9170125E-1
314	1.92191982E-1
781	1.92456392E-1
826	1.93260105E-1
751	1.94165377E-1
198	1.94208522E-1
111	1.95268647E-1
605	1.9535225E-1
466	1.95418902E-1
695	1.95460787E-1
992	1.95622865E-1
139	1.97395406E-1
639	1.97482391E-1
527	1.98879289E-1
351	2.0024537E-1
300	2.02034932E-1
869	2.02121085E-1
55	2.03508009E-1
556	2.08521536E-1
405	2.08780117E-1
112	2.08867408E-1
938	2.10547759E-1
21	2.11502849E-1
600	2.13465139E-1
1001	2.1405294E-1
299	2.14149955E-1
553	2.1473904E-1
98	2.15385155E-1
436	2.15727664E-1
811	2.16496204E-1
19	2.17346585E-1
161	2.17907483E-1
803	2.19835461E-1
729	2.21436495E-1
308	2.21455437E-1
726	2.22762083E-1
879	2.23178886E-1
146	2.24914279E-1
174	2.28146722E-1
853	2.28383782E-1
272	2.28818307E-1
578	2.30456561E-1
307	2.30483662E-1
763	2.31444508E-1
659	2.33986679E-1
371	2.34615391E-1
930	2.35952892E-1
373	2.42769501E-1
69	2.43632909E-1
957	2.44632787E-1
800	2.44906024E-1
468	2.46497803E-1
791	2.48079408E-1
742	2.4817192E-1
32	2.48186235E-1
271	2.49681797E-1
62	2.50439987E-1
633	2.51302978E-1
754	2.52536804E-1
653	2.55314829E-1
107	2.56844815E-1
591	2.61149881E-1
625	2.62848461E-1
182	2.63321126E-1
397	2.64484612E-1
793	2.66578911E-1
190	2.68142479E-1
687	2.69589103E-1
580	2.70919022E-1
603	2.7130346E-1
700	2.72143866E-1
114	2.7333406E-1
167	2.73839472E-1
333	2.74266702E-1
179	2.74549237E-1
66	2.7545583E-1
921	2.76520269E-1
430	2.76713609E-1
852	2.76943609E-1
152	2.772442E-1
833	2.77338274E-1
990	2.77469553E-1
836	2.78548822E-1
420	2.80305078E-1
263	2.81171484E-1
63	2.83911317E-1
359	2.84957642E-1
894	2.85085942E-1
372	2.85325638E-1
183	2.86795833E-1
710	2.87599115E-1
586	2.88833082E-1
900	2.89323101E-1
814	2.89800725E-1
317	2.89941145E-1
620	2.91657227E-1
1000	2.91873415E-1
76	2.96810922E-1
777	2.96925893E-1
847	2.97308103E-1
524	2.97355588E-1
298	2.97637284E-1
663	2.98016705E-1
776	2.98739979E-1
205	2.99296407E-1
937	2.99703561E-1
849	2.99819458E-1
554	3.01136823E-1
955	3.02344562E-1
316	3.02690683E-1
885	3.03490318E-1
766	3.0518934E-1
293	3.0670323E-1
199	3.06777398E-1
235	3.09478396E-1
127	3.09519127E-1
431	3.11561296E-1
59	3.1224302E-1
312	3.12685792E-1
87	3.13130769E-1
757	3.14272475E-1
446	3.17664783E-1
35	3.18526219E-1
425	3.1875188E-1
579	3.2150405E-1
697	3.22848456E-1
807	3.24776552E-1
11	3.25499816E-1
219	3.27141295E-1
303	3.27225083E-1
149	3.27610873E-1
482	3.28311436E-1
637	3.30119981E-1
224	3.31984333E-1
421	3.32494291E-1
806	3.3266288E-1
210	3.37685997E-1
733	3.38317135E-1
987	3.39105035E-1
980	3.41997916E-1
719	3.4253548E-1
631	3.425654E-1
570	3.43002193E-1
848	3.43058695E-1
262	3.45164374E-1
184	3.46279463E-1
9	3.46465712E-1
652	3.47654158E-1
49	3.47765053E-1
911	3.48159524E-1
100	3.49805375E-1
415	3.51248005E-1
608	3.51613023E-1
964	3.52244327E-1
180	3.52520415E-1
589	3.54150168E-1
94	3.54648402E-1
221	3.56057216E-1
54	3.56090242E-1
243	3.5616272E-1
825	3.56579141E-1
748	3.57461178E-1
418	3.59251401E-1
699	3.59373159E-1
674	3.59861071E-1
461	3.60689374E-1
567	3.61857908E-1
225	3.62111545E-1
214	3.63633222E-1
954	3.6384065E-1
837	3.64114397E-1
72	3.64598963E-1
163	3.65264295E-1
410	3.65676152E-1
192	3.66119266E-1
774	3.67246653E-1
845	3.68346089E-1
960	3.69165106E-1
601	3.69646364E-1
622	3.69686803E-1
497	3.70634644E-1
155	3.71641083E-1
985	3.72460018E-1
684	3.73027327E-1
801	3.73960797E-1
627	3.74522639E-1
89	3.75295186E-1
752	3.75304177E-1
490	3.7671987E-1
862	3.77220891E-1
531	3.77373341E-1
321	3.78771279E-1
648	3.79009154E-1
367	3.79074686E-1
896	3.81133931E-1
266	3.84080901E-1
613	3.85028469E-1
821	3.85185241E-1
432	3.85333613E-1
291	3.85401328E-1
723	3.86578582E-1
722	3.87754531E-1
993	3.88957572E-1
478	3.91113022E-1
867	3.91332561E-1
395	3.91767939E-1
332	3.9218227E-1
612	3.93289053E-1
80	3.96981148E-1
81	3.98584692E-1
667	3.99837626E-1
181	4.00027732E-1
469	4.03898794E-1
117	4.04025924E-1
1002	4.04078891E-1
108	4.0463827E-1
133	4.04935578E-1
936	4.0546655E-1
246	4.07039411E-1
134	4.07671258E-1
912	4.09976441E-1
550	4.10470925E-1
123	4.1127482E-1
641	4.11531072E-1
343	4.11691808E-1
690	4.15566543E-1
780	4.15703872E-1
792	4.17413171E-1
730	4.17620063E-1
439	4.17646715E-1
164	4.17810151E-1
342	4.20207984E-1
449	4.2177887E-1
783	4.22859675E-1
450	4.22885009E-1
880	4.22998298E-1
658	4.23384808E-1
794	4.24428175E-1
974	4.24502665E-1
366	4.25188588E-1
1006	4.27877921E-1
185	4.28675889E-1
907	4.28967453E-1
675	4.29879037E-1
734	4.30439559E-1
287	4.31600263E-1
868	4.32554875E-1
339	4.33495658E-1
0	4.33593458E-1
707	4.36814037E-1
85	4.37624376E-1
394	4.4037152E-1
58	4.41234607E-1
346	4.41240143E-1
110	4.42004976E-1
368	4.42398938E-1
996	4.44096343E-1
158	4.44232709E-1
997	4.44909581E-1
829	4.45582014E-1
7	4.47242456E-1
704	4.47671686E-1
922	4.48199747E-1
22	4.5213133E-1
858	4.52353702E-1
820	4.54588443E-1
427	4.56354837E-1
890	4.57769196E-1
444	4.57791965E-1
512	4.58342015E-1
429	4.59667323E-1
147	4.60129775E-1
933	4.6031105E-1
168	4.60313573E-1
724	4.61356907E-1
315	4.6293022E-1
607	4.63770992E-1
657	4.65330563E-1
433	4.66188762E-1
12	4.66797154E-1
872	4.68366665E-1
866	4.73946948E-1
327	4.74772495E-1
16	4.7503284E-1
831	4.75370345E-1
599	4.75475179E-1
480	4.77898486E-1
42	4.78593998E-1
341	4.78724412E-1
122	4.78828951E-1
284	4.7899163E-1
494	4.79329458E-1
610	4.80370807E-1
732	4.80692458E-1
331	4.8181808E-1
961	4.85872687E-1
887	4.85949015E-1
1014	4.87798114E-1
178	4.89224609E-1
624	4.91923787E-1
583	4.9564053E-1
972	4.99476936E-1
1004	5.01423091E-1
250	5.01527059E-1
1011	5.04094574E-1
297	5.05593803E-1
448	5.06804243E-1
365	5.06904045E-1
171	5.09136038E-1
678	5.10182851E-1
991	5.10523416E-1
595	5.13028364E-1
963	5.13186218E-1
1018	5.13441088E-1
664	5.14294827E-1
596	5.15269238E-1
36	5.1529366E-1
913	5.15546822E-1
854	5.15818902E-1
404	5.1758185E-1
634	5.17750576E-1
126	5.19422333E-1
615	5.22112022E-1
514	5.23643321E-1
892	5.2508503E-1
79	5.27008234E-1
536	5.28871225E-1
795	5.29573313E-1
442	5.31102142E-1
18	5.31549374E-1
249	5.34152859E-1
575	5.36602555E-1
294	5.38603211E-1
176	5.3877088E-1
787	5.4110244E-1
57	5.41535702E-1
389	5.41845809E-1
1016	5.42701785E-1
635	5.42875213E-1
785	5.43567548E-1
305	5.43786455E-1
2	5.44707967E-1
203	5.4474896E-1
319	5.45316256E-1
39	5.49122083E-1
337	5.50499282E-1
222	5.50928398E-1
116	5.52672503E-1
769	5.52682706E-1
220	5.5390472E-1
92	5.54196654E-1
598	5.55110008E-1
910	5.55570666E-1
505	5.57980575E-1
965	5.58349173E-1
968	5.60084853E-1
281	5.61670867E-1
25	5.62412917E-1
175	5.62595717E-1
518	5.63616599E-1
141	5.63686797E-1
614	5.66622872E-1
545	5.66905088E-1
765	5.67799338E-1
715	5.68041981E-1
660	5.68605738E-1
143	5.69735962E-1
669	5.72722486E-1
886	5.73403297E-1
507	5.74596599E-1
982	5.75114389E-1
926	5.75333745E-1
564	5.75602753E-1
712	5.77166174E-1
771	5.77329099E-1
237	5.79023624E-1
875	5.7973447E-1
207	5.79836501E-1
322	5.81861949E-1
441	5.84038159E-1
619	5.84331229E-1
944	5.8450633E-1
850	5.86280052E-1
472	5.86799778E-1
153	5.87349929E-1
606	5.87616462E-1
611	5.88213881E-1
102	5.90254543E-1
760	5.9160656E-1
228	5.92042566E-1
103	5.92778727E-1
419	5.9330187E-1
881	5.93460532E-1
202	5.97557085E-1
216	5.98343559E-1
88	6.00026044E-1
106	6.00311572E-1
967	6.03133883E-1
594	6.04590751E-1
160	6.07397069E-1
443	6.08561181E-1
500	6.09245731E-1
822	6.12507306E-1
137	6.15918384E-1
827	6.16614338E-1
830	6.17150689E-1
252	6.18591915E-1
749	6.18673932E-1
437	6.19302045E-1
5	6.20428768E-1
895	6.20762226E-1
213	6.22165051E-1
