Name	chi2Pvalue
44	2.18286474E-4
381	3.4211581E-3
962	3.67143533E-3
996	5.42201892E-3
227	5.71840606E-3
146	6.17950495E-3
186	1.05003411E-2
160	1.20909561E-2
552	1.30104459E-2
292	1.50562627E-2
999	1.51178849E-2
415	1.54390373E-2
488	1.70837345E-2
15	1.95551211E-2
269	1.98330639E-2
173	2.03574288E-2
247	2.22627537E-2
735	2.44071498E-2
584	2.58173632E-2
487	2.60371447E-2
960	2.60618644E-2
411	2.72153955E-2
903	2.7854517E-2
750	2.86859837E-2
248	2.99039416E-2
7	3.24661811E-2
965	3.29110824E-2
410	3.33834505E-2
839	3.42580657E-2
41	3.486452E-2
719	3.61314501E-2
676	3.72049641E-2
24	3.84883339E-2
416	3.87385229E-2
995	4.16634391E-2
591	4.22770345E-2
695	4.52192628E-2
132	4.57791787E-2
540	4.59324022E-2
992	4.69059791E-2
547	4.72185109E-2
431	5.06615144E-2
474	5.13539955E-2
997	5.18864152E-2
18	5.20982133E-2
541	5.33042184E-2
663	5.4152356E-2
840	5.7232901E-2
51	5.72818238E-2
240	5.80979768E-2
366	6.01287407E-2
147	6.02604907E-2
778	6.0820076E-2
119	6.15983761E-2
371	6.22102731E-2
562	6.26681414E-2
243	6.72422039E-2
123	6.79458233E-2
728	6.85470309E-2
282	7.11933394E-2
104	7.12007765E-2
989	7.13663839E-2
834	7.32072934E-2
973	7.43148509E-2
396	7.43934858E-2
667	7.53277204E-2
593	7.58071092E-2
827	7.62959114E-2
745	7.77173489E-2
444	7.91821456E-2
439	7.92250053E-2
699	7.99516357E-2
908	8.00133142E-2
294	8.01880755E-2
372	8.02329737E-2
276	8.03821559E-2
463	8.07933828E-2
752	8.09311978E-2
74	8.14859038E-2
513	8.19874082E-2
661	8.27730713E-2
910	8.31024329E-2
759	8.32061661E-2
847	8.35375508E-2
971	8.37679092E-2
640	8.3860248E-2
322	8.4846905E-2
442	8.4968906E-2
711	8.52772195E-2
850	8.54377638E-2
964	8.60301201E-2
870	8.62132648E-2
80	8.65185511E-2
613	8.65312826E-2
951	8.73836511E-2
245	8.77531537E-2
700	8.92560844E-2
376	9.0009535E-2
500	9.01399796E-2
55	9.05403185E-2
654	9.19367126E-2
586	9.21481128E-2
270	9.34286213E-2
744	9.35964826E-2
295	9.3946866E-2
308	9.51172399E-2
787	9.53810633E-2
671	9.5646282E-2
242	9.583617E-2
538	9.73762099E-2
551	9.76842782E-2
730	9.80757517E-2
354	9.85856905E-2
915	1.0071517E-1
39	1.01568737E-1
560	1.02219902E-1
489	1.02510096E-1
161	1.02934756E-1
413	1.05622235E-1
121	1.05710829E-1
758	1.06217696E-1
241	1.08582264E-1
221	1.10416006E-1
727	1.11276185E-1
643	1.11582946E-1
843	1.1277282E-1
38	1.14272143E-1
430	1.14683641E-1
949	1.14710515E-1
205	1.1514931E-1
335	1.15973372E-1
677	1.18068203E-1
594	1.22446055E-1
961	1.22520142E-1
980	1.22938179E-1
172	1.23765615E-1
417	1.25374675E-1
648	1.26552814E-1
777	1.28313106E-1
224	1.29515981E-1
450	1.31007415E-1
571	1.31092124E-1
974	1.31584695E-1
163	1.34884835E-1
732	1.36798339E-1
238	1.39007194E-1
457	1.39034896E-1
722	1.42053842E-1
193	1.44413774E-1
814	1.44494199E-1
853	1.45298294E-1
296	1.46632216E-1
1004	1.47865993E-1
891	1.47923663E-1
468	1.481929E-1
515	1.50753654E-1
1013	1.51434435E-1
812	1.52926461E-1
131	1.53528636E-1
307	1.53660168E-1
53	1.54338691E-1
140	1.54739128E-1
527	1.55030751E-1
79	1.5596089E-1
958	1.56093529E-1
842	1.57990727E-1
579	1.58178636E-1
461	1.61279522E-1
102	1.61421515E-1
528	1.6225904E-1
43	1.62347526E-1
95	1.63107057E-1
904	1.63388877E-1
510	1.63769895E-1
234	1.64598383E-1
107	1.64739388E-1
512	1.65304092E-1
673	1.67163674E-1
45	1.68739804E-1
683	1.69592516E-1
375	1.70007946E-1
909	1.71455457E-1
435	1.71565618E-1
317	1.72043447E-1
592	1.73281806E-1
99	1.75563257E-1
158	1.76174082E-1
889	1.76206558E-1
548	1.76428658E-1
259	1.78313921E-1
637	1.79277342E-1
330	1.79456439E-1
721	1.79624624E-1
199	1.80134533E-1
464	1.80457924E-1
932	1.81236629E-1
165	1.81404596E-1
164	1.81581008E-1
606	1.83074158E-1
737	1.84040722E-1
652	1.84214332E-1
105	1.84344604E-1
529	1.85347932E-1
530	1.85430547E-1
569	1.8544697E-1
414	1.85471269E-1
389	1.87196518E-1
162	1.89266914E-1
764	1.90688484E-1
368	1.91905875E-1
779	1.93057677E-1
426	1.9351595E-1
826	1.9500652E-1
481	1.97285769E-1
54	1.99922023E-1
92	2.00005463E-1
465	2.00256588E-1
810	2.0068434E-1
