Name	chi2Pvalue
41	9.68352738E-4
962	1.52633036E-3
552	3.44960603E-3
735	5.40943207E-3
227	9.34919093E-3
584	9.88303105E-3
999	1.00625859E-2
878	1.46249912E-2
186	1.47538746E-2
778	1.75217055E-2
671	1.81233237E-2
562	2.01374324E-2
238	2.1350588E-2
259	2.20730695E-2
540	2.30433485E-2
245	2.41090725E-2
51	2.42181619E-2
474	2.42901119E-2
234	2.46751013E-2
513	2.47528016E-2
396	2.56622982E-2
15	2.80918413E-2
695	2.815166E-2
826	2.86244593E-2
119	2.87023861E-2
731	2.92113682E-2
144	2.95049422E-2
296	2.99392866E-2
677	3.12399339E-2
676	3.20457931E-2
470	3.44868884E-2
529	3.45762313E-2
965	3.45903116E-2
248	3.51913213E-2
71	3.54598451E-2
759	3.56017111E-2
361	3.59121483E-2
983	3.65101318E-2
340	3.66689085E-2
891	3.67715892E-2
551	3.70771707E-2
909	3.74313862E-2
376	3.9830947E-2
897	4.04055945E-2
476	4.17821374E-2
13	4.20564727E-2
417	4.219453E-2
946	4.33143863E-2
728	4.38672879E-2
560	4.41772088E-2
522	4.47169729E-2
466	4.47244988E-2
976	4.49653956E-2
591	4.72787144E-2
18	4.78372808E-2
501	4.79168667E-2
722	4.91107727E-2
44	4.96956799E-2
60	5.03832464E-2
836	5.10796164E-2
45	5.13452721E-2
699	5.35071974E-2
479	5.42473812E-2
407	5.5598321E-2
992	5.60692633E-2
764	5.74621151E-2
840	5.84550425E-2
292	6.01589816E-2
969	6.37757856E-2
964	6.4635944E-2
468	6.50140749E-2
744	6.50673622E-2
146	6.57943021E-2
592	6.6911248E-2
30	6.89204737E-2
711	6.92827942E-2
745	7.09491652E-2
727	7.20133064E-2
960	7.26968742E-2
856	7.34681076E-2
989	7.51822274E-2
366	7.59735221E-2
916	7.61246294E-2
915	7.72580989E-2
431	7.83937574E-2
243	7.8752024E-2
538	7.9478348E-2
719	8.08074427E-2
1001	8.15052214E-2
600	8.19873262E-2
949	8.23858241E-2
798	8.24507962E-2
526	8.38965343E-2
528	8.46370678E-2
291	8.47941025E-2
882	8.50406034E-2
308	8.5314883E-2
326	8.64948097E-2
459	8.65429106E-2
496	8.69320622E-2
500	8.79396927E-2
879	8.82540763E-2
317	9.10988764E-2
971	9.19159779E-2
661	9.36829548E-2
556	9.39168129E-2
502	9.42290931E-2
747	9.42371094E-2
855	9.50934648E-2
673	9.5915924E-2
714	9.63798173E-2
812	9.70486905E-2
981	9.73130255E-2
409	9.77670267E-2
200	9.85361129E-2
39	9.96175583E-2
101	1.00257924E-1
850	1.00657475E-1
559	1.01835551E-1
104	1.02131193E-1
554	1.02244793E-1
270	1.02514375E-1
800	1.03485284E-1
975	1.04218111E-1
525	1.04376325E-1
