Name	chi2Pvalue
474	1.05842062E-3
878	1.258107E-3
245	1.81435271E-3
962	3.02370438E-3
562	3.47999039E-3
54	4.00852669E-3
396	6.75538483E-3
41	6.87523229E-3
552	7.36085065E-3
584	7.65374755E-3
238	8.01362252E-3
999	8.69131321E-3
735	1.31916104E-2
296	1.5139492E-2
186	1.54599463E-2
744	1.61062587E-2
909	1.81743225E-2
525	1.97143187E-2
981	2.06530502E-2
227	2.09360572E-2
43	2.13700923E-2
826	2.19581015E-2
520	2.27733834E-2
94	2.3315954E-2
361	2.37914864E-2
731	2.45182443E-2
73	2.55472134E-2
540	2.68808965E-2
882	2.79812491E-2
575	3.04943857E-2
897	3.07028084E-2
30	3.22159799E-2
698	3.2832633E-2
308	3.29631215E-2
431	3.31726693E-2
119	3.32837058E-2
144	3.38181312E-2
51	3.41101824E-2
407	3.42406444E-2
791	3.85373199E-2
84	3.95734255E-2
764	3.99097662E-2
13	4.0142067E-2
964	4.05369466E-2
410	4.11272751E-2
529	4.37386594E-2
332	4.38397324E-2
992	4.44337937E-2
716	4.69926805E-2
44	4.72705056E-2
446	4.7400176E-2
676	4.76403754E-2
326	4.96020126E-2
146	5.00990966E-2
671	5.09045039E-2
60	5.09507789E-2
946	5.1008656E-2
855	5.35417204E-2
269	5.42278703E-2
496	5.54808957E-2
592	5.59424656E-2
19	5.59820363E-2
719	5.79885141E-2
891	6.05775163E-2
823	6.10737983E-2
939	6.17860807E-2
780	6.23102765E-2
856	6.2340434E-2
812	6.26061356E-2
777	6.27710492E-2
152	6.37055444E-2
522	6.4486065E-2
971	6.52170761E-2
847	6.69854726E-2
965	6.70223305E-2
501	6.86969872E-2
558	6.98933456E-2
526	7.35052841E-2
243	7.41271544E-2
874	7.42715619E-2
270	7.46089383E-2
259	7.50933481E-2
586	7.52117497E-2
83	7.54691889E-2
1001	7.72831589E-2
707	7.76372481E-2
204	7.96672185E-2
1004	8.0140915E-2
605	8.02487308E-2
418	8.05794071E-2
989	8.06812617E-2
677	8.12187792E-2
413	8.12854319E-2
476	8.27757663E-2
560	8.28316466E-2
591	8.36532432E-2
45	8.36878561E-2
983	8.45588578E-2
922	8.59267192E-2
853	8.62214107E-2
15	8.64097292E-2
839	8.75237793E-2
98	8.78005667E-2
917	8.88167676E-2
727	9.12031943E-2
260	9.20878384E-2
112	9.21002401E-2
104	9.53533398E-2
778	9.6460247E-2
415	9.69705711E-2
600	9.90507144E-2
205	1.00299806E-1
55	1.00930271E-1
310	1.01402383E-1
513	1.0142262E-1
836	1.01902547E-1
224	1.03472361E-1
638	1.03632953E-1
908	1.03857522E-1
115	1.04092717E-1
623	1.04188708E-1
57	1.0949395E-1
787	1.1045123E-1
803	1.11378796E-1
975	1.11485688E-1
850	1.12086895E-1
371	1.13073914E-1
460	1.15150295E-1
340	1.16458707E-1
745	1.16501421E-1
300	1.20705338E-1
339	1.2085951E-1
466	1.22087056E-1
203	1.22848277E-1
669	1.22895817E-1
262	1.23768111E-1
463	1.25100201E-1
722	1.26100196E-1
166	1.27828124E-1
445	1.2903106E-1
747	1.29685727E-1
424	1.2980369E-1
417	1.30039829E-1
912	1.3009703E-1
945	1.32999836E-1
567	1.33242635E-1
75	1.33401264E-1
894	1.33955382E-1
555	1.34531992E-1
667	1.35940073E-1
673	1.36364233E-1
976	1.38952381E-1
29	1.39033491E-1
159	1.40713594E-1
538	1.41240325E-1
402	1.41332677E-1
879	1.41625521E-1
980	1.41787706E-1
145	1.4237332E-1
383	1.42455978E-1
393	1.42883852E-1
759	1.43344932E-1
465	1.44337322E-1
79	1.45371963E-1
479	1.4541385E-1
147	1.47806598E-1
642	1.49987389E-1
666	1.50527244E-1
190	1.51174807E-1
921	1.52625597E-1
478	1.53185134E-1
459	1.53281957E-1
69	1.53464101E-1
530	1.5346768E-1
390	1.54172006E-1
366	1.54995494E-1
829	1.62513824E-1
645	1.65466481E-1
248	1.66273499E-1
776	1.67572589E-1
1000	1.68248607E-1
380	1.6880004E-1
925	1.70370841E-1
914	1.70592205E-1
969	1.77684126E-1
107	1.78040253E-1
551	1.78210458E-1
802	1.78567454E-1
271	1.79451403E-1
800	1.79693994E-1
234	1.80144771E-1
157	1.80739083E-1
547	1.81055862E-1
467	1.81942723E-1
852	1.8318661E-1
500	1.8326387E-1
199	1.8344108E-1
71	1.84360118E-1
91	1.84837058E-1
314	1.86003649E-1
612	1.8741013E-1
685	1.88245043E-1
728	1.90917926E-1
556	1.90952775E-1
240	1.90970345E-1
729	1.92227908E-1
177	1.9363913E-1
320	1.93794121E-1
955	1.93888038E-1
625	1.94004809E-1
763	1.95261037E-1
710	1.95886658E-1
484	1.96618519E-1
192	1.96987763E-1
788	1.97314824E-1
