Name	chi2Pvalue
562	2.0003783E-3
716	2.29179914E-3
878	2.4546411E-3
245	2.93359251E-3
474	3.55560833E-3
917	4.24265382E-3
992	6.35521469E-3
584	6.76071836E-3
791	8.92967719E-3
540	1.00849632E-2
676	1.04377834E-2
556	1.21382495E-2
552	1.41664964E-2
296	1.56998583E-2
826	1.70363457E-2
446	1.74472177E-2
44	2.10458405E-2
625	2.13914669E-2
41	2.47184461E-2
845	2.57917537E-2
332	2.59448625E-2
760	2.62503026E-2
119	2.66054538E-2
698	2.78086336E-2
300	2.95716201E-2
946	2.96306922E-2
823	2.96975045E-2
238	3.06269085E-2
605	3.18579926E-2
459	3.25766337E-2
922	3.31166859E-2
418	3.37166358E-2
555	3.41692271E-2
145	3.51960077E-2
274	3.62448743E-2
998	3.79092296E-2
94	3.86504911E-2
787	3.97553818E-2
921	4.00992017E-2
999	4.2315837E-2
84	4.3529371E-2
493	4.43340647E-2
759	4.57908838E-2
361	4.69328164E-2
986	4.8562103E-2
203	4.90843947E-2
371	4.92554325E-2
112	4.96872001E-2
262	5.16754777E-2
764	5.19382131E-2
869	5.39621176E-2
91	5.52158663E-2
612	5.58393316E-2
735	5.60385622E-2
575	5.61276548E-2
73	5.70873274E-2
250	5.82531805E-2
812	5.92675301E-2
756	6.14899231E-2
45	6.22952027E-2
488	6.33061888E-2
600	6.34067358E-2
939	6.42226996E-2
751	6.42633856E-2
98	6.42653367E-2
152	6.54530293E-2
925	6.56357105E-2
476	6.65514577E-2
196	6.79950506E-2
139	6.94716372E-2
874	7.01400907E-2
638	7.30038835E-2
646	7.31513226E-2
856	7.34906761E-2
115	7.39586696E-2
186	7.51532345E-2
525	7.52750517E-2
912	7.53840627E-2
224	7.897979E-2
122	8.05023423E-2
855	8.10549427E-2
424	8.19052119E-2
301	8.23163124E-2
832	8.24747304E-2
454	8.36072415E-2
542	8.41228238E-2
981	8.43742008E-2
882	8.53865516E-2
983	8.61769069E-2
260	9.0237571E-2
284	9.05327321E-2
512	9.06161226E-2
60	9.10225965E-2
413	9.11480076E-2
726	9.11809427E-2
105	9.17951195E-2
349	9.22187971E-2
146	9.35035552E-2
269	9.42305621E-2
478	9.64263693E-2
166	9.70284495E-2
396	9.77616642E-2
204	9.88408053E-2
