Name	chi2Pvalue
387	5.93107413E-4
54	1.75888796E-3
245	2.15101748E-3
144	2.43621048E-3
908	3.12057304E-3
296	4.74272187E-3
520	5.00436371E-3
552	6.22735189E-3
146	6.44499591E-3
914	6.58365441E-3
94	6.67106187E-3
698	7.20285649E-3
43	7.9637818E-3
396	9.61263124E-3
890	1.44134815E-2
878	1.48726517E-2
474	1.52380404E-2
922	1.73660608E-2
44	1.7541873E-2
676	1.81157689E-2
431	1.82450051E-2
882	1.84874389E-2
41	1.88563046E-2
562	1.90296794E-2
529	2.02230129E-2
995	2.03524138E-2
13	2.10104072E-2
735	2.35311354E-2
613	2.40817075E-2
308	2.55083705E-2
776	2.55192319E-2
4	2.78014209E-2
540	2.89803506E-2
407	2.90410419E-2
560	3.12667374E-2
746	3.54699019E-2
764	3.56601227E-2
855	3.74978157E-2
107	3.7544341E-2
584	3.90401865E-2
852	3.9797788E-2
300	4.02235718E-2
551	4.09407867E-2
172	4.10047445E-2
996	4.25841638E-2
157	4.27301196E-2
193	4.29890669E-2
820	4.82084697E-2
213	4.87526493E-2
276	4.89343583E-2
832	4.90283969E-2
414	4.99894998E-2
572	5.10309733E-2
887	5.20772856E-2
856	5.23235387E-2
964	5.2754852E-2
874	5.30396025E-2
542	5.59700124E-2
612	5.64375514E-2
366	5.71525466E-2
960	5.74494842E-2
461	5.78980326E-2
291	5.80475415E-2
780	5.93638636E-2
238	5.99173779E-2
450	6.00604365E-2
979	6.10218396E-2
525	6.10886936E-2
859	6.2039285E-2
762	6.27087909E-2
669	6.44713681E-2
115	6.44955744E-2
962	6.45093908E-2
413	6.49554378E-2
237	6.5957736E-2
992	6.61469611E-2
755	6.73148026E-2
747	6.80617852E-2
112	6.87212374E-2
680	7.08128288E-2
1012	7.18824216E-2
478	7.27628862E-2
177	7.32000769E-2
850	7.40897227E-2
555	7.522896E-2
645	7.69610416E-2
465	7.92977981E-2
672	7.94102078E-2
147	7.95668397E-2
12	7.97566079E-2
83	8.03841215E-2
497	8.0644813E-2
980	8.25650852E-2
200	8.4422874E-2
198	8.47159654E-2
208	8.47807503E-2
79	8.50456872E-2
269	8.50572977E-2
459	8.52915554E-2
500	8.71738071E-2
239	8.72222785E-2
332	8.90667066E-2
150	8.97698519E-2
839	9.02579941E-2
621	9.22279712E-2
403	9.24416148E-2
823	9.36621656E-2
408	9.40961464E-2
826	9.52139844E-2
205	9.54054613E-2
911	9.60834486E-2
51	9.6559826E-2
96	9.76545618E-2
73	1.00100952E-1
808	1.03139638E-1
750	1.03894985E-1
270	1.04581842E-1
736	1.05911053E-1
340	1.06011448E-1
897	1.0644547E-1
321	1.07053844E-1
109	1.08569052E-1
133	1.12047733E-1
58	1.12174201E-1
314	1.12809931E-1
834	1.16296489E-1
186	1.16352615E-1
522	1.16460615E-1
565	1.17312298E-1
907	1.17636723E-1
717	1.18508269E-1
20	1.18662832E-1
573	1.18732142E-1
1000	1.20204385E-1
311	1.2084618E-1
388	1.21277499E-1
192	1.21655302E-1
347	1.21958524E-1
535	1.22454745E-1
719	1.23077958E-1
703	1.24915959E-1
971	1.24927418E-1
945	1.29095667E-1
1001	1.31738432E-1
352	1.3175556E-1
152	1.32990601E-1
869	1.34700633E-1
354	1.3505269E-1
716	1.36011387E-1
63	1.36258037E-1
227	1.36397272E-1
170	1.36930839E-1
983	1.38490376E-1
653	1.40425956E-1
605	1.40839024E-1
849	1.41200206E-1
973	1.41519021E-1
496	1.4276164E-1
683	1.42913768E-1
471	1.44053358E-1
534	1.44779461E-1
740	1.46875676E-1
912	1.47646794E-1
435	1.48418781E-1
313	1.49534448E-1
376	1.49822419E-1
905	1.51822844E-1
215	1.52104684E-1
255	1.52469315E-1
140	1.53125903E-1
108	1.54019382E-1
758	1.54518504E-1
430	1.5537023E-1
166	1.55708352E-1
803	1.56567099E-1
588	1.56815074E-1
286	1.57845994E-1
224	1.59045305E-1
212	1.59124833E-1
1004	1.59248031E-1
339	1.63448425E-1
774	1.63956559E-1
631	1.65284907E-1
926	1.66300813E-1
592	1.6736568E-1
795	1.67377182E-1
95	1.68303918E-1
479	1.70218498E-1
801	1.70682062E-1
993	1.71850296E-1
777	1.73782324E-1
558	1.74884331E-1
870	1.7709862E-1
312	1.7769108E-1
981	1.78049467E-1
445	1.78188804E-1
845	1.78336014E-1
567	1.81230626E-1
892	1.82460523E-1
575	1.83756038E-1
913	1.84823157E-1
919	1.85818178E-1
119	1.85852593E-1
684	1.86484804E-1
57	1.86601615E-1
375	1.87726809E-1
243	1.88121442E-1
309	1.88975855E-1
547	1.91556298E-1
708	1.91974626E-1
385	1.92590961E-1
425	1.9425437E-1
519	1.94471027E-1
472	1.96200776E-1
19	1.97072867E-1
113	1.99469147E-1
331	1.99974876E-1
28	2.0324168E-1
231	2.04353246E-1
393	2.04800528E-1
484	2.04850239E-1
466	2.05251028E-1
868	2.05556465E-1
424	2.0830873E-1
439	2.08482028E-1
673	2.09103415E-1
563	2.09720598E-1
17	2.10907226E-1
625	2.10988691E-1
756	2.11032729E-1
649	2.13055744E-1
235	2.13850681E-1
924	2.13951673E-1
84	2.14287647E-1
389	2.15206256E-1
638	2.15876063E-1
329	2.16564413E-1
100	2.16742008E-1
677	2.22563764E-1
538	2.23262029E-1
493	2.23639301E-1
260	2.2853003E-1
383	2.28652076E-1
476	2.29592746E-1
999	2.29857915E-1
343	2.3124511E-1
744	2.31866384E-1
14	2.31880305E-1
330	2.34373226E-1
446	2.35467309E-1
359	2.35989922E-1
690	2.36209183E-1
117	2.41570079E-1
371	2.41822575E-1
503	2.42109523E-1
370	2.42189914E-1
782	2.42429429E-1
787	2.43779699E-1
847	2.47622172E-1
707	2.47791153E-1
929	2.49129456E-1
297	2.49176178E-1
410	2.5469098E-1
918	2.56709647E-1
55	2.58322764E-1
69	2.59799575E-1
543	2.62098941E-1
662	2.62735057E-1
877	2.63713515E-1
443	2.63791292E-1
745	2.64928769E-1
251	2.64929251E-1
666	2.65769518E-1
351	2.66082054E-1
953	2.66553498E-1
23	2.67057615E-1
203	2.68435955E-1
464	2.69107149E-1
932	2.69855046E-1
957	2.70193009E-1
114	2.70637448E-1
636	2.71601902E-1
494	2.71998815E-1
101	2.73587868E-1
489	2.75358205E-1
65	2.76420136E-1
541	2.77627807E-1
778	2.77942338E-1
843	2.78481127E-1
411	2.79640383E-1
495	2.80434836E-1
835	2.8067187E-1
706	2.81195192E-1
591	2.8252282E-1
104	2.82723239E-1
180	2.83306679E-1
197	2.83879561E-1
564	2.84085659E-1
167	2.85826473E-1
81	2.86092349E-1
405	2.86485685E-1
467	2.8727066E-1
454	2.88220411E-1
513	2.9029899E-1
637	2.90866218E-1
864	2.92350322E-1
460	2.92788044E-1
477	2.93020453E-1
110	2.93286935E-1
409	2.93294215E-1
951	2.96728197E-1
894	2.97870464E-1
607	2.9879168E-1
559	2.98966827E-1
842	2.99327459E-1
163	3.01566933E-1
783	3.02400742E-1
829	3.02553365E-1
536	3.02602005E-1
22	3.02953896E-1
991	3.03102284E-1
318	3.03439901E-1
770	3.04690991E-1
597	3.08350461E-1
816	3.09164785E-1
527	3.10214047E-1
934	3.11009279E-1
225	3.11689761E-1
939	3.12660112E-1
910	3.13326746E-1
917	3.14231802E-1
806	3.15527159E-1
608	3.17808961E-1
941	3.20118512E-1
153	3.27277201E-1
358	3.28001948E-1
865	3.29152948E-1
207	3.30363967E-1
791	3.31793485E-1
586	3.32160757E-1
320	3.32462546E-1
604	3.32708921E-1
557	3.33609431E-1
42	3.33936288E-1
570	3.34457964E-1
521	3.35006548E-1
825	3.35143556E-1
262	3.38512937E-1
295	3.39329214E-1
178	3.42536336E-1
802	3.4563144E-1
390	3.46960308E-1
978	3.47849752E-1
480	3.48751329E-1
48	3.50249434E-1
539	3.51327922E-1
64	3.51715751E-1
60	3.5180345E-1
615	3.51901525E-1
381	3.52834699E-1
242	3.53961001E-1
292	3.56272864E-1
247	3.57881436E-1
181	3.57945092E-1
601	3.60401847E-1
644	3.6182751E-1
620	3.63344696E-1
853	3.63449046E-1
800	3.63657394E-1
187	3.6508781E-1
248	3.65563368E-1
302	3.67204403E-1
526	3.7013375E-1
349	3.74099439E-1
688	3.7422564E-1
618	3.74438279E-1
304	3.74854787E-1
863	3.75082728E-1
790	3.76004068E-1
201	3.76789556E-1
50	3.76905619E-1
29	3.77073458E-1
221	3.7765605E-1
190	3.77883714E-1
712	3.79269787E-1
37	3.79275788E-1
578	3.79579956E-1
417	3.81218177E-1
161	3.81314599E-1
956	3.81519942E-1
511	3.82897545E-1
702	3.85416055E-1
866	3.86320596E-1
316	3.87713135E-1
1009	3.88100761E-1
568	3.88528766E-1
382	3.92897793E-1
451	3.93305131E-1
98	3.9425037E-1
30	3.94720159E-1
948	3.97281002E-1
822	3.97651482E-1
761	3.97695856E-1
298	3.98694326E-1
