Name	chi2Pvalue
245	1.880701E-4
878	1.0858648E-3
716	2.82568834E-3
562	3.89199654E-3
54	3.91855476E-3
520	4.60962892E-3
474	4.96700822E-3
94	5.16427151E-3
296	6.25190474E-3
552	6.59965127E-3
41	7.60161725E-3
676	9.96490709E-3
584	1.0710391E-2
735	1.12211638E-2
999	1.18605933E-2
882	1.21974189E-2
823	1.28949477E-2
73	1.30864437E-2
764	1.3527007E-2
43	1.42528949E-2
238	1.48993736E-2
612	1.5472634E-2
887	1.66616318E-2
446	1.6941135E-2
698	2.10638874E-2
144	2.20442929E-2
791	2.26394824E-2
98	2.31905215E-2
146	2.38650075E-2
540	2.42774912E-2
575	2.51309561E-2
431	2.6763739E-2
1001	2.699547E-2
922	2.96916223E-2
332	2.97235127E-2
186	2.97374578E-2
826	3.02274449E-2
308	3.07732136E-2
313	3.2447594E-2
269	3.37091255E-2
572	3.40597556E-2
84	3.41643761E-2
413	3.46363059E-2
605	3.46947614E-2
855	3.48079667E-2
396	3.64849489E-2
917	3.74309063E-2
981	3.81107025E-2
145	3.84601101E-2
776	3.86273401E-2
962	4.2193568E-2
215	4.2878826E-2
853	4.3679462E-2
57	4.71820982E-2
525	4.73337556E-2
418	4.76433849E-2
361	4.76665297E-2
600	4.80311688E-2
874	4.81211336E-2
992	5.05909781E-2
459	5.31004116E-2
300	5.3977894E-2
869	5.43186705E-2
152	5.44838324E-2
383	5.53695965E-2
13	5.54950985E-2
60	5.86449212E-2
669	5.89670444E-2
856	5.94893562E-2
44	5.96892816E-2
912	6.21714645E-2
1004	6.30069335E-2
939	6.49719293E-2
119	6.69999087E-2
115	6.82941905E-2
224	6.85333771E-2
812	6.91658155E-2
407	7.25110327E-2
19	7.3244225E-2
592	7.41050442E-2
890	7.41803142E-2
340	7.65463598E-2
745	7.68104338E-2
744	7.96739522E-2
623	7.98726866E-2
946	8.11106827E-2
371	8.15074798E-2
465	8.2407919E-2
320	8.4240156E-2
496	8.55923886E-2
260	8.62884299E-2
839	8.66067081E-2
112	8.7731121E-2
51	8.77986604E-2
227	8.84927189E-2
909	8.88107464E-2
478	8.98377021E-2
777	9.00091218E-2
760	9.08153315E-2
393	9.14432095E-2
560	9.31348653E-2
415	9.31394714E-2
892	9.34360515E-2
905	9.42425509E-2
756	9.47050247E-2
203	9.69610331E-2
321	9.74427482E-2
731	9.79923936E-2
983	9.9742134E-2
686	1.00489684E-1
463	1.01837048E-1
847	1.01991234E-1
635	1.04220417E-1
780	1.04446563E-1
1000	1.05455119E-1
759	1.06036115E-1
542	1.06037095E-1
907	1.09187299E-1
948	1.09675458E-1
343	1.11783586E-1
781	1.11928949E-1
996	1.12109098E-1
454	1.12411431E-1
79	1.13544364E-1
432	1.15121188E-1
586	1.18247214E-1
908	1.18316594E-1
719	1.1942501E-1
897	1.1990587E-1
493	1.20347869E-1
788	1.20446969E-1
832	1.20817828E-1
667	1.21634911E-1
558	1.22125073E-1
207	1.23059773E-1
14	1.23435125E-1
196	1.24842162E-1
140	1.25447049E-1
363	1.25933848E-1
326	1.2636807E-1
476	1.26873108E-1
83	1.29385197E-1
767	1.31165433E-1
166	1.31339515E-1
911	1.31430036E-1
204	1.31774863E-1
787	1.32272706E-1
410	1.32768989E-1
921	1.35449586E-1
964	1.35502086E-1
971	1.36050753E-1
205	1.36103383E-1
270	1.36202971E-1
551	1.39540408E-1
159	1.4081096E-1
567	1.42305237E-1
645	1.42579917E-1
501	1.44125523E-1
414	1.44850568E-1
192	1.46276212E-1
158	1.46766855E-1
761	1.47198718E-1
836	1.50145065E-1
625	1.50604323E-1
965	1.50743072E-1
684	1.52919332E-1
30	1.53555746E-1
608	1.54814185E-1
147	1.54997489E-1
262	1.56094942E-1
22	1.56495299E-1
661	1.57825745E-1
951	1.58099461E-1
291	1.60178513E-1
206	1.60489703E-1
104	1.61292555E-1
803	1.61565105E-1
556	1.61625106E-1
1013	1.62533054E-1
254	1.63877278E-1
763	1.64427022E-1
15	1.64910748E-1
274	1.66937407E-1
894	1.7000702E-1
707	1.70565795E-1
387	1.73068002E-1
526	1.7418895E-1
484	1.75670289E-1
339	1.78384503E-1
852	1.78475524E-1
653	1.78813224E-1
157	1.7956078E-1
727	1.8154715E-1
932	1.82385477E-1
20	1.83317904E-1
995	1.8396566E-1
150	1.85441313E-1
918	1.85520826E-1
529	1.86999039E-1
460	1.9069988E-1
318	1.9098825E-1
513	1.93353502E-1
96	1.9352939E-1
726	1.93860136E-1
240	1.94683825E-1
1012	1.95424876E-1
26	1.97887955E-1
677	1.98014401E-1
646	1.98392515E-1
29	2.01468687E-1
153	2.02361287E-1
213	2.03768895E-1
433	2.03904921E-1
271	2.04083057E-1
619	2.04881352E-1
304	2.05418157E-1
38	2.05858509E-1
618	2.09586852E-1
886	2.11903157E-1
247	2.12967913E-1
114	2.14893662E-1
208	2.1908552E-1
914	2.20610278E-1
435	2.23329265E-1
243	2.23713906E-1
651	2.24136947E-1
725	2.24442645E-1
512	2.25601694E-1
139	2.25916894E-1
69	2.28332591E-1
63	2.28940319E-1
28	2.28991406E-1
747	2.29031409E-1
375	2.29569022E-1
762	2.29616307E-1
750	2.30560955E-1
397	2.31950374E-1
850	2.32294543E-1
1002	2.32368771E-1
872	2.32997658E-1
553	2.34195311E-1
652	2.35175359E-1
500	2.35212878E-1
259	2.36437863E-1
807	2.37242278E-1
276	2.37993696E-1
225	2.38921189E-1
891	2.38975723E-1
957	2.39934352E-1
161	2.40961989E-1
237	2.41061654E-1
610	2.44528427E-1
445	2.48326304E-1
751	2.48353958E-1
109	2.49584833E-1
845	2.52749611E-1
973	2.52760512E-1
972	2.5297134E-1
172	2.53072931E-1
998	2.53692771E-1
198	2.54362338E-1
522	2.55364268E-1
534	2.57002658E-1
21	2.57739874E-1
439	2.57950628E-1
419	2.58114351E-1
86	2.58871335E-1
298	2.62655545E-1
955	2.62722011E-1
721	2.63457259E-1
45	2.64435378E-1
12	2.64451931E-1
381	2.64603717E-1
58	2.65156154E-1
662	2.6522012E-1
163	2.65769103E-1
637	2.66491313E-1
170	2.66817883E-1
489	2.67774757E-1
466	2.68395379E-1
425	2.69937006E-1
380	2.70507725E-1
989	2.7195003E-1
866	2.72306645E-1
129	2.72332384E-1
75	2.7251783E-1
814	2.73180754E-1
461	2.7385277E-1
799	2.7508386E-1
532	2.75651843E-1
427	2.75970474E-1
469	2.79319652E-1
593	2.79767741E-1
722	2.79849203E-1
183	2.8094931E-1
107	2.8108903E-1
765	2.81189887E-1
229	2.81729055E-1
808	2.82241158E-1
865	2.83007667E-1
366	2.84893976E-1
659	2.85509865E-1
456	2.86675345E-1
631	2.8936942E-1
190	2.89652235E-1
231	2.89808344E-1
628	2.90725967E-1
736	2.916903E-1
424	2.91917029E-1
4	2.93523749E-1
55	2.9425566E-1
754	2.96088155E-1
979	2.96788367E-1
583	2.97815026E-1
671	2.9786812E-1
889	2.9865547E-1
859	2.99675925E-1
286	3.00045427E-1
630	3.00182628E-1
481	3.00679229E-1
479	3.03157774E-1
403	3.03223183E-1
547	3.04014571E-1
993	3.06587664E-1
392	3.06988725E-1
199	3.07779801E-1
879	3.08170275E-1
746	3.09733198E-1
292	3.11460727E-1
642	3.12600129E-1
255	3.12647063E-1
538	3.13663082E-1
66	3.15564063E-1
954	3.16525476E-1
730	3.17981175E-1
516	3.1940218E-1
135	3.19656394E-1
670	3.20663998E-1
189	3.21310735E-1
266	3.22107158E-1
49	3.22691758E-1
330	3.22727367E-1
925	3.25383227E-1
1007	3.25406152E-1
402	3.25590486E-1
936	3.26152736E-1
