Name	chi2Pvalue
749	1.25789137E-3
257	1.36797592E-3
802	1.80917601E-3
882	2.19432505E-3
104	2.56641465E-3
591	3.82356005E-3
946	4.3022243E-3
823	4.85668791E-3
112	5.46349864E-3
250	5.83136005E-3
706	6.32034321E-3
705	6.43926371E-3
712	6.55297291E-3
431	6.58497889E-3
778	7.74079138E-3
403	8.00182951E-3
478	8.03339166E-3
881	8.06113527E-3
960	9.75429067E-3
581	1.15944674E-2
540	1.44711102E-2
760	1.59368115E-2
479	1.60188441E-2
583	1.70171381E-2
233	1.76398051E-2
471	1.91682725E-2
969	1.93304514E-2
240	2.04063398E-2
55	2.05638098E-2
695	2.20940752E-2
919	2.38128846E-2
682	2.43597617E-2
92	2.53592005E-2
939	2.55772994E-2
616	2.58522649E-2
514	2.63502924E-2
475	2.64041728E-2
926	2.74881072E-2
845	2.97723318E-2
677	3.22159656E-2
499	3.51066872E-2
777	3.58629727E-2
457	3.73600594E-2
894	3.84229053E-2
640	3.93766876E-2
697	3.94721549E-2
902	4.00080948E-2
72	4.03166632E-2
443	4.09756299E-2
659	4.32094499E-2
222	4.49521116E-2
917	4.56651558E-2
16	4.69790594E-2
686	4.71379267E-2
360	4.74001464E-2
175	4.75021066E-2
641	4.77297778E-2
951	4.79925014E-2
1001	4.931409E-2
529	4.97489201E-2
638	4.97754593E-2
744	5.08195847E-2
723	5.36888138E-2
473	5.49265972E-2
193	5.62033813E-2
396	5.679771E-2
576	5.73036045E-2
79	5.86684192E-2
552	5.87851385E-2
857	5.9378572E-2
436	6.26302998E-2
675	6.63482354E-2
295	6.64192327E-2
147	6.68647538E-2
740	6.77664638E-2
484	6.81684759E-2
300	6.82123516E-2
800	6.9688257E-2
958	7.3181757E-2
538	7.3286577E-2
81	7.53064715E-2
344	7.6728432E-2
837	7.72628149E-2
317	7.78566109E-2
833	7.82320856E-2
37	7.83143396E-2
912	7.84856965E-2
570	7.9017844E-2
831	8.21169177E-2
1017	8.25169869E-2
637	8.29170136E-2
769	8.39013456E-2
426	8.48383228E-2
453	8.57929089E-2
414	8.64796028E-2
5	8.72115959E-2
494	8.79826789E-2
101	8.82352091E-2
226	8.84006021E-2
35	8.95672346E-2
198	8.97640722E-2
185	9.24816467E-2
761	9.24929537E-2
373	9.46744525E-2
194	9.48505951E-2
44	9.71791312E-2
848	1.00235671E-1
995	1.00751708E-1
542	1.00807922E-1
967	1.01900666E-1
971	1.02057461E-1
714	1.04400389E-1
545	1.0630693E-1
206	1.06715715E-1
466	1.07053583E-1
219	1.08831118E-1
420	1.09784472E-1
905	1.10040495E-1
12	1.13370129E-1
367	1.139587E-1
625	1.15006676E-1
935	1.15342995E-1
799	1.15548519E-1
678	1.18222951E-1
796	1.20145814E-1
516	1.20437258E-1
626	1.2526878E-1
43	1.25665742E-1
151	1.26020871E-1
425	1.26063929E-1
622	1.26249373E-1
63	1.27011795E-1
988	1.271048E-1
785	1.29048698E-1
197	1.29967325E-1
964	1.30467556E-1
153	1.30483744E-1
56	1.31352243E-1
634	1.32730033E-1
433	1.33062978E-1
984	1.3339074E-1
39	1.33534902E-1
48	1.35662999E-1
339	1.35822663E-1
860	1.36564636E-1
713	1.36627972E-1
486	1.3687697E-1
781	1.37325023E-1
408	1.38348723E-1
481	1.38471077E-1
57	1.38886905E-1
795	1.40128902E-1
815	1.41277153E-1
377	1.42101894E-1
711	1.42855566E-1
316	1.42963742E-1
429	1.43958698E-1
588	1.44652638E-1
639	1.47247279E-1
235	1.47542839E-1
103	1.48404016E-1
979	1.4931326E-1
61	1.49916474E-1
438	1.52639636E-1
204	1.53683373E-1
90	1.54242208E-1
773	1.55146822E-1
813	1.55182387E-1
352	1.57370852E-1
755	1.57820652E-1
735	1.58590678E-1
928	1.60234918E-1
468	1.60268324E-1
38	1.60905179E-1
701	1.61006792E-1
841	1.61052789E-1
313	1.6131887E-1
741	1.62120995E-1
32	1.62263193E-1
439	1.62754389E-1
0	1.63920016E-1
252	1.64505583E-1
212	1.65248936E-1
892	1.65303309E-1
635	1.65527064E-1
779	1.68060696E-1
255	1.68313704E-1
254	1.71759631E-1
278	1.71898109E-1
762	1.73268458E-1
652	1.73525749E-1
358	1.76332154E-1
59	1.7713667E-1
270	1.77227314E-1
405	1.77378808E-1
259	1.78747312E-1
459	1.8046703E-1
