Name	chi2Pvalue
497	6.97553398E-4
416	1.00031752E-3
257	1.34834469E-3
380	1.51428805E-3
705	5.46614341E-3
360	7.10381915E-3
606	7.27688525E-3
145	8.25395764E-3
48	8.40809324E-3
80	9.48812729E-3
30	1.03069381E-2
396	1.26518718E-2
289	1.42232588E-2
12	1.45987573E-2
591	1.50630554E-2
156	1.60543111E-2
523	1.96098975E-2
557	2.04909207E-2
75	2.09037257E-2
984	2.14151267E-2
1007	2.25243893E-2
777	2.32757934E-2
71	2.3472506E-2
799	2.36881794E-2
287	2.48552112E-2
247	2.55060555E-2
135	2.55821307E-2
403	2.66637312E-2
121	2.95641121E-2
331	2.95855772E-2
706	3.09121727E-2
92	3.31595662E-2
508	3.41862161E-2
610	3.47739893E-2
255	3.59820081E-2
210	3.7693285E-2
782	3.88228244E-2
912	4.07930358E-2
191	4.09580749E-2
718	4.23842954E-2
742	4.28926558E-2
221	4.4549589E-2
613	4.47661532E-2
778	4.61033971E-2
206	4.62110928E-2
282	4.87936948E-2
819	4.90345396E-2
163	4.96960819E-2
352	5.08134364E-2
936	5.10345966E-2
254	5.23483583E-2
391	5.29473797E-2
322	5.38261866E-2
150	5.4248703E-2
958	5.44939195E-2
934	5.67304963E-2
246	5.79367696E-2
295	5.90963674E-2
319	5.94560452E-2
1	6.03556965E-2
1006	6.20657013E-2
709	6.35456357E-2
892	6.39731626E-2
1017	6.40563317E-2
4	6.44287779E-2
153	6.5240095E-2
752	6.53570138E-2
693	6.56642803E-2
378	6.87171072E-2
697	7.02690944E-2
14	7.07146059E-2
395	7.1368354E-2
171	7.19590063E-2
521	7.25216888E-2
861	7.29398101E-2
641	7.37603624E-2
208	7.41116367E-2
895	7.42023204E-2
162	7.46636357E-2
339	7.7524665E-2
597	7.8174758E-2
809	7.83861024E-2
263	7.98044366E-2
106	8.00538941E-2
157	8.22726946E-2
401	8.29164358E-2
946	8.36224154E-2
985	8.53552067E-2
467	8.85789593E-2
823	9.00254947E-2
117	9.03894132E-2
485	9.14228166E-2
797	9.50737739E-2
761	9.6683462E-2
632	1.00948988E-1
219	1.01381588E-1
439	1.03096579E-1
717	1.05682762E-1
344	1.08693575E-1
198	1.08813366E-1
981	1.09051488E-1
67	1.09340947E-1
724	1.1331132E-1
284	1.13999083E-1
954	1.14230304E-1
351	1.1452632E-1
398	1.14536936E-1
224	1.14821323E-1
833	1.15697921E-1
651	1.16027241E-1
187	1.16141939E-1
228	1.1702372E-1
39	1.17588723E-1
65	1.18397397E-1
923	1.18891592E-1
433	1.19858758E-1
592	1.20004429E-1
479	1.20842648E-1
870	1.21029203E-1
394	1.21428065E-1
802	1.22556461E-1
193	1.23870311E-1
43	1.24040253E-1
294	1.24525116E-1
432	1.27352381E-1
25	1.27400327E-1
932	1.27684234E-1
512	1.27788855E-1
367	1.28059778E-1
230	1.28518341E-1
740	1.30205989E-1
567	1.30593759E-1
664	1.33500495E-1
324	1.34449678E-1
884	1.34573267E-1
478	1.35367188E-1
304	1.356276E-1
765	1.35649584E-1
57	1.35723767E-1
46	1.3612147E-1
218	1.3716049E-1
363	1.3775826E-1
858	1.38353873E-1
390	1.38508208E-1
734	1.38664712E-1
722	1.40731163E-1
909	1.42514107E-1
550	1.428338E-1
589	1.43274257E-1
624	1.46993561E-1
55	1.47265832E-1
648	1.48228315E-1
931	1.50228992E-1
807	1.55247385E-1
450	1.57207929E-1
133	1.5821932E-1
747	1.58949279E-1
739	1.59529791E-1
220	1.59846254E-1
757	1.60381363E-1
248	1.6277051E-1
1009	1.63663266E-1
560	1.65076564E-1
978	1.67397414E-1
383	1.68404482E-1
979	1.68424447E-1
726	1.68975039E-1
630	1.700096E-1
609	1.7085295E-1
642	1.71691009E-1
779	1.71919325E-1
787	1.72184441E-1
431	1.72345867E-1
968	1.73031478E-1
598	1.75101291E-1
959	1.75290848E-1
73	1.75504313E-1
607	1.75802904E-1
334	1.7597256E-1
516	1.78996561E-1
670	1.79745907E-1
813	1.81305208E-1
510	1.82116949E-1
20	1.84459647E-1
449	1.84911948E-1
160	1.86528596E-1
335	1.8671904E-1
207	1.88232871E-1
268	1.88277113E-1
199	1.88789748E-1
87	1.88881985E-1
258	1.89332848E-1
614	1.90118732E-1
59	1.91516632E-1
114	1.9187887E-1
233	1.92699038E-1
100	1.94155904E-1
9	1.94679454E-1
771	1.96593775E-1
542	1.98069378E-1
852	2.00828397E-1
837	2.01493746E-1
956	2.02862045E-1
53	2.03972794E-1
2	2.04399051E-1
361	2.05509344E-1
107	2.0762243E-1
468	2.08130876E-1
260	2.0833265E-1
42	2.0910127E-1
849	2.10734953E-1
741	2.11639423E-1
279	2.11793498E-1
667	2.14322544E-1
21	2.17932296E-1
831	2.19099912E-1
103	2.23221561E-1
120	2.24029733E-1
822	2.24643681E-1
656	2.25093983E-1
689	2.2675777E-1
789	2.28070805E-1
486	2.30685087E-1
291	2.31379372E-1
181	2.32503295E-1
993	2.32855632E-1
54	2.32908847E-1
612	2.33333892E-1
414	2.34434568E-1
238	2.34678456E-1
