Name	chi2Pvalue
740	3.43668039E-5
928	5.13311943E-5
894	6.52215418E-4
3	1.31316862E-3
706	2.06557185E-3
206	2.48306582E-3
599	4.53867948E-3
238	4.55087608E-3
456	4.67668702E-3
269	5.00523422E-3
966	5.11611514E-3
778	5.59946225E-3
389	6.27376821E-3
5	7.59896929E-3
698	7.64002629E-3
823	1.09233504E-2
664	1.17701247E-2
374	1.19345925E-2
758	1.20074679E-2
703	1.28480983E-2
829	1.3418041E-2
499	1.48892854E-2
380	1.52817133E-2
562	1.55658655E-2
638	1.80877326E-2
731	1.82772449E-2
914	1.87269099E-2
610	1.96468165E-2
415	2.11459438E-2
714	2.1975551E-2
75	2.23875333E-2
257	2.33423019E-2
602	2.39087489E-2
769	2.68469361E-2
147	2.79689787E-2
858	2.80518611E-2
317	2.95299421E-2
48	3.04342667E-2
234	3.04774796E-2
616	3.27239645E-2
917	3.30368298E-2
122	3.40298713E-2
586	3.45534372E-2
530	3.48029795E-2
4	3.69705192E-2
436	3.74109405E-2
12	3.79391005E-2
544	3.85543435E-2
614	3.98211272E-2
231	4.18700485E-2
124	4.2074331E-2
777	4.35612098E-2
1008	4.45880155E-2
919	4.48948336E-2
954	4.73325369E-2
609	5.02536312E-2
408	5.11826113E-2
951	5.38017987E-2
43	5.47149538E-2
377	5.61794782E-2
650	5.6562768E-2
263	5.66837027E-2
583	5.67413876E-2
307	5.73917987E-2
924	5.87607511E-2
828	6.18546052E-2
792	6.26548402E-2
176	6.64938497E-2
744	6.742027E-2
802	6.75482741E-2
33	6.78776365E-2
867	7.23112067E-2
529	7.35610155E-2
190	7.57105557E-2
879	7.66697517E-2
764	8.39591881E-2
144	8.57271329E-2
940	8.69021342E-2
115	8.70700086E-2
522	9.02615853E-2
922	9.0263807E-2
957	9.29719296E-2
895	9.36486781E-2
467	9.42614811E-2
223	9.56823766E-2
355	9.66341144E-2
787	9.78985448E-2
816	9.94717046E-2
204	9.98812642E-2
388	1.02149458E-1
868	1.04242328E-1
314	1.0444371E-1
539	1.06799143E-1
641	1.08617118E-1
79	1.088248E-1
301	1.1075901E-1
847	1.1096029E-1
574	1.11203393E-1
41	1.11351092E-1
419	1.15179613E-1
805	1.15420461E-1
1001	1.16154266E-1
546	1.16483217E-1
844	1.17382415E-1
304	1.192001E-1
219	1.1932936E-1
542	1.19891708E-1
245	1.22160955E-1
68	1.22264598E-1
571	1.22310803E-1
760	1.22715031E-1
971	1.22995747E-1
494	1.23548604E-1
259	1.23673441E-1
91	1.25523243E-1
807	1.25983701E-1
979	1.26901809E-1
459	1.28692513E-1
625	1.28700548E-1
707	1.37935669E-1
22	1.38100667E-1
782	1.38286615E-1
141	1.39704678E-1
328	1.40685248E-1
516	1.41717561E-1
82	1.41854178E-1
825	1.42155172E-1
221	1.42386418E-1
718	1.42567626E-1
133	1.43157596E-1
733	1.44578005E-1
888	1.44859421E-1
19	1.50154447E-1
676	1.50865326E-1
622	1.53700541E-1
