Name	chi2Pvalue
894	9.37241255E-5
238	7.73173274E-4
87	2.47168813E-3
769	3.07782488E-3
740	3.89558326E-3
75	4.49059442E-3
980	5.29445045E-3
625	6.82610731E-3
621	7.11686014E-3
374	7.23415185E-3
30	7.26471251E-3
610	8.01623855E-3
951	1.03468005E-2
1008	1.11363987E-2
91	1.18822964E-2
878	1.18925292E-2
721	1.25026607E-2
914	1.31503763E-2
706	1.47848617E-2
130	1.67620952E-2
609	1.77246916E-2
604	1.87228093E-2
206	1.89784673E-2
641	1.98499274E-2
253	2.01574399E-2
282	2.04244281E-2
319	2.06406897E-2
595	2.1689847E-2
379	2.32122248E-2
17	2.64339821E-2
514	2.67186426E-2
1009	2.71111464E-2
960	2.94496807E-2
376	3.17580507E-2
823	3.1936158E-2
689	3.19640567E-2
627	3.22043871E-2
38	3.44079826E-2
258	3.59182514E-2
928	3.6134473E-2
114	3.62543272E-2
460	3.78538094E-2
301	3.84680656E-2
45	3.8491451E-2
221	3.93655729E-2
661	3.94840476E-2
148	4.02343889E-2
41	4.09863673E-2
446	4.60574991E-2
436	4.62396413E-2
964	4.64132818E-2
189	4.72225431E-2
775	4.7861039E-2
860	4.8148003E-2
664	4.83445265E-2
709	4.84840157E-2
867	4.9886344E-2
955	5.09133103E-2
582	5.16869775E-2
488	5.30454555E-2
377	5.32094378E-2
344	5.55660453E-2
456	5.56564419E-2
523	5.62229717E-2
397	5.65327626E-2
642	5.79625128E-2
317	5.90042952E-2
244	5.94108887E-2
718	6.03222282E-2
227	6.12723713E-2
804	6.21279533E-2
712	6.23280305E-2
65	6.27166041E-2
275	6.58294389E-2
327	6.62106459E-2
570	7.10877746E-2
353	7.19100095E-2
207	7.25496925E-2
134	7.3380427E-2
677	7.39172945E-2
489	7.53599335E-2
74	7.58388345E-2
467	7.65425523E-2
271	7.87725364E-2
698	7.87997415E-2
150	7.90388352E-2
965	8.00623336E-2
575	8.118333E-2
542	8.31713711E-2
879	8.43902308E-2
564	8.49237301E-2
49	8.53965014E-2
828	8.6011556E-2
1005	8.67935382E-2
952	8.69737491E-2
754	8.73727992E-2
354	8.76049109E-2
888	9.07045075E-2
345	9.16929385E-2
289	9.24153528E-2
981	9.28896907E-2
922	9.33509016E-2
773	9.58192937E-2
499	9.9046895E-2
243	9.96400158E-2
8	1.00390224E-1
247	1.0249418E-1
751	1.0376578E-1
688	1.04179304E-1
778	1.07277718E-1
385	1.08289982E-1
979	1.08486981E-1
502	1.08751815E-1
921	1.09718776E-1
413	1.09823953E-1
945	1.11587451E-1
594	1.13490787E-1
284	1.17851115E-1
124	1.1828185E-1
198	1.18373126E-1
145	1.18684893E-1
173	1.186972E-1
649	1.18725115E-1
405	1.1997405E-1
285	1.209284E-1
15	1.21461265E-1
320	1.22753659E-1
339	1.24832902E-1
654	1.25540892E-1
759	1.26613865E-1
231	1.27052345E-1
653	1.2831279E-1
992	1.29057444E-1
42	1.29875674E-1
694	1.30453957E-1
260	1.32400415E-1
318	1.32484627E-1
103	1.32795377E-1
714	1.33503857E-1
622	1.35723033E-1
768	1.35977292E-1
392	1.37515028E-1
454	1.37835697E-1
73	1.38496315E-1
212	1.39135401E-1
402	1.40329212E-1
12	1.41821492E-1
55	1.43360643E-1
561	1.43742903E-1
578	1.46422044E-1
880	1.46677634E-1
370	1.4670587E-1
766	1.47019836E-1
305	1.48952844E-1
412	1.496109E-1
56	1.50319653E-1
686	1.51516753E-1
837	1.53524339E-1
298	1.55424927E-1
829	1.56241583E-1
802	1.57780739E-1
292	1.59187359E-1
396	1.60452325E-1
695	1.61141868E-1
391	1.61941466E-1
813	1.6318834E-1
658	1.63882412E-1
841	1.66119894E-1
164	1.68430101E-1
598	1.68763474E-1
744	1.68906609E-1
3	1.6967892E-1
225	1.69783146E-1
269	1.70916696E-1
371	1.712436E-1
464	1.71418305E-1
101	1.72458737E-1
854	1.72619202E-1
291	1.74990548E-1
163	1.75054544E-1
142	1.75582023E-1
891	1.75755051E-1
605	1.77129343E-1
120	1.77639276E-1
1000	1.79377734E-1
704	1.79450676E-1
156	1.80139634E-1
302	1.80705831E-1
896	1.80840017E-1
508	1.80904688E-1
322	1.81249917E-1
593	1.81968365E-1
833	1.84907638E-1
358	1.85841238E-1
191	1.86174503E-1
418	1.86189271E-1
170	1.88753838E-1
635	1.92158972E-1
646	1.92559421E-1
149	1.93334687E-1
786	1.93678315E-1
861	1.95171405E-1
796	1.95615138E-1
20	1.96144149E-1
39	1.97155413E-1
651	1.99849601E-1
652	2.00850894E-1
889	2.01657911E-1
333	2.01993368E-1
784	2.02115118E-1
262	2.03515166E-1
270	2.04967184E-1
705	2.05252893E-1
840	2.0712899E-1
521	2.07787584E-1
1020	2.13970562E-1
4	2.14451536E-1
1006	2.15010492E-1
13	2.15751389E-1
209	2.16291012E-1
729	2.19116321E-1
406	2.21358266E-1
647	2.21653021E-1
22	2.21682187E-1
999	2.23462893E-1
589	2.24973985E-1
202	2.27567774E-1
180	2.27821273E-1
715	2.28202059E-1
165	2.29070708E-1
853	2.2923383E-1
321	2.3021445E-1
211	2.30318836E-1
192	2.31779939E-1
203	2.32058435E-1
596	2.32906815E-1
125	2.33120341E-1
738	2.33893682E-1
650	2.34536235E-1
873	2.34975361E-1
777	2.35199596E-1
847	2.35508723E-1
304	2.37830588E-1
791	2.37972233E-1
946	2.39206999E-1
181	2.40826802E-1
383	2.41352205E-1
139	2.41443876E-1
324	2.4245921E-1
315	2.42817838E-1
57	2.43140787E-1
485	2.44310267E-1
426	2.44369836E-1
699	2.45079527E-1
512	2.45845497E-1
295	2.4592437E-1
599	2.45964103E-1
919	2.46062559E-1
618	2.46295883E-1
469	2.4730415E-1
0	2.49078698E-1
500	2.58025926E-1
122	2.61478735E-1
154	2.61631988E-1
639	2.62726104E-1
767	2.63201366E-1
21	2.6391366E-1
435	2.64864296E-1
228	2.65189164E-1
233	2.65224822E-1
190	2.66373449E-1
416	2.68109461E-1
195	2.70429712E-1
254	2.7323994E-1
600	2.73326941E-1
735	2.73705612E-1
219	2.76502408E-1
350	2.77449523E-1
186	2.78076034E-1
492	2.78430068E-1
640	2.81136477E-1
911	2.82160683E-1
876	2.84686088E-1
256	2.85505568E-1
43	2.89312567E-1
230	2.90185367E-1
487	2.90246285E-1
451	2.91126501E-1
541	2.9190864E-1
567	2.92001078E-1
394	2.92818405E-1
890	2.93054346E-1
76	2.93868279E-1
338	2.96176365E-1
393	2.96738308E-1
935	2.96967812E-1
851	2.97119852E-1
400	2.9871206E-1
821	2.99074469E-1
232	2.99432481E-1
171	3.00483352E-1
722	3.00600917E-1
552	3.0075451E-1
545	3.01243434E-1
554	3.01493433E-1
51	3.02752671E-1
93	3.05751663E-1
129	3.07153215E-1
179	3.0736141E-1
25	3.10180026E-1
473	3.10616638E-1
