Name	chi2Pvalue
176	4.43460923E-4
111	9.28445005E-4
745	1.70225567E-3
431	2.51501924E-3
946	2.59426376E-3
396	4.03551661E-3
735	4.57313959E-3
407	5.4754583E-3
238	5.52941754E-3
981	6.0060736E-3
73	6.11156903E-3
878	6.27491045E-3
996	7.80731994E-3
664	1.0453298E-2
676	1.11286711E-2
731	1.11593093E-2
68	1.1767283E-2
999	1.19418121E-2
552	1.22433538E-2
501	1.24270628E-2
983	1.35651305E-2
673	1.44613836E-2
856	1.56898095E-2
309	1.67074531E-2
245	1.67583892E-2
778	1.68922203E-2
826	1.82081452E-2
847	1.8541074E-2
562	2.00542327E-2
705	2.11055397E-2
823	2.35647401E-2
19	2.42108642E-2
227	2.46050495E-2
190	2.4736013E-2
41	2.92448975E-2
975	3.3882012E-2
415	3.40293238E-2
296	3.45853005E-2
540	3.70487308E-2
707	3.80322408E-2
94	3.90835239E-2
754	4.22046444E-2
157	4.30369546E-2
992	4.44464216E-2
894	4.66306344E-2
689	4.68757987E-2
177	4.88187989E-2
218	4.8821159E-2
467	4.99126418E-2
160	5.06967588E-2
457	5.25977871E-2
147	5.29596194E-2
788	5.34666151E-2
917	5.45373996E-2
776	5.51954575E-2
459	5.53278648E-2
418	5.54121725E-2
993	5.59872155E-2
624	5.72767611E-2
909	5.9199602E-2
671	5.96667138E-2
928	6.17752134E-2
229	6.18206066E-2
912	6.19785565E-2
526	6.20381637E-2
750	6.24879879E-2
276	6.38076038E-2
484	6.4044353E-2
727	6.43153646E-2
340	6.47829002E-2
874	6.50493326E-2
317	6.5078412E-2
54	6.57648836E-2
751	6.76571531E-2
584	6.79762173E-2
51	6.95212608E-2
500	7.03289593E-2
361	7.11934849E-2
551	7.13182393E-2
91	7.48778697E-2
837	7.50494284E-2
777	7.53667794E-2
224	7.82937062E-2
15	7.94821674E-2
327	7.98981016E-2
112	8.08686957E-2
161	8.38726711E-2
529	8.46456712E-2
319	8.50582844E-2
144	8.72397393E-2
30	9.06073528E-2
520	9.14097023E-2
330	9.17101497E-2
93	9.24317418E-2
813	9.2809837E-2
808	9.31528968E-2
592	9.36122517E-2
960	9.41116092E-2
43	9.46514166E-2
388	9.61042042E-2
444	9.76410841E-2
145	9.91194602E-2
744	9.99526252E-2
446	1.01070818E-1
460	1.0169055E-1
203	1.01823771E-1
921	1.03930883E-1
882	1.0518731E-1
914	1.06256313E-1
325	1.06364939E-1
611	1.06551711E-1
609	1.07064011E-1
700	1.07886652E-1
259	1.07967907E-1
603	1.08802278E-1
726	1.11204589E-1
740	1.13587413E-1
869	1.13811962E-1
600	1.14533366E-1
240	1.15248456E-1
243	1.17426761E-1
966	1.18582722E-1
953	1.18636008E-1
235	1.18741349E-1
308	1.19016669E-1
513	1.19294076E-1
1008	1.21218569E-1
980	1.21640513E-1
881	1.22998285E-1
413	1.24535159E-1
410	1.26680081E-1
855	1.28071314E-1
887	1.30308989E-1
469	1.30801796E-1
146	1.30848993E-1
791	1.30871092E-1
300	1.30896783E-1
885	1.32541035E-1
409	1.33532687E-1
876	1.33994361E-1
55	1.34420154E-1
490	1.36113625E-1
575	1.38223235E-1
634	1.38634251E-1
269	1.41288892E-1
199	1.41452161E-1
71	1.4160562E-1
448	1.42244356E-1
495	1.42461403E-1
800	1.43247685E-1
515	1.43561318E-1
853	1.43819644E-1
963	1.46474025E-1
619	1.47024521E-1
979	1.4741255E-1
782	1.48445405E-1
271	1.5019845E-1
443	1.51568894E-1
13	1.5196467E-1
255	1.52811799E-1
314	1.5296697E-1
465	1.54345838E-1
930	1.54997443E-1
502	1.57576799E-1
832	1.57694594E-1
677	1.59288306E-1
242	1.59760738E-1
860	1.59875895E-1
189	1.61654311E-1
699	1.6321713E-1
341	1.63709366E-1
310	1.64896833E-1
196	1.6562553E-1
64	1.66587296E-1
995	1.67026562E-1
44	1.69101179E-1
371	1.69308502E-1
186	1.6972113E-1
606	1.70828065E-1
205	1.71136817E-1
21	1.71183326E-1
69	1.72358426E-1
891	1.72929634E-1
680	1.73061516E-1
262	1.75310958E-1
474	1.7608746E-1
270	1.76347683E-1
217	1.76352274E-1
496	1.79275977E-1
103	1.79436057E-1
848	1.7964167E-1
586	1.8138579E-1
989	1.82142295E-1
965	1.8238158E-1
380	1.83763084E-1
285	1.84612547E-1
730	1.84818438E-1
764	1.85923144E-1
366	1.86437858E-1
