Name	chi2Pvalue
735	8.61046803E-4
946	1.30635325E-3
856	2.92085771E-3
983	3.27433613E-3
111	3.44441075E-3
878	3.73478335E-3
745	4.75591609E-3
19	4.80888607E-3
776	6.43087916E-3
238	7.20530537E-3
73	7.49570674E-3
676	9.17689992E-3
94	9.30865675E-3
176	9.33989728E-3
407	9.43807502E-3
396	1.12496002E-2
612	1.30855543E-2
673	1.39659815E-2
912	1.46070226E-2
847	1.543067E-2
981	1.84611974E-2
229	1.87188507E-2
552	2.22104723E-2
245	2.39466282E-2
218	2.55012379E-2
600	2.58444613E-2
190	2.69207293E-2
296	2.73826323E-2
562	2.89687836E-2
309	2.90375752E-2
689	2.94294363E-2
823	2.98455618E-2
754	3.1261599E-2
520	3.27775408E-2
887	3.41942094E-2
731	3.43692518E-2
203	3.44646561E-2
751	3.49524401E-2
664	3.56375316E-2
224	3.61686268E-2
826	3.72132249E-2
777	3.72899363E-2
999	3.90679362E-2
922	4.08161696E-2
41	4.16364347E-2
874	4.34856776E-2
917	4.40522258E-2
575	4.49478155E-2
882	4.57517046E-2
318	4.60804646E-2
726	4.69737835E-2
415	4.70382496E-2
584	4.72196219E-2
501	4.78285996E-2
68	4.96522936E-2
418	4.99070325E-2
157	5.14422747E-2
788	5.1971256E-2
91	5.22608747E-2
966	5.31961996E-2
276	5.46819826E-2
540	5.82277982E-2
855	5.88760015E-2
469	6.1285644E-2
239	6.25092138E-2
461	6.50930052E-2
800	6.67527699E-2
551	6.70845753E-2
975	6.9344734E-2
21	7.00836601E-2
783	7.0914872E-2
269	7.14762798E-2
69	7.19694707E-2
51	7.20140594E-2
716	7.24465586E-2
532	7.31543056E-2
327	7.39442558E-2
833	7.45674229E-2
444	7.47010511E-2
674	7.57723187E-2
484	7.58675071E-2
112	7.61534444E-2
427	7.66520342E-2
446	7.6876567E-2
996	7.7537384E-2
254	7.82278164E-2
308	7.91554149E-2
144	8.07675982E-2
443	8.18735724E-2
892	8.22415541E-2
458	8.25446901E-2
410	8.31344261E-2
467	8.57347641E-2
624	8.61482778E-2
837	8.64273107E-2
894	8.81271284E-2
903	8.81943461E-2
361	8.94496368E-2
928	9.20075558E-2
54	9.23982489E-2
259	9.25887482E-2
730	9.2603103E-2
992	9.3724191E-2
525	9.46594629E-2
960	9.54133251E-2
196	9.54194467E-2
84	9.72711619E-2
526	9.73185545E-2
341	9.9189001E-2
778	9.93382016E-2
546	1.00798391E-1
930	1.0117763E-1
979	1.0171879E-1
145	1.04900714E-1
300	1.0560498E-1
813	1.05983786E-1
457	1.07679206E-1
661	1.07768258E-1
698	1.08394524E-1
243	1.09570615E-1
869	1.10498795E-1
404	1.11408239E-1
474	1.11475748E-1
989	1.12397776E-1
465	1.14319128E-1
911	1.14780204E-1
500	1.15079099E-1
764	1.1846686E-1
832	1.19353217E-1
741	1.21074039E-1
680	1.21428171E-1
619	1.21537059E-1
988	1.21816027E-1
340	1.22185024E-1
227	1.23382893E-1
170	1.25003892E-1
255	1.25408789E-1
445	1.26794154E-1
460	1.33349061E-1
667	1.35138636E-1
115	1.36313017E-1
897	1.3795531E-1
146	1.39482275E-1
592	1.40255383E-1
808	1.40354179E-1
609	1.40634738E-1
45	1.42077894E-1
684	1.42137539E-1
849	1.45590885E-1
161	1.45627757E-1
388	1.4581144E-1
686	1.46764026E-1
64	1.48694217E-1
765	1.48812088E-1
750	1.48940747E-1
343	1.49711295E-1
638	1.50216382E-1
317	1.51577508E-1
391	1.52579525E-1
326	1.53101962E-1
55	1.55990278E-1
995	1.56903357E-1
459	1.57001245E-1
746	1.59820369E-1
147	1.5996622E-1
706	1.62056894E-1
518	1.62959689E-1
109	1.64625285E-1
88	1.66350557E-1
371	1.67609679E-1
586	1.6780396E-1
15	1.75097005E-1
885	1.75249551E-1
625	1.75482309E-1
186	1.76282741E-1
142	1.76913958E-1
240	1.77986292E-1
56	1.79579988E-1
76	1.79829668E-1
82	1.80351088E-1
725	1.81750914E-1
700	1.8296552E-1
