Name	chi2Pvalue
176	6.42112251E-4
705	2.50770063E-3
664	3.87227435E-3
111	5.08729721E-3
996	5.56423601E-3
147	8.31127551E-3
778	9.21568659E-3
848	9.80976959E-3
73	1.00972902E-2
501	1.09569588E-2
727	1.13174882E-2
160	1.2270484E-2
826	1.29524315E-2
750	1.37635745E-2
707	1.40658982E-2
317	1.68650775E-2
953	1.69846917E-2
42	1.74479435E-2
238	1.76938158E-2
500	1.79394623E-2
396	1.81232896E-2
217	1.96922809E-2
68	1.97305867E-2
981	2.06227748E-2
497	2.10856052E-2
459	2.14013608E-2
980	2.19414917E-2
409	2.41546771E-2
569	2.63585903E-2
30	2.65297022E-2
474	2.69882854E-2
309	2.78513958E-2
457	2.87267857E-2
745	2.95591787E-2
470	2.96335989E-2
965	3.07855069E-2
431	3.10678716E-2
885	3.21161702E-2
860	3.24111999E-2
275	3.67240328E-2
735	3.688692E-2
1008	3.69169116E-2
882	3.93522145E-2
731	4.09011431E-2
603	4.21813827E-2
992	4.31594277E-2
340	4.32498596E-2
622	4.41279106E-2
946	4.53491605E-2
44	4.66917972E-2
144	4.9502866E-2
257	4.96511353E-2
325	5.13372484E-2
39	5.31849838E-2
376	5.32821782E-2
909	5.37393409E-2
71	5.47643895E-2
671	5.49658342E-2
1001	5.54561149E-2
235	5.61460241E-2
303	5.96481824E-2
588	6.03498287E-2
227	6.05240261E-2
878	6.08884949E-2
808	6.09179475E-2
161	6.10414082E-2
344	6.10667416E-2
495	6.10968469E-2
552	6.11068334E-2
60	6.20241734E-2
99	6.34795528E-2
177	6.37101145E-2
407	6.42600308E-2
744	6.44910361E-2
592	6.47155688E-2
448	6.62561109E-2
591	6.74368828E-2
446	6.80536178E-2
41	7.05266676E-2
847	7.08869063E-2
995	7.2321987E-2
740	7.4504818E-2
540	7.58535048E-2
571	7.68108895E-2
51	7.69512642E-2
791	7.69962531E-2
467	7.75875127E-2
983	7.79616747E-2
583	7.84361972E-2
835	7.92673719E-2
781	7.95952161E-2
245	8.08836834E-2
560	8.36514454E-2
476	8.48985745E-2
554	8.55349089E-2
874	8.65522808E-2
276	8.66429337E-2
522	8.66982826E-2
962	8.85085138E-2
810	8.89718884E-2
259	9.00187539E-2
764	9.28361308E-2
153	9.63233024E-2
823	9.75622956E-2
104	9.77981524E-2
413	9.83697744E-2
676	9.86995076E-2
371	9.98399667E-2
822	1.0095739E-1
179	1.01855068E-1
271	1.02235473E-1
169	1.0243514E-1
403	1.04348638E-1
40	1.04714445E-1
672	1.05657213E-1
374	1.07350719E-1
876	1.07381707E-1
319	1.08341674E-1
190	1.08405183E-1
894	1.08545886E-1
677	1.09536856E-1
351	1.10099574E-1
15	1.13483531E-1
722	1.13798547E-1
869	1.14524356E-1
360	1.14865661E-1
921	1.1493697E-1
490	1.1583799E-1
963	1.16093064E-1
494	1.16386463E-1
496	1.16912438E-1
979	1.17032575E-1
502	1.17416355E-1
469	1.17636109E-1
836	1.19716409E-1
538	1.22044735E-1
728	1.22811147E-1
734	1.23487566E-1
178	1.2405719E-1
624	1.24958803E-1
270	1.25199821E-1
600	1.26023455E-1
418	1.26513143E-1
32	1.27437489E-1
626	1.28290616E-1
92	1.28658446E-1
55	1.2870102E-1
252	1.28891926E-1
646	1.30229671E-1
613	1.3063399E-1
285	1.31204002E-1
993	1.33232964E-1
380	1.34286997E-1
54	1.35098652E-1
928	1.35168175E-1
43	1.35170952E-1
617	1.3549786E-1
661	1.36940165E-1
