Name	chi2Pvalue
390	1.67469117E-6
176	4.89568668E-6
68	9.59026887E-5
111	1.0318178E-4
664	1.95871923E-4
946	1.12631422E-3
820	1.67180838E-3
689	3.28629069E-3
309	3.41413562E-3
778	5.1709914E-3
634	5.46462871E-3
317	6.00302146E-3
705	7.59651627E-3
622	7.60883398E-3
624	7.82493318E-3
480	8.42519707E-3
856	9.40670082E-3
150	9.79521695E-3
740	9.95651739E-3
238	1.0614596E-2
327	1.09678267E-2
891	1.19588159E-2
745	1.32074201E-2
731	1.44311287E-2
787	1.63891226E-2
191	1.67717181E-2
591	1.6818466E-2
501	1.81413646E-2
966	1.89129796E-2
993	1.91562913E-2
813	1.98456874E-2
928	2.135351E-2
239	2.90553744E-2
443	3.0391659E-2
457	3.04242905E-2
626	3.13234684E-2
876	3.33462198E-2
823	3.54615789E-2
677	3.60887383E-2
999	3.63531849E-2
145	3.64655488E-2
388	3.67097643E-2
628	3.67125279E-2
87	3.93398761E-2
164	3.93671345E-2
467	3.93929906E-2
491	3.97848885E-2
88	3.98368592E-2
515	4.07353346E-2
460	4.07813421E-2
196	4.11867096E-2
73	4.2409169E-2
86	4.31016095E-2
42	4.41825789E-2
55	4.50028847E-2
431	4.85400507E-2
671	4.87582821E-2
953	4.99176269E-2
553	4.99605626E-2
40	5.15038724E-2
764	5.22612295E-2
330	5.32694109E-2
319	5.55478646E-2
706	5.83582088E-2
994	5.85522432E-2
672	5.86069028E-2
500	5.90753594E-2
751	5.98380205E-2
982	6.0932999E-2
606	6.22536204E-2
205	6.22858771E-2
380	6.51062092E-2
609	6.52015413E-2
992	6.74318995E-2
450	6.76911932E-2
396	6.77437442E-2
352	6.82951362E-2
777	6.95533023E-2
93	7.00103904E-2
833	7.05591342E-2
522	7.10041539E-2
848	7.15112656E-2
791	7.2043263E-2
474	7.33414121E-2
488	7.33697827E-2
902	7.46998377E-2
235	7.7334559E-2
177	7.85186504E-2
676	8.01634479E-2
193	8.15595671E-2
198	8.24772578E-2
894	8.29839807E-2
837	8.37233675E-2
257	8.63793926E-2
360	8.77798668E-2
451	8.79290184E-2
808	8.88540194E-2
744	8.89528217E-2
418	8.93245962E-2
1011	9.04380159E-2
56	9.09036786E-2
211	9.35186116E-2
754	9.37651644E-2
568	9.57771447E-2
147	9.60459737E-2
103	9.64900297E-2
680	9.71735384E-2
374	9.89787183E-2
939	9.95498002E-2
1001	1.00749469E-1
588	1.01585588E-1
83	1.02244311E-1
190	1.02505854E-1
851	1.02870215E-1
586	1.04818903E-1
637	1.07906205E-1
92	1.0868517E-1
76	1.09824018E-1
869	1.10021731E-1
530	1.10410513E-1
565	1.10877234E-1
5	1.10930118E-1
784	1.11159518E-1
444	1.12174676E-1
0	1.14724372E-1
343	1.16280867E-1
81	1.16475169E-1
959	1.16481546E-1
285	1.17022451E-1
479	1.17753426E-1
696	1.19415842E-1
792	1.19949065E-1
