Name	chi2Pvalue
176	1.1038229E-5
390	3.22080174E-5
111	5.60442156E-5
664	6.5603615E-5
68	2.46458552E-4
309	6.96438874E-4
820	3.49174834E-3
813	3.7685194E-3
689	6.06286142E-3
317	6.61750964E-3
238	6.82287222E-3
443	6.89707978E-3
856	9.72030123E-3
501	9.84245617E-3
928	1.28846572E-2
634	1.42238172E-2
327	1.47711141E-2
946	1.52546737E-2
745	1.60657154E-2
677	1.62375445E-2
787	1.64166511E-2
145	1.64527711E-2
966	1.72764526E-2
778	1.85860676E-2
396	1.89675238E-2
993	1.91794873E-2
624	2.04557194E-2
21	2.36677431E-2
239	2.71051186E-2
191	2.74872804E-2
479	2.81163866E-2
460	2.97235412E-2
803	3.01659213E-2
94	3.05079311E-2
706	3.07110548E-2
705	3.13494084E-2
431	3.19258024E-2
480	3.20694462E-2
205	3.32905718E-2
751	3.47605744E-2
894	3.53559947E-2
730	3.731273E-2
515	3.77674949E-2
74	3.9023044E-2
474	3.95933583E-2
55	4.0057983E-2
622	4.07287756E-2
955	4.08478173E-2
556	4.55994344E-2
388	4.61315135E-2
374	4.68566512E-2
777	4.70335468E-2
876	4.78605189E-2
164	4.84263207E-2
56	4.93927628E-2
444	5.00600687E-2
740	5.05797384E-2
591	5.05929765E-2
88	5.08993973E-2
196	5.11028481E-2
680	5.16035002E-2
325	5.19936966E-2
0	5.2072223E-2
190	5.49137265E-2
675	5.7819393E-2
436	5.78309593E-2
565	6.02515891E-2
849	6.07048724E-2
738	6.12518551E-2
784	6.36157678E-2
553	6.3839059E-2
150	6.49468304E-2
726	6.63804649E-2
551	6.90625962E-2
1011	6.99564649E-2
1010	7.14456436E-2
257	7.21646257E-2
754	7.3793349E-2
760	7.40078017E-2
764	7.44322268E-2
991	7.50920493E-2
586	7.56684075E-2
414	7.5992705E-2
786	7.86271434E-2
40	7.98721034E-2
233	8.11983173E-2
953	8.28237382E-2
203	8.56453918E-2
922	8.57461425E-2
103	8.63850865E-2
467	8.83614485E-2
380	8.98808716E-2
637	9.24823481E-2
326	9.33533369E-2
829	9.41237952E-2
350	9.43605666E-2
678	9.5077811E-2
39	9.54010827E-2
530	9.72206637E-2
450	9.87638158E-2
752	9.88727482E-2
860	9.96418253E-2
500	1.00023197E-1
267	1.013911E-1
330	1.01650944E-1
198	1.06661355E-1
318	1.0695471E-1
221	1.08998565E-1
731	1.09424296E-1
848	1.10813125E-1
73	1.12496537E-1
735	1.1397336E-1
891	1.14603123E-1
792	1.15375289E-1
628	1.15702634E-1
72	1.16120394E-1
612	1.17405935E-1
110	1.17491233E-1
260	1.19184966E-1
355	1.21336706E-1
491	1.21337517E-1
339	1.2150065E-1
999	1.22862327E-1
319	1.2322764E-1
744	1.23706554E-1
800	1.23720966E-1
285	1.24570076E-1
482	1.25821836E-1
273	1.26910935E-1
123	1.27361184E-1
994	1.28344355E-1
33	1.31210457E-1
457	1.3169513E-1
652	1.31887631E-1
575	1.32014815E-1
458	1.3324699E-1
902	1.33590081E-1
908	1.33832086E-1
131	1.35122591E-1
213	1.35899653E-1
823	1.36592786E-1
488	1.37504448E-1
370	1.37598216E-1
54	1.3782714E-1
795	1.39054787E-1
606	1.39807748E-1
603	1.43531262E-1
904	1.43747434E-1
76	1.448411E-1
722	1.46611979E-1
371	1.46614341E-1
147	1.48184896E-1
989	1.50163631E-1
963	1.51808413E-1
48	1.52036985E-1
63	1.52568552E-1
144	1.52914926E-1
433	1.57678361E-1
26	1.58848825E-1
821	1.59080347E-1
979	1.59082382E-1
177	1.59678953E-1
27	1.60662129E-1
674	1.6213319E-1
492	1.62183733E-1
579	1.63521665E-1
867	1.64047459E-1
945	1.64085577E-1
673	1.66174891E-1
956	1.66953787E-1
609	1.67328829E-1
541	1.6773832E-1
779	1.68051391E-1
802	1.69100121E-1
509	1.69225266E-1
923	1.69885414E-1
638	1.70552042E-1
791	1.71650866E-1
783	1.72125628E-1
276	1.72837482E-1
765	1.73141433E-1
750	1.73805583E-1
91	1.73907678E-1
954	1.74975532E-1
577	1.75298636E-1
512	1.77330391E-1
885	1.77810694E-1
193	1.79494772E-1
808	1.80398876E-1
818	1.80643019E-1
329	1.83645715E-1
465	1.83964604E-1
683	1.84644921E-1
685	1.85199596E-1
243	1.85492792E-1
532	1.86053681E-1
562	1.86375963E-1
698	1.86489382E-1
964	1.86728017E-1
42	1.90282829E-1
676	1.90538336E-1
844	1.9142612E-1
633	1.91774002E-1
75	1.92641266E-1
838	1.9361042E-1
413	1.94053185E-1
554	1.94281482E-1
127	1.94826557E-1
132	1.97692635E-1
769	2.01027998E-1
211	2.01878349E-1
702	2.03042751E-1
524	2.03351934E-1
343	2.03611505E-1
45	2.04126714E-1
92	2.04223146E-1
157	2.04553995E-1
992	2.05118291E-1
81	2.05622123E-1
429	2.05792449E-1
223	2.08173629E-1
114	2.08283178E-1
407	2.09372773E-1
960	2.09957633E-1
806	2.10486012E-1
965	2.11397389E-1
875	2.12901164E-1
833	2.13097339E-1
292	2.13953383E-1
125	2.15282713E-1
499	2.1679046E-1
1016	2.17707126E-1
263	2.18986549E-1
870	2.19098685E-1
930	2.20836099E-1
521	2.21216593E-1
625	2.22434053E-1
636	2.23181288E-1
681	2.24458699E-1
341	2.24725483E-1
878	2.27109976E-1
671	2.27456022E-1
951	2.28098711E-1
815	2.28561624E-1
983	2.28736238E-1
386	2.2886867E-1
709	2.31802554E-1
84	2.34429595E-1
360	2.384486E-1
736	2.38724049E-1
418	2.39174681E-1
60	2.39767218E-1
903	2.40155535E-1
316	2.41912757E-1
761	2.42935023E-1
525	2.43590016E-1
269	2.43999499E-1
107	2.46096785E-1
616	2.46111148E-1
853	2.46158979E-1
739	2.4621495E-1
38	2.46515504E-1
770	2.46586551E-1
567	2.48585781E-1
580	2.49218484E-1
766	2.50506578E-1
759	2.51066499E-1
626	2.52370078E-1
1000	2.53654468E-1
607	2.54457654E-1
939	2.55353139E-1
62	2.5558249E-1
206	2.57361485E-1
406	2.57712972E-1
558	2.58681256E-1
796	2.59073836E-1
201	2.62248938E-1
697	2.62931348E-1
935	2.65192424E-1
768	2.65419071E-1
204	2.66725382E-1
83	2.68413301E-1
427	2.69686792E-1
229	2.70354692E-1
832	2.72860777E-1
308	2.73038646E-1
230	2.74386064E-1
426	2.7487002E-1
364	2.7546146E-1
89	2.77223647E-1
352	2.77722037E-1
801	2.77860117E-1
306	2.77905137E-1
522	2.7849692E-1
570	2.79216502E-1
381	2.85115291E-1
1005	2.89231153E-1
975	2.89345168E-1
734	2.90940823E-1
478	2.90961529E-1
139	2.9103645E-1
226	2.93531732E-1
788	2.94067334E-1
412	2.94113831E-1
124	2.94469424E-1
568	2.94816436E-1
663	2.95342939E-1
571	2.95836082E-1
415	2.95877569E-1
133	2.96101917E-1
897	2.98237313E-1
67	2.99769557E-1
670	2.99781404E-1
892	3.00509299E-1
851	3.03213116E-1
437	3.0386957E-1
782	3.06352076E-1
668	3.06385256E-1
259	3.08213964E-1
1001	3.08498639E-1
836	3.08716694E-1
9	3.09400875E-1
470	3.09716937E-1
13	3.10348719E-1
846	3.13840465E-1
650	3.14094579E-1
14	3.14378529E-1
841	3.15610462E-1
454	3.1645462E-1
869	3.16750439E-1
51	3.17085778E-1
140	3.17376489E-1
242	3.17912284E-1
978	3.18104721E-1
588	3.19337189E-1
1008	3.19580198E-1
1012	3.21011018E-1
600	3.23845092E-1
837	3.27313886E-1
225	3.29938559E-1
80	3.29975873E-1
700	3.32850404E-1
315	3.3301673E-1
672	3.35187638E-1
136	3.35267068E-1
251	3.36084208E-1
526	3.41917627E-1
924	3.44026326E-1
596	3.45894376E-1
861	3.46161895E-1
518	3.4719667E-1
546	3.47231091E-1
70	3.47314438E-1
246	3.47334749E-1
915	3.48483832E-1
893	3.48770014E-1
173	3.49013009E-1
302	3.49039801E-1
756	3.49250767E-1
141	3.50378283E-1
774	3.5071308E-1
165	3.51503038E-1
617	3.52663283E-1
645	3.52748682E-1
224	3.53066188E-1
573	3.56416571E-1
119	3.57970601E-1
865	3.59502598E-1
5	3.60132571E-1
120	3.61961807E-1
361	3.64151954E-1
741	3.6590399E-1
161	3.6696281E-1
35	3.67366815E-1
887	3.67486963E-1
253	3.70731089E-1
446	3.74693659E-1
32	3.75561759E-1
64	3.75584463E-1
366	3.76802132E-1
644	3.79004913E-1
881	3.79858323E-1
898	3.80690892E-1
255	3.81057498E-1
614	3.8272394E-1
597	3.82747743E-1
59	3.84696246E-1
743	3.86404058E-1
696	3.86792995E-1
359	3.87637669E-1
982	3.87948898E-1
858	3.89119198E-1
912	3.89474272E-1
649	3.89671361E-1
249	3.90356817E-1
268	3.97047208E-1
159	3.9782714E-1
725	3.98491779E-1
974	3.9865465E-1
686	3.98959352E-1
57	3.99361194E-1
362	4.01950224E-1
207	4.04146214E-1
564	4.0470024E-1
905	4.053517E-1
537	4.05699323E-1
595	4.07316622E-1
1002	4.08162398E-1
134	4.11455228E-1
393	4.11618155E-1
773	4.12604593E-1
959	4.12897575E-1
160	4.14100939E-1
298	4.14365756E-1
657	4.15439943E-1
843	4.18008132E-1
732	4.18239148E-1
976	4.18372699E-1
605	4.18476521E-1
69	4.18709818E-1
304	4.19018225E-1
296	4.20799282E-1
651	4.21079727E-1
582	4.21667907E-1
494	4.21810175E-1
1014	4.21839319E-1
445	4.23495091E-1
4	4.24329304E-1
258	4.26823982E-1
19	4.29185481E-1
7	4.30065088E-1
932	4.3155785E-1
78	4.33134548E-1
169	4.33602141E-1
555	4.33647902E-1
423	4.34572002E-1
235	4.3493592E-1
559	4.38226442E-1
984	4.388835E-1
863	4.39517241E-1
142	4.4245267E-1
305	4.42840652E-1
289	4.43154514E-1
594	4.43351111E-1
772	4.43437464E-1
432	4.44094374E-1
809	4.46059583E-1
934	4.46172663E-1
20	4.46496609E-1
728	4.52240608E-1
834	4.52649806E-1
299	4.53181386E-1
274	4.54614309E-1
859	4.56075321E-1
349	4.5614568E-1
757	4.57625564E-1
718	4.61397875E-1
981	4.61468668E-1
87	4.62775549E-1
30	4.6361541E-1
544	4.64378848E-1
247	4.65515653E-1
451	4.65658636E-1
377	4.66135251E-1
828	4.66475118E-1
348	4.6653337E-1
99	4.6787575E-1
93	4.6800081E-1
659	4.71969172E-1
988	4.72014521E-1
627	4.72168995E-1
307	4.72426569E-1
987	4.72848092E-1
919	4.72987251E-1
968	4.73418114E-1
453	4.73847216E-1
990	4.74771789E-1
714	4.7486582E-1
262	4.76253387E-1
850	4.77201442E-1
376	4.79152126E-1
180	4.8224004E-1
356	4.82318982E-1
790	4.82596637E-1
847	4.82744012E-1
277	4.85638834E-1
666	4.85860164E-1
455	4.86107595E-1
86	4.86318249E-1
121	4.86647843E-1
724	4.87292093E-1
148	4.87517508E-1
504	4.87716938E-1
278	4.89125605E-1
2	4.89559697E-1
232	4.9235634E-1
669	4.93951505E-1
