Name	chi2Pvalue
176	3.00401406E-5
390	7.61141573E-5
68	1.79958811E-4
705	4.67324756E-4
111	5.28028515E-4
664	7.63912809E-4
946	1.32140106E-3
309	1.78051372E-3
457	3.80351429E-3
731	5.50120426E-3
86	6.78575879E-3
622	7.05914138E-3
740	7.95408894E-3
317	8.10820044E-3
891	8.72015237E-3
778	8.73923375E-3
235	9.04579479E-3
672	9.8792873E-3
982	1.24029733E-2
150	1.45533333E-2
443	1.65095329E-2
591	1.73224941E-2
984	1.76385666E-2
624	1.85398238E-2
820	2.0024037E-2
559	2.0253876E-2
626	2.24399055E-2
451	2.34081454E-2
848	2.40329482E-2
360	2.48833129E-2
808	2.65477162E-2
450	2.80221906E-2
764	3.17683134E-2
522	3.22143185E-2
87	3.31867121E-2
92	3.32968921E-2
93	3.33356593E-2
876	3.71275612E-2
588	3.79392045E-2
671	3.87455476E-2
467	3.88360439E-2
205	3.98426341E-2
823	4.08806211E-2
791	4.09031215E-2
609	4.09363299E-2
480	4.36616977E-2
73	4.57073642E-2
256	4.59933993E-2
354	4.67555926E-2
583	4.8476426E-2
689	4.94452311E-2
569	5.00487987E-2
651	5.05099003E-2
32	5.12992256E-2
352	5.59280422E-2
882	5.62156662E-2
628	5.69063828E-2
886	5.85021714E-2
323	5.99466216E-2
676	6.04362812E-2
114	6.17465216E-2
330	6.20175182E-2
883	6.32987665E-2
575	6.41387827E-2
380	6.59494407E-2
892	6.62290269E-2
992	6.62722318E-2
500	6.66629304E-2
42	6.76713841E-2
966	6.81426218E-2
327	6.9584444E-2
884	7.27878111E-2
40	7.45668031E-2
592	7.49359751E-2
996	7.59246276E-2
939	7.5935126E-2
994	7.77078093E-2
745	7.79546171E-2
863	7.89982823E-2
20	7.93723065E-2
750	8.05210044E-2
67	8.14051708E-2
512	8.15037074E-2
611	8.26178598E-2
206	8.28200154E-2
449	8.3145079E-2
607	8.3660306E-2
396	8.57304928E-2
418	8.66790632E-2
88	8.85945815E-2
275	8.98578789E-2
153	8.98795103E-2
488	8.9976526E-2
147	9.07110158E-2
782	9.10599147E-2
257	9.12417448E-2
847	9.26356948E-2
860	9.3215897E-2
276	9.38772942E-2
905	9.58796163E-2
770	9.65753742E-2
515	9.69362736E-2
704	9.80019096E-2
1001	9.82065208E-2
495	9.8308731E-2
837	9.91444666E-2
887	9.93519436E-2
603	9.95480304E-2
606	1.01897108E-1
655	1.03189805E-1
217	1.03319229E-1
690	1.03483059E-1
83	1.05029553E-1
943	1.0542137E-1
959	1.10120994E-1
634	1.14187188E-1
220	1.15366005E-1
560	1.18132658E-1
663	1.1944354E-1
388	1.19565424E-1
306	1.19942204E-1
5	1.20504741E-1
710	1.20916317E-1
15	1.2102216E-1
993	1.21092091E-1
851	1.22341327E-1
510	1.22563897E-1
446	1.23522773E-1
39	1.28449087E-1
429	1.29065528E-1
545	1.29429736E-1
869	1.29648267E-1
503	1.30335187E-1
459	1.30523104E-1
196	1.32411095E-1
660	1.32432109E-1
554	1.34255352E-1
104	1.3436154E-1
835	1.35233501E-1
161	1.35373515E-1
324	1.35759678E-1
708	1.36230625E-1
177	1.37362185E-1
34	1.39030829E-1
99	1.39413182E-1
532	1.39948491E-1
460	1.41934258E-1
979	1.42665876E-1
539	1.44645398E-1
970	1.44658102E-1
48	1.45079016E-1
61	1.45534543E-1
718	1.47387043E-1
787	1.47773533E-1
314	1.48536663E-1
953	1.49030199E-1
865	1.49173389E-1
341	1.51997132E-1
55	1.53027662E-1
568	1.55084481E-1
741	1.55351239E-1
999	1.5604388E-1
586	1.57471459E-1
885	1.57774438E-1
319	1.58470758E-1
744	1.5936428E-1
374	1.59755617E-1
103	1.61474444E-1
902	1.61482829E-1
564	1.61506755E-1
1	1.6223385E-1
1008	1.62837523E-1
431	1.64057009E-1
89	1.64142633E-1
491	1.64181164E-1
772	1.6467483E-1
207	1.66086924E-1
965	1.66165131E-1
81	1.67172095E-1
625	1.68035659E-1
142	1.68489861E-1
145	1.694442E-1
722	1.71107411E-1
100	1.72278546E-1
557	1.72305926E-1
732	1.73283946E-1
682	1.73674208E-1
813	1.74075045E-1
504	1.75094138E-1
125	1.76672283E-1
826	1.77684048E-1
893	1.77822965E-1
751	1.78021015E-1
861	1.79526141E-1
