Name	chi2Pvalue
552	4.41670383E-4
396	1.49625639E-3
41	2.25613285E-3
946	3.1462226E-3
878	4.21878042E-3
981	5.11142141E-3
224	6.46346607E-3
245	7.65619216E-3
176	8.71397229E-3
745	9.22701374E-3
43	1.01996434E-2
856	1.15227127E-2
111	1.34568504E-2
676	1.34581836E-2
540	1.39017558E-2
735	1.45715649E-2
826	1.48176597E-2
407	1.6862211E-2
361	1.73448957E-2
584	1.78508614E-2
992	1.79348647E-2
731	1.94617924E-2
847	1.96476896E-2
983	1.97544911E-2
418	2.0032656E-2
296	2.12255806E-2
529	2.13777813E-2
227	2.34172679E-2
309	2.53575514E-2
519	2.69875539E-2
707	2.71524457E-2
996	2.73497983E-2
917	2.73612785E-2
673	2.80135879E-2
51	2.90770727E-2
999	3.02920135E-2
788	3.03419995E-2
55	3.50097477E-2
94	3.62275756E-2
727	3.66099731E-2
619	3.69467639E-2
82	3.98081914E-2
30	4.01838284E-2
980	4.10048879E-2
538	4.2794749E-2
882	4.44364123E-2
29	4.48321678E-2
300	4.50539327E-2
890	4.54334196E-2
780	4.54444351E-2
177	4.58457062E-2
685	4.893873E-2
186	4.94781667E-2
922	4.96367374E-2
431	5.03231689E-2
495	5.27326486E-2
391	5.33710271E-2
119	5.46983212E-2
525	5.47702379E-2
807	5.60223974E-2
592	5.69533675E-2
874	5.71762318E-2
68	5.83755469E-2
829	5.90687404E-2
330	6.26327464E-2
308	6.46298032E-2
332	6.71197986E-2
460	6.73781131E-2
54	6.84919219E-2
413	6.92975791E-2
254	7.16251159E-2
776	7.24216627E-2
939	7.36328287E-2
446	7.37041243E-2
812	7.60034105E-2
706	7.60654686E-2
607	7.7029392E-2
271	7.94033133E-2
218	8.0091786E-2
490	8.03089991E-2
144	8.39537874E-2
825	8.39777042E-2
510	8.58428912E-2
515	8.64166934E-2
750	9.04464127E-2
192	9.21771359E-2
416	9.24048863E-2
684	9.37560719E-2
611	9.37566689E-2
617	9.3828273E-2
73	9.38944123E-2
17	9.44011746E-2
231	9.75567063E-2
320	9.81471002E-2
945	9.81725372E-2
57	1.02842399E-1
98	1.03055599E-1
764	1.03520986E-1
603	1.04370225E-1
664	1.05247313E-1
730	1.06461628E-1
229	1.06977206E-1
562	1.08423034E-1
725	1.09263798E-1
909	1.10398437E-1
905	1.11236902E-1
560	1.1252856E-1
21	1.12608867E-1
19	1.13105954E-1
908	1.14050652E-1
474	1.14081728E-1
329	1.16540892E-1
791	1.18033187E-1
1001	1.18265308E-1
340	1.19615933E-1
586	1.19978106E-1
115	1.2256807E-1
962	1.24340319E-1
719	1.26586847E-1
726	1.27151697E-1
240	1.29010937E-1
698	1.29951136E-1
260	1.30007363E-1
777	1.30064671E-1
147	1.31837304E-1
203	1.31845037E-1
7	1.32239983E-1
677	1.3260803E-1
995	1.32710985E-1
930	1.33411879E-1
339	1.33542627E-1
60	1.35956522E-1
465	1.36382686E-1
836	1.36473091E-1
855	1.38251686E-1
259	1.38381743E-1
383	1.39495049E-1
747	1.40509115E-1
157	1.41665078E-1
516	1.42316833E-1
75	1.45768567E-1
58	1.4620061E-1
734	1.46864556E-1
520	1.47660406E-1
573	1.48761689E-1
59	1.49149643E-1
104	1.50345781E-1
14	1.5053872E-1
335	1.50894396E-1
903	1.5114448E-1
183	1.52074398E-1
949	1.53846251E-1
600	1.53926137E-1
448	1.54095684E-1
112	1.54330629E-1
700	1.54464446E-1
671	1.54683215E-1
965	1.56757487E-1
861	1.570465E-1
879	1.58059632E-1
266	1.58165346E-1
415	1.59098048E-1
569	1.59811301E-1
894	1.60679132E-1
366	1.6093915E-1
301	1.6098849E-1
493	1.62108745E-1
169	1.62297082E-1
832	1.64067971E-1
303	1.64405302E-1
669	1.64809299E-1
69	1.65705276E-1
190	1.66132805E-1
853	1.66247739E-1
953	1.66509586E-1
44	1.67519981E-1
746	1.68031146E-1
461	1.68330821E-1
800	1.686765E-1
501	1.68970744E-1
208	1.69640213E-1
518	1.69731644E-1
321	1.70187331E-1
212	1.70788487E-1
409	1.71527795E-1
196	1.72134147E-1
705	1.72635694E-1
402	1.74724974E-1
161	1.76442462E-1
612	1.76587852E-1
547	1.7694175E-1
751	1.77269294E-1
929	1.77492913E-1
526	1.79949641E-1
159	1.80013831E-1
40	1.8062107E-1
89	1.81523451E-1
217	1.82689293E-1
975	1.84037207E-1
328	1.84634145E-1
885	1.85439785E-1
36	1.85615699E-1
62	1.85776193E-1
522	1.85841683E-1
993	1.8638526E-1
199	1.86892538E-1
170	1.87737928E-1
0	1.88768942E-1
795	1.89252805E-1
667	1.90986478E-1
292	1.92527954E-1
912	1.92932642E-1
843	1.94002674E-1
634	1.96922213E-1
201	1.97073032E-1
238	1.98251123E-1
114	1.99702059E-1
808	1.99792482E-1
380	2.01160328E-1
783	2.03088053E-1
823	2.05411563E-1
79	2.06464962E-1
557	2.07934927E-1
74	2.08411298E-1
625	2.08603623E-1
716	2.08717124E-1
71	2.10692415E-1
527	2.11125921E-1
563	2.11309209E-1
699	2.13441234E-1
754	2.14923754E-1
466	2.18319655E-1
628	2.18431381E-1
481	2.18547237E-1
393	2.19515665E-1
304	2.19679058E-1
760	2.19729342E-1
610	2.20455303E-1
646	2.21568196E-1
179	2.2170725E-1
546	2.21860795E-1
432	2.24073802E-1
914	2.2482676E-1
16	2.24882296E-1
476	2.24981514E-1
869	2.2518039E-1
1000	2.26469087E-1
979	2.27375513E-1
932	2.27528624E-1
63	2.28028295E-1
134	2.28568818E-1
613	2.3046338E-1
921	2.31279028E-1
410	2.31544596E-1
242	2.32909479E-1
93	2.3507138E-1
459	2.37239085E-1
697	2.37588496E-1
13	2.38559719E-1
960	2.40880447E-1
484	2.41530821E-1
852	2.41743245E-1
198	2.4235011E-1
