Name	chi2Pvalue
946	1.49255728E-3
552	1.70378216E-3
474	1.96100425E-3
41	2.69989762E-3
856	2.88875129E-3
396	3.38299392E-3
676	3.89745569E-3
882	4.02114898E-3
245	4.56436289E-3
745	4.6703872E-3
922	4.82809593E-3
826	5.72893127E-3
776	6.0587832E-3
418	7.49026075E-3
224	8.83218346E-3
992	1.05833949E-2
983	1.09804263E-2
94	1.14897895E-2
890	1.65894024E-2
540	1.75565779E-2
847	1.80686819E-2
981	1.84018366E-2
735	1.84490598E-2
619	1.88538757E-2
407	1.89863501E-2
296	1.99771999E-2
43	2.01880979E-2
309	2.38030433E-2
446	2.41222466E-2
170	2.66088946E-2
84	2.67041655E-2
917	2.69464713E-2
874	2.74405568E-2
111	2.91588598E-2
308	2.91919007E-2
300	3.14188057E-2
807	3.24917984E-2
584	3.62289247E-2
30	3.64486696E-2
878	3.89490897E-2
684	3.90403787E-2
361	4.13213631E-2
276	4.21669022E-2
646	4.50231042E-2
51	4.50985359E-2
321	5.40099354E-2
229	5.51271974E-2
82	5.54745543E-2
618	5.69155434E-2
313	5.78831055E-2
956	6.01463767E-2
254	6.06812816E-2
209	6.07829104E-2
777	6.27161911E-2
716	6.3003435E-2
825	6.40194792E-2
996	6.45444406E-2
55	6.90600517E-2
907	7.06424721E-2
788	7.11823776E-2
706	7.17625918E-2
69	7.27147476E-2
655	7.43501065E-2
791	7.48878701E-2
894	7.53432232E-2
725	7.85332815E-2
29	7.88285849E-2
98	7.95823767E-2
231	8.12287193E-2
192	8.2222561E-2
186	8.29211004E-2
652	8.50310819E-2
54	8.59225139E-2
461	8.61208363E-2
673	8.85613845E-2
203	8.87773291E-2
764	8.91732502E-2
525	8.99734593E-2
698	9.00263792E-2
431	9.01594074E-2
391	9.04163864E-2
518	9.12170361E-2
1001	9.30469837E-2
538	9.50427292E-2
413	9.57106526E-2
836	9.65178774E-2
939	9.67453143E-2
747	9.72545628E-2
592	9.83578713E-2
903	9.8490942E-2
812	9.87652675E-2
979	9.93113031E-2
911	9.95278545E-2
271	9.97971241E-2
466	1.00246991E-1
721	1.0125149E-1
542	1.02205507E-1
546	1.04164847E-1
520	1.04180454E-1
332	1.04740341E-1
930	1.05822393E-1
892	1.06256577E-1
157	1.07009067E-1
74	1.08150791E-1
218	1.09793258E-1
156	1.10080775E-1
73	1.11303866E-1
173	1.11338969E-1
260	1.12413893E-1
465	1.14120846E-1
320	1.14781244E-1
19	1.15390207E-1
727	1.15508932E-1
832	1.15749838E-1
837	1.16516144E-1
34	1.18268503E-1
855	1.19114845E-1
109	1.20465245E-1
14	1.21083894E-1
638	1.21108827E-1
115	1.21302357E-1
869	1.21663798E-1
623	1.21864263E-1
600	1.22051686E-1
912	1.22940752E-1
404	1.23087774E-1
667	1.23105149E-1
349	1.24207903E-1
1000	1.25822244E-1
760	1.25995615E-1
953	1.26397851E-1
198	1.27966703E-1
612	1.29106858E-1
289	1.29291635E-1
905	1.29297874E-1
213	1.29640402E-1
176	1.30057012E-1
340	1.30652951E-1
529	1.31168459E-1
620	1.31910284E-1
800	1.32413832E-1
914	1.32684042E-1
872	1.32874448E-1
495	1.33473593E-1
207	1.34124726E-1
459	1.34462114E-1
616	1.36000149E-1
816	1.36820749E-1
707	1.37659706E-1
36	1.380627E-1
201	1.38282647E-1
58	1.38753632E-1
519	1.39764874E-1
416	1.39991497E-1
112	1.4002904E-1
159	1.40335087E-1
330	1.41549102E-1
393	1.43592357E-1
318	1.44195395E-1
275	1.44442615E-1
731	1.48326376E-1
456	1.48547851E-1
719	1.50349071E-1
560	1.51309719E-1
443	1.52673779E-1
452	1.54590123E-1
339	1.54601643E-1
968	1.55378741E-1
526	1.56168879E-1
975	1.56764849E-1
432	1.57684666E-1
183	1.59269612E-1
607	1.59875739E-1
17	1.60245782E-1
402	1.60253448E-1
849	1.60918292E-1
56	1.62314175E-1
8	1.64417394E-1
145	1.64967247E-1
887	1.65935426E-1
158	1.66953471E-1
375	1.70125218E-1
341	1.70165298E-1
545	1.70455425E-1
629	1.71824388E-1
995	1.72859461E-1
493	1.73168634E-1
21	1.73190832E-1
516	1.73361322E-1
144	1.75431808E-1
746	1.76047571E-1
726	1.76735177E-1
586	1.78832993E-1
852	1.79150604E-1
13	1.79266446E-1
783	1.8281535E-1
266	1.83827303E-1
169	1.85741936E-1
380	1.86616278E-1
410	1.8721704E-1
804	1.87689062E-1
311	1.87732243E-1
730	1.88832928E-1
954	1.88912252E-1
445	1.89210657E-1
934	1.89266289E-1
562	1.89941384E-1
291	1.90024291E-1
454	1.90796764E-1
813	1.92815088E-1
215	1.94894689E-1
259	1.98075325E-1
96	1.98529488E-1
751	1.98822427E-1
33	1.99364517E-1
563	2.00227987E-1
473	2.00679185E-1
539	2.03774466E-1
951	2.06541706E-1
980	2.08650526E-1
68	2.10499253E-1
48	2.10883519E-1
303	2.14929071E-1
993	2.15301016E-1
190	2.16338915E-1
775	2.17425392E-1
528	2.18687769E-1
850	2.1894862E-1
689	2.21244618E-1
932	2.21654003E-1
238	2.21696137E-1
199	2.2188537E-1
119	2.21962623E-1
314	2.23463548E-1
458	2.23654289E-1
75	2.24898816E-1
987	2.25609027E-1
226	2.25626293E-1
1007	2.27045998E-1
780	2.27303508E-1
108	2.2829581E-1
611	2.2921247E-1
196	2.29395207E-1
603	2.30625517E-1
240	2.31231168E-1
236	2.32522909E-1
973	2.33306121E-1
999	2.33431338E-1
383	2.3480094E-1
599	2.34822945E-1
326	2.35107532E-1
24	2.35223446E-1
154	2.35515738E-1
876	2.36564579E-1
489	2.36838441E-1
908	2.38546595E-1
582	2.38619231E-1
736	2.38697492E-1
40	2.39899337E-1
839	2.39956356E-1
490	2.403265E-1
481	2.4313858E-1
625	2.43846196E-1
948	2.44550655E-1
551	2.44730202E-1
304	2.46360044E-1
347	2.47471315E-1
91	2.47701051E-1
469	2.48986767E-1
497	2.49501512E-1
742	2.50100533E-1
104	2.51453891E-1
63	2.5164442E-1
774	2.53243565E-1
374	2.53735578E-1
548	2.53752188E-1
879	2.54785362E-1
510	2.54894173E-1
752	2.55532882E-1
617	2.56914493E-1
161	2.56962222E-1
649	2.57823959E-1
808	2.58531461E-1
298	2.59092559E-1
575	2.59829344E-1
499	2.62223717E-1
989	2.6265234E-1
750	2.63848744E-1
963	2.64277635E-1
427	2.65998403E-1
624	2.66152464E-1
962	2.66397733E-1
610	2.67894867E-1
829	2.69179242E-1
765	2.70636542E-1
174	2.71359887E-1
28	2.73072425E-1
767	2.73358356E-1
686	2.73760765E-1
659	2.73806506E-1
846	2.7480895E-1
533	2.75144703E-1
415	2.75473156E-1
258	2.76924643E-1
1004	2.77033923E-1
685	2.77361863E-1
594	2.77715719E-1
32	2.79022146E-1
744	2.79070178E-1
978	2.8001406E-1
411	2.81095344E-1
346	2.8144205E-1
805	2.8452106E-1
277	2.87075507E-1
532	2.88310566E-1
250	2.89993415E-1
230	2.90227811E-1
900	2.91467902E-1
604	2.9207944E-1
537	2.92507646E-1
460	2.9280705E-1
301	2.93043399E-1
515	2.94166882E-1
722	2.97215204E-1
87	2.9775144E-1
194	2.98003914E-1
208	2.9859688E-1
227	2.98629505E-1
843	2.99575595E-1
795	3.03358412E-1
945	3.06008646E-1
494	3.07687838E-1
669	3.0959473E-1
957	3.10138927E-1
909	3.10928872E-1
167	3.12343364E-1
470	3.12595303E-1
988	3.12964731E-1
7	3.1319709E-1
